交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2000-01-17,17.9000,18.1000,17.5000,18.0800,,,34501.0000,61534.1974,,,0.3219,0.4298,0.3400,36.7080,44.7312,7.1620,14.2877,15.5527,155184.7092,107163.4434,80277.1362,2805739.5423,1937515.0567,4.8057,4.8057,3.3520
2000-01-18,18.0000,18.0800,17.5800,17.6900,-0.3900,-2.1600,46564.0000,82818.8276,,,0.4345,0.5800,0.6500,35.9162,43.7663,7.0075,13.9795,15.2173,155184.7092,107163.4434,80277.1362,2745217.5057,1895721.3137,4.9116,4.9116,3.3333
2000-01-19,17.5000,17.8500,17.5000,17.7900,0.1000,0.5700,37811.0000,67007.2896,,,0.3528,0.4710,0.6800,36.1193,44.0137,7.0471,14.0586,15.3033,155184.7092,107163.4434,80277.1362,2760735.9767,1906437.6581,4.8840,4.8840,3.4286
2000-01-20,17.8000,17.9000,17.5500,17.8100,0.0200,0.1100,58438.0000,103508.6675,,,0.5453,0.7280,1.3000,36.1599,44.0632,7.0550,14.0744,15.3205,155184.7092,107163.4434,80277.1362,2763839.6709,1908580.9270,4.8785,4.8785,3.3708
2000-01-21,17.8000,18.2600,17.6600,17.9600,0.1500,0.8400,86262.0000,154067.4309,,,0.8050,1.0746,1.8500,36.4644,44.4343,7.1144,14.1929,15.4495,155184.7092,107163.4434,80277.1362,2787117.3772,1924655.4435,4.8378,4.8378,3.3708
2000-01-24,17.9100,17.9500,17.2000,17.5000,-0.4600,-2.5600,112517.0000,196243.5947,,,1.0500,1.4016,2.1300,35.5305,43.2962,6.9322,13.8294,15.0538,155184.7092,107163.4434,80277.1362,2715732.4110,1875360.2595,4.9650,4.9650,3.3501
2000-01-25,17.5000,18.2900,17.5000,17.7300,0.2300,1.3100,83719.0000,149259.9298,,,0.7812,1.0429,1.2300,35.9974,43.8653,7.0233,14.0112,15.2517,155184.7092,107163.4434,80277.1362,2751424.8941,1900007.8515,4.9033,4.9033,3.4286
2000-01-26,17.7200,17.8800,17.5000,17.6400,-0.0900,-0.5100,47723.0000,83862.9761,,,0.4453,0.5945,0.6300,35.8147,43.6426,6.9877,13.9400,15.1742,155184.7092,107163.4434,80277.1362,2737458.2703,1890363.1416,4.9256,4.9256,3.3860
2000-01-27,17.6500,18.1700,17.5500,17.8900,0.2500,1.4200,73569.0000,131076.0587,,,0.6865,0.9164,0.9500,36.3223,44.2611,7.0867,14.1376,15.3893,155184.7092,107163.4434,80277.1362,2776254.4476,1917154.0024,4.8567,4.8567,3.3994
2000-01-28,18.0000,18.5800,17.6600,18.5000,0.6100,3.4100,167367.0000,305519.4122,,,1.5618,2.0849,2.0700,37.5608,45.7703,7.3283,14.6197,15.9140,155184.7092,107163.4434,80277.1362,2870917.1202,1982523.7029,4.6890,4.6890,3.3333
2000-02-14,19.2000,20.3800,18.7000,20.3700,1.8700,10.1100,233710.0000,460705.0461,,,2.1809,2.9113,2.4100,41.3575,50.3968,8.0691,16.0974,17.5226,155184.7092,107163.4434,80277.1362,3161112.5264,2182919.3421,4.2654,4.2654,3.1250
2000-02-15,20.5000,21.0100,19.1000,19.4600,-0.9100,-4.4700,350732.0000,703966.2004,,,3.2729,4.3690,2.8900,39.5099,48.1454,7.7086,15.3783,16.7398,155184.7092,107163.4434,80277.1362,3019894.4410,2085400.6086,4.4695,4.4695,2.9268
2000-02-16,19.3000,19.3000,18.5600,18.8300,-0.6300,-3.2400,215393.0000,404820.0894,,,2.0099,2.6831,1.2300,38.2308,46.5867,7.4591,14.8804,16.1979,155184.7092,107163.4434,80277.1362,2922128.0742,2017887.6392,4.6143,4.6143,3.1088
2000-02-17,18.8300,19.6900,18.2300,18.8000,-0.0300,-0.1600,358842.0000,677313.6969,,,3.3485,4.4700,1.7200,38.1699,46.5125,7.4472,14.8567,16.1721,155184.7092,107163.4434,80277.1362,2917472.5330,2014672.7359,4.6216,4.6216,3.1864
2000-02-18,18.7900,18.7900,18.1500,18.4100,-0.3900,-2.0700,139294.0000,255057.9069,,,1.2998,1.7352,0.5300,37.3780,45.5476,7.2927,14.5485,15.8366,155184.7092,107163.4434,80277.1362,2856950.4964,1972878.9930,4.7195,4.7195,3.1932
2000-02-21,18.4100,19.5000,18.0000,18.9100,0.5000,2.7200,237917.0000,446412.9264,,,2.2201,2.9637,0.9200,38.3932,46.7847,7.4908,14.9437,16.2667,155184.7092,107163.4434,80277.1362,2934542.8510,2026460.7147,4.5948,4.5948,3.2591
2000-02-22,19.0000,19.2500,18.2000,18.2500,-0.6600,-3.4900,124888.0000,232056.3857,,,1.1654,1.5557,0.4800,37.0532,45.1518,7.2293,14.4221,15.6990,155184.7092,107163.4434,80277.1362,2832120.9429,1955732.8421,4.7609,4.7609,3.1579
2000-02-23,18.2000,18.5800,18.0000,18.1000,-0.1500,-0.8200,88176.0000,160031.6692,,,0.8228,1.0984,0.4100,36.7486,44.7807,7.1699,14.3036,15.5699,155184.7092,107163.4434,80277.1362,2808843.2365,1939658.3255,4.8004,4.8004,3.2967
2000-02-24,18.0500,18.3000,18.0000,18.1800,0.0800,0.4400,63339.0000,114762.0258,,,0.5911,0.7890,0.3300,36.9111,44.9786,7.2016,14.3668,15.6388,155184.7092,107163.4434,80277.1362,2821258.0133,1948231.4010,4.7792,4.7792,3.3241
2000-02-25,18.1800,18.2000,18.0000,18.0900,-0.0900,-0.5000,97625.0000,176013.0662,,,0.9110,1.2161,0.7500,36.7283,44.7559,7.1659,14.2956,15.5613,155184.7092,107163.4434,80277.1362,2807291.3894,1938586.6911,4.8030,4.8030,3.3003
2000-02-28,18.1000,18.7800,17.8000,18.5600,0.4700,2.6000,154359.0000,279276.5413,,,1.4404,1.9228,1.2600,37.6826,45.9187,7.3521,14.6671,15.9656,155184.7092,107163.4434,80277.1362,2880228.2028,1988953.5095,4.6814,4.6814,3.3149
