交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2017-12-25,11.0000,13.1500,10.6000,11.4400,,,603494.5700,744676.1090,8.9100,11.4400,10.8774,10.8774,,24.0516,21.9282,1.8000,13.9868,13.5846,617821.1497,55481.3630,55481.3630,7067873.9526,634706.7927,,,0.0000
2017-12-26,10.6500,12.5800,10.3000,12.5800,1.1400,9.9700,634659.8500,730996.4820,9.8000,12.5800,11.4392,11.4392,,26.4483,24.1134,1.9794,15.3806,14.9384,617821.1497,55481.3630,55481.3630,7772190.0632,697955.5465,,,0.0000
2017-12-27,13.8400,13.8400,13.8400,13.8400,1.2600,10.0200,338569.0600,468579.5790,10.7800,13.8400,6.1024,6.1024,,29.0973,26.5286,2.1777,16.9211,16.4346,617821.1497,55481.3630,55481.3630,8550644.7118,767862.0639,,,0.0000
2017-12-28,14.4400,15.2200,14.2100,15.2200,1.3800,9.9700,1184090.0900,1779132.7710,11.8600,15.2200,21.3421,21.3421,,31.9987,29.1738,2.3948,18.6083,18.0733,617821.1497,55481.3630,55481.3630,9403237.8984,844426.3449,,,0.0000
2017-12-29,15.3500,15.3800,13.7000,13.8500,-1.3700,-9.0000,1063288.5700,1511730.6570,10.7900,13.8500,19.1648,19.1648,,29.1184,26.5477,2.1792,16.9333,16.4464,617821.1497,55481.3630,55481.3630,8556822.9233,768416.8776,,,0.0000
2018-01-02,13.6000,14.3600,13.3400,13.6800,-0.1700,-1.2300,718390.3000,995518.4390,10.6600,13.6800,12.9483,12.9483,0.9400,28.7609,26.2219,2.1525,16.7255,16.2446,617821.1497,55481.3630,55481.3630,8451793.3279,758985.0458,,,1.6103
2018-01-03,13.3600,14.3800,12.6800,13.7600,0.0800,0.5800,839488.7300,1141984.8090,10.7200,13.7600,15.1310,15.1310,1.0700,28.9291,26.3752,2.1651,16.8233,16.3396,617821.1497,55481.3630,55481.3630,8501219.0199,763423.5549,,,1.6392
2018-01-04,13.1600,13.6000,13.0500,13.2000,-0.5600,-4.0700,577901.5200,766787.0250,10.2800,13.2000,10.4161,10.4161,0.7000,27.7518,25.3018,2.0770,16.1386,15.6746,617821.1497,55481.3630,55481.3630,8155239.1760,732353.9916,,,1.6641
2018-01-05,13.0200,13.4000,13.0100,13.0700,-0.1300,-0.9800,366270.8000,481320.0530,10.1800,13.0700,6.6017,6.6017,0.4200,27.4785,25.0526,2.0565,15.9797,15.5202,617821.1497,55481.3630,55481.3630,8074922.4266,725141.4144,,,1.6820
2018-01-08,12.9000,13.2900,12.7300,12.9900,-0.0800,-0.6100,331013.5700,430647.4850,10.1200,12.9900,5.9662,5.9662,0.4600,27.3103,24.8993,2.0439,15.8819,15.4252,617821.1497,55481.3630,55481.3630,8025496.7346,720702.9054,,,1.6977
2018-01-09,12.9500,13.0800,12.7600,12.8300,-0.1600,-1.2300,305731.6000,394014.9310,9.9900,12.8300,5.5105,5.5105,0.5400,26.9739,24.5926,2.0187,15.6863,15.2352,617821.1497,55481.3630,55481.3630,7926645.3507,711825.8873,,,1.6911
2018-01-10,12.6800,12.8300,11.9100,12.2000,-0.6300,-4.9100,477313.3900,590912.1130,9.5000,12.2000,8.6031,8.6031,0.9900,25.6494,23.3850,1.9196,14.9160,14.4871,617821.1497,55481.3630,55481.3630,7537418.0263,676872.6286,,,1.7271
2018-01-11,12.1400,12.1600,11.8200,12.1100,-0.0900,-0.7400,279686.7600,336279.7950,9.4300,12.1100,5.0411,5.0411,0.6800,25.4602,23.2125,1.9055,14.8060,14.3803,617821.1497,55481.3630,55481.3630,7481814.1229,671879.3059,,,1.8040
2018-01-12,12.1400,12.2800,11.8500,11.9100,-0.2000,-1.6500,265005.8600,319330.8580,9.2800,11.9100,4.7765,4.7765,0.7500,25.0397,22.8291,1.8740,14.5615,14.1428,617821.1497,55481.3630,55481.3630,7358249.8929,660783.0333,,,1.8040
2018-01-15,11.7600,11.8100,11.1500,11.2700,-0.6400,-5.3700,298548.1600,340729.0740,8.7800,11.2700,5.3811,5.3811,0.9000,23.6941,21.6024,1.7733,13.7790,13.3828,617821.1497,55481.3630,55481.3630,6962844.3571,625274.9610,,,1.8622
2018-01-16,11.1500,12.4000,11.0500,12.4000,1.1300,10.0300,580497.7000,699097.9400,9.6600,12.4000,10.4629,10.4629,1.7800,26.0699,23.7684,1.9511,15.1605,14.7246,617821.1497,55481.3630,55481.3630,7660982.2563,687968.9012,,,1.9641
2018-01-17,12.4000,12.9800,12.1000,12.1800,-0.2200,-1.7700,591025.5600,739798.0700,9.4900,12.1800,10.6527,10.6527,1.5500,25.6073,23.3467,1.9165,14.8916,14.4634,617821.1497,55481.3630,55481.3630,7525061.6033,675763.0013,,,1.7661
2018-01-18,11.9700,12.6800,11.5100,12.4200,0.2400,1.9700,432266.0100,520899.9810,9.6800,12.4200,7.7912,7.7912,1.0700,26.1119,23.8067,1.9542,15.1850,14.7484,617821.1497,55481.3630,55481.3630,7673338.6793,689078.5285,,,1.8296
2018-01-19,12.2100,12.6000,12.1200,12.1500,-0.2700,-2.1700,292376.4300,360249.7550,9.4600,12.1500,5.2698,5.2698,0.6700,25.5443,23.2892,1.9117,14.8549,14.4278,617821.1497,55481.3630,55481.3630,7506526.9689,674098.5605,,,1.7936
2018-01-22,11.8800,12.0400,11.6700,11.8200,-0.3300,-2.7200,210704.7000,249495.3560,9.2100,11.8200,3.7978,3.7978,0.4800,24.8505,22.6566,1.8598,14.4514,14.0359,617821.1497,55481.3630,55481.3630,7302645.9895,655789.7107,,,1.8434
2018-01-23,11.8100,12.0100,11.7100,11.7400,-0.0800,-0.6800,165128.7700,195221.5560,9.1500,11.7400,2.9763,2.9763,0.3900,24.6823,22.5033,1.8472,14.3536,13.9409,617821.1497,55481.3630,55481.3630,7253220.2975,651351.2016,,,1.8544
2018-01-24,11.7600,12.5000,11.7600,12.0300,0.2900,2.4700,280092.1400,340186.2560,9.3700,12.0300,5.0484,5.0484,0.8300,25.2920,23.0592,1.8929,14.7082,14.2853,617821.1497,55481.3630,55481.3630,7432388.4309,667440.7969,,,1.8622
2018-01-25,11.8000,12.5800,11.7200,12.1300,0.1000,0.8300,331003.0000,403016.2310,9.4500,12.1300,5.9660,5.9660,1.2000,25.5022,23.2508,1.9086,14.8304,14.4040,617821.1497,55481.3630,55481.3630,7494170.5459,672988.9332,,,1.8559
2018-01-26,11.9700,12.4200,11.8500,12.1100,-0.0200,-0.1600,225470.0800,274199.6400,9.4300,12.1100,4.0639,4.0639,0.8800,25.4602,23.2125,1.9055,14.8060,14.3803,617821.1497,55481.3630,55481.3630,7481814.1229,671879.3059,,,1.8296
2018-01-29,12.1500,12.2900,11.8100,11.8600,-0.2500,-2.0600,190068.6000,227174.6770,9.2400,11.8600,3.4258,3.4258,0.7800,24.9346,22.7333,1.8661,14.5003,14.0834,617821.1497,55481.3630,55481.3630,7327358.8354,658008.9652,,,1.8025
2018-01-30,11.8000,11.9400,11.7100,11.8400,-0.0200,-0.1700,134878.6100,159212.2120,9.2200,11.8400,2.4311,2.4311,0.5700,24.8925,22.6950,1.8630,14.4759,14.0596,617821.1497,55481.3630,55481.3630,7315002.4124,656899.3379,,,1.8559
2018-01-31,11.8000,11.8000,11.3000,11.3200,-0.5200,-4.3900,181468.6100,208472.2950,8.8200,11.3200,3.2708,3.2708,0.7800,23.7993,21.6982,1.7812,13.8401,13.4422,617821.1497,55481.3630,55481.3630,6993735.4146,628049.0292,,,1.8559
2018-02-01,11.3600,11.6500,10.9600,11.1000,-0.2200,-1.9400,168105.1700,189948.8410,8.6500,11.1000,3.0299,3.0299,0.7900,23.3367,21.2765,1.7465,13.5711,13.1809,617821.1497,55481.3630,55481.3630,6857814.7617,615843.1293,,,1.9278
2018-02-02,11.0500,11.2500,10.7800,11.1900,0.0900,0.8100,137894.9100,152803.7210,8.7200,11.1900,2.4854,2.4854,0.7700,23.5260,21.4490,1.7607,13.6812,13.2878,617821.1497,55481.3630,55481.3630,6913418.6651,620836.4520,,,1.9819
2018-02-05,11.0000,11.2600,10.8800,11.2000,0.0100,0.0900,110146.2400,121726.2980,8.7200,11.2000,1.9853,1.9853,0.6800,23.5470,21.4682,1.7623,13.6934,13.2997,617821.1497,55481.3630,55481.3630,6919596.8766,621391.2656,,,1.9909
2018-02-06,10.9600,11.1800,10.4200,10.4600,-0.7400,-6.6100,149458.6500,162214.4110,8.1500,10.4600,2.6939,2.6939,1.0200,21.9912,20.0498,1.6458,12.7886,12.4209,617821.1497,55481.3630,55481.3630,6462409.2259,580335.0570,,,1.9982
2018-02-07,10.7000,10.8000,10.1400,10.4800,0.0200,0.1900,157223.2200,165352.8460,8.1600,10.4800,2.8338,2.8338,1.0500,22.0332,20.0881,1.6490,12.8131,12.4447,617821.1497,55481.3630,55481.3630,6474765.6489,581444.6842,,,2.0467
