交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2004-08-04,14.5000,15.0000,14.0200,14.6300,,,157755.2000,227864.1227,0.9300,14.6300,54.3983,54.3983,,29.0898,29.0898,3.3416,0.9395,0.9395,11197.5969,2900.0000,2900.0000,163820.8426,42427.0000,,,0.0000,0.0000
2004-08-05,14.3500,14.8000,14.2300,14.8000,0.1700,1.1600,78026.3700,113804.0128,0.9400,14.8000,26.9056,26.9056,,29.4278,29.4278,3.3804,0.9504,0.9504,11197.5969,2900.0000,2900.0000,165724.4341,42920.0000,,,0.0000,0.0000
2004-08-06,14.7800,15.0100,14.1300,14.7200,-0.0800,-0.5400,60836.9700,88672.4310,0.9300,14.7200,20.9783,20.9783,,29.2687,29.2687,3.3621,0.9453,0.9453,11197.5969,2900.0000,2900.0000,164828.6264,42688.0000,,,0.0000,0.0000
2004-08-09,14.4400,14.4800,13.5700,13.7300,-0.9900,-6.7300,43603.7700,60979.0276,0.8700,13.7300,15.0358,15.0358,,27.3002,27.3002,3.1360,0.8817,0.8817,11197.5969,2900.0000,2900.0000,153743.0054,39817.0000,,,0.0000,0.0000
2004-08-10,13.6000,13.8300,13.4400,13.7100,-0.0200,-0.1500,22431.1400,30558.8363,0.8700,13.7100,7.7349,7.7349,,27.2605,27.2605,3.1315,0.8804,0.8804,11197.5969,2900.0000,2900.0000,153519.0535,39759.0000,,,0.0000,0.0000
2004-08-11,13.7200,13.7200,12.8000,13.0200,-0.6900,-5.0300,34620.2100,45429.5788,0.8300,13.0200,11.9380,11.9380,0.4800,25.8885,25.8885,2.9739,0.8361,0.8361,11197.5969,2900.0000,2900.0000,145792.7116,37758.0000,,,0.0000,0.0000
2004-08-12,12.8900,12.9800,12.6700,12.8000,-0.2200,-1.6900,18223.5500,23361.7932,0.8100,12.8000,6.2840,6.2840,0.3800,25.4511,25.4511,2.9236,0.8220,0.8220,11197.5969,2900.0000,2900.0000,143329.2403,37120.0000,,,0.0000,0.0000
2004-08-13,12.7200,13.0400,12.4300,12.4500,-0.3500,-2.7300,18790.9000,23820.8695,0.7900,12.4500,6.4796,6.4796,0.5200,24.7551,24.7551,2.8437,0.7995,0.7995,11197.5969,2900.0000,2900.0000,139410.0814,36105.0000,,,0.0000,0.0000
2004-08-16,12.3100,12.4000,11.3100,11.3800,-1.0700,-8.5900,31369.5400,36557.2080,0.7200,11.3800,10.8171,10.8171,1.1400,22.6276,22.6276,2.5993,0.7308,0.7308,11197.5969,2900.0000,2900.0000,127428.6527,33002.0000,,,0.0000,0.0000
2004-08-17,11.2700,11.5500,11.1400,11.2600,-0.1200,-1.0500,14692.4000,16686.2631,0.7100,11.2600,5.0663,5.0663,0.5900,22.3890,22.3890,2.5719,0.7231,0.7231,11197.5969,2900.0000,2900.0000,126084.9411,32654.0000,,,0.0000,0.0000
2004-08-18,11.2000,11.3000,10.8200,10.8400,-0.4200,-3.7300,22587.5800,24711.9129,0.6900,10.8400,7.7888,7.7888,0.9600,21.5539,21.5539,2.4759,0.6961,0.6961,11197.5969,2900.0000,2900.0000,121381.9504,31436.0000,,,0.0000,0.0000
2004-08-19,10.6700,11.0000,10.6100,10.8800,0.0400,0.3700,15517.8500,16759.8835,0.6900,10.8800,5.3510,5.3510,0.7300,21.6334,21.6334,2.4851,0.6987,0.6987,11197.5969,2900.0000,2900.0000,121829.8543,31552.0000,,,0.0000,0.0000
2004-08-20,10.9500,11.1000,10.7100,10.9500,0.0700,0.6400,11328.9200,12367.2717,0.7000,10.9500,3.9065,3.9065,0.5500,21.7726,21.7726,2.5011,0.7032,0.7032,11197.5969,2900.0000,2900.0000,122613.6861,31755.0000,,,0.0000,0.0000
2004-08-23,10.7600,10.7900,10.2000,10.2600,-0.6900,-6.3000,15232.6300,15843.9276,0.6500,10.2600,5.2526,5.2526,0.8000,20.4006,20.4006,2.3435,0.6589,0.6589,11197.5969,2900.0000,2900.0000,114887.3442,29754.0000,,,0.0000,0.0000
2004-08-24,10.3100,10.5600,10.0700,10.4200,0.1600,1.5600,13679.5400,14232.2169,0.6600,10.4200,4.7171,4.7171,0.8600,20.7188,20.7188,2.3800,0.6691,0.6691,11197.5969,2900.0000,2900.0000,116678.9597,30218.0000,,,0.0000,0.0000
2004-08-25,10.3900,10.4900,10.1000,10.4900,0.0700,0.6700,9990.1500,10311.1693,0.6700,10.4900,3.4449,3.4449,0.6400,20.8579,20.8579,2.3960,0.6736,0.6736,11197.5969,2900.0000,2900.0000,117462.7915,30421.0000,,,0.0000,0.0000
2004-08-26,10.4900,10.5400,10.0500,10.0500,-0.4400,-4.1900,15018.5400,15404.4349,0.6400,10.0500,5.1788,5.1788,1.1400,19.9831,19.9831,2.2955,0.6454,0.6454,11197.5969,2900.0000,2900.0000,112535.8488,29145.0000,,,0.0000,0.0000
2004-08-27,10.3000,10.6600,10.2000,10.4600,0.4100,4.0800,25492.5400,26714.8605,0.6600,10.4600,8.7905,8.7905,1.9500,20.7983,20.7983,2.3891,0.6717,0.6717,11197.5969,2900.0000,2900.0000,117126.8636,30334.0000,,,0.0000,0.0000
2004-08-30,10.3700,11.3500,10.3000,10.8800,0.4200,4.0200,30150.9600,33013.8721,0.6900,10.8800,10.3969,10.3969,1.9000,21.6334,21.6334,2.4851,0.6987,0.6987,11197.5969,2900.0000,2900.0000,121829.8543,31552.0000,,,0.0000,0.0000
2004-08-31,11.3000,11.4500,10.9500,10.9600,0.0800,0.7400,31521.1700,35119.8152,0.7000,10.9600,10.8694,10.8694,1.6700,21.7925,21.7925,2.5033,0.7038,0.7038,11197.5969,2900.0000,2900.0000,122725.6620,31784.0000,,,0.0000,0.0000
2004-09-01,10.8000,10.9000,10.6600,10.7000,-0.2600,-2.3700,11963.5400,12875.8402,0.6800,10.7000,4.1254,4.1254,0.5300,21.2755,21.2755,2.4440,0.6871,0.6871,11197.5969,2900.0000,2900.0000,119814.2868,31030.0000,,,0.0000,0.0000
2004-09-02,10.6600,10.9300,10.5000,10.9000,0.2000,1.8700,13185.8900,14122.1816,0.6900,10.9000,4.5469,4.5469,0.5800,21.6732,21.6732,2.4896,0.7000,0.7000,11197.5969,2900.0000,2900.0000,122053.8062,31610.0000,,,0.0000,0.0000
2004-09-03,10.9000,10.9400,10.5900,10.6600,-0.2400,-2.2000,8281.3700,8901.0697,0.6800,10.6600,2.8556,2.8556,0.3700,21.1960,21.1960,2.4348,0.6845,0.6845,11197.5969,2900.0000,2900.0000,119366.3830,30914.0000,,,0.0000,0.0000
2004-09-06,10.6600,10.7800,10.5600,10.7000,0.0400,0.3800,4400.1600,4692.8921,0.6800,10.7000,1.5173,1.5173,0.2300,21.2755,21.2755,2.4440,0.6871,0.6871,11197.5969,2900.0000,2900.0000,119814.2868,31030.0000,,,0.0000,0.0000
2004-09-07,10.7400,10.8100,10.6100,10.7500,0.0500,0.4700,3739.9100,4003.8301,0.6800,10.7500,1.2896,1.2896,0.2700,21.3749,21.3749,2.4554,0.6903,0.6903,11197.5969,2900.0000,2900.0000,120374.1667,31175.0000,,,0.0000,0.0000
2004-09-08,10.7200,10.7800,10.5900,10.7200,-0.0300,-0.2800,4145.2500,4430.5042,0.6800,10.7200,1.4294,1.4294,0.5000,21.3153,21.3153,2.4485,0.6884,0.6884,11197.5969,2900.0000,2900.0000,120038.2388,31088.0000,,,0.0000,0.0000
2004-09-09,10.6100,10.6400,10.3800,10.4200,-0.3000,-2.8000,7144.5100,7475.3306,0.6600,10.4200,2.4636,2.4636,1.0600,20.7188,20.7188,2.3800,0.6691,0.6691,11197.5969,2900.0000,2900.0000,116678.9597,30218.0000,,,0.0000,0.0000
2004-09-10,10.3800,10.5400,10.3100,10.4700,0.0500,0.4800,4692.7000,4895.8615,0.6600,10.4700,1.6182,1.6182,0.8500,20.8182,20.8182,2.3914,0.6723,0.6723,11197.5969,2900.0000,2900.0000,117238.8395,30363.0000,,,0.0000,0.0000
2004-09-13,10.4500,10.5400,10.0700,10.0900,-0.3800,-3.6300,6803.1800,6930.9648,0.6400,10.0900,2.3459,2.3459,1.4100,20.0626,20.0626,2.3046,0.6479,0.6479,11197.5969,2900.0000,2900.0000,112983.7527,29261.0000,,,0.0000,0.0000
2004-09-14,10.2000,10.6800,10.2000,10.4900,0.4000,3.9600,11095.0000,11619.2946,0.6700,10.4900,3.8259,3.8259,2.0900,20.8579,20.8579,2.3960,0.6736,0.6736,11197.5969,2900.0000,2900.0000,117462.7915,30421.0000,,,0.0000,0.0000
2004-09-15,10.4900,11.3900,10.3700,11.1300,0.6400,6.1000,34728.3700,38297.2764,0.7100,11.1300,11.9753,11.9753,5.1300,22.1305,22.1305,2.5422,0.7147,0.7147,11197.5969,2900.0000,2900.0000,124629.2535,32277.0000,,,0.0000,0.0000
2004-09-16,11.2500,11.6800,11.1000,11.5100,0.3800,3.4100,47142.4000,53876.4446,0.7300,11.5100,16.2560,16.2560,3.6600,22.8861,22.8861,2.6290,0.7391,0.7391,11197.5969,2900.0000,2900.0000,128884.3403,33379.0000,,,0.0000,0.0000
2004-09-17,11.5100,11.9400,11.2500,11.9000,0.3900,3.3900,34420.6100,39812.3992,0.7600,11.9000,11.8692,11.8692,1.6500,23.6615,23.6615,2.7180,0.7642,0.7642,11197.5969,2900.0000,2900.0000,133251.4031,34510.0000,,,0.0000,0.0000
2004-09-20,12.0000,12.2700,11.7600,12.1800,0.2800,2.3500,36731.3700,44164.8696,0.7700,12.1800,12.6660,12.6660,1.3700,24.2183,24.2183,2.7820,0.7822,0.7822,11197.5969,2900.0000,2900.0000,136386.7302,35322.0000,,,0.0000,0.0000
2004-09-21,12.2500,12.5900,11.8800,12.3200,0.1400,1.1500,35130.0500,42979.2608,0.7800,12.3200,12.1138,12.1138,1.0700,24.4967,24.4967,2.8140,0.7911,0.7911,11197.5969,2900.0000,2900.0000,137954.3938,35728.0000,,,0.0000,0.0000
2004-09-22,12.2300,12.5000,12.1000,12.3000,-0.0200,-0.1600,31536.5500,38825.9859,0.7800,12.3000,10.8747,10.8747,0.8400,24.4569,24.4569,2.8094,0.7899,0.7899,11197.5969,2900.0000,2900.0000,137730.4419,35670.0000,,,0.0000,0.0000
2004-09-23,12.2600,12.3800,11.7600,12.1300,-0.1700,-1.3800,24387.2600,29298.7855,0.7700,12.1300,8.4094,8.4094,0.6600,24.1189,24.1189,2.7706,0.7789,0.7789,11197.5969,2900.0000,2900.0000,135826.8504,35177.0000,,,0.0000,0.0000
2004-09-24,12.2200,12.7000,11.7000,11.7000,-0.4300,-3.5400,36473.9500,45179.2462,0.7400,11.7000,12.5772,12.5772,1.1200,23.2639,23.2639,2.6724,0.7513,0.7513,11197.5969,2900.0000,2900.0000,131011.8837,33930.0000,,,0.0000,0.0000
2004-09-27,12.0100,12.1900,11.5800,11.6300,-0.0700,-0.6000,15985.0400,18967.4289,0.7400,11.6300,5.5121,5.5121,0.4900,23.1247,23.1247,2.6564,0.7468,0.7468,11197.5969,2900.0000,2900.0000,130228.0519,33727.0000,,,0.0000,0.0000
2004-09-28,11.6900,11.8900,11.5800,11.7200,0.0900,0.7700,9084.0000,10660.0250,0.7400,11.7200,3.1324,3.1324,0.3200,23.3036,23.3036,2.6769,0.7526,0.7526,11197.5969,2900.0000,2900.0000,131235.8357,33988.0000,,,0.0000,0.0000
2004-09-29,11.7500,11.9800,11.6900,11.7800,0.0600,0.5100,8369.7300,9891.9575,0.7500,11.7800,2.8861,2.8861,0.3600,23.4229,23.4229,2.6906,0.7565,0.7565,11197.5969,2900.0000,2900.0000,131907.6915,34162.0000,,,0.0000,0.0000
2004-09-30,11.7800,12.0300,11.6000,11.6100,-0.1700,-1.4400,10490.4000,12385.7976,0.7400,11.6100,3.6174,3.6174,0.5600,23.0849,23.0849,2.6518,0.7456,0.7456,11197.5969,2900.0000,2900.0000,130004.1000,33669.0000,,,0.0000,0.0000
2004-10-08,11.6200,12.3400,11.6200,12.3200,0.7100,6.1200,19805.5800,23926.2913,0.7800,12.3200,6.8295,6.8295,1.2300,24.4967,24.4967,2.8140,0.7911,0.7911,11197.5969,2900.0000,2900.0000,137954.3938,35728.0000,,,0.0000,0.0000
2004-10-11,12.4700,13.0000,12.2000,12.2900,-0.0300,-0.2400,36058.1300,45451.5385,0.7800,12.2900,12.4338,12.4338,2.8300,24.4370,24.4370,2.8071,0.7892,0.7892,11197.5969,2900.0000,2900.0000,137618.4659,35641.0000,,,0.0000,0.0000
2004-10-13,12.1200,12.3900,11.8700,12.1000,-0.1900,-1.5500,17564.7600,21231.6388,0.7700,12.1000,6.0568,6.0568,1.0500,24.0592,24.0592,2.7637,0.7770,0.7770,11197.5969,2900.0000,2900.0000,135490.9225,35090.0000,,,0.0000,0.0000
2004-10-14,12.1300,12.2000,10.8900,10.8900,-1.2100,-10.0000,23437.1100,26272.9228,0.6900,10.8900,8.0818,8.0818,1.2700,21.6533,21.6533,2.4873,0.6993,0.6993,11197.5969,2900.0000,2900.0000,121941.8302,31581.0000,,,0.0000,0.0000
2004-10-15,10.7000,10.8100,10.3900,10.6200,-0.2700,-2.4800,12885.2000,13629.2828,0.6700,10.6200,4.4432,4.4432,0.6000,21.1164,21.1164,2.4257,0.6820,0.6820,11197.5969,2900.0000,2900.0000,118918.4791,30798.0000,,,0.0000,0.0000
2004-10-18,10.5800,10.9700,10.5800,10.8200,0.2000,1.8800,8834.1800,9577.9568,0.6900,10.8200,3.0463,3.0463,0.4000,21.5141,21.5141,2.4714,0.6948,0.6948,11197.5969,2900.0000,2900.0000,121157.9985,31378.0000,,,0.0000,0.0000
2004-10-19,10.9400,11.1400,10.6000,10.6200,-0.2000,-1.8500,8026.2500,8709.6954,0.6700,10.6200,2.7677,2.7677,0.4100,21.1164,21.1164,2.4257,0.6820,0.6820,11197.5969,2900.0000,2900.0000,118918.4791,30798.0000,,,0.0000,0.0000
