交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2004-08-17,12.2100,12.2100,11.0300,11.2000,,,78779.6900,90923.2382,1.0500,11.2000,23.1705,23.1705,,19.8300,19.8300,2.4426,1.8128,1.8128,13540.0000,3400.0000,3400.0000,151648.0000,38080.0000,,,0.0000
2004-08-18,10.7100,10.9000,10.2900,10.2900,-0.9100,-8.1300,50432.2400,52955.6686,0.9700,10.2900,14.8330,14.8330,,18.2188,18.2188,2.2441,1.6655,1.6655,13540.0000,3400.0000,3400.0000,139326.6000,34986.0000,,,0.0000
2004-08-19,10.3000,10.6500,10.3000,10.5300,0.2400,2.3300,31168.8500,32614.6760,0.9900,10.5300,9.1673,9.1673,,18.6438,18.6438,2.2964,1.7044,1.7044,13540.0000,3400.0000,3400.0000,142576.2000,35802.0000,,,0.0000
2004-08-20,10.5500,10.6100,10.3000,10.5500,0.0200,0.1900,17774.5500,18559.8564,0.9900,10.5500,5.2278,5.2278,,18.6792,18.6792,2.3008,1.7076,1.7076,13540.0000,3400.0000,3400.0000,142847.0000,35870.0000,,,0.0000
2004-08-23,10.4300,10.4300,9.9600,10.1000,-0.4500,-4.2700,16711.6600,16857.7205,0.9500,10.1000,4.9152,4.9152,,17.8824,17.8824,2.2027,1.6348,1.6348,13540.0000,3400.0000,3400.0000,136754.0000,34340.0000,,,0.0000
2004-08-24,10.1000,10.4000,9.8000,10.2500,0.1500,1.4900,18478.8600,18815.7021,0.9600,10.2500,5.4350,5.4350,0.4700,18.1480,18.1480,2.2354,1.6591,1.6591,13540.0000,3400.0000,3400.0000,138785.0000,34850.0000,,,0.0000
2004-08-25,10.0800,10.1800,9.9000,9.9800,-0.2700,-2.6300,9377.5200,9367.0037,0.9400,9.9800,2.7581,2.7581,0.3500,17.6700,17.6700,2.1765,1.6154,1.6154,13540.0000,3400.0000,3400.0000,135129.2000,33932.0000,,,0.0000
2004-08-26,9.9400,9.9700,9.7000,9.7200,-0.2600,-2.6100,10016.9400,9802.8415,0.9100,9.7200,2.9462,2.9462,0.5400,17.2096,17.2096,2.1198,1.5733,1.5733,13540.0000,3400.0000,3400.0000,131608.8000,33048.0000,,,0.0000
2004-08-27,9.6800,9.9000,9.6200,9.7900,0.0700,0.7200,7132.5600,6971.3992,0.9200,9.7900,2.0978,2.0978,0.4900,17.3336,17.3336,2.1351,1.5846,1.5846,13540.0000,3400.0000,3400.0000,132556.6000,33286.0000,,,0.0000
2004-08-30,9.6400,10.0900,9.4400,9.8100,0.0200,0.2000,9502.2900,9385.5700,0.9200,9.8100,2.7948,2.7948,0.7700,17.3690,17.3690,2.1394,1.5879,1.5879,13540.0000,3400.0000,3400.0000,132827.4000,33354.0000,,,0.0000
2004-08-31,10.1800,10.2900,9.9000,9.9400,0.1300,1.3300,12046.4300,12093.9519,0.9400,9.9400,3.5431,3.5431,1.1100,17.5991,17.5991,2.1678,1.6089,1.6089,13540.0000,3400.0000,3400.0000,134587.6000,33796.0000,,,0.0000
2004-09-01,9.8400,9.8900,9.6700,9.6700,-0.2700,-2.7200,4418.5000,4306.2059,0.9100,9.6700,1.2996,1.2996,0.4600,17.1211,17.1211,2.1089,1.5652,1.5652,13540.0000,3400.0000,3400.0000,130931.8000,32878.0000,,,0.0000
2004-09-02,9.6300,9.8300,9.5900,9.7800,0.1100,1.1400,5772.2500,5580.1729,0.9200,9.7800,1.6977,1.6977,0.6700,17.3159,17.3159,2.1329,1.5830,1.5830,13540.0000,3400.0000,3400.0000,132421.2000,33252.0000,,,0.0000
2004-09-03,9.7500,9.8600,9.6600,9.7300,-0.0500,-0.5100,3418.6900,3330.6817,0.9200,9.7300,1.0055,1.0055,0.4400,17.2273,17.2273,2.1220,1.5749,1.5749,13540.0000,3400.0000,3400.0000,131744.2000,33082.0000,,,0.0000
2004-09-06,9.6800,9.7900,9.6600,9.7500,0.0200,0.2100,3309.2500,3217.7677,0.9200,9.7500,0.9733,0.9733,0.4700,17.2627,17.2627,2.1263,1.5781,1.5781,13540.0000,3400.0000,3400.0000,132015.0000,33150.0000,,,0.0000
2004-09-07,9.6800,9.8300,9.6800,9.7800,0.0300,0.3100,1970.0000,1923.6432,0.9200,9.7800,0.5794,0.5794,0.3400,17.3159,17.3159,2.1329,1.5830,1.5830,13540.0000,3400.0000,3400.0000,132421.2000,33252.0000,,,0.0000
2004-09-08,9.7800,9.8100,9.6800,9.7300,-0.0500,-0.5100,3105.8500,3021.4581,0.9200,9.7300,0.9135,0.9135,0.8200,17.2273,17.2273,2.1220,1.5749,1.5749,13540.0000,3400.0000,3400.0000,131744.2000,33082.0000,,,0.0000
2004-09-09,9.5100,9.6900,9.4800,9.4900,-0.2400,-2.4700,5434.7000,5179.9371,0.8900,9.4900,1.5984,1.5984,1.5500,16.8024,16.8024,2.0696,1.5361,1.5361,13540.0000,3400.0000,3400.0000,128494.6000,32266.0000,,,0.0000
2004-09-10,9.4500,9.6800,9.3500,9.6800,0.1900,2.0000,4589.5800,4354.2965,0.9100,9.6800,1.3499,1.3499,1.3300,17.1388,17.1388,2.1111,1.5668,1.5668,13540.0000,3400.0000,3400.0000,131067.2000,32912.0000,,,0.0000
2004-09-13,9.5800,9.5900,9.3100,9.3200,-0.3600,-3.7200,4254.8600,4002.5289,0.8800,9.3200,1.2514,1.2514,1.1600,16.5014,16.5014,2.0326,1.5085,1.5085,13540.0000,3400.0000,3400.0000,126192.8000,31688.0000,,,0.0000
2004-09-14,9.3300,9.6300,9.3300,9.5500,0.2300,2.4700,4796.8100,4559.8283,0.9000,9.5500,1.4108,1.4108,1.2400,16.9086,16.9086,2.0827,1.5458,1.5458,13540.0000,3400.0000,3400.0000,129307.0000,32470.0000,,,0.0000
2004-09-15,9.6000,10.3900,9.4500,10.1000,0.5500,5.7600,23067.8200,23135.3251,0.9500,10.1000,6.7847,6.7847,5.2000,17.8824,17.8824,2.2027,1.6348,1.6348,13540.0000,3400.0000,3400.0000,136754.0000,34340.0000,,,0.0000
2004-09-16,10.2000,10.6000,10.0100,10.4400,0.3400,3.3700,30959.4600,32022.8436,0.9800,10.4400,9.1057,9.1057,3.6700,18.4844,18.4844,2.2768,1.6898,1.6898,13540.0000,3400.0000,3400.0000,141357.6000,35496.0000,,,0.0000
2004-09-17,10.5000,10.7000,10.1600,10.7000,0.2600,2.4900,24996.6200,26209.2700,1.0100,10.7000,7.3519,7.3519,1.8500,18.9447,18.9447,2.3335,1.7319,1.7319,13540.0000,3400.0000,3400.0000,144878.0000,36380.0000,,,0.0000
