交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2010-09-08,59.0000,63.9900,57.9900,61.2000,,,110647.9600,668904.7317,5.9700,61.2000,83.3192,83.3192,,110.1700,110.1700,6.0301,27.6078,27.6078,6624.4056,1328.0000,1328.0000,405413.6227,81273.6000,,,0.0000
2010-09-09,59.5100,60.1800,55.3200,55.8900,-5.3100,-8.6800,58031.1800,332688.5457,5.4500,55.8900,43.6982,43.6982,,100.6112,100.6112,5.5069,25.2124,25.2124,6624.4056,1328.0000,1328.0000,370238.0290,74221.9200,,,0.0000
2010-09-10,54.4900,54.4900,51.0000,51.7500,-4.1400,-7.4100,42006.9400,220161.4332,5.0500,51.7500,31.6317,31.6317,,93.1585,93.1585,5.0990,23.3448,23.3448,6624.4056,1328.0000,1328.0000,342812.9898,68724.0000,,,0.0000
2010-09-13,51.8000,52.3700,49.4900,50.9400,-0.8100,-1.5700,22047.4200,111566.2023,4.9700,50.9400,16.6020,16.6020,,91.7004,91.7004,5.0192,22.9794,22.9794,6624.4056,1328.0000,1328.0000,337447.2213,67648.3200,,,0.0000
2010-09-14,50.9900,52.1600,50.4800,50.9500,0.0100,0.0200,16901.2900,86760.4182,4.9700,50.9500,12.7269,12.7269,,91.7184,91.7184,5.0202,22.9839,22.9839,6624.4056,1328.0000,1328.0000,337513.4653,67661.6000,,,0.0000
2010-09-15,50.4700,50.4700,46.9000,47.1700,-3.7800,-7.4200,26927.6000,130637.8274,4.6000,47.1700,20.2768,20.2768,0.5400,84.9137,84.9137,4.6477,21.2787,21.2787,6624.4056,1328.0000,1328.0000,312473.2122,62641.7600,,,0.0000
2010-09-16,47.2000,47.9800,46.3600,47.9800,0.8100,1.7200,14946.4000,70927.3039,4.6800,47.9800,11.2548,11.2548,0.4500,86.3719,86.3719,4.7275,21.6441,21.6441,6624.4056,1328.0000,1328.0000,317838.9807,63717.4400,,,0.0000
2010-09-17,47.9800,48.6500,47.1800,47.2000,-0.7800,-1.6300,14958.2000,71589.2803,4.6000,47.2000,11.2637,11.2637,0.6100,84.9677,84.9677,4.6507,21.2923,21.2923,6624.4056,1328.0000,1328.0000,312671.9443,62681.6000,,,0.0000
2010-09-20,47.2500,47.6800,45.1800,45.2000,-2.0000,-4.2400,12941.9100,59174.1321,4.4100,45.2000,9.7454,9.7454,0.6800,81.3674,81.3674,4.4536,20.3900,20.3900,6624.4056,1328.0000,1328.0000,299423.1331,60025.6000,,,0.0000
2010-09-21,45.2100,45.3900,43.0300,44.3500,-0.8500,-1.8800,10491.4700,46333.9195,4.3300,44.3500,7.9002,7.9002,0.6100,79.8373,79.8373,4.3699,20.0066,20.0066,6624.4056,1328.0000,1328.0000,293792.3884,58896.8000,,,0.0000
2010-09-27,44.4000,45.1200,43.5100,45.0800,0.7300,1.6500,6243.9300,27729.6411,4.4000,45.0800,4.7018,4.7018,0.3900,81.1514,81.1514,4.4418,20.3359,20.3359,6624.4056,1328.0000,1328.0000,298628.2044,59866.2400,,,0.0000
2010-09-28,45.0800,45.0900,43.6000,43.6800,-1.4000,-3.1100,5671.3000,25058.8680,4.2600,43.6800,4.2706,4.2706,0.4800,78.6312,78.6312,4.3038,19.7044,19.7044,6624.4056,1328.0000,1328.0000,289354.0366,58007.0400,,,0.0000
2010-09-29,43.6800,44.1300,43.4000,43.4700,-0.2100,-0.4800,4108.6400,17974.1018,4.2400,43.4700,3.0939,3.0939,0.4100,78.2531,78.2531,4.2831,19.6096,19.6096,6624.4056,1328.0000,1328.0000,287962.9114,57728.1600,,,0.0000
2010-09-30,43.1000,44.7500,43.1000,44.7000,1.2300,2.8300,4773.3900,21175.5580,4.3600,44.7000,3.5944,3.5944,0.6000,80.4673,80.4673,4.4043,20.1645,20.1645,6624.4056,1328.0000,1328.0000,296110.9303,59361.6000,,,0.0000
2010-10-08,45.0000,47.2000,45.0000,46.3200,1.6200,3.6200,9060.9200,41736.1940,4.5200,46.3200,6.8230,6.8230,1.4500,83.3836,83.3836,4.5640,20.8953,20.8953,6624.4056,1328.0000,1328.0000,306842.4674,61512.9600,,,0.0000
2010-10-11,46.3200,46.6800,45.3500,45.6600,-0.6600,-1.4200,8652.8900,39666.6764,4.4500,45.6600,6.5157,6.5157,1.4500,82.1955,82.1955,4.4989,20.5975,20.5975,6624.4056,1328.0000,1328.0000,302470.3597,60636.4800,,,0.0000
2010-10-12,45.5500,46.2000,44.9800,45.3300,-0.3300,-0.7200,6830.3000,31033.1047,4.4200,45.3300,5.1433,5.1433,1.0600,81.6014,81.6014,4.4664,20.4487,20.4487,6624.4056,1328.0000,1328.0000,300284.3058,60198.2400,,,0.0000
2010-10-13,45.2200,45.3300,43.5500,44.3300,-1.0000,-2.2100,8727.6400,38798.6031,4.3200,44.3300,6.5720,6.5720,1.3100,79.8013,79.8013,4.3679,19.9976,19.9976,6624.4056,1328.0000,1328.0000,293659.9002,58870.2400,,,0.0000
2010-10-14,44.3400,44.5800,43.7000,43.7300,-0.6000,-1.3500,6000.0700,26500.9699,4.2700,43.7300,4.5181,4.5181,0.7900,78.7212,78.7212,4.3088,19.7269,19.7269,6624.4056,1328.0000,1328.0000,289685.2569,58073.4400,,,0.0000
2010-10-15,43.5600,44.6200,41.7000,42.0500,-1.6800,-3.8400,10884.9200,46863.7782,4.1000,42.0500,8.1965,8.1965,1.3900,75.6969,75.6969,4.1432,18.9691,18.9691,6624.4056,1328.0000,1328.0000,278556.2555,55842.4000,,,0.0000
2010-10-18,42.1800,43.3000,40.0300,43.2900,1.2400,2.9500,10247.4100,42338.2903,4.2200,43.2900,7.7164,7.7164,1.2500,77.9291,77.9291,4.2654,19.5284,19.5284,6624.4056,1328.0000,1328.0000,286770.5184,57489.1200,,,0.0000
2010-10-19,42.9400,44.9800,42.7700,44.4100,1.1200,2.5900,10058.2100,44614.3154,4.3300,44.4100,7.5740,7.5740,1.1800,79.9453,62.8156,4.2934,20.0337,16.9670,6624.4056,1328.0000,1328.0000,294189.8527,58976.4800,,,0.0000
2010-10-20,43.5200,45.4500,43.2500,44.6500,0.2400,0.5400,8546.3700,38099.1505,4.3600,44.6500,6.4355,6.4355,0.9300,80.3773,63.1551,4.3166,20.1419,17.0587,6624.4056,1328.0000,1328.0000,295779.7100,59295.2000,,,0.0000
2010-10-21,46.1000,48.8200,45.8400,46.8000,2.1500,4.8200,15845.8800,74456.3347,4.5700,46.8000,11.9321,11.9321,1.7300,84.2477,66.1961,4.5245,21.1118,17.8801,6624.4056,1328.0000,1328.0000,310022.1821,62150.4000,,,0.0000
2010-10-22,46.0000,47.7300,45.0200,46.8500,0.0500,0.1100,10239.4500,47788.9422,4.5700,46.8500,7.7104,7.7104,0.9200,84.3377,66.2668,4.5293,21.1344,17.8992,6624.4056,1328.0000,1328.0000,310353.4024,62216.8000,,,0.0000
