交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2011-01-18,33.0000,38.0000,33.0000,34.5000,,,76208.4800,270874.6930,3.3800,34.5000,23.7632,23.7632,,59.2086,45.7882,2.6578,6.8063,4.8424,16000.0000,3207.0000,3207.0000,552000.0000,110641.5000,,,0.0588,0.0588
2011-01-19,33.6600,35.7600,33.2200,35.4000,0.9000,2.6100,34969.0800,122136.0719,3.4700,35.4000,10.9040,10.9040,,60.7532,46.9826,2.7272,6.9839,4.9687,16000.0000,3207.0000,3207.0000,566400.0000,113527.8000,,,0.0577,0.0577
2011-01-20,35.0500,35.0500,34.1000,34.1500,-1.2500,-3.5300,20683.8700,71138.6835,3.3500,34.1500,6.4496,6.4496,,58.6080,45.3236,2.6309,6.7372,4.7933,16000.0000,3207.0000,3207.0000,546400.0000,109519.0500,,,0.0554,0.0554
2011-01-21,33.9800,34.3500,33.5100,33.9900,-0.1600,-0.4700,12368.2400,41926.4542,3.3300,33.9900,3.8566,3.8566,,58.3334,45.1113,2.6185,6.7057,4.7708,16000.0000,3207.0000,3207.0000,543840.0000,109005.9300,,,0.0571,0.0571
2011-01-24,33.8000,34.2300,33.0100,33.0200,-0.9700,-2.8500,13270.2600,44322.4255,3.2400,33.0200,4.1379,4.1379,,56.6687,43.8239,2.5438,6.5143,4.6347,16000.0000,3207.0000,3207.0000,528320.0000,105895.1400,,,0.0574,0.0574
2011-01-25,33.0000,33.4200,32.3100,32.9500,-0.0700,-0.2100,10132.7100,33188.1832,3.2300,32.9500,3.1596,3.1596,0.3200,56.5485,43.7310,2.5384,6.5005,4.6249,16000.0000,3207.0000,3207.0000,527200.0000,105670.6500,,,0.0588,0.0588
2011-01-26,32.8800,33.5000,32.7200,33.2000,0.2500,0.7600,6216.9000,20667.3212,3.2600,33.2000,1.9385,1.9385,0.3400,56.9776,44.0628,2.5577,6.5498,4.6599,16000.0000,3207.0000,3207.0000,531200.0000,106472.4000,,,0.0591,0.0591
2011-01-27,33.2000,33.6600,32.7100,33.6400,0.4400,1.3300,9587.1900,31899.9742,3.3000,33.6400,2.9895,2.9895,0.7600,57.7327,44.6468,2.5916,6.6366,4.7217,16000.0000,3207.0000,3207.0000,538240.0000,107883.4800,,,0.0585,0.0585
2011-01-28,33.5800,33.5800,33.0300,33.3400,-0.3000,-0.8900,7288.9500,24278.6304,3.2700,33.3400,2.2728,2.2728,0.7100,57.2178,44.2486,2.5685,6.5774,4.6796,16000.0000,3207.0000,3207.0000,533440.0000,106921.3800,,,0.0578,0.0578
2011-01-31,33.3000,33.8800,33.1700,33.7000,0.3600,1.0800,7539.1300,25365.3623,3.3100,33.7000,2.3508,2.3508,0.8100,57.8357,44.7264,2.5962,6.6485,4.7301,16000.0000,3207.0000,3207.0000,539200.0000,108075.9000,,,0.0583,0.0583
