交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2011-01-28,28.3500,28.4900,27.1200,28.0300,,,71971.0600,200888.8488,4.7400,28.0300,17.9928,17.9928,,44.5655,31.3262,2.8030,3.2336,2.6370,20000.0000,4000.0000,4000.0000,560600.0000,112120.0000,,,0.8818
2011-01-31,27.5400,27.5400,27.0300,27.3400,-0.6900,-2.4600,30958.9100,84510.5784,4.6200,27.3400,7.7397,7.7397,,43.4684,30.5550,2.7340,3.1540,2.5721,20000.0000,4000.0000,4000.0000,546800.0000,109360.0000,,,0.9078
2011-02-01,27.3500,28.1000,27.2100,27.6000,0.2600,0.9500,22668.1500,62702.9938,4.6700,27.6000,5.6670,5.6670,,43.8818,30.8456,2.7600,3.1840,2.5966,20000.0000,4000.0000,4000.0000,552000.0000,110400.0000,,,0.9141
2011-02-09,27.3900,27.7800,27.2300,27.3700,-0.2300,-0.8300,14072.0100,38596.6559,4.6300,27.3700,3.5180,3.5180,,43.5161,30.5886,2.7370,3.1575,2.5749,20000.0000,4000.0000,4000.0000,547400.0000,109480.0000,,,0.9127
2011-02-10,27.3200,28.0900,27.2300,27.9800,0.6100,2.2300,20664.5300,57256.2159,4.7300,27.9800,5.1661,5.1661,,44.4860,31.2703,2.7980,3.2279,2.6323,20000.0000,4000.0000,4000.0000,559600.0000,111920.0000,,,0.9151
2011-02-11,27.8600,28.1100,27.7700,28.0000,0.0200,0.0700,17548.8600,49066.6406,4.7300,28.0000,4.3872,4.3872,0.5500,44.5178,31.2926,2.8000,3.2302,2.6342,20000.0000,4000.0000,4000.0000,560000.0000,112000.0000,,,0.8973
2011-02-14,28.0100,28.4800,27.9300,28.3000,0.3000,1.0700,24716.7100,69626.3134,4.7800,28.3000,6.1792,6.1792,1.1700,44.9948,31.6279,2.8300,3.2648,2.6624,20000.0000,4000.0000,4000.0000,566000.0000,113200.0000,,,0.8925
2011-02-15,28.2300,28.5000,28.0000,28.0200,-0.2800,-0.9900,18637.9300,52627.1494,4.7400,28.0200,4.6595,4.6595,0.9300,44.5496,31.3150,2.8020,3.2325,2.6361,20000.0000,4000.0000,4000.0000,560400.0000,112080.0000,,,0.8856
2011-02-16,28.0500,28.9800,28.0000,28.7800,0.7600,2.7100,25619.1200,73241.5186,4.8600,28.7800,6.4048,6.4048,1.3400,45.7579,32.1644,2.8780,3.3202,2.7076,20000.0000,4000.0000,4000.0000,575600.0000,115120.0000,,,0.8913
2011-02-17,28.8000,28.8000,28.2000,28.5000,-0.2800,-0.9700,16281.8900,46381.4372,4.8200,28.5000,4.0705,4.0705,0.7600,45.3127,31.8514,2.8500,3.2879,2.6812,20000.0000,4000.0000,4000.0000,570000.0000,114000.0000,,,0.8681
2011-02-18,29.1100,29.5300,28.9000,28.9800,0.4800,1.6800,31457.9100,91858.0328,4.9000,28.9800,7.8645,7.8645,1.5300,46.0759,31.1832,2.8980,3.3432,2.5276,20000.0000,4000.0000,4000.0000,579600.0000,115920.0000,,,0.8588
2011-02-21,28.9800,29.2800,28.9800,29.1600,0.1800,0.6200,17456.6700,50770.0805,4.9300,29.1600,4.3642,4.3642,0.7500,46.3621,31.3769,2.9160,3.3640,2.5433,20000.0000,4000.0000,4000.0000,583200.0000,116640.0000,,,0.8627
