交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2016-09-02,5.9900,6.6800,5.9900,6.6800,1254.1000,836.9018,4.1000,6.6800,0.0599,0.0599,,14.4947,14.6825,12.6747,4.7143,4.8067,176735.4347,20944.5500,20944.5500,1180592.7038,139909.5940,,,0.0000
2016-09-05,7.3500,7.3500,7.3500,7.3500,497.8100,365.8904,4.5100,7.3500,0.0238,0.0238,,15.9485,16.1552,13.9460,5.1871,5.2888,176735.4347,20944.5500,20944.5500,1299005.4450,153942.4425,,,0.0000
2016-09-06,8.0900,8.0900,8.0900,8.0900,518.7400,419.6607,4.9700,8.0900,0.0248,0.0248,,17.5542,17.7817,15.3501,5.7093,5.8213,176735.4347,20944.5500,20944.5500,1429789.6667,169441.4095,,,0.0000
2016-09-07,8.9000,8.9000,8.9000,8.9000,1002.6700,892.3763,5.4600,8.9000,0.0479,0.0479,,19.3118,19.5620,16.8870,6.2810,6.4041,176735.4347,20944.5500,20944.5500,1572945.3688,186406.4950,,,0.0000
2016-09-08,9.7900,9.7900,9.7900,9.7900,2585.7800,2531.4786,6.0100,9.7900,0.1235,0.1235,,21.2430,21.5182,18.5757,6.9091,7.0445,176735.4347,20944.5500,20944.5500,1730239.9057,205047.1445,,,0.0000
2016-09-09,10.7700,10.7700,10.7700,10.7700,7052.9100,7595.9841,6.6100,10.7700,0.3367,0.3367,6.0200,23.3695,23.6722,20.4351,7.6007,7.7497,176735.4347,20944.5500,20944.5500,1903440.6317,225572.8035,,,0.0000
2016-09-12,11.8500,11.8500,11.8500,11.8500,18727.2600,22191.8031,7.2800,11.8500,0.8941,0.8941,8.0300,25.7129,26.0461,22.4844,8.3629,8.5268,176735.4347,20944.5500,20944.5500,2094314.9012,248192.9175,,,0.0000
2016-09-13,13.0400,13.0400,13.0400,13.0400,16731.9300,21818.4367,8.0100,13.0400,0.7989,0.7989,2.8000,28.2951,28.6617,24.7423,9.2027,9.3831,176735.4347,20944.5500,20944.5500,2304630.0685,273116.9320,,,0.0000
2016-09-14,14.3400,14.3400,14.3400,14.3400,29104.8500,41736.3549,8.8000,14.3400,1.3896,1.3896,3.1600,31.1159,31.5190,27.2089,10.1201,10.3185,176735.4347,20944.5500,20944.5500,2534386.1336,300344.8470,,,0.0000
2016-09-19,15.7700,15.7700,15.7700,15.7700,193258.1000,304768.0237,9.6800,15.7700,9.2271,9.2271,13.0200,34.2188,34.6622,29.9222,11.1293,11.3475,176735.4347,20944.5500,20944.5500,2787117.8052,330295.5535,,,0.0000
2016-09-20,16.2000,17.3000,15.8400,16.4100,1371063.4200,2242982.7712,10.0800,16.4100,65.4616,65.4616,25.8800,35.6075,36.0689,31.1366,11.5810,11.8080,176735.4347,20944.5500,20944.5500,2900228.4834,343700.0655,,,0.0000
2016-09-21,16.0000,16.3000,15.6500,15.7000,750675.8600,1194641.7022,9.6400,15.7000,35.8411,35.8411,2.3000,34.0669,34.5083,29.7894,11.0799,11.2971,176735.4347,20944.5500,20944.5500,2774746.3248,328829.4350,,,0.0000
