交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2017-04-27,23.9000,28.6800,23.9000,28.6800,,,252.3000,722.8790,9.2100,28.6800,0.0328,0.0328,,32.1201,30.6094,4.2865,4.7228,4.5324,47785.0000,7685.0000,7685.0000,1370473.8000,220405.8000,,,2.5105
2017-04-28,31.5500,31.5500,31.5500,31.5500,2.8700,10.0100,98.9900,312.3130,10.1300,31.5500,0.0129,0.0129,,35.3344,33.6725,4.7155,5.1955,4.9859,47785.0000,7685.0000,7685.0000,1507616.7500,242461.7500,,,1.9017
2017-05-02,34.7100,34.7100,34.7100,34.7100,3.1600,10.0200,154.4000,535.9220,11.1500,34.7100,0.0201,0.0201,,38.8734,37.0450,5.1878,5.7158,5.4853,47785.0000,7685.0000,7685.0000,1658617.3500,266746.3500,,,1.7286
2017-05-03,38.1800,38.1800,38.1800,38.1800,3.4700,10.0000,179.2100,684.2230,12.2600,38.1800,0.0233,0.0233,,42.7596,40.7485,5.7064,6.2872,6.0337,47785.0000,7685.0000,7685.0000,1824431.3000,293413.3000,,,1.5715
2017-05-04,42.0000,42.0000,42.0000,42.0000,3.8200,10.0100,1095.1200,4599.5040,13.4900,42.0000,0.1425,0.1425,,47.0379,44.8255,6.2774,6.9163,6.6374,47785.0000,7685.0000,7685.0000,2006970.0000,322770.0000,,,1.4286
2017-05-05,46.0900,46.0900,43.3800,44.6100,2.6100,6.2100,322804.3600,1446952.9790,14.3300,44.6100,42.0045,42.0045,906.7400,49.9609,47.6110,6.6675,7.3461,7.0498,47785.0000,7685.0000,7685.0000,2131688.8500,342827.8500,,,1.3018
2017-05-08,43.0000,43.0000,40.1500,40.1600,-4.4500,-9.9800,197886.3800,818171.8850,12.9000,40.1600,25.7497,25.7497,3.0500,44.9771,42.8617,6.0024,6.6133,6.3466,47785.0000,7685.0000,7685.0000,1919045.6000,308629.6000,,,1.3953
2017-05-09,39.0000,41.6000,38.1800,40.1000,-0.0600,-0.1500,143681.0800,576453.0890,12.8800,40.1000,18.6963,18.6963,1.3800,44.9099,42.7976,5.9934,6.6034,6.3371,47785.0000,7685.0000,7685.0000,1916178.5000,308168.5000,,,1.5385
2017-05-10,39.8100,40.6500,37.4900,37.6500,-2.4500,-6.1100,152884.0300,592856.8180,12.0900,37.6500,19.8938,19.8938,1.1500,42.1661,40.1828,5.6272,6.2000,5.9499,47785.0000,7685.0000,7685.0000,1799105.2500,289340.2500,,,1.5072
2017-05-11,37.7000,37.7000,35.6800,37.2300,-0.4200,-1.1200,111255.7300,408511.2750,11.9600,37.2300,14.4770,14.4770,0.6800,41.6957,39.7346,5.5644,6.1308,5.8836,47785.0000,7685.0000,7685.0000,1779035.5500,286112.5500,,,1.5915
2017-05-12,37.2300,37.7700,36.1600,36.9500,-0.2800,-0.7500,95468.8800,352774.7430,11.8700,36.9500,12.4228,12.4228,0.5100,41.3821,39.4357,5.5226,6.0847,5.8393,47785.0000,7685.0000,7685.0000,1765655.7500,283960.7500,,,1.6116
2017-05-15,36.8200,40.5600,36.5000,39.2200,2.2700,6.1400,167975.3400,645689.8260,12.6000,39.2200,21.8576,21.8576,1.2000,43.9244,41.8584,5.8619,6.4585,6.1980,47785.0000,7685.0000,7685.0000,1874127.7000,301405.7000,,,1.6295
2017-05-16,38.3300,39.3400,38.0300,39.0300,-0.1900,-0.4800,120065.8700,465107.1240,12.5300,39.0300,15.6234,15.6234,0.8900,43.7116,41.6557,5.8335,6.4272,6.1680,47785.0000,7685.0000,7685.0000,1865048.5500,299945.5500,,,1.5654
2017-05-17,39.0400,39.7000,38.4000,38.5300,-0.5000,-1.2800,106320.4400,414405.7720,12.3700,38.5300,13.8348,13.8348,0.8200,43.1516,41.1220,5.7587,6.3449,6.0890,47785.0000,7685.0000,7685.0000,1841156.0500,296103.0500,,,1.5369
2017-05-18,38.5300,39.4900,36.6000,36.8400,-1.6900,-4.3900,106893.1100,406776.9610,11.8300,36.8400,13.9093,13.9093,0.8900,41.2589,39.3183,5.5061,6.0666,5.8219,47785.0000,7685.0000,7685.0000,1760399.4000,283115.4000,,,1.5572
2017-05-19,36.3800,36.6000,35.5200,35.7300,-1.1100,-3.0100,82188.6500,295714.0850,11.4800,35.7300,10.6947,10.6947,0.6900,40.0158,38.1337,5.3402,5.8838,5.6465,47785.0000,7685.0000,7685.0000,1707358.0500,274585.0500,,,1.6493
2017-05-22,35.6300,35.6300,33.4600,33.5200,-2.2100,-6.1900,88531.2900,304989.1620,10.7700,33.5200,11.5200,11.5200,0.7600,37.5407,35.7750,5.0099,5.5199,5.2973,47785.0000,7685.0000,7685.0000,1601753.2000,257601.2000,,,1.6840
2017-05-23,33.5300,33.8600,32.3500,32.4200,-1.1000,-3.2800,70224.5300,231920.3630,10.4100,32.4200,9.1379,9.1379,0.7000,36.3087,34.6010,4.8455,5.3387,5.1234,47785.0000,7685.0000,7685.0000,1549189.7000,249147.7000,,,1.7894
2017-05-24,32.2500,32.9500,31.4200,32.7800,0.3600,1.1100,56482.8500,183215.3880,10.5300,32.7800,7.3498,7.3498,0.6200,36.7119,34.9852,4.8993,5.3980,5.1803,47785.0000,7685.0000,7685.0000,1566392.3000,251914.3000,,,1.8605
2017-05-25,32.6900,33.1900,31.8900,32.7500,-0.0300,-0.0900,62120.0600,202476.1930,10.5200,32.7500,8.0833,8.0833,0.7700,36.6783,34.9532,4.8948,5.3931,5.1756,47785.0000,7685.0000,7685.0000,1564958.7500,251683.7500,,,1.8354
2017-05-26,32.8800,33.7900,32.4100,33.2900,0.5400,1.6500,73075.4100,241959.9720,10.6900,33.2900,9.5088,9.5088,1.0200,37.2831,35.5295,4.9756,5.4820,5.2609,47785.0000,7685.0000,7685.0000,1590762.6500,255833.6500,,,1.8248
2017-05-31,34.6000,34.6700,32.8000,32.9200,-0.3700,-1.1100,72060.6100,244695.5150,10.5700,32.9200,9.3768,9.3768,1.0300,36.8687,35.1346,4.9203,5.4211,5.2024,47785.0000,7685.0000,7685.0000,1573082.2000,252990.2000,,,1.7341
2017-06-01,32.4100,32.4100,30.4600,30.4800,-2.4400,-7.4100,77674.6400,244254.6920,9.7900,30.4800,10.1073,10.1073,1.1600,34.1360,32.5305,4.5556,5.0193,4.8168,47785.0000,7685.0000,7685.0000,1456486.8000,234238.8000,,,1.8513
2017-06-02,30.2800,31.4600,30.0100,31.1700,0.6900,2.2600,47702.8700,146787.2480,10.0100,31.1700,6.2073,6.2073,0.7000,34.9088,33.2669,4.6587,5.1329,4.9259,47785.0000,7685.0000,7685.0000,1489458.4500,239541.4500,,,1.9815
2017-06-05,31.7000,31.9400,31.2400,31.2800,0.1100,0.3500,41959.6900,132217.3790,10.0500,31.2800,5.4599,5.4599,0.6300,35.0320,33.3843,4.6751,5.1510,4.9433,47785.0000,7685.0000,7685.0000,1494714.8000,240386.8000,,,1.8927
2017-06-06,31.3000,31.5700,31.0100,31.3500,0.0700,0.2200,30142.8100,94416.8540,10.0700,31.3500,3.9223,3.9223,0.4800,35.1104,33.4590,4.6856,5.1625,4.9543,47785.0000,7685.0000,7685.0000,1498059.7500,240924.7500,,,1.9169
2017-06-07,31.4900,32.3700,31.4100,32.2700,0.9200,2.9300,61004.2800,194994.3050,10.3600,32.2700,7.9381,7.9381,1.1300,36.1407,34.4409,4.8231,5.3140,5.0997,47785.0000,7685.0000,7685.0000,1542021.9500,247994.9500,,,1.9054
2017-06-08,32.2600,32.4200,31.4500,31.6800,-0.5900,-1.8300,55867.4100,178079.8400,10.1700,31.6800,7.2697,7.2697,1.0800,35.4800,33.8112,4.7349,5.2169,5.0065,47785.0000,7685.0000,7685.0000,1513828.8000,243460.8000,,,1.8599
2017-06-09,31.5300,31.7800,31.2400,31.5100,-0.1700,-0.5400,30096.0300,94688.9070,10.1200,31.5100,3.9162,3.9162,0.6400,35.2896,33.6298,4.7095,5.1889,4.9796,47785.0000,7685.0000,7685.0000,1505705.3500,242154.3500,,,1.9029
2017-06-12,31.1400,31.1400,30.2400,30.3300,-1.1800,-3.7400,41557.3500,127585.4940,9.7400,30.3300,5.4076,5.4076,0.9500,33.9680,32.3704,4.5332,4.9945,4.7931,47785.0000,7685.0000,7685.0000,1449319.0500,233086.0500,,,1.9268
2017-06-13,30.3000,31.1200,30.2500,30.9300,0.6000,1.9800,33470.0100,103130.1270,9.9300,30.9300,4.3552,4.3552,0.7700,34.6400,33.0107,4.6228,5.0934,4.8880,47785.0000,7685.0000,7685.0000,1477990.0500,237697.0500,,,1.9802
2017-06-14,30.8100,31.2700,30.5800,31.0300,0.1000,0.3200,36873.5500,113924.2180,9.9700,31.0300,4.7981,4.7981,0.8300,34.7520,33.1175,4.6378,5.1098,4.9038,47785.0000,7685.0000,7685.0000,1482768.5500,238465.5500,,,1.9474
2017-06-15,30.8300,31.7800,30.8100,31.5000,0.4700,1.5100,54212.2800,170550.9210,10.1200,31.5000,7.0543,7.0543,1.3700,35.2784,33.6191,4.7080,5.1872,4.9780,47785.0000,7685.0000,7685.0000,1505227.5000,242077.5000,,,1.9462
2017-06-16,31.3600,31.4800,31.0100,31.1200,-0.3800,-1.2100,35014.4600,109105.1160,9.9900,31.1200,4.5562,4.5562,0.8900,34.8528,33.2135,4.6512,5.1246,4.9180,47785.0000,7685.0000,7685.0000,1487069.2000,239157.2000,,,1.9133
2017-06-19,31.1000,31.4000,31.0700,31.3600,0.2400,0.7700,23980.4400,74963.4610,10.0700,31.3600,3.1204,3.1204,0.6000,35.1216,33.4697,4.6871,5.1642,4.9559,47785.0000,7685.0000,7685.0000,1498537.6000,241001.6000,,,1.9293
2017-06-20,31.3700,31.9600,31.3700,31.5800,0.2200,0.7000,45615.8400,144686.2030,10.1400,31.5800,5.9357,5.9357,1.2400,35.3680,33.7045,4.7200,5.2004,4.9907,47785.0000,7685.0000,7685.0000,1509050.3000,242692.3000,,,1.9127
2017-06-21,31.6000,31.7300,31.1000,31.4100,-0.1700,-0.5400,28318.7700,88683.7290,10.0900,31.4100,3.6849,3.6849,0.7200,35.1776,33.5230,4.6946,5.1724,4.9638,47785.0000,7685.0000,7685.0000,1500926.8500,241385.8500,,,1.8987
2017-06-22,31.3700,31.4600,30.7200,30.7600,-0.6500,-2.0700,31527.3900,98279.0040,9.8800,30.7600,4.1025,4.1025,0.8400,34.4496,32.8293,4.5974,5.0654,4.8611,47785.0000,7685.0000,7685.0000,1469866.6000,236390.6000,,,1.9127
2017-06-23,30.6000,30.8500,30.0100,30.4100,-0.3500,-1.1400,36024.3100,109405.7200,9.7700,30.4100,4.6876,4.6876,1.1000,34.0576,32.4558,4.5451,5.0077,4.8058,47785.0000,7685.0000,7685.0000,1453141.8500,233700.8500,,,1.9608
2017-06-26,30.2500,30.7900,30.2500,30.7400,0.3300,1.0900,25682.0900,78484.1000,9.8700,30.7400,3.3418,3.3418,0.7800,34.4272,32.8080,4.5944,5.0621,4.8579,47785.0000,7685.0000,7685.0000,1468910.9000,236236.9000,,,1.9835
2017-06-27,30.6200,30.9600,30.4000,30.6600,-0.0800,-0.2600,26249.5200,80523.0370,9.8500,30.6600,3.4157,3.4157,0.7900,34.3376,32.7226,4.5825,5.0489,4.8453,47785.0000,7685.0000,7685.0000,1465088.1000,235622.1000,,,1.9595
