交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2019-08-02,9.4300,11.3200,9.4300,11.3200,,,16953.2300,19143.3290,8.0700,11.3200,0.5086,0.5086,,16.8305,16.4077,1.4515,4.8769,4.4794,333333.3334,33333.3334,33333.3334,3773333.3341,377333.3341,,,0.0000,0.0000
2019-08-05,12.4500,12.4500,12.4500,12.4500,1.1300,9.9800,8341.7000,10385.4160,8.8700,12.4500,0.2503,0.2503,,18.5106,18.0456,1.5964,5.3637,4.9266,333333.3334,33333.3334,33333.3334,4150000.0008,415000.0008,,,0.0000,0.0000
2019-08-06,13.7000,13.7000,13.7000,13.7000,1.2500,10.0400,23926.9700,32779.9480,9.7600,13.7000,0.7178,0.7178,,20.3690,19.8574,1.7567,5.9022,5.4212,333333.3334,33333.3334,33333.3334,4566666.6676,456666.6676,,,0.0000,0.0000
2019-08-07,15.0700,15.0700,12.8900,13.0100,-0.6900,-5.0400,1563957.9000,2105558.6250,9.2700,13.0100,46.9187,46.9187,,19.3432,18.8573,1.6682,5.6050,5.1482,333333.3334,33333.3334,33333.3334,4336666.6675,433666.6675,,,0.0000,0.0000
2019-08-08,12.4500,12.8300,11.8000,12.0500,-0.9600,-7.3800,1120257.9000,1369081.0680,8.5900,12.0500,33.6077,33.6077,,17.9158,17.4658,1.5451,5.1914,4.7683,333333.3334,33333.3334,33333.3334,4016666.6675,401666.6675,,,0.0000,0.0000
2019-08-09,11.8000,11.8500,11.1600,11.2000,-0.8500,-7.0500,832749.7900,958878.7680,7.9800,11.2000,24.9825,24.9825,1.5200,16.6521,16.2338,1.4361,4.8252,4.4319,333333.3334,33333.3334,33333.3334,3733333.3341,373333.3341,,,0.0000,0.0000
2019-08-12,11.0300,11.4300,11.0300,11.3200,0.1200,1.0700,501861.9500,564987.2350,8.0700,11.3200,15.0559,15.0559,0.7100,16.8305,16.4077,1.4515,4.8769,4.4794,333333.3334,33333.3334,33333.3334,3773333.3341,377333.3341,,,0.0000,0.0000
2019-08-13,11.1300,11.1600,10.7600,10.8100,-0.5100,-4.5100,527056.4900,575030.0800,7.7000,10.8100,15.8117,15.8117,0.6500,16.0722,15.6685,1.3861,4.6572,4.2776,333333.3334,33333.3334,33333.3334,3603333.3341,360333.3341,,,0.0000,0.0000
2019-08-14,10.9600,11.0300,10.6000,10.6400,-0.1700,-1.5700,468590.2500,505168.2780,7.5800,10.6400,14.0577,14.0577,0.5200,15.8195,15.4221,1.3643,4.5839,4.2103,333333.3334,33333.3334,33333.3334,3546666.6674,354666.6674,,,0.0000,0.0000
2019-08-15,10.2500,10.5700,10.1500,10.4100,-0.2300,-2.1600,439721.7000,454478.5440,7.4200,10.4100,13.1917,13.1917,0.6400,15.4775,15.0887,1.3348,4.4848,4.1193,333333.3334,33333.3334,33333.3334,3470000.0007,347000.0007,,,0.0000,0.0000
2019-08-16,10.4200,10.7400,10.3200,10.5000,0.0900,0.8600,494801.4600,522942.1560,7.4800,10.5000,14.8440,14.8440,0.8900,15.6113,15.2192,1.3464,4.5236,4.1549,333333.3334,33333.3334,33333.3334,3500000.0007,350000.0007,,,0.0000,0.0000
2019-08-19,10.4100,11.2000,10.3200,10.9800,0.4800,4.5700,709288.9100,758472.8340,7.8300,10.9800,21.2787,21.2787,1.4600,16.3250,15.9149,1.4079,4.7304,4.3449,333333.3334,33333.3334,33333.3334,3660000.0007,366000.0007,,,0.0000,0.0000
2019-08-20,10.8500,10.9400,10.7100,10.7500,-0.2300,-2.0900,475291.9700,513850.8110,7.6600,10.7500,14.2588,14.2588,0.9000,15.9830,15.5815,1.3784,4.6313,4.2539,333333.3334,33333.3334,33333.3334,3583333.3341,358333.3341,,,0.0000,0.0000
2019-08-21,10.7700,10.8400,10.4500,10.5000,-0.2500,-2.3300,348579.9400,369950.1870,7.4800,10.5000,10.4574,10.4574,0.6700,15.6113,15.2192,1.3464,4.5236,4.1549,333333.3334,33333.3334,33333.3334,3500000.0007,350000.0007,,,0.0000,0.0000
2019-08-22,10.5300,10.5900,10.4400,10.5500,0.0500,0.4800,243937.2100,256703.1880,7.5200,10.5500,7.3181,7.3181,0.4900,15.6857,15.2917,1.3528,4.5451,4.1747,333333.3334,33333.3334,33333.3334,3516666.6674,351666.6674,,,0.0000,0.0000
