交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2000-03-30,25.2500,25.7200,25.2500,25.3800,,,44008.0000,111744.6550,,,1.1002,1.3753,0.4500,66.0045,66.0045,7.8659,21.3453,21.3453,241000.0000,40000.0000,32000.0000,6116580.0000,1015200.0000,,,0.5941
2000-03-31,25.4500,25.5800,25.1000,25.2200,-0.1600,-0.6300,43204.0000,109090.8520,,,1.0801,1.3501,0.4600,65.5884,65.5884,7.8163,21.2107,21.2107,241000.0000,40000.0000,32000.0000,6078020.0000,1008800.0000,,,0.5894
2000-04-03,25.2000,25.5000,25.1000,25.2400,0.0200,0.0800,34984.0000,88393.3180,,,0.8746,1.0933,0.5900,65.6404,65.6404,7.8225,21.2275,21.2275,241000.0000,40000.0000,32000.0000,6082840.0000,1009600.0000,,,0.5952
2000-04-04,25.2000,25.2000,24.8600,24.9000,-0.3400,-1.3500,43071.0000,107536.3230,,,1.0768,1.3460,0.8000,64.7561,64.7561,7.7172,20.9416,20.9416,241000.0000,40000.0000,32000.0000,6000900.0000,996000.0000,,,0.5952
2000-04-05,24.9000,25.4900,24.8800,25.1500,0.2500,1.0000,34270.0000,85948.6060,,,0.8568,1.0709,0.7100,65.4063,65.4063,7.7946,21.1519,21.1519,241000.0000,40000.0000,32000.0000,6061150.0000,1006000.0000,,,0.6024
2000-04-06,25.1500,25.3900,25.0600,25.3100,0.1600,0.6400,29276.0000,73823.6960,,,0.7319,0.9149,0.7300,65.8224,65.8224,7.8442,21.2864,21.2864,241000.0000,40000.0000,32000.0000,6099710.0000,1012400.0000,,,0.5964
2000-04-07,25.4200,25.9000,25.3800,25.6900,0.3800,1.5000,60063.0000,154300.9100,,,1.5016,1.8770,1.6300,66.8107,66.8107,7.9620,21.6060,21.6060,241000.0000,40000.0000,32000.0000,6191290.0000,1027600.0000,,,0.5901
2000-04-10,25.7200,25.9000,25.4300,25.5400,-0.1500,-0.5800,33278.0000,85045.4300,,,0.8320,1.0399,0.8300,66.4206,66.4206,7.9155,21.4799,21.4799,241000.0000,40000.0000,32000.0000,6155140.0000,1021600.0000,,,0.5832
2000-04-11,25.6000,26.0800,25.4000,25.5600,0.0200,0.0800,62139.0000,159922.3970,,,1.5535,1.9418,1.5500,66.4726,66.4726,7.9217,21.4967,21.4967,241000.0000,40000.0000,32000.0000,6159960.0000,1022400.0000,,,0.5859
2000-04-12,25.6200,26.0000,25.3500,25.4500,-0.1100,-0.4300,46344.0000,119159.2050,,,1.1586,1.4483,1.0600,66.1865,66.1865,7.8876,21.4042,21.4042,241000.0000,40000.0000,32000.0000,6133450.0000,1018000.0000,,,0.5855
2000-04-13,25.4500,25.8800,25.4000,25.6000,0.1500,0.5900,42065.0000,107735.8190,,,1.0516,1.3145,0.9100,66.5766,66.5766,7.9341,21.5303,21.5303,241000.0000,40000.0000,32000.0000,6169600.0000,1024000.0000,,,0.5894
2000-04-14,25.6800,26.2000,25.6000,25.8300,0.2300,0.9000,112505.0000,291591.7670,,,2.8126,3.5158,2.3100,67.1747,67.1747,8.0054,21.7238,21.7238,241000.0000,40000.0000,32000.0000,6225030.0000,1033200.0000,,,0.5841
2000-04-17,26.0000,26.2000,25.1800,25.3000,-0.5300,-2.0500,79769.0000,204556.9620,,,1.9942,2.4928,1.3500,65.7964,65.7964,7.8411,21.2780,21.2780,241000.0000,40000.0000,32000.0000,6097300.0000,1012000.0000,,,0.5769
