交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2000-07-05,10.4000,10.4500,10.2500,10.2700,,,15956.0000,16460.7840,,,0.9973,0.9973,0.2800,44.9699,44.9699,4.1336,17.1644,17.1644,80000.0000,16000.0000,16000.0000,821600.0000,164320.0000,5.0633,,0.1202,0.1202
2000-07-06,10.2100,10.3500,10.2000,10.3000,0.0300,0.2900,12090.0000,12430.5520,,,0.7556,0.7556,0.3200,45.1013,45.1013,4.1457,17.2145,17.2145,80000.0000,16000.0000,16000.0000,824000.0000,164800.0000,5.0485,,0.1224,0.1224
2000-07-07,10.3000,10.4800,10.2500,10.3900,0.0900,0.8700,17230.0000,17883.5130,,,1.0769,1.0769,0.6100,45.4953,45.4953,4.1819,17.3649,17.3649,80000.0000,16000.0000,16000.0000,831200.0000,166240.0000,5.0048,,0.1214,0.1214
2000-07-10,10.4000,10.8000,10.3900,10.7600,0.3700,3.5600,31070.0000,32945.8160,,,1.9419,1.9419,1.5300,47.1155,47.1155,4.3308,17.9833,17.9833,80000.0000,16000.0000,16000.0000,860800.0000,172160.0000,4.8327,,0.1202,0.1202
2000-07-11,10.8000,10.8800,10.6000,10.7500,-0.0100,-0.0900,30383.0000,32744.0480,,,1.8989,1.8989,1.6300,47.0717,47.0717,4.3268,17.9666,17.9666,80000.0000,16000.0000,16000.0000,860000.0000,172000.0000,4.8372,,0.1157,0.1157
2000-07-12,10.8000,11.2800,10.7600,11.0900,0.3400,3.1600,77181.0000,85362.5920,,,4.8238,4.8238,3.6200,48.5605,48.5605,4.4636,18.5348,18.5348,80000.0000,16000.0000,16000.0000,887200.0000,177440.0000,4.6889,,0.1157,0.1157
2000-07-13,11.1700,11.2000,10.8200,10.8400,-0.2500,-2.2500,46612.0000,51193.7060,,,2.9133,2.9133,1.3900,47.4658,47.4658,4.3630,18.1170,18.1170,80000.0000,16000.0000,16000.0000,867200.0000,173440.0000,4.7970,,0.1119,0.1119
2000-07-14,10.7300,10.9500,10.5100,10.8600,0.0200,0.1800,24976.0000,26899.8770,,,1.5610,1.5610,0.6200,47.5534,47.5534,4.3711,18.1504,18.1504,80000.0000,16000.0000,16000.0000,868800.0000,173760.0000,4.7882,5.7551,0.1165,0.1165
2000-07-17,10.9500,11.2700,10.8000,10.9300,0.0700,0.6400,42531.0000,47124.0630,,,2.6582,2.6582,1.0100,47.8599,47.8599,4.3992,18.2674,18.2674,80000.0000,16000.0000,16000.0000,874400.0000,174880.0000,4.7575,5.7182,0.1142,0.1142
2000-07-18,10.9900,11.2000,10.8500,10.9000,-0.0300,-0.2700,22882.0000,25103.9240,,,1.4301,1.4301,0.5200,47.7285,47.7285,4.3872,18.2173,18.2173,80000.0000,16000.0000,16000.0000,872000.0000,174400.0000,4.7706,5.7339,0.1137,0.1137
2000-07-19,10.9200,11.0500,10.7400,10.8000,-0.1000,-0.9200,23298.0000,25276.2140,,,1.4561,1.4561,0.5400,47.2906,47.2906,4.3469,18.0502,18.0502,80000.0000,16000.0000,16000.0000,864000.0000,172800.0000,4.8148,5.7870,0.1145,0.1145
2000-07-20,10.8000,10.8800,10.5900,10.8000,0.0000,0.0000,21293.0000,22794.7630,,,1.3308,1.3308,0.6600,47.2906,47.2906,4.3469,18.0502,18.0502,80000.0000,16000.0000,16000.0000,864000.0000,172800.0000,4.8148,5.7870,0.1157,0.1157
2000-07-21,10.8000,10.9800,10.7000,10.8900,0.0900,0.8300,16168.0000,17501.8240,,,1.0105,1.0105,0.6000,47.6847,47.6847,4.3831,18.2006,18.2006,80000.0000,16000.0000,16000.0000,871200.0000,174240.0000,4.7750,5.7392,0.1157,0.1157
2000-07-24,10.8900,11.2500,10.8300,11.1600,0.2700,2.4800,38952.0000,43222.2760,,,2.4345,2.4345,1.5400,48.8670,48.8670,4.4918,18.6518,18.6518,80000.0000,16000.0000,16000.0000,892800.0000,178560.0000,4.6595,5.6004,0.1148,0.1148
2000-07-25,11.2000,11.4800,11.1500,11.1800,0.0200,0.1800,36725.0000,41561.2020,,,2.2953,2.2953,1.5000,48.9546,48.9546,4.4999,18.6853,18.6853,80000.0000,16000.0000,16000.0000,894400.0000,178880.0000,4.6512,5.5903,0.1116,0.1116
2000-07-26,11.2000,11.3600,11.1100,11.3100,0.1300,1.1600,29997.0000,33714.6330,,,1.8748,1.8748,1.1000,49.5238,49.5238,4.5522,18.9025,18.9025,80000.0000,16000.0000,16000.0000,904800.0000,180960.0000,4.5977,5.5261,0.1116,0.1116
2000-07-27,11.4000,11.9800,11.3700,11.7500,0.4400,3.8900,103377.0000,120991.2450,,,6.4611,6.4611,3.6100,51.4505,51.4505,4.7293,19.6379,19.6379,80000.0000,16000.0000,16000.0000,940000.0000,188000.0000,4.4255,5.3191,0.1096,0.1096
2000-07-28,11.8000,12.2100,11.6500,12.1000,0.3500,2.9800,73794.0000,87969.3910,,,4.6121,4.6121,1.6400,52.9830,52.9830,4.8702,20.2229,20.2229,80000.0000,16000.0000,16000.0000,968000.0000,193600.0000,4.2975,5.1653,0.1059,0.1059
2000-07-31,12.2000,12.8800,12.1800,12.3400,0.2400,1.9800,114800.0000,143706.8730,,,7.1750,7.1750,2.0300,54.0339,54.0339,4.9668,20.6240,20.6240,80000.0000,16000.0000,16000.0000,987200.0000,197440.0000,4.2139,5.0648,0.1025,0.1025
2000-08-01,12.3600,12.5300,12.1500,12.5200,0.1800,1.4600,59258.0000,73181.2050,,,3.7036,3.7036,0.8300,54.8221,54.8221,5.0392,20.9248,20.9248,80000.0000,16000.0000,16000.0000,1001600.0000,200320.0000,4.1534,4.9920,0.1011,0.1011
2000-08-02,12.5800,12.7000,12.3800,12.5200,0.0000,0.0000,37465.0000,46867.6600,,,2.3416,2.3416,0.4900,54.8221,54.8221,5.0392,20.9248,20.9248,80000.0000,16000.0000,16000.0000,1001600.0000,200320.0000,4.1534,4.9920,0.0994,0.0994
2000-08-03,12.5000,12.5500,12.2000,12.2200,-0.3000,-2.4000,45884.0000,56459.7180,,,2.8678,2.8678,0.5900,53.5085,53.5085,4.9185,20.4234,20.4234,80000.0000,16000.0000,16000.0000,977600.0000,195520.0000,4.2553,5.1146,0.1000,0.1000
2000-08-04,12.2000,12.3700,11.9000,12.2700,0.0500,0.4100,55284.0000,66937.7730,,,3.4553,3.4553,0.8300,53.7274,53.7274,4.9386,20.5070,20.5070,80000.0000,16000.0000,16000.0000,981600.0000,196320.0000,4.2380,5.0937,0.1025,0.1025
2000-08-07,12.4000,12.5000,12.0800,12.2000,-0.0700,-0.5700,28924.0000,35303.2460,,,1.8078,1.8078,0.4600,53.4209,53.4209,4.9104,20.3900,20.3900,80000.0000,16000.0000,16000.0000,976000.0000,195200.0000,4.2623,5.1230,0.1008,0.1008
2000-08-08,12.2000,12.4000,12.0800,12.1700,-0.0300,-0.2500,23408.0000,28532.4560,,,1.4630,1.4630,0.5200,53.2895,53.2895,4.8983,20.3399,20.3399,80000.0000,16000.0000,16000.0000,973600.0000,194720.0000,4.2728,5.1356,0.1025,0.1025
2000-08-09,12.1800,12.2300,11.8500,11.9100,-0.2600,-2.1400,52322.0000,62709.2870,,,3.2701,3.2701,1.3700,52.1511,52.1511,4.7937,19.9053,19.9053,80000.0000,16000.0000,16000.0000,952800.0000,190560.0000,4.3661,5.2477,0.1026,0.1026
2000-08-10,11.9200,12.1000,11.7500,11.8500,-0.0600,-0.5000,35079.0000,41816.9190,,,2.1924,2.1924,0.8500,51.8883,51.8883,4.7695,19.8050,19.8050,80000.0000,16000.0000,16000.0000,948000.0000,189600.0000,4.3882,5.2743,0.1049,0.1049
2000-08-11,11.8400,11.9700,11.7500,11.9300,0.0800,0.6800,27498.0000,32556.2260,,,1.7186,1.7186,0.7100,52.2386,52.2386,4.8017,19.9387,19.9387,80000.0000,16000.0000,16000.0000,954400.0000,190880.0000,4.3588,5.2389,0.1056,0.1056
2000-08-14,12.2600,12.7300,12.2000,12.6900,0.7600,6.3700,86918.0000,109184.9610,,,5.4324,5.4324,2.6000,55.5665,55.5665,5.1076,21.2089,21.2089,80000.0000,16000.0000,16000.0000,1015200.0000,203040.0000,4.0977,4.9251,0.1020,0.1020
2000-08-15,12.7400,12.8000,12.5100,12.7900,0.1000,0.7900,43186.0000,54672.6710,,,2.6991,2.6991,0.9600,56.0044,56.0044,5.1479,21.3761,21.3761,80000.0000,16000.0000,16000.0000,1023200.0000,204640.0000,4.0657,4.8866,0.0981,0.0981
2000-08-16,12.8200,12.8400,12.6000,12.6600,-0.1300,-1.0200,26854.0000,34109.4050,,,1.6784,1.6784,0.5500,55.4351,55.4351,5.0956,21.1588,21.1588,80000.0000,16000.0000,16000.0000,1012800.0000,202560.0000,4.1074,4.9368,0.0975,0.0975
2000-08-17,12.6600,12.7500,12.2800,12.4000,-0.2600,-2.0500,34526.0000,42862.8380,,,2.1579,2.1579,0.7900,54.2967,54.2967,4.9909,20.7243,20.7243,80000.0000,16000.0000,16000.0000,992000.0000,198400.0000,4.1935,5.0403,0.0987,0.0987
2000-08-18,12.4000,12.6000,12.3100,12.4300,0.0300,0.2400,22620.0000,28119.9630,,,1.4138,1.4138,0.5200,54.4280,54.4280,5.0030,20.7744,20.7744,80000.0000,16000.0000,16000.0000,994400.0000,198880.0000,4.1834,5.0282,0.1008,0.1008
2000-08-21,12.5000,12.6000,12.2800,12.5400,0.1100,0.8800,22622.0000,28133.4500,,,1.4139,1.4139,0.5300,54.9097,54.9097,5.0473,20.9582,20.9582,80000.0000,16000.0000,16000.0000,1003200.0000,200640.0000,4.1467,4.9841,0.1000,0.1000
2000-08-22,12.5600,12.6600,12.1100,12.1500,-0.3900,-3.1100,23762.0000,29424.3790,,,1.4851,1.4851,0.7900,53.2020,53.2020,4.8903,20.3064,20.3064,80000.0000,16000.0000,16000.0000,972000.0000,194400.0000,4.2798,5.1440,0.0995,0.0995
2000-08-23,12.0000,12.1700,11.2000,11.8700,-0.2800,-2.3000,65639.0000,76894.1730,,,4.1024,4.1024,2.5200,51.9759,51.9759,4.7776,19.8385,19.8385,80000.0000,16000.0000,16000.0000,949600.0000,189920.0000,4.3808,5.2654,0.1042,0.1042
2000-08-24,11.8800,11.9500,11.6800,11.7900,-0.0800,-0.6700,32447.0000,38276.5850,,,2.0279,2.0279,0.9600,51.6256,51.6256,4.7454,19.7048,19.7048,80000.0000,16000.0000,16000.0000,943200.0000,188640.0000,4.4105,5.3011,0.1052,0.1052
2000-08-25,11.8800,11.9900,11.5200,11.8900,0.1000,0.8500,16958.0000,19997.4760,,,1.0599,1.0599,0.5100,52.0635,64.7409,4.6322,19.8719,20.0694,80000.0000,16000.0000,16000.0000,951200.0000,190240.0000,4.3734,5.2565,0.1052,0.1052
2000-08-28,11.8900,12.1000,11.6800,12.1000,0.2100,1.7700,28406.0000,33554.5250,,,1.7754,1.7754,0.8800,52.9830,65.8843,4.7140,20.2229,20.4239,80000.0000,16000.0000,16000.0000,968000.0000,193600.0000,4.2975,5.1653,0.1051,0.1051
