交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2003-09-12,7.4800,7.6000,7.1000,7.1500,,,4802122.8800,3516635.9580,1.2200,7.1500,48.0212,48.0212,,35.4696,35.4696,2.6525,6.4117,6.4117,350000.0000,100000.0000,100000.0000,2502500.0000,715000.0000,,,2.9813
2003-09-15,7.0800,7.2600,7.0600,7.2500,0.1000,1.4000,958848.8400,687931.0760,1.2300,7.2500,9.5885,9.5885,,35.9657,35.9657,2.6896,6.5014,6.5014,350000.0000,100000.0000,100000.0000,2537500.0000,725000.0000,,,3.1497
2003-09-16,7.3500,7.3700,7.1800,7.2800,0.0300,0.4100,619224.6400,449853.0530,1.2400,7.2800,6.1922,6.1922,,36.1145,36.1145,2.7007,6.5283,6.5283,350000.0000,100000.0000,100000.0000,2548000.0000,728000.0000,,,3.0340
2003-09-17,7.2800,7.3000,7.1600,7.1900,-0.0900,-1.2400,365280.9600,263549.9100,1.2200,7.1900,3.6528,3.6528,,35.6680,35.6680,2.6673,6.4476,6.4476,350000.0000,100000.0000,100000.0000,2516500.0000,719000.0000,,,3.0632
2003-09-18,7.1600,7.3500,7.1600,7.2700,0.0800,1.1100,493358.7900,359097.5250,1.2400,7.2700,4.9336,4.9336,,36.0649,36.0649,2.6970,6.5193,6.5193,350000.0000,100000.0000,100000.0000,2544500.0000,727000.0000,,,3.1145
2003-09-19,7.3000,7.3400,7.1800,7.2600,-0.0100,-0.1400,320365.9200,232242.2410,1.2400,7.2600,3.2037,3.2037,0.2200,36.0153,36.0153,2.6933,6.5103,6.5103,350000.0000,100000.0000,100000.0000,2541000.0000,726000.0000,,,3.0548
2003-09-22,7.2700,7.2900,7.1800,7.2100,-0.0500,-0.6900,226243.9400,163131.6040,1.2300,7.2100,2.2624,2.2624,0.4100,35.7672,35.7672,2.6748,6.4655,6.4655,350000.0000,100000.0000,100000.0000,2523500.0000,721000.0000,,,3.0674
2003-09-23,7.2000,7.3800,7.1800,7.3500,0.1400,1.9400,720246.4000,527648.3800,1.2500,7.3500,7.2025,7.2025,1.7800,36.4618,36.4618,2.7267,6.5910,6.5910,350000.0000,100000.0000,100000.0000,2572500.0000,735000.0000,,,3.0972
2003-09-24,7.3500,7.3900,7.3000,7.3100,-0.0400,-0.5400,353906.6600,260142.7640,1.2400,7.3100,3.5391,3.5391,0.8300,36.2633,36.2633,2.7119,6.5552,6.5552,350000.0000,100000.0000,100000.0000,2558500.0000,731000.0000,,,3.0340
2003-09-25,7.3100,7.3400,7.2300,7.2400,-0.0700,-0.9600,242209.0700,176065.7250,1.2300,7.2400,2.4221,2.4221,0.5700,35.9161,35.9161,2.6859,6.4924,6.4924,350000.0000,100000.0000,100000.0000,2534000.0000,724000.0000,,,3.0506
2003-09-26,7.2400,7.2800,7.1900,7.2100,-0.0300,-0.4100,247393.8200,178919.2640,1.2300,7.2100,2.4739,2.4739,0.6600,35.7672,35.7672,2.6748,6.4655,6.4655,350000.0000,100000.0000,100000.0000,2523500.0000,721000.0000,,,3.0801
2003-09-29,7.1900,7.2200,7.1500,7.1800,-0.0300,-0.4200,241570.5600,173476.0850,1.2200,7.1800,2.4157,2.4157,0.6700,35.6184,35.6184,2.6636,6.4386,6.4386,350000.0000,100000.0000,100000.0000,2513000.0000,718000.0000,,,3.1015
2003-09-30,7.1700,7.3100,7.0600,7.2300,0.0500,0.7000,376136.9100,269491.6300,1.2300,7.2300,3.7614,3.7614,1.0400,35.8665,35.8665,2.6822,6.4834,6.4834,350000.0000,100000.0000,100000.0000,2530500.0000,723000.0000,,,3.1102
2003-10-08,7.1900,7.2600,7.1700,7.2000,-0.0300,-0.4100,101590.7700,73162.2470,1.2300,7.2000,1.0159,1.0159,0.3500,35.7176,35.7176,2.6710,6.4565,6.4565,350000.0000,100000.0000,100000.0000,2520000.0000,720000.0000,,,3.1015
2003-10-09,7.2000,7.2600,7.1500,7.1600,-0.0400,-0.5600,115376.0700,82936.8560,1.2200,7.1600,1.1538,1.1538,0.4800,35.5192,35.5192,2.6562,6.4207,6.4207,350000.0000,100000.0000,100000.0000,2506000.0000,716000.0000,,,3.0972
2003-10-10,7.1500,7.3600,7.0900,7.2900,0.1300,1.8200,494063.6400,358425.2370,1.2400,7.2900,4.9406,4.9406,2.2800,36.1641,36.1641,2.7044,6.5372,6.5372,350000.0000,100000.0000,100000.0000,2551500.0000,729000.0000,,,3.1189
2003-10-13,7.3000,7.3300,7.2300,7.2500,-0.0400,-0.5500,199349.1200,144968.1550,1.2300,7.2500,1.9935,1.9935,0.7500,35.9657,35.9657,2.6896,6.5014,6.5014,350000.0000,100000.0000,100000.0000,2537500.0000,725000.0000,,,3.0548
2003-10-14,7.2400,7.2800,7.1500,7.1900,-0.0600,-0.8300,157086.6200,113129.8990,1.2200,7.1900,1.5709,1.5709,0.6100,35.6680,35.6680,2.6673,6.4476,6.4476,350000.0000,100000.0000,100000.0000,2516500.0000,719000.0000,,,3.0801
2003-10-15,7.1900,7.3000,7.1400,7.1800,-0.0100,-0.1400,173253.8800,124757.0050,1.2200,7.1800,1.7325,1.7325,0.8100,35.6184,35.6184,2.6636,6.4386,6.4386,350000.0000,100000.0000,100000.0000,2513000.0000,718000.0000,,,3.1015
