交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2000-12-19,20.0000,21.0000,18.5000,18.5600,,,1563524.5600,3058872.0840,0.5300,18.5600,44.6721,44.6721,,136.8129,136.8129,18.4712,29.5398,29.5398,173024.8000,35000.0000,35000.0000,3211340.2880,649600.0000,,,0.0000
2000-12-20,18.4700,18.4700,17.9100,18.1000,-0.4600,-2.4800,290467.1300,526016.5700,0.5200,18.1000,8.2991,8.2991,,133.4221,133.4221,18.0134,28.8076,28.8076,173024.8000,35000.0000,35000.0000,3131748.8800,633500.0000,,,0.0000
2000-12-21,18.1800,18.4800,18.0000,18.0900,-0.0100,-0.0600,113629.5600,206705.7410,0.5200,18.0900,3.2466,3.2466,,133.3484,133.3484,18.0035,28.7917,28.7917,173024.8000,35000.0000,35000.0000,3130018.6320,633150.0000,,,0.0000
2000-12-22,18.1000,18.1700,17.6000,17.6600,-0.4300,-2.3800,130264.8800,231272.6020,0.5000,17.6600,3.7219,3.7219,,130.1787,130.1787,17.5755,28.1073,28.1073,173024.8000,35000.0000,35000.0000,3055617.9680,618100.0000,,,0.0000
2000-12-25,17.6000,17.6200,17.0100,17.2000,-0.4600,-2.6000,101131.2000,174453.0210,0.4900,17.2000,2.8895,2.8895,,126.7878,126.7878,17.1177,27.3752,27.3752,173024.8000,35000.0000,35000.0000,2976026.5600,602000.0000,,,0.0000
2000-12-26,17.2000,17.5000,17.1800,17.3200,0.1200,0.7000,65390.3300,113179.1580,0.4900,17.3200,1.8683,1.8683,0.1500,127.6724,127.6724,17.2372,27.5662,27.5662,173024.8000,35000.0000,35000.0000,2996789.5360,606200.0000,,,0.0000
2000-12-27,17.3500,17.3800,17.0500,17.1100,-0.2100,-1.2100,68140.3400,116840.5350,0.4900,17.1100,1.9469,1.9469,0.4900,126.1244,126.1244,17.0282,27.2320,27.2320,173024.8000,35000.0000,35000.0000,2960454.3280,598850.0000,,,0.0000
2000-12-28,17.1000,17.1900,17.0200,17.0800,-0.0300,-0.1800,69214.7900,118199.5600,0.4900,17.0800,1.9776,1.9776,0.7200,125.9033,125.9033,16.9983,27.1842,27.1842,173024.8000,35000.0000,35000.0000,2955263.5840,597800.0000,,,0.0000
2000-12-29,17.1000,17.3800,17.0500,17.2200,0.1400,0.8200,39852.2600,68457.7530,0.4900,17.2200,1.1386,1.1386,0.4600,126.9353,126.9353,17.1376,27.4070,27.4070,173024.8000,35000.0000,35000.0000,2979487.0560,602700.0000,,,0.0000
2001-01-02,17.2500,17.5500,17.1000,17.3900,0.1700,0.9900,54400.1900,94143.2280,0.5000,17.3900,1.5543,1.5543,0.7900,128.1884,128.1884,17.3068,27.6776,27.6776,173024.8000,35000.0000,35000.0000,3008901.2720,608650.0000,,,1.1257
