交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2002-04-09,10.5100,10.8800,10.5100,10.6600,,,4141088.3100,4418821.5130,1.7600,10.6600,69.0181,69.0181,,42.5084,42.5084,11.8901,9.6735,9.6735,570681.8030,60000.0000,60000.0000,6083468.0200,639600.0000,,,0.0000,0.0000
2002-04-10,10.6600,10.7000,10.3900,10.6000,-0.0600,-0.5600,679454.7500,716684.2770,1.7500,10.6000,11.3242,11.3242,,42.2692,42.2692,11.8231,9.6191,9.6191,570681.8030,60000.0000,60000.0000,6049227.1118,636000.0000,,,0.0000,0.0000
2002-04-11,10.6000,10.6800,10.4900,10.5200,-0.0800,-0.7500,227882.5500,240963.5400,1.7400,10.5200,3.7980,3.7980,,41.9502,41.9502,11.7339,9.5465,9.5465,570681.8030,60000.0000,60000.0000,6003572.5676,631200.0000,,,0.0000,0.0000
2002-04-12,10.5000,10.6400,10.4800,10.5700,0.0500,0.4800,212564.6300,224059.8960,1.7400,10.5700,3.5427,3.5427,,42.1496,42.1496,11.7897,9.5918,9.5918,570681.8030,60000.0000,60000.0000,6032106.6577,634200.0000,,,0.0000,0.0000
2002-04-15,10.5700,10.6000,10.3500,10.3900,-0.1800,-1.7000,185311.0400,193306.9210,1.7200,10.3900,3.0885,3.0885,,41.4318,41.4318,11.5889,9.4285,9.4285,570681.8030,60000.0000,60000.0000,5929383.9332,623400.0000,,,0.0000,0.0000
2002-04-16,10.3500,10.3900,10.1400,10.1600,-0.2300,-2.2100,249254.9100,254942.3720,1.6800,10.1600,4.1542,4.1542,0.2300,40.5146,40.5146,11.3324,9.2198,9.2198,570681.8030,60000.0000,60000.0000,5798127.1185,609600.0000,,,0.0000,0.0000
2002-04-17,10.1500,10.2600,10.0900,10.2200,0.0600,0.5900,114593.3900,116550.8940,1.6900,10.2200,1.9099,1.9099,0.3700,40.7539,40.7539,11.3993,9.2742,9.2742,570681.8030,60000.0000,60000.0000,5832368.0267,613200.0000,,,0.0000,0.0000
2002-04-18,10.2000,10.2000,10.1000,10.1200,-0.1000,-0.9800,85332.7900,86436.7740,1.6700,10.1200,1.4222,1.4222,0.4300,40.3551,40.3551,11.2877,9.1835,9.1835,570681.8030,60000.0000,60000.0000,5775299.8464,607200.0000,,,0.0000,0.0000
2002-04-19,10.1000,10.1500,9.9900,10.1400,0.0200,0.2000,157222.4900,157784.0950,1.6700,10.1400,2.6204,2.6204,0.9300,40.4349,40.4349,11.3100,9.2016,9.2016,570681.8030,60000.0000,60000.0000,5786713.4824,608400.0000,,,0.0000,0.0000
2002-04-22,10.1000,10.1000,9.9900,10.0100,-0.1300,-1.2800,65938.2700,66105.5630,1.6500,10.0100,1.0990,1.0990,0.4200,39.9165,39.9165,11.1650,9.0837,9.0837,570681.8030,60000.0000,60000.0000,5712524.8480,600600.0000,,,0.0000,0.0000
2002-04-23,10.0000,10.0900,9.9100,10.0000,-0.0100,-0.1000,73765.4400,73759.6920,1.6500,10.0000,1.2294,1.2294,0.5500,39.8766,39.8766,11.1539,9.0746,9.0746,570681.8030,60000.0000,60000.0000,5706818.0300,600000.0000,,,0.0000,0.0000
2002-04-24,10.0000,10.0000,9.7000,9.7700,-0.2300,-2.3000,172413.5600,169554.7870,1.6100,9.7700,2.8736,2.8736,1.7400,38.9594,38.9594,10.8974,8.8659,8.8659,570681.8030,60000.0000,60000.0000,5575561.2153,586200.0000,,,0.0000,0.0000
2002-04-25,9.7500,9.8500,9.7400,9.8100,0.0400,0.4100,99602.7200,97420.5900,1.6200,9.8100,1.6600,1.6600,0.9000,39.1189,39.1189,10.9420,8.9022,8.9022,570681.8030,60000.0000,60000.0000,5598388.4874,588600.0000,,,0.0000,0.0000
2002-04-26,9.8200,9.8900,9.8000,9.8400,0.0300,0.3100,81692.1300,80382.9920,1.6200,9.8400,1.3615,1.3615,0.7200,39.2386,39.2386,10.9754,8.9294,8.9294,570681.8030,60000.0000,60000.0000,5615508.9415,590400.0000,,,0.0000,0.0000
2002-04-29,9.8400,9.8800,9.7100,9.8500,0.0100,0.1000,90360.8700,88537.5310,1.6300,9.8500,1.5060,1.5060,0.9200,39.2784,39.2784,10.9866,8.9385,8.9385,570681.8030,60000.0000,60000.0000,5621215.7596,591000.0000,,,0.0000,0.0000
2002-04-30,9.8900,10.1500,9.8000,10.0200,0.1700,1.7300,182625.0500,182699.1620,1.6500,10.0200,3.0438,3.0438,1.7600,39.9563,39.9563,3.6836,9.0927,9.0927,570681.8030,60000.0000,60000.0000,5718231.6661,601200.0000,,,0.0000,0.0000
2002-05-08,10.0000,10.0300,9.8800,9.9000,-0.1200,-1.2000,42283.5800,41990.4780,1.6300,9.9000,0.7047,0.7047,0.3400,39.4778,39.4778,3.6395,8.9838,8.9838,570681.8030,60000.0000,60000.0000,5649749.8497,594000.0000,,,0.0000,0.0000
2002-05-09,9.8900,10.0800,9.8800,9.9400,0.0400,0.4000,44703.9400,44552.4930,1.6400,9.9400,0.7451,0.7451,0.4500,39.6373,39.6373,3.6542,9.0201,9.0201,570681.8030,60000.0000,60000.0000,5672577.1218,596400.0000,,,0.0000,0.0000
2002-05-10,9.9100,9.9300,9.8000,9.8100,-0.1300,-1.3100,46384.8000,45667.1740,1.6200,9.8100,0.7731,0.7731,0.5300,39.1189,39.1189,3.6064,8.9022,8.9022,570681.8030,60000.0000,60000.0000,5598388.4874,588600.0000,,,0.0000,0.0000
2002-05-13,9.8000,9.8000,9.5800,9.6200,-0.1900,-1.9400,127254.9700,122595.4090,1.5900,9.6200,2.1209,2.1209,1.5700,38.3613,38.3613,3.5365,8.7298,8.7298,570681.8030,60000.0000,60000.0000,5489958.9449,577200.0000,,,0.0000,0.0000
2002-05-14,9.6000,9.6400,9.4600,9.4800,-0.1400,-1.4600,82399.4800,78664.9980,1.5600,9.4800,1.3733,1.3733,0.9300,37.8030,37.8030,3.4851,8.6027,8.6027,570681.8030,60000.0000,60000.0000,5410063.4924,568800.0000,,,0.0000,0.0000
2002-05-15,9.4600,9.5500,9.2800,9.2900,-0.1900,-2.0000,97083.8500,91212.1640,1.5300,9.2900,1.6181,1.6181,1.4200,37.0453,37.0453,3.4152,8.4303,8.4303,570681.8030,60000.0000,60000.0000,5301633.9499,557400.0000,,,0.0000,0.0000
2002-05-16,9.2800,9.2800,9.0700,9.1500,-0.1400,-1.5100,195171.4100,178313.6220,1.5100,9.1500,3.2529,3.2529,2.4500,36.4871,36.4871,3.3638,8.3032,8.3032,570681.8030,60000.0000,60000.0000,5221738.4975,549000.0000,,,0.0000,0.0000
2002-05-17,9.1800,9.3000,9.0500,9.2500,0.1000,1.0900,100101.1200,91833.3440,1.5300,9.2500,1.6684,1.6684,0.9100,36.8858,36.8858,3.4005,8.3940,8.3940,570681.8030,60000.0000,60000.0000,5278806.6778,555000.0000,,,0.0000,0.0000
2002-05-20,9.1300,9.1800,8.9300,8.9800,-0.2700,-2.9200,112970.7200,101667.3150,1.4800,8.9800,1.8828,1.8828,0.9400,35.8092,35.8092,3.3013,8.1490,8.1490,570681.8030,60000.0000,60000.0000,5124722.5909,538800.0000,,,0.0000,0.0000
2002-05-21,9.1800,9.2500,9.0300,9.1800,0.2000,2.2300,126083.5200,115523.9180,1.5200,9.1800,2.1014,2.1014,1.0700,36.6067,36.6067,3.3748,8.3305,8.3305,570681.8030,60000.0000,60000.0000,5238858.9515,550800.0000,,,0.0000,0.0000
2002-05-22,9.1900,9.2000,8.9100,8.9400,-0.2400,-2.6100,73383.5800,66043.3210,1.4800,8.9400,1.2231,1.2231,0.5800,35.6497,35.6497,3.2866,8.1127,8.1127,570681.8030,60000.0000,60000.0000,5101895.3188,536400.0000,,,0.0000,0.0000
2002-05-23,8.9500,9.1300,8.9400,8.9800,0.0400,0.4500,71889.2500,64749.3410,1.4800,8.9800,1.1982,1.1982,0.5900,35.8092,35.8092,3.3013,8.1490,8.1490,570681.8030,60000.0000,60000.0000,5124722.5909,538800.0000,,,0.0000,0.0000
