交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2003-03-25,8.9800,9.3000,8.9100,9.0700,,,471503.5500,427765.2080,0.6600,9.0700,47.1504,47.1504,,33.1362,33.1362,2.3910,0.8201,0.8201,25000.0000,10000.0000,10000.0000,226750.0000,90700.0000,,,0.0000,0.0000
2003-03-26,9.0100,9.0900,8.7500,8.8600,-0.2100,-2.3200,151491.1700,134929.2110,0.6400,8.8600,15.1491,15.1491,,32.3689,32.3689,2.3357,0.8011,0.8011,25000.0000,10000.0000,10000.0000,221500.0000,88600.0000,,,0.0000,0.0000
2003-03-27,8.8100,9.7500,8.7700,9.7500,0.8900,10.0500,269211.1800,252923.7840,0.7100,9.7500,26.9211,26.9211,,35.6204,35.6204,2.5703,0.8815,0.8815,25000.0000,10000.0000,10000.0000,243750.0000,97500.0000,,,0.0000,0.0000
2003-03-28,10.1200,10.3700,9.9000,10.0000,0.2500,2.5600,451368.1800,456486.4290,0.7300,10.0000,45.1368,45.1368,,36.5338,36.5338,2.6362,0.9041,0.9041,25000.0000,10000.0000,10000.0000,250000.0000,100000.0000,,,0.0000,0.0000
2003-03-31,9.9500,10.1800,9.7600,10.0400,0.0400,0.4000,152343.2500,151824.6670,0.7300,10.0400,15.2343,15.2343,,36.6799,36.6799,2.6467,0.9078,0.9078,25000.0000,10000.0000,10000.0000,251000.0000,100400.0000,,,0.0000,0.0000
2003-04-01,10.0000,10.1400,9.8600,9.8900,-0.1500,-1.4900,117956.5500,117521.1510,0.7200,9.8900,11.7957,11.7957,0.3900,36.1319,36.1319,2.6072,0.8942,0.8942,25000.0000,10000.0000,10000.0000,247250.0000,98900.0000,,,0.0000,0.0000
2003-04-02,9.8800,10.1100,9.7800,9.8400,-0.0500,-0.5100,92774.2000,91987.0000,0.7100,9.8400,9.2774,9.2774,0.4100,35.9493,35.9493,2.5940,0.8897,0.8897,25000.0000,10000.0000,10000.0000,246000.0000,98400.0000,,,0.0000,0.0000
2003-04-03,9.8000,10.0000,9.8000,9.9900,0.1500,1.5200,50499.4700,49949.1770,0.7300,9.9900,5.0499,5.0499,0.2300,36.4973,36.4973,2.6336,0.9032,0.9032,25000.0000,10000.0000,10000.0000,249750.0000,99900.0000,,,0.0000,0.0000
2003-04-04,9.9900,10.0500,9.8300,9.8900,-0.1000,-1.0000,40844.2100,40620.0950,0.7200,9.8900,4.0844,4.0844,0.2400,36.1319,36.1319,2.6072,0.8942,0.8942,25000.0000,10000.0000,10000.0000,247250.0000,98900.0000,,,0.0000,0.0000
2003-04-07,9.8800,9.9400,9.4200,9.4500,-0.4400,-4.4500,118326.3000,113923.6850,0.6900,9.4500,11.8326,11.8326,1.3000,34.5244,34.5244,2.4912,0.8544,0.8544,25000.0000,10000.0000,10000.0000,236250.0000,94500.0000,,,0.0000,0.0000
2003-04-08,9.4300,9.6000,9.3800,9.4900,0.0400,0.4200,67449.0300,64043.6080,0.6900,9.4900,6.7449,6.7449,0.8000,34.6706,34.6706,2.5017,0.8580,0.8580,25000.0000,10000.0000,10000.0000,237250.0000,94900.0000,,,0.0000,0.0000
2003-04-09,9.4900,9.5800,9.1200,9.3900,-0.1000,-1.0500,102730.5800,95969.7220,0.6800,9.3900,10.2731,10.2731,1.3900,34.3052,34.3052,2.4754,0.8490,0.8490,25000.0000,10000.0000,10000.0000,234750.0000,93900.0000,,,0.0000,0.0000
2003-04-10,9.3500,9.9500,9.3400,9.6300,0.2400,2.5600,110038.0600,106613.3070,0.7000,9.6300,11.0038,11.0038,1.4500,35.1820,35.1820,2.5387,0.8707,0.8707,25000.0000,10000.0000,10000.0000,240750.0000,96300.0000,,,0.0000,0.0000
2003-04-11,9.6000,9.8800,9.5100,9.7400,0.1100,1.1400,74826.3400,72788.8680,0.7100,9.7400,7.4826,7.4826,0.8500,35.5839,35.5839,2.5677,0.8806,0.8806,25000.0000,10000.0000,10000.0000,243500.0000,97400.0000,,,0.0000,0.0000
2003-04-14,9.7600,10.5000,9.7400,10.0800,0.3400,3.4900,128909.8300,130596.5710,0.7300,10.0800,12.8910,12.8910,1.3600,36.8261,36.8261,2.6573,0.9114,0.9114,25000.0000,10000.0000,10000.0000,252000.0000,100800.0000,,,0.0000,0.0000
2003-04-15,10.0900,10.1500,9.8500,10.0100,-0.0700,-0.6900,71898.2900,71681.2430,0.7300,10.0100,7.1898,7.1898,0.7400,36.5703,36.5703,2.6388,0.9051,0.9051,25000.0000,10000.0000,10000.0000,250250.0000,100100.0000,,,0.0000,0.0000
2003-04-16,10.0100,11.0100,9.8900,10.7600,0.7500,7.4900,259984.0000,272400.5760,0.7800,10.7600,25.9984,25.9984,2.6600,39.3104,39.3104,2.8365,0.9729,0.9729,25000.0000,10000.0000,10000.0000,269000.0000,107600.0000,,,0.0000,0.0000
