交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
1999-09-01,18.6500,18.6500,18.4000,18.4800,-0.0300,-0.1600,2506.0000,4635.6190,,,0.3855,0.3855,1.0600,47.9017,41.7329,6.7786,2.0692,1.7798,24050.0000,6500.0000,6500.0000,444444.0000,120120.0000,0.0000,0.3080,0.0104,0.0104
1999-09-02,18.3600,18.8000,17.3000,18.6600,0.1800,0.9700,3617.0000,6672.3340,,,0.5565,0.5565,1.5000,48.3682,42.1393,6.8446,2.0893,1.7972,24050.0000,6500.0000,6500.0000,448773.0000,121290.0000,0.0000,0.3051,0.0106,0.0106
1999-09-03,18.7000,18.7000,18.4000,18.4500,-0.2100,-1.1300,2474.0000,4579.3090,,,0.3806,0.3806,0.8500,47.8239,41.6651,6.7676,2.0658,1.7769,24050.0000,6500.0000,6500.0000,443722.5000,119925.0000,0.0000,0.3085,0.0104,0.0104
1999-09-06,18.4500,18.5900,18.2500,18.2500,-0.2000,-1.0800,3423.0000,6308.4060,,,0.5266,0.5266,1.1100,47.3055,41.2134,6.6942,2.0434,1.7577,24050.0000,6500.0000,6500.0000,438912.5000,118625.0000,0.0000,0.3119,0.0105,0.0105
1999-09-07,18.4200,18.5500,18.1100,18.1100,-0.1400,-0.7700,1791.0000,3277.5280,,,0.2755,0.2755,0.5800,46.9426,40.8973,6.6428,2.0277,1.7442,24050.0000,6500.0000,6500.0000,435545.5000,117715.0000,0.0000,0.3143,0.0105,0.0105
1999-09-08,18.1500,18.5000,18.1500,18.2000,0.0900,0.5000,1673.0000,3064.7240,,,0.2574,0.2574,0.6100,47.1759,41.1005,6.6759,2.0378,1.7529,24050.0000,6500.0000,6500.0000,437710.0000,118300.0000,0.0000,0.3128,0.0107,0.0107
1999-09-09,18.4500,19.5800,18.2000,19.2500,1.0500,5.7700,13375.0000,25315.2680,,,2.0577,2.0577,5.1500,49.8976,43.4717,7.0610,2.1554,1.8540,24050.0000,6500.0000,6500.0000,462962.5000,125125.0000,0.0000,0.2957,0.0105,0.0105
1999-09-10,19.3500,19.4800,18.8100,18.8400,-0.4100,-2.1300,5852.0000,11097.4320,,,0.9003,0.9003,1.2900,48.8348,42.5458,6.9106,2.1095,1.8145,24050.0000,6500.0000,6500.0000,453102.0000,122460.0000,0.0000,0.3021,0.0100,0.0100
1999-09-13,18.7000,19.1700,18.7000,19.0000,0.1600,0.8500,6038.0000,11467.8150,,,0.9289,0.9289,1.1600,49.2495,42.9072,6.9693,2.1274,1.8299,24050.0000,6500.0000,6500.0000,456950.0000,123500.0000,0.0000,0.2996,0.0104,0.0104
1999-09-14,19.2700,19.3000,18.9600,19.0100,0.0100,0.0500,4056.0000,7734.8400,,,0.6240,0.6240,0.7100,49.2755,42.9297,6.9730,2.1285,1.8309,24050.0000,6500.0000,6500.0000,457190.5000,123565.0000,0.0000,0.2994,0.0101,0.0101
1999-09-15,19.0500,19.2000,18.9100,19.1800,0.1700,0.8900,4210.0000,8021.8360,,,0.6477,0.6477,0.6800,49.7161,43.3136,7.0353,2.1475,1.8472,24050.0000,6500.0000,6500.0000,461279.0000,124670.0000,0.0000,0.2968,0.0102,0.0102
1999-09-16,19.2500,19.7000,19.1800,19.5900,0.4100,2.1400,7238.0000,14039.0030,,,1.1135,1.1135,1.0800,50.7789,44.2395,7.1857,2.1934,1.8867,24050.0000,6500.0000,6500.0000,471139.5000,127335.0000,0.0000,0.2906,0.0101,0.0101
1999-09-17,19.6000,19.6000,19.2000,19.2600,-0.3300,-1.6800,3161.0000,6113.1920,,,0.4863,0.4863,0.5800,49.9235,43.4943,7.0647,2.1565,1.8549,24050.0000,6500.0000,6500.0000,463203.0000,125190.0000,0.0000,0.2956,0.0099,0.0099
1999-09-20,19.2500,19.3200,18.8000,18.8000,-0.4600,-2.3900,2885.0000,5505.0790,,,0.4438,0.4438,0.5800,48.7311,42.4555,6.8959,2.1050,1.8106,24050.0000,6500.0000,6500.0000,452140.0000,122200.0000,0.0000,0.3028,0.0101,0.0101
1999-09-21,18.6500,19.0000,18.2100,18.5500,-0.2500,-1.3300,1813.0000,3387.6580,,,0.2789,0.2789,0.4200,48.0831,41.8909,6.8042,2.0770,1.7866,24050.0000,6500.0000,6500.0000,446127.5000,120575.0000,0.0000,0.3069,0.0104,0.0104
1999-09-22,18.6000,18.6500,18.4000,18.4000,-0.1500,-0.8100,1440.0000,2662.0000,,,0.2215,0.2215,0.3700,47.6943,41.5522,6.7492,2.0602,1.7721,24050.0000,6500.0000,6500.0000,442520.0000,119600.0000,0.0000,0.3094,0.0104,0.0104
1999-09-23,18.3500,18.6000,18.3500,18.3800,-0.0200,-0.1100,1682.0000,3100.0000,,,0.2588,0.2588,0.5100,47.6424,41.5070,6.7419,2.0580,1.7702,24050.0000,6500.0000,6500.0000,442039.0000,119470.0000,0.0000,0.3097,0.0106,0.0106
1999-09-24,18.8500,18.8700,18.3500,18.4100,0.0300,0.1600,2073.0000,3818.0100,,,0.3189,0.3189,0.9400,47.7202,41.5748,6.7529,2.0613,1.7731,24050.0000,6500.0000,6500.0000,442760.5000,119665.0000,0.0000,0.3092,0.0103,0.0103
