交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2000-03-29,19.8000,19.8000,19.2000,19.4500,,,6465.0000,12619.3130,,,0.9042,0.9042,0.6500,25.9067,25.9067,4.7353,4.9391,4.9391,25807.6000,7150.0000,7150.0000,501957.8200,139067.5000,3.5688,3.5688,0.1515,0.1515
2000-03-30,19.5000,19.7500,19.3700,19.4500,0.0000,0.0000,7179.0000,14023.9480,,,1.0041,1.0041,0.7100,25.9067,25.9067,4.7353,4.9391,4.9391,25807.6000,7150.0000,7150.0000,501957.8200,139067.5000,3.5688,3.5688,0.1538,0.1538
2000-03-31,19.4000,19.5100,19.0900,19.3000,-0.1500,-0.7700,7765.0000,15007.4090,,,1.0860,1.0860,1.0200,25.7069,25.7069,4.6987,4.9010,4.9010,25807.6000,7150.0000,7150.0000,498086.6800,137995.0000,3.5965,3.5965,0.1546,0.1546
2000-04-03,19.3000,19.5000,19.1800,19.3000,0.0000,0.0000,5197.0000,10046.7950,,,0.7269,0.7269,0.6600,25.7069,25.7069,4.6987,4.9010,4.9010,25807.6000,7150.0000,7150.0000,498086.6800,137995.0000,3.5965,3.5965,0.1554,0.1554
2000-04-04,19.2000,19.2000,18.6000,18.7000,-0.6000,-3.1100,5532.0000,10395.8820,,,0.7737,0.7737,0.8500,24.9077,24.9077,4.5527,4.7487,4.7487,25807.6000,7150.0000,7150.0000,482602.1200,133705.0000,3.7119,3.7119,0.1562,0.1562
2000-04-05,18.6500,18.7800,18.6000,18.7500,0.0500,0.2700,2890.0000,5396.2520,,,0.4042,0.4042,0.4500,24.9743,24.9743,4.5648,4.7614,4.7614,25807.6000,7150.0000,7150.0000,483892.5000,134062.5000,3.7020,3.7020,0.1609,0.1609
2000-04-06,18.7500,19.1500,18.7500,19.0500,0.3000,1.6000,3120.0000,5918.9780,,,0.4364,0.4364,0.5500,25.3739,25.3739,4.6379,4.8375,4.8375,25807.6000,7150.0000,7150.0000,491634.7800,136207.5000,3.6437,3.6437,0.1600,0.1600
2000-04-07,19.1800,19.3000,18.9900,19.2000,0.1500,0.7900,5594.0000,10699.2390,,,0.7824,0.7824,1.1400,25.5737,25.5737,4.6744,4.8756,4.8756,25807.6000,7150.0000,7150.0000,495505.9200,137280.0000,3.6152,3.6152,0.1564,0.1564
2000-04-10,19.2500,19.3200,19.0000,19.2500,0.0500,0.2600,4771.0000,9123.1910,,,0.6673,0.6673,1.0700,25.6403,25.6403,4.6866,4.8883,4.8883,25807.6000,7150.0000,7150.0000,496796.3000,137637.5000,3.6058,3.6058,0.1558,0.1558
2000-04-11,19.1000,19.6800,19.0800,19.2600,0.0100,0.0500,10402.0000,20160.2150,,,1.4548,1.4548,2.3700,25.6536,25.6536,4.6890,4.8909,4.8909,25807.6000,7150.0000,7150.0000,497054.3760,137709.0000,3.6040,3.6040,0.1571,0.1571
2000-04-12,19.1800,19.2600,19.0000,19.0500,-0.2100,-1.0900,4542.0000,8683.3600,,,0.6352,0.6352,0.8500,25.3739,25.3739,4.6379,4.8375,4.8375,25807.6000,7150.0000,7150.0000,491634.7800,136207.5000,3.6437,3.6437,0.1564,0.1564
2000-04-13,19.0000,19.4100,19.0000,19.3100,0.2600,1.3600,8470.0000,16305.1000,,,1.1846,1.1846,1.4900,25.7202,25.7202,4.7012,4.9036,4.9036,25807.6000,7150.0000,7150.0000,498344.7560,138066.5000,3.5946,3.5946,0.1579,0.1579
2000-04-14,19.3600,19.8500,19.1300,19.8500,0.5400,2.8000,19623.0000,38443.1190,,,2.7445,2.7445,2.9000,26.4395,26.4395,4.8326,5.0407,5.0407,25807.6000,7150.0000,7150.0000,512280.8600,141927.5000,3.4969,3.4969,0.1550,0.1550
2000-04-17,19.9100,20.5100,19.7500,20.2500,0.4000,2.0200,41647.0000,83948.2430,,,5.8248,5.8248,4.3600,26.9723,26.9723,4.9300,5.1423,5.1423,25807.6000,7150.0000,7150.0000,522603.9000,144787.5000,3.4278,3.4278,0.1507,0.1507
2000-04-18,20.2000,20.2200,19.7800,20.0000,-0.2500,-1.2300,11404.0000,22854.2780,,,1.5950,1.5950,0.6700,26.6393,26.6393,4.8692,5.0788,5.0788,25807.6000,7150.0000,7150.0000,516152.0000,143000.0000,3.4706,3.4706,0.1485,0.1485
