交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2000-09-19,9.2100,9.6800,8.8800,8.9100,,,467405.0000,427203.4790,1.0300,8.9100,38.9504,38.9504,,25.3395,25.3395,5.6406,1.3893,1.3893,42000.0000,12000.0000,12000.0000,374220.0000,106920.0000,,,0.0000
2000-09-20,8.8100,8.9600,8.4200,8.7400,-0.1700,-1.9100,173005.0000,149837.5680,1.0100,8.7400,14.4171,14.4171,,24.8561,24.8561,5.5329,1.3628,1.3628,42000.0000,12000.0000,12000.0000,367080.0000,104880.0000,,,0.0000
2000-09-21,8.6900,8.7400,8.5000,8.5200,-0.2200,-2.5200,58316.0000,50020.3920,0.9800,8.5200,4.8597,4.8597,,24.2304,24.2304,5.3937,1.3285,1.3285,42000.0000,12000.0000,12000.0000,357840.0000,102240.0000,,,0.0000
2000-09-22,8.4800,8.6000,8.4000,8.5400,0.0200,0.2300,37064.0000,31528.0390,0.9800,8.5400,3.0887,3.0887,,24.2873,24.2873,5.4063,1.3316,1.3316,42000.0000,12000.0000,12000.0000,358680.0000,102480.0000,,,0.0000
2000-09-25,8.5000,8.5900,8.1600,8.1900,-0.3500,-4.1000,44029.0000,36672.9780,0.9400,8.1900,3.6691,3.6691,,23.2919,23.2919,5.1848,1.2771,1.2771,42000.0000,12000.0000,12000.0000,343980.0000,98280.0000,,,0.0000
2000-09-26,8.1500,8.3100,8.0800,8.2100,0.0200,0.2400,32199.0000,26248.1600,0.9500,8.2100,2.6833,2.6833,0.2100,23.3488,23.3488,5.1974,1.2802,1.2802,42000.0000,12000.0000,12000.0000,344820.0000,98520.0000,,,0.0000
2000-09-27,8.2300,8.4000,8.1000,8.3400,0.1300,1.5800,28091.0000,23171.0070,0.9600,8.3400,2.3409,2.3409,0.4100,23.7185,23.7185,5.2797,1.3005,1.3005,42000.0000,12000.0000,12000.0000,350280.0000,100080.0000,,,0.0000
2000-09-28,8.3000,8.3000,8.1000,8.1500,-0.1900,-2.2800,28591.0000,23330.5540,0.9400,8.1500,2.3826,2.3826,0.7200,23.1781,23.1781,5.1594,1.2708,1.2708,42000.0000,12000.0000,12000.0000,342300.0000,97800.0000,,,0.0000
2000-09-29,8.1000,8.3800,8.1000,8.2000,0.0500,0.6100,20247.0000,16685.1090,0.9400,8.2000,1.6873,1.6873,0.6000,23.3203,23.3203,5.1911,1.2786,1.2786,42000.0000,12000.0000,12000.0000,344400.0000,98400.0000,,,0.0000
2000-10-09,8.2800,8.3200,8.0900,8.1900,-0.0100,-0.1200,19693.0000,16034.7090,0.9400,8.1900,1.6411,1.6411,0.6400,23.2919,23.2919,5.1848,1.2771,1.2771,42000.0000,12000.0000,12000.0000,343980.0000,98280.0000,,,0.0000
2000-10-10,8.1900,8.3000,8.1800,8.3000,0.1100,1.3400,23937.0000,19762.5040,0.9600,8.3000,1.9948,1.9948,0.9300,23.6047,23.6047,5.2544,1.2942,1.2942,42000.0000,12000.0000,12000.0000,348600.0000,99600.0000,,,0.0000
2000-10-11,8.3100,8.8700,8.2100,8.7300,0.4300,5.1800,117496.0000,101853.6260,1.0100,8.7300,9.7913,9.7913,4.8700,24.8276,24.8276,5.5266,1.3613,1.3613,42000.0000,12000.0000,12000.0000,366660.0000,104760.0000,,,0.0000
