交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2002-03-18,4.6100,4.8000,4.3000,4.5200,,,3726996.8400,1675433.3270,1.5200,4.5200,73.8019,73.8019,,40.5237,40.5237,3.2041,20.5104,20.5104,336380.0000,50500.0000,50500.0000,1520437.6000,228260.0000,,,0.0000,0.0000
2002-03-19,4.5000,4.8900,4.4900,4.8700,0.3500,7.7400,1712933.5700,805447.8540,1.6400,4.8700,33.9195,33.9195,,43.6616,43.6616,3.4522,22.0985,22.0985,336380.0000,50500.0000,50500.0000,1638170.6000,245935.0000,,,0.0000,0.0000
2002-03-20,4.9000,5.0300,4.8400,4.9500,0.0800,1.6400,1616100.0700,797286.3190,1.6600,4.9500,32.0020,32.0020,,44.3789,44.3789,3.5089,22.4616,22.4616,336380.0000,50500.0000,50500.0000,1665081.0000,249975.0000,,,0.0000,0.0000
2002-03-21,4.9500,5.0400,4.8800,4.9700,0.0200,0.4000,609528.9200,302213.4190,1.6700,4.9700,12.0699,12.0699,,44.5582,44.5582,3.5230,22.5523,22.5523,336380.0000,50500.0000,50500.0000,1671808.6000,250985.0000,,,0.0000,0.0000
2002-03-22,4.9600,4.9800,4.8700,4.9700,0.0000,0.0000,456522.9400,224958.5020,1.6700,4.9700,9.0401,9.0401,,44.5582,44.5582,3.5230,22.5523,22.5523,336380.0000,50500.0000,50500.0000,1671808.6000,250985.0000,,,0.0000,0.0000
2002-03-25,4.9500,5.0400,4.9500,5.0100,0.0400,0.8000,397581.5200,199111.4130,1.6800,5.0100,7.8729,7.8729,0.2400,44.9168,44.9168,3.5514,22.7338,22.7338,336380.0000,50500.0000,50500.0000,1685263.8000,253005.0000,,,0.0000,0.0000
2002-03-26,4.9900,5.0000,4.8800,4.9100,-0.1000,-2.0000,374420.0100,184260.3670,1.6500,4.9100,7.4143,7.4143,0.3900,44.0203,44.0203,3.4805,22.2800,22.2800,336380.0000,50500.0000,50500.0000,1651625.8000,247955.0000,,,0.0000,0.0000
2002-03-27,4.8900,4.9300,4.8200,4.8800,-0.0300,-0.6100,271065.1800,131861.7640,1.6400,4.8800,5.3676,5.3676,0.3900,43.7513,43.7513,3.4592,22.1439,22.1439,336380.0000,50500.0000,50500.0000,1641534.4000,246440.0000,,,0.0000,0.0000
2002-03-28,4.8800,4.9800,4.8400,4.8900,0.0100,0.2000,199427.1700,97948.3220,1.6400,4.8900,3.9491,3.9491,0.4700,43.8409,43.8409,3.4663,22.1893,22.1893,336380.0000,50500.0000,50500.0000,1644898.2000,246945.0000,,,0.0000,0.0000
2002-03-29,4.8700,4.8700,4.7100,4.7500,-0.1400,-2.8600,363469.1500,174128.5970,1.6000,4.7500,7.1974,7.1974,1.0700,42.5858,42.5858,3.3671,21.5540,21.5540,336380.0000,50500.0000,50500.0000,1597805.0000,239875.0000,,,0.0000,0.0000
2002-04-01,4.7400,4.8200,4.7200,4.7800,0.0300,0.6300,150340.8200,71744.8920,1.6100,4.7800,2.9770,2.9770,0.4700,42.8548,42.8548,3.3884,21.6902,21.6902,336380.0000,50500.0000,50500.0000,1607896.4000,241390.0000,,,0.0000,0.0000
2002-04-02,4.7800,4.8000,4.6400,4.6500,-0.1300,-2.7200,169478.2700,79540.7640,1.5600,4.6500,3.3560,3.3560,0.6200,41.6892,41.6892,3.2962,21.1003,21.1003,336380.0000,50500.0000,50500.0000,1564167.0000,234825.0000,,,0.0000,0.0000
2002-04-03,4.6500,4.7500,4.6500,4.7000,0.0500,1.0800,111156.9000,52157.2000,1.5800,4.7000,2.2011,2.2011,0.4800,42.1375,42.1375,3.3317,21.3271,21.3271,336380.0000,50500.0000,50500.0000,1580986.0000,237350.0000,,,0.0000,0.0000
2002-04-04,4.7000,4.8300,4.6400,4.7600,0.0600,1.2800,162528.3900,77310.6120,1.6000,4.7600,3.2184,3.2184,0.8200,42.6754,42.6754,3.3742,21.5994,21.5994,336380.0000,50500.0000,50500.0000,1601168.8000,240380.0000,,,0.0000,0.0000
2002-04-05,4.8200,4.9000,4.7800,4.8000,0.0400,0.8400,239437.5700,115887.3010,1.6100,4.8000,4.7413,4.7413,1.2500,43.0341,43.0341,3.4025,21.7809,21.7809,336380.0000,50500.0000,50500.0000,1614624.0000,242400.0000,,,0.0000,0.0000
2002-04-08,4.7700,4.8300,4.7600,4.7900,-0.0100,-0.2100,55682.5800,26653.5520,1.6100,4.7900,1.1026,1.1026,0.3300,42.9444,42.9444,3.3955,21.7355,21.7355,336380.0000,50500.0000,50500.0000,1611260.2000,241895.0000,,,0.0000,0.0000
2002-04-09,4.8000,4.8900,4.7600,4.8600,0.0700,1.4600,159636.9700,77242.5030,1.6300,4.8600,3.1611,3.1611,1.0800,43.5720,43.5720,3.4451,22.0532,22.0532,336380.0000,50500.0000,50500.0000,1634806.8000,245430.0000,,,0.0000,0.0000
2002-04-10,4.8600,4.8600,4.7800,4.8100,-0.0500,-1.0300,120936.2300,58127.7650,1.6200,4.8100,2.3948,2.3948,0.8300,43.1237,43.1237,3.4096,21.8263,21.8263,336380.0000,50500.0000,50500.0000,1617987.8000,242905.0000,,,0.0000,0.0000
2002-04-11,4.8100,4.8800,4.7700,4.7800,-0.0300,-0.6200,109126.7400,52680.8120,1.6100,4.7800,2.1609,2.1609,0.7400,42.8548,42.8548,3.3884,21.6902,21.6902,336380.0000,50500.0000,50500.0000,1607896.4000,241390.0000,,,0.0000,0.0000
2002-04-12,4.7800,4.8100,4.7000,4.7500,-0.0300,-0.6300,214562.3800,101569.3280,1.6000,4.7500,4.2488,4.2488,1.5700,42.5858,42.5858,3.3671,21.5540,21.5540,336380.0000,50500.0000,50500.0000,1597805.0000,239875.0000,,,0.0000,0.0000
2002-04-15,4.7500,4.7700,4.6800,4.7300,-0.0200,-0.4200,116849.7200,54944.9150,1.5900,4.7300,2.3139,2.3139,0.8900,40.6540,40.6540,2.7073,20.0748,20.0748,336380.0000,50500.0000,50500.0000,1591077.4000,238865.0000,,,0.0000,0.0000
2002-04-16,4.7200,4.7300,4.6000,4.6300,-0.1000,-2.1100,166963.2900,77550.6250,1.5500,4.6300,3.3062,3.3062,1.1600,39.7946,39.7946,2.6501,19.6504,19.6504,336380.0000,50500.0000,50500.0000,1557439.4000,233815.0000,,,0.0000,0.0000
