交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2002-03-04,11.0000,11.2000,10.5700,11.0300,,,372598.8900,407611.0520,1.9500,11.0300,82.7998,82.7998,,129.0535,129.0535,10.5950,4.0818,4.0818,12500.0000,4500.0000,4500.0000,137875.0000,49635.0000,,,0.1818
2002-03-05,11.0300,11.4600,10.9500,11.2900,0.2600,2.3600,144608.9200,162345.2190,1.9900,11.2900,32.1353,32.1353,,132.0956,132.0956,10.8447,4.1780,4.1780,12500.0000,4500.0000,4500.0000,141125.0000,50805.0000,,,0.1813
2002-03-06,11.3000,11.4500,11.1600,11.1800,-0.1100,-0.9700,115332.4000,130290.7160,1.9700,11.1800,25.6294,25.6294,,130.8086,130.8086,10.7391,4.1373,4.1373,12500.0000,4500.0000,4500.0000,139750.0000,50310.0000,,,0.1770
2002-03-07,11.1800,11.6900,11.1700,11.6200,0.4400,3.9400,107030.1100,123363.3460,2.0500,11.6200,23.7845,23.7845,,135.9567,135.9567,11.1617,4.3001,4.3001,12500.0000,4500.0000,4500.0000,145250.0000,52290.0000,,,0.1789
2002-03-08,11.6500,11.8900,11.5600,11.7700,0.1500,1.2900,102727.4100,120182.6390,2.0800,11.7700,22.8283,22.8283,,137.7117,137.7117,11.3058,4.3556,4.3556,12500.0000,4500.0000,4500.0000,147125.0000,52965.0000,,,0.1717
2002-03-11,11.8300,12.0700,11.7100,12.0500,0.2800,2.3800,66259.9800,78304.7880,2.1300,12.0500,14.7244,14.7244,0.3900,140.9878,140.9878,11.5748,4.4592,4.4592,12500.0000,4500.0000,4500.0000,150625.0000,54225.0000,,,0.1691
2002-03-12,12.0000,12.1000,11.7200,11.7800,-0.2700,-2.2400,60998.2400,72461.6600,2.0800,11.7800,13.5552,13.5552,0.5700,137.8287,137.8287,11.3154,4.3593,4.3593,12500.0000,4500.0000,4500.0000,147250.0000,53010.0000,,,0.1667
2002-03-13,11.7000,11.8700,11.6300,11.6700,-0.1100,-0.9300,35675.7400,41849.9240,2.0600,11.6700,7.9279,7.9279,0.3900,136.5417,136.5417,11.2098,4.3186,4.3186,12500.0000,4500.0000,4500.0000,145875.0000,52515.0000,,,0.1709
2002-03-14,11.6800,12.0700,11.6800,12.0500,0.3800,3.2600,36062.5200,42903.6470,2.1300,12.0500,8.0139,8.0139,0.4800,140.9878,140.9878,11.5748,4.4592,4.4592,12500.0000,4500.0000,4500.0000,150625.0000,54225.0000,,,0.1712
2002-03-15,12.1200,12.4000,11.7500,11.7800,-0.2700,-2.2400,59032.8200,71830.8480,2.0800,11.7800,13.1184,13.1184,0.9800,137.8287,137.8287,11.3154,4.3593,4.3593,12500.0000,4500.0000,4500.0000,147250.0000,53010.0000,,,0.1650
2002-03-18,11.9900,12.2000,11.8000,11.9500,0.1700,1.4400,35362.0800,42254.6520,2.1100,11.9500,7.8582,7.8582,0.6900,139.8177,139.8177,11.4787,4.4222,4.4222,12500.0000,4500.0000,4500.0000,149375.0000,53775.0000,,,0.1668
2002-03-19,12.0200,12.8400,11.9800,12.7100,0.7600,6.3600,81711.0800,101924.2580,2.2400,12.7100,18.1580,18.1580,1.8000,148.7099,148.7099,12.2087,4.7035,4.7035,12500.0000,4500.0000,4500.0000,158875.0000,57195.0000,,,0.1664
2002-03-20,12.7600,13.7000,12.6100,13.2600,0.5500,4.3300,135759.1500,177948.1040,2.3400,13.2600,30.1687,30.1687,2.7400,155.1450,155.1450,12.7370,4.9070,4.9070,12500.0000,4500.0000,4500.0000,165750.0000,59670.0000,,,0.1567
