交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2001-01-16,7.0000,7.6000,6.8100,7.4200,,,729242.1600,527072.6950,2.1100,7.4200,48.6161,48.6161,,61.7987,61.7987,2.9304,32.8361,32.8361,503774.7500,15000.0000,15000.0000,3738008.6450,111300.0000,,,0.1286,0.1286
2001-01-17,7.3600,7.8500,7.3100,7.6400,0.2200,2.9600,322360.0700,246053.5460,2.1700,7.6400,21.4907,21.4907,,63.6310,63.6310,3.0172,33.8096,33.8096,503774.7500,15000.0000,15000.0000,3848839.0900,114600.0000,,,0.1223,0.1223
2001-01-18,7.6400,7.8500,7.5600,7.7400,0.1000,1.3100,158229.3200,121825.2990,2.2000,7.7400,10.5486,10.5486,,64.4639,64.4639,3.0567,34.2522,34.2522,503774.7500,15000.0000,15000.0000,3899216.5650,116100.0000,,,0.1178,0.1178
2001-01-19,7.7500,7.9700,7.6800,7.8800,0.1400,1.8100,147625.0900,116043.7480,2.2400,7.8800,9.8417,9.8417,,65.6299,65.6299,3.1120,34.8717,34.8717,503774.7500,15000.0000,15000.0000,3969745.0300,118200.0000,,,0.1161,0.1161
2001-02-05,7.9300,7.9500,7.5000,7.5800,-0.3000,-3.8100,117257.6500,90173.5210,2.1600,7.5800,7.8172,7.8172,,63.1313,63.1313,2.9935,33.5441,33.5441,503774.7500,15000.0000,15000.0000,3818612.6050,113700.0000,,,0.1135,0.1135
2001-02-06,7.5500,8.1300,7.5000,8.0400,0.4600,6.0700,143941.5300,113221.3020,2.2900,8.0400,9.5961,9.5961,0.4900,66.9625,66.9625,3.1752,35.5798,35.5798,503774.7500,15000.0000,15000.0000,4050348.9900,120600.0000,,,0.1192,0.1192
2001-02-07,8.0500,8.2100,7.9200,7.9700,-0.0700,-0.8700,137053.6700,110785.0750,2.2700,7.9700,9.1369,9.1369,0.7700,66.3795,66.3795,3.1476,35.2700,35.2700,503774.7500,15000.0000,15000.0000,4015084.7575,119550.0000,,,0.1118,0.1118
2001-02-08,7.9500,8.0400,7.7800,7.8300,-0.1400,-1.7600,75626.4000,59713.6580,2.2300,7.8300,5.0418,5.0418,0.5400,65.2135,65.2135,3.0923,34.6505,34.6505,503774.7500,15000.0000,15000.0000,3944556.2925,117450.0000,,,0.1132,0.1132
2001-02-09,7.9100,8.0500,7.8500,7.9100,0.0800,1.0200,64555.3000,51180.1570,2.2500,7.9100,4.3037,4.3037,0.5200,65.8798,65.8798,3.1239,35.0045,35.0045,503774.7500,15000.0000,15000.0000,3984858.2725,118650.0000,,,0.1138,0.1138
2001-02-12,7.9100,7.9400,7.7000,7.9300,0.0200,0.2500,48131.3500,37706.0440,2.2600,7.9300,3.2088,3.2088,0.4500,66.0463,66.0463,3.1318,35.0930,35.0930,503774.7500,15000.0000,15000.0000,3994933.7675,118950.0000,,,0.1138,0.1138
2001-02-13,7.9400,7.9800,7.8000,7.9000,-0.0300,-0.3800,32843.4900,25964.1820,2.2500,7.9000,2.1896,2.1896,0.3500,65.7965,65.7965,3.1199,34.9602,34.9602,503774.7500,15000.0000,15000.0000,3979820.5250,118500.0000,,,0.1134,0.1134
2001-02-14,7.9000,7.9900,7.8300,7.9300,0.0300,0.3800,31523.2200,24984.0830,2.2600,7.9300,2.1015,2.1015,0.4400,66.0463,66.0463,3.1318,35.0930,35.0930,503774.7500,15000.0000,15000.0000,3994933.7675,118950.0000,,,0.1139,0.1139
