交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2003-04-15,11.5100,11.9900,11.3800,11.6900,,,292905.8100,340796.5600,0.7400,11.6900,50.5010,50.5010,,79.6171,79.6171,3.3151,2.9820,2.9820,12000.0000,5800.0000,5800.0000,140280.0000,67802.0000,,,0.0000
2003-04-16,11.6000,12.1300,11.3100,11.7800,0.0900,0.7700,154095.8900,179193.9190,0.7500,11.7800,26.5683,26.5683,,80.2301,80.2301,3.3407,3.0049,3.0049,12000.0000,5800.0000,5800.0000,141360.0000,68324.0000,,,0.0000
2003-04-17,11.7000,11.7700,11.3900,11.4700,-0.3100,-2.6300,70496.5300,81606.0770,0.7300,11.4700,12.1546,12.1546,,78.1188,78.1188,3.2528,2.9258,2.9258,12000.0000,5800.0000,5800.0000,137640.0000,66526.0000,,,0.0000
2003-04-18,11.4700,11.7000,11.4000,11.5000,0.0300,0.2600,37966.2100,43823.7050,0.7300,11.5000,6.5459,6.5459,,78.3231,78.3231,3.2613,2.9335,2.9335,12000.0000,5800.0000,5800.0000,138000.0000,66700.0000,,,0.0000
2003-04-21,11.5300,11.7300,11.4200,11.5900,0.0900,0.7800,39979.4900,46332.9870,0.7400,11.5900,6.8930,6.8930,,78.9361,78.9361,3.2868,2.9564,2.9564,12000.0000,5800.0000,5800.0000,139080.0000,67222.0000,,,0.0000
2003-04-22,11.4000,11.5900,11.0700,11.1600,-0.4300,-3.7100,44370.4600,49881.0950,0.7100,11.1600,7.6501,7.6501,0.3700,76.0075,76.0075,3.1648,2.8468,2.8468,12000.0000,5800.0000,5800.0000,133920.0000,64728.0000,,,0.0000
2003-04-23,11.1600,11.2800,10.6100,10.6400,-0.5200,-4.6600,45583.0900,49690.8550,0.6800,10.6400,7.8592,7.8592,0.6600,72.4659,72.4659,3.0174,2.7141,2.7141,12000.0000,5800.0000,5800.0000,127680.0000,61712.0000,,,0.0000
2003-04-24,10.6200,10.8000,10.4200,10.4600,-0.1800,-1.6900,26222.5000,27807.0690,0.6700,10.4600,4.5211,4.5211,0.5500,71.2400,71.2400,2.9663,2.6682,2.6682,12000.0000,5800.0000,5800.0000,125520.0000,60668.0000,,,0.0000
2003-04-25,10.4700,10.6400,10.1100,10.1500,-0.3100,-2.9600,20229.2000,20875.6980,0.6500,10.1500,3.4878,3.4878,0.5200,69.1287,69.1287,2.8784,2.5891,2.5891,12000.0000,5800.0000,5800.0000,121800.0000,58870.0000,,,0.0000
2003-04-28,10.0600,10.4900,9.8100,10.3500,0.2000,1.9700,28997.0600,29074.3540,0.6600,10.3500,4.9995,4.9995,0.8200,70.4908,70.4908,2.9351,2.6401,2.6401,12000.0000,5800.0000,5800.0000,124200.0000,60030.0000,,,0.0000
2003-04-29,10.2300,10.2500,9.9000,9.9100,-0.4400,-4.2500,16535.0900,16578.0800,0.6300,9.9100,2.8509,2.8509,0.5000,67.4941,67.4941,2.8104,2.5279,2.5279,12000.0000,5800.0000,5800.0000,118920.0000,57478.0000,,,0.0000
2003-04-30,9.9300,10.3500,9.9300,10.0500,0.1400,1.4100,17772.2300,17946.8590,0.6400,10.0500,3.0642,3.0642,0.6500,68.4476,68.4476,2.8501,2.5636,2.5636,12000.0000,5800.0000,5800.0000,120600.0000,58290.0000,,,0.0000
2003-05-12,10.1100,10.3600,9.8800,10.3300,0.2800,2.7900,22710.8800,23088.0210,0.6600,10.3300,3.9157,3.9157,1.0300,70.3546,70.3546,2.9295,2.6350,2.6350,12000.0000,5800.0000,5800.0000,123960.0000,59914.0000,,,0.0000
2003-05-13,10.4300,10.4800,9.9000,9.9600,-0.3700,-3.5800,26836.6500,27333.8500,0.6300,9.9600,4.6270,4.6270,1.2600,67.8346,67.8346,2.8245,2.5407,2.5407,12000.0000,5800.0000,5800.0000,119520.0000,57768.0000,,,0.0000
2003-05-14,9.9500,10.3800,9.9300,10.3500,0.3900,3.9200,22459.2100,22990.0900,0.6600,10.3500,3.8723,3.8723,1.0000,70.4908,70.4908,2.9351,2.6401,2.6401,12000.0000,5800.0000,5800.0000,124200.0000,60030.0000,,,0.0000
2003-05-15,10.3400,10.6500,10.2400,10.5200,0.1700,1.6400,36858.7600,38751.5250,0.6700,10.5200,6.3550,6.3550,1.7300,71.6486,71.6486,2.9833,2.6835,2.6835,12000.0000,5800.0000,5800.0000,126240.0000,61016.0000,,,0.0000
