交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2000-03-21,17.9100,18.0800,17.5000,17.7000,,,6028.0000,10679.4030,,,0.9247,1.4002,0.4300,37.7210,35.1625,6.5271,14.4707,12.3023,17220.0000,6519.0000,4305.0000,304794.0000,115386.3000,0.0000,,0.0000,0.0000
2000-03-22,17.8000,17.9000,17.5000,17.7200,0.0200,0.1100,7427.0000,13147.4840,,,1.1393,1.7252,0.7200,37.7636,35.2022,6.5345,14.4871,12.3162,17220.0000,6519.0000,4305.0000,305138.4000,115516.6800,0.0000,,0.0000,0.0000
2000-03-23,18.0000,18.9900,17.6000,18.6800,0.9600,5.4200,13551.0000,25052.8650,,,2.0787,3.1477,1.2600,39.8095,37.1093,6.8885,15.2719,12.9835,17220.0000,6519.0000,4305.0000,321669.6000,121774.9200,0.0000,,0.0000,0.0000
2000-03-24,18.7500,19.3000,18.5400,18.9600,0.2800,1.5000,13545.0000,25670.2640,,,2.0778,3.1463,1.2600,40.4062,37.6655,6.9918,15.5009,13.1781,17220.0000,6519.0000,4305.0000,326491.2000,123600.2400,0.0000,,0.0000,0.0000
2000-03-27,18.9600,19.9800,18.9600,19.5800,0.6200,3.2700,7851.0000,15383.5060,,,1.2043,1.8237,0.7900,41.7275,38.8972,7.2204,16.0077,13.6090,17220.0000,6519.0000,4305.0000,337167.6000,127642.0200,0.0000,,0.0000,0.0000
2000-03-28,19.6100,20.2000,19.3200,19.3300,-0.2500,-1.2800,4488.0000,8805.7810,,,0.6884,0.6884,0.4600,37.5056,37.5056,6.3640,10.6767,10.6767,17220.0000,6519.0000,6519.0000,332862.6000,126012.2700,0.0000,,0.0000,0.0000
2000-03-29,19.3300,19.5000,18.8600,19.3000,-0.0300,-0.1600,9115.0000,17362.5630,,,1.3982,1.3982,0.9700,37.4473,37.4473,6.3541,10.6601,10.6601,17220.0000,6519.0000,6519.0000,332346.0000,125816.7000,0.0000,,0.0000,0.0000
2000-03-30,19.9000,19.9000,19.1500,19.6400,0.3400,1.7600,6255.0000,12215.9410,,,0.9595,0.9595,0.6400,38.1070,38.1070,6.4661,10.8479,10.8479,17220.0000,6519.0000,6519.0000,338200.8000,128033.1600,0.0000,,0.0000,0.0000
2000-03-31,19.6400,19.6800,19.3000,19.3600,-0.2800,-1.4300,4872.0000,9495.1350,,,0.7474,0.7474,0.5900,37.5638,37.5638,6.3739,10.6933,10.6933,17220.0000,6519.0000,6519.0000,333379.2000,126207.8400,0.0000,,0.0000,0.0000
2000-04-03,19.5000,21.3000,19.2500,21.3000,1.9400,10.0200,37382.0000,78885.3900,,,5.7343,5.7343,5.7400,41.3279,41.3279,7.0126,11.7648,11.7648,17220.0000,6519.0000,6519.0000,366786.0000,138854.7000,0.0000,,0.0000,0.0000
2000-04-04,22.2000,23.4300,21.7100,23.4300,2.1300,10.0000,27981.0000,63458.7260,,,4.2922,4.2922,2.2500,45.4607,45.4607,7.7139,12.9413,12.9413,17220.0000,6519.0000,6519.0000,403464.6000,152740.1700,0.0000,,0.0000,0.0000
2000-04-05,24.1000,25.4000,23.4300,24.7000,1.2700,5.4200,54292.0000,133249.2880,,,8.3283,8.3283,3.1700,47.9248,47.9248,8.1320,13.6427,13.6427,17220.0000,6519.0000,6519.0000,425334.0000,161019.3000,0.0000,,0.0000,0.0000
2000-04-06,25.0500,25.2000,23.8000,24.3000,-0.4000,-1.6200,22043.0000,53659.7650,,,3.3813,3.3813,0.8400,47.1487,47.1487,8.0003,13.4218,13.4218,17220.0000,6519.0000,6519.0000,418446.0000,158411.7000,0.0000,,0.0000,0.0000
2000-04-07,24.3000,24.5000,23.2000,23.4000,-0.9000,-3.7000,21913.0000,51877.3150,,,3.3614,3.3614,0.7500,45.4025,45.4025,7.7040,12.9247,12.9247,17220.0000,6519.0000,6519.0000,402948.0000,152544.6000,0.0000,,0.0000,0.0000
2000-04-10,23.4000,24.2000,23.1000,23.4000,0.0000,0.0000,13246.0000,31438.3550,,,2.0319,2.0319,0.4000,45.4025,45.4025,7.7040,12.9247,12.9247,17220.0000,6519.0000,6519.0000,402948.0000,152544.6000,0.0000,,0.0000,0.0000
2000-04-11,23.4000,23.4000,22.1800,22.3200,-1.0800,-4.6200,20458.0000,46406.6490,,,2.4140,3.1382,0.7300,48.2389,48.2389,8.1853,13.7321,13.7321,19181.0525,8474.7000,6519.0000,428121.0918,189155.3040,0.0000,,0.0000,0.0000
2000-04-12,22.3000,23.1800,21.7000,22.1300,-0.1900,-0.8500,40163.0000,90128.6180,,,4.7392,6.1609,1.5200,47.8282,47.8282,8.1156,13.6152,13.6152,19181.0525,8474.7000,6519.0000,424476.6918,187545.1110,0.0000,,0.0000,0.0000
2000-04-13,22.1500,23.6000,21.3500,23.6000,1.4700,6.6400,53335.0000,118229.8390,,,6.2934,8.1815,2.2600,51.0053,51.0053,8.6547,14.5196,14.5196,19181.0525,8474.7000,6519.0000,452672.8390,200002.9200,0.0000,,0.0000,0.0000
2000-04-14,23.4800,24.3000,23.2800,24.0000,0.4000,1.6900,14063.0000,33598.3250,,,1.6594,2.1572,0.4700,51.8698,51.8698,8.8014,14.7657,14.7657,19181.0525,8474.7000,6519.0000,460345.2600,203392.8000,0.0000,,0.0000,0.0000
2000-04-17,24.0000,24.1500,23.2000,23.3500,-0.6500,-2.7100,10795.0000,25333.7460,,,1.2738,1.6559,0.3800,50.4650,50.4650,8.5630,14.3658,14.3658,19181.0525,8474.7000,6519.0000,447877.5759,197884.2450,0.0000,,0.0000,0.0000
