交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2000-03-15,10.0000,10.0200,9.6000,9.6700,,,30205.0000,29318.5010,,,3.0521,3.0521,2.6400,34.0743,33.3288,2.8697,1.9176,1.6892,37606.9405,9896.3480,9896.3480,363659.1146,95697.6852,1.0341,1.0341,0.0000
2000-03-16,9.6000,9.6000,9.2200,9.2200,-0.4500,-4.6500,16458.0000,15376.9060,,,1.6630,1.6630,1.0500,32.4886,31.7779,2.7362,1.8284,1.6106,37606.9405,9896.3480,9896.3480,346735.9914,91244.3286,1.0846,1.0846,0.0000
2000-03-17,9.1500,9.3600,9.0800,9.3100,0.0900,0.9800,15381.0000,14162.9400,,,1.5542,1.5542,0.8900,32.8057,32.0881,2.7629,1.8462,1.6263,37606.9405,9896.3480,9896.3480,350120.6161,92134.9999,1.0741,1.0741,0.0000
2000-03-20,9.2200,9.3000,9.0100,9.2900,-0.0200,-0.2100,17181.0000,15670.2230,,,1.7361,1.7361,0.9300,32.7353,32.0191,2.7570,1.8423,1.6228,37606.9405,9896.3480,9896.3480,349368.4772,91937.0729,1.0764,1.0764,0.0000
2000-03-21,9.3000,9.3800,9.2000,9.3800,0.0900,0.9700,14358.0000,13295.0640,,,1.4508,1.4508,0.7000,33.0524,32.3293,2.7837,1.8601,1.6386,37606.9405,9896.3480,9896.3480,352753.1019,92827.7442,1.0661,1.0661,0.0000
2000-03-22,9.3800,9.4000,9.2500,9.3200,-0.0600,-0.6400,11878.0000,11051.3850,,,1.2002,1.2002,0.6300,32.8410,32.1225,2.7659,1.8482,1.6281,37606.9405,9896.3480,9896.3480,350496.6855,92233.9634,1.0730,1.0730,0.0000
2000-03-23,9.2000,9.3300,9.2000,9.3300,0.0100,0.1100,13540.0000,12532.3610,,,1.3682,1.3682,0.9000,32.8762,32.1570,2.7688,1.8502,1.6298,37606.9405,9896.3480,9896.3480,350872.7549,92332.9268,1.0718,1.0718,0.0000
2000-03-24,9.3300,9.7000,9.3300,9.4800,0.1500,1.6100,20359.0000,19328.0120,,,2.0572,2.0572,1.4100,33.4048,32.6740,2.8134,1.8799,1.6560,37606.9405,9896.3480,9896.3480,356513.7959,93817.3790,1.0549,1.0549,0.0000
2000-03-27,9.5000,9.7300,9.5000,9.6600,0.1800,1.9000,16014.0000,15352.0740,,,1.6182,1.6182,1.0400,34.0390,33.2944,2.8668,1.9156,1.6875,37606.9405,9896.3480,9896.3480,363283.0452,95598.7217,1.0352,1.0352,0.0000
2000-03-28,9.7200,9.8300,9.5800,9.7200,0.0600,0.6200,16114.0000,15609.3140,,,1.6283,1.6283,1.0600,34.2504,33.5012,2.8846,1.9275,1.6980,37606.9405,9896.3480,9896.3480,365539.4617,96192.5026,1.0288,1.0288,0.0000
