交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2016-08-02,7.5200,9.0300,7.5200,9.0300,,,106694.7200,95460.0090,5.6700,9.0300,0.9242,0.9242,,10.9763,10.2313,1.3399,3.7168,3.4335,1154445.0000,115445.0000,115445.0000,10424638.3500,1042468.3500,,,0.0000
2016-08-03,9.9300,9.9300,9.9300,9.9300,0.9000,9.9700,80270.3100,79708.4180,6.2300,9.9300,0.6953,0.6953,,12.0702,11.2510,1.4735,4.0873,3.7757,1154445.0000,115445.0000,115445.0000,11463638.8500,1146368.8500,,,0.0000
2016-08-04,10.9200,10.9200,10.9200,10.9200,0.9900,9.9700,54760.7200,59798.7060,6.8500,10.9200,0.4743,0.4743,,13.2736,12.3727,1.6204,4.4948,4.1522,1154445.0000,115445.0000,115445.0000,12606539.4000,1260659.4000,,,0.0000
2016-08-05,12.0100,12.0100,11.2000,12.0100,1.0900,9.9800,5469613.6200,6432869.0980,7.5400,12.0100,47.3785,47.3785,,14.5986,13.6077,1.7821,4.9434,4.5666,1154445.0000,115445.0000,115445.0000,13864884.4500,1386494.4500,,,0.0000
2016-08-08,11.8000,11.8000,11.2800,11.4600,-0.5500,-4.5800,4064547.9900,4670736.7560,7.1900,11.4600,35.2077,35.2077,,13.9300,12.9845,1.7005,4.7170,4.3575,1154445.0000,115445.0000,115445.0000,13229939.7000,1322999.7000,,,0.0000
2016-08-09,11.4400,12.4900,11.3800,12.1900,0.7300,6.3700,4727996.8200,5584560.3510,7.6500,12.1900,40.9545,40.9545,2.4200,14.8174,13.8117,1.8089,5.0175,4.6351,1154445.0000,115445.0000,115445.0000,14072684.5500,1407274.5500,,,0.0000
2016-08-10,12.0000,13.1700,11.8700,12.6800,0.4900,4.0200,4381806.3500,5435933.9000,7.9600,12.6800,37.9558,37.9558,1.5200,15.4130,14.3668,1.8816,5.2192,4.8214,1154445.0000,115445.0000,115445.0000,14638362.6000,1463842.6000,,,0.0000
2016-08-11,12.5000,13.2600,12.3200,12.3900,-0.2900,-2.2900,3634283.2900,4626589.4710,7.7800,12.3900,31.4806,31.4806,0.9700,15.0605,14.0383,1.8385,5.0998,4.7111,1154445.0000,115445.0000,115445.0000,14303573.5500,1430363.5500,,,0.0000
2016-08-12,12.3900,13.6000,12.2500,13.5300,1.1400,9.2000,4045347.7600,5222662.2810,8.4900,13.5300,35.0413,35.0413,0.9100,16.4462,15.3299,2.0077,5.5691,5.1446,1154445.0000,115445.0000,115445.0000,15619640.8500,1561970.8500,,,0.0000
2016-08-15,13.5000,14.8400,13.3500,14.3600,0.8300,6.1300,4546386.9800,6350872.7280,9.0100,14.3600,39.3814,39.3814,1.0900,17.4551,16.2703,2.1309,5.9107,5.4602,1154445.0000,115445.0000,115445.0000,16577830.2000,1657790.2000,,,0.0000
2016-08-16,14.1500,14.3400,14.0000,14.2600,-0.1000,-0.7000,3111207.6200,4400520.1660,8.9500,14.2600,26.9497,26.9497,0.7300,17.3335,16.1570,2.1160,5.8696,5.4222,1154445.0000,115445.0000,115445.0000,16462385.7000,1646245.7000,,,0.0000
2016-08-17,14.1800,14.1800,13.4000,13.7100,-0.5500,-3.8600,3045650.5400,4193537.5320,8.6100,13.7100,26.3818,26.3818,0.7700,16.6650,15.5339,2.0344,5.6432,5.2130,1154445.0000,115445.0000,115445.0000,15827440.9500,1582750.9500,,,0.0000
2016-08-18,13.6000,13.9200,13.5200,13.6600,-0.0500,-0.3600,2071181.0200,2833380.1050,8.5700,13.6600,17.9408,17.9408,0.5600,16.6042,15.4772,2.0270,5.6226,5.1940,1154445.0000,115445.0000,115445.0000,15769718.7000,1576978.7000,,,0.0000
2016-08-19,13.6800,13.7200,13.1600,13.2400,-0.4200,-3.0700,2031242.4800,2705956.1820,8.3100,13.2400,17.5949,17.5949,0.6000,16.0937,15.0013,1.9647,5.4497,5.0343,1154445.0000,115445.0000,115445.0000,15284851.8000,1528491.8000,,,0.0000
2016-08-22,13.1600,13.2200,12.8100,13.0300,-0.2100,-1.5900,1602686.8700,2085723.8870,8.1800,13.0300,13.8827,13.8827,0.5400,15.8384,14.7634,1.9335,5.3633,4.9545,1154445.0000,115445.0000,115445.0000,15042418.3500,1504248.3500,,,0.0000
2016-08-23,12.9300,13.2000,12.8700,13.1400,0.1100,0.8400,1552113.4100,2023571.6790,8.2500,13.1400,13.4446,13.4446,0.6500,15.9721,14.8880,1.9498,5.4086,4.9963,1154445.0000,115445.0000,115445.0000,15169407.3000,1516947.3000,,,0.0000
2016-08-24,13.0800,13.1900,12.6500,12.6800,-0.4600,-3.5000,1722795.1000,2219006.0760,7.9600,12.6800,14.9231,14.9231,0.8400,15.4130,14.3668,1.8816,5.2192,4.8214,1154445.0000,115445.0000,115445.0000,14638362.6000,1463842.6000,,,0.0000
2016-08-25,12.4700,12.4800,12.1800,12.3700,-0.3100,-2.4400,1425750.4600,1759943.8060,7.7600,12.3700,12.3500,12.3500,0.7900,15.0362,14.0156,1.8356,5.0916,4.7035,1154445.0000,115445.0000,115445.0000,14280484.6500,1428054.6500,,,0.0000
2016-08-26,12.3800,12.4200,12.1000,12.1200,-0.2500,-2.0200,1174628.9400,1441192.7080,7.6100,12.1200,10.1748,10.1748,0.7000,14.7323,13.7323,1.7985,4.9887,4.6085,1154445.0000,115445.0000,115445.0000,13991873.4000,1399193.4000,,,0.0000
2016-08-29,12.0800,12.2700,12.0300,12.1800,0.0600,0.5000,748149.4900,909968.1740,7.6500,12.1800,6.4806,6.4806,0.5000,14.8052,13.8003,1.8074,5.0134,4.6313,1154445.0000,115445.0000,115445.0000,14061140.1000,1406120.1000,,,0.0000
