交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2022-01-05,63.0000,63.5800,57.7500,57.8800,,,2553654.0900,15259495.6850,48.9200,57.8800,54.2886,54.2886,,11.4438,10.8974,1.0297,1.6067,1.4651,2132118.2897,47038.5000,47038.5000,123407006.6078,2722588.3800,,,0.3324,0.3324
2022-01-06,57.8800,59.3300,57.5800,58.0000,0.1200,0.2100,1161576.8200,6731421.6840,49.0200,58.0000,24.6942,24.6942,,11.4676,10.9200,1.0318,1.6100,1.4682,2132118.2897,47038.5000,47038.5000,123662860.8026,2728233.0000,,,0.3618,0.3618
2022-01-07,57.8000,58.0600,57.5900,57.6200,-0.3800,-0.6600,638811.6500,3687982.6590,48.7000,57.6200,13.5806,13.5806,,11.3924,10.8485,1.0251,1.5995,1.4586,2132118.2897,47038.5000,47038.5000,122852655.8525,2710358.3700,,,0.3623,0.3623
2022-01-10,57.7000,59.4900,57.6800,58.8000,1.1800,2.0500,753268.5800,4402100.2180,49.7000,58.8000,16.0139,16.0139,,11.6257,11.0707,1.0461,1.6323,1.4884,2132118.2897,47038.5000,47038.5000,125368555.4344,2765863.8000,,,0.3629,0.3629
2022-01-11,58.6000,59.1200,57.9300,58.0900,-0.7100,-1.2100,347005.7800,2030028.6510,49.1000,58.0900,7.3771,7.3771,,11.4854,10.9370,1.0334,1.6125,1.4705,2132118.2897,47038.5000,47038.5000,123854751.4487,2732466.4650,,,0.3573,0.3573
2022-01-12,58.2900,58.2900,57.8000,58.1100,0.0200,0.0300,256171.3200,1484862.9400,49.1100,58.1100,5.4460,5.4460,0.2300,11.4893,10.9407,1.0338,1.6131,1.4710,2132118.2897,47038.5000,47038.5000,123897393.8145,2733407.2350,,,0.3592,0.3592
2022-01-13,58.0100,58.0100,57.7800,57.8100,-0.3000,-0.5200,246450.1800,1426048.4420,48.8600,57.8100,5.2393,5.2393,0.3900,11.4300,10.8843,1.0285,1.6048,1.4634,2132118.2897,47038.5000,47038.5000,123257758.3276,2719295.6850,,,0.3610,0.3610
2022-01-14,57.7100,57.8000,57.6100,57.6500,-0.1600,-0.2800,240190.4900,1385033.3750,48.7200,57.6500,5.1063,5.1063,0.5400,11.3984,10.8541,1.0256,1.6003,1.4593,2132118.2897,47038.5000,47038.5000,122916619.4012,2711769.5250,,,0.3628,0.3628
2022-01-17,57.6500,57.7200,57.5900,57.6000,-0.0500,-0.0900,268155.8500,1544964.7830,48.6800,57.6000,5.7008,5.7008,0.7300,11.3885,10.8447,1.0247,1.5989,1.4581,2132118.2897,47038.5000,47038.5000,122810013.4867,2709417.6000,,,0.3632,0.3632
2022-01-18,57.6000,57.7300,57.5900,57.6200,0.0200,0.0300,207740.2100,1196931.8830,48.7000,57.6200,4.4164,4.4164,0.7600,11.3924,10.8485,1.0251,1.5995,1.4586,2132118.2897,47038.5000,47038.5000,122852655.8525,2710358.3700,,,0.3635,0.3635
2022-01-19,57.6000,57.6200,57.5800,57.5800,-0.0400,-0.0700,373089.1500,2148398.6560,48.6600,57.5800,7.9316,7.9316,1.5300,11.3845,10.8410,1.0244,1.5984,1.4575,2132118.2897,47038.5000,47038.5000,122767371.1209,2708476.8300,,,0.3635,0.3635
2022-01-20,57.5900,57.7100,57.5800,57.6300,0.0500,0.0900,231803.3200,1335238.8430,48.7100,57.6300,4.9279,4.9279,0.8700,11.3944,10.8504,1.0253,1.5998,1.4588,2132118.2897,47038.5000,47038.5000,122873977.0354,2710828.7550,,,0.3636,0.3636
2022-01-21,57.6100,57.6200,57.5800,57.5800,-0.0500,-0.0900,191844.2500,1104712.9300,48.6600,57.5800,4.0785,4.0785,0.7300,11.3845,10.8410,1.0244,1.5984,1.4575,2132118.2897,47038.5000,47038.5000,122767371.1209,2708476.8300,,,0.3635,0.3635
2022-01-24,57.6800,58.7300,57.6400,58.1900,0.6100,1.0600,297097.7800,1724572.8610,49.1800,58.1900,6.3161,6.3161,1.1700,11.5051,10.9558,1.0352,1.6153,1.4730,2132118.2897,47038.5000,47038.5000,124067963.2776,2737170.3150,,,0.3630,0.3630
2022-01-25,57.9000,58.0300,57.5900,57.5900,-0.6000,-1.0300,184368.1700,1063494.0950,48.6700,57.5900,3.9195,3.9195,0.7100,11.3865,10.8428,1.0246,1.5987,1.4578,2132118.2897,47038.5000,47038.5000,122788692.3038,2708947.2150,,,0.3616,0.3616
2022-01-26,57.5900,58.0000,57.5800,57.6300,0.0400,0.0700,188212.0500,1086086.0790,48.7100,57.6300,4.0012,4.0012,0.7400,11.3944,10.8504,1.0253,1.5998,1.4588,2132118.2897,47038.5000,47038.5000,122873977.0354,2710828.7550,,,0.3636,0.3636
2022-01-27,57.6000,57.6600,57.5800,57.5800,-0.0500,-0.0900,339783.7700,1956625.1760,48.6600,57.5800,7.2235,7.2235,1.5500,11.3845,10.8410,1.0244,1.5984,1.4575,2132118.2897,47038.5000,47038.5000,122767371.1209,2708476.8300,,,0.3635,0.3635
2022-01-28,57.5900,57.6100,57.5800,57.5800,0.0000,0.0000,290080.4900,1670419.3300,48.6600,57.5800,6.1669,6.1669,1.2100,11.3845,10.8410,1.0244,1.5984,1.4575,2132118.2897,47038.5000,47038.5000,122767371.1209,2708476.8300,,,0.3636,0.3636
