交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2004-04-28,10.0100,10.8700,9.9300,10.4100,,,234175.3500,242753.5600,2.0800,10.4100,58.5438,58.5438,,67.0353,67.0353,3.2667,9.2862,9.2862,9000.0000,4000.0000,4000.0000,93690.0000,41640.0000,,,0.0000,0.0000
2004-04-29,10.1800,10.4300,9.3700,10.0000,-0.4100,-3.9400,129907.7900,127878.2460,1.9900,10.0000,32.4769,32.4769,,64.3951,64.3951,3.1380,8.9205,8.9205,9000.0000,4000.0000,4000.0000,90000.0000,40000.0000,,,0.0000,0.0000
2004-04-30,9.9000,10.7400,9.8000,10.4000,0.4000,4.0000,92722.0800,95668.8810,2.0700,10.4000,23.1805,23.1805,,66.9709,66.9709,3.2635,9.2773,9.2773,9000.0000,4000.0000,4000.0000,93600.0000,41600.0000,,,0.0000,0.0000
2004-05-10,10.4000,10.4400,9.9000,10.1200,-0.2800,-2.6900,41500.8200,41888.5670,2.0200,10.1200,10.3752,10.3752,,65.1678,65.1678,3.1757,9.0275,9.0275,9000.0000,4000.0000,4000.0000,91080.0000,40480.0000,,,0.0000,0.0000
2004-05-11,10.0800,10.1800,9.7200,9.9300,-0.1900,-1.8800,35932.8400,35837.3960,1.9800,9.9300,8.9832,8.9832,,63.9443,63.9443,3.1160,8.8580,8.8580,9000.0000,4000.0000,4000.0000,89370.0000,39720.0000,,,0.0000,0.0000
2004-05-12,9.9500,10.9200,9.8000,10.7300,0.8000,8.0600,77239.3700,80395.9960,2.1400,10.7300,19.3098,19.3098,0.7200,69.0959,69.0959,3.3671,9.5717,9.5717,9000.0000,4000.0000,4000.0000,96570.0000,42920.0000,,,0.0000,0.0000
2004-05-13,10.6300,11.1300,10.4500,10.7400,0.0100,0.0900,85585.8600,92299.8270,2.1400,10.7400,21.3965,21.3965,1.1300,69.1603,69.1603,3.3702,9.5806,9.5806,9000.0000,4000.0000,4000.0000,96660.0000,42960.0000,,,0.0000,0.0000
2004-05-14,10.7400,11.0400,10.5000,10.6700,-0.0700,-0.6500,69257.6400,74598.0650,2.1300,10.6700,17.3144,17.3144,1.0400,68.7095,68.7095,3.3482,9.5182,9.5182,9000.0000,4000.0000,4000.0000,96030.0000,42680.0000,,,0.0000,0.0000
2004-05-17,10.6200,11.2400,10.5100,10.9700,0.3000,2.8100,62294.1200,67957.2260,2.1900,10.9700,15.5735,15.5735,1.0100,70.6414,70.6414,3.4424,9.7858,9.7858,9000.0000,4000.0000,4000.0000,98730.0000,43880.0000,,,0.0000,0.0000
2004-05-18,11.0300,11.3900,10.9500,11.1500,0.1800,1.6400,61784.4500,68912.3600,2.2200,11.1500,15.4461,15.4461,0.9400,71.8005,71.8005,3.4989,9.9463,9.9463,9000.0000,4000.0000,4000.0000,100350.0000,44600.0000,,,0.0000,0.0000
2004-05-19,11.1900,11.2100,10.7500,10.7900,-0.3600,-3.2300,42528.9400,46778.3490,2.1500,10.7900,10.6322,10.6322,0.6000,69.4823,69.4823,3.3859,9.6252,9.6252,9000.0000,4000.0000,4000.0000,97110.0000,43160.0000,,,0.0000,0.0000
2004-05-20,10.7500,10.8800,10.5000,10.6900,-0.1000,-0.9300,38242.5700,40909.2240,2.1300,10.6900,9.5606,9.5606,0.5900,68.8383,68.8383,3.3545,9.5360,9.5360,9000.0000,4000.0000,4000.0000,96210.0000,42760.0000,,,0.0000,0.0000
2004-05-21,10.7000,10.8200,10.3800,10.6100,-0.0800,-0.7500,26055.4500,27558.7820,2.1100,10.6100,6.5139,6.5139,0.4800,68.3232,68.3232,3.3294,9.4646,9.4646,9000.0000,4000.0000,4000.0000,95490.0000,42440.0000,,,0.0000,0.0000
2004-05-24,10.6000,10.8700,10.5500,10.6800,0.0700,0.6600,22308.1700,23906.4420,2.1300,10.6800,5.5770,5.5770,0.4800,68.7739,68.7739,3.3514,9.5271,9.5271,9000.0000,4000.0000,4000.0000,96120.0000,42720.0000,,,0.0000,0.0000
2004-05-25,10.6500,10.7200,10.0200,10.0700,-0.6100,-5.7100,31246.7800,32313.9730,2.0100,10.0700,7.8117,7.8117,0.8200,64.8458,64.8458,3.1600,8.9829,8.9829,9000.0000,4000.0000,4000.0000,90630.0000,40280.0000,,,0.0000,0.0000
2004-05-26,10.0000,10.2500,9.8100,10.0600,-0.0100,-0.1000,25424.2700,25473.7290,2.0100,10.0600,6.3561,6.3561,0.7900,64.7814,64.7814,3.1568,8.9740,8.9740,9000.0000,4000.0000,4000.0000,90540.0000,40240.0000,,,0.0000,0.0000
