交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2006-08-01,6.3900,6.3900,5.4900,5.5200,,,6144363.5700,3525562.3950,2.1600,5.5200,50.6904,50.6904,,20.1142,20.1142,2.1600,5.4661,5.4661,1297675.7127,121213.5000,121213.5000,7163169.9341,669098.5200,,,0.0000,0.0000
2006-08-02,5.5400,5.8200,5.5200,5.7300,0.2100,3.8000,2326504.3800,1320554.6720,2.2400,5.7300,19.1934,19.1934,,20.8794,20.8794,2.2422,5.6741,5.6741,1297675.7127,121213.5000,121213.5000,7435681.8338,694553.3550,,,0.0000,0.0000
2006-08-03,5.6900,5.8400,5.6600,5.7100,-0.0200,-0.3500,1004981.2500,576989.7470,2.2400,5.7100,8.2910,8.2910,,20.8066,20.8066,2.2343,5.6543,5.6543,1297675.7127,121213.5000,121213.5000,7409728.3195,692129.0850,,,0.0000,0.0000
2006-08-04,5.7300,5.7900,5.6400,5.6600,-0.0500,-0.8800,791738.8500,451126.5770,2.2200,5.6600,6.5318,6.5318,,20.6244,20.6244,2.2148,5.6048,5.6048,1297675.7127,121213.5000,121213.5000,7344844.5339,686068.4100,,,0.0000,0.0000
2006-08-07,5.6400,5.9600,5.5900,5.8800,0.2200,3.8900,1263764.6700,729556.7880,2.3000,5.8800,10.4259,10.4259,,21.4260,21.4260,2.3009,5.8226,5.8226,1297675.7127,121213.5000,121213.5000,7630333.1907,712735.3800,,,0.0000,0.0000
2006-08-08,5.8700,5.9500,5.8400,5.9100,0.0300,0.5100,697984.4200,410854.7240,2.3100,5.9100,5.7583,5.7583,0.3000,21.5353,21.5353,2.3126,5.8523,5.8523,1297675.7127,121213.5000,121213.5000,7669263.4621,716371.7850,,,0.0000,0.0000
2006-08-09,5.9000,5.9000,5.7300,5.7500,-0.1600,-2.7100,570568.3700,329890.1630,2.2500,5.7500,4.7071,4.7071,0.4700,20.9523,20.9523,2.2500,5.6939,5.6939,1297675.7127,121213.5000,121213.5000,7461635.3480,696977.6250,,,0.0000,0.0000
2006-08-10,5.7500,5.8100,5.7100,5.8000,0.0500,0.8700,464742.5300,267724.6240,2.2700,5.8000,3.8341,3.8341,0.5400,21.1345,21.1345,2.2695,5.7434,5.7434,1297675.7127,121213.5000,121213.5000,7526519.1337,703038.3000,,,0.0000,0.0000
2006-08-11,5.7700,5.8100,5.7000,5.7900,-0.0100,-0.1700,443817.8900,255447.8220,2.2700,5.7900,3.6615,3.6615,0.5900,21.0981,21.0981,2.2656,5.7335,5.7335,1297675.7127,121213.5000,121213.5000,7513542.3765,701826.1650,,,0.0000,0.0000
2006-08-14,5.8000,5.8400,5.6400,5.6600,-0.1300,-2.2500,508283.6600,290596.3170,2.2200,5.6600,4.1933,4.1933,0.7400,20.6244,20.6244,2.2148,5.6048,5.6048,1297675.7127,121213.5000,121213.5000,7344844.5339,686068.4100,,,0.0000,0.0000
