交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2007-07-19,19.2000,19.9800,18.3000,18.9400,,,2950693.7000,5639407.7520,2.7400,18.9400,62.4485,62.4485,,58.5033,58.5033,3.7307,23.0524,23.0524,183675.1340,47250.0000,47250.0000,3478807.0380,894915.0000,,,0.0000,0.0000
2007-07-20,18.5500,20.5000,18.5000,19.8700,0.9300,4.9100,1503678.0800,2923108.5760,2.8800,19.8700,31.8239,31.8239,,61.3760,61.3760,3.9139,24.1843,24.1843,183675.1340,47250.0000,47250.0000,3649624.9126,938857.5000,,,0.0000,0.0000
2007-07-23,20.0100,21.2300,19.8000,20.3700,0.5000,2.5200,1323639.0700,2710959.8040,2.9500,20.3700,28.0135,28.0135,,62.9204,62.9204,4.0124,24.7929,24.7929,183675.1340,47250.0000,47250.0000,3741462.4796,962482.5000,,,0.0000,0.0000
2007-07-24,20.3000,20.8000,19.9000,20.1800,-0.1900,-0.9300,663171.4700,1347420.0750,2.9200,20.1800,14.0354,14.0354,,62.3336,62.3336,3.9750,24.5616,24.5616,183675.1340,47250.0000,47250.0000,3706564.2041,953505.0000,,,0.0000,0.0000
2007-07-25,20.2300,22.2000,20.1600,22.2000,2.0200,10.0100,612048.9700,1304179.2640,3.2200,22.2000,12.9534,12.9534,,68.5731,68.5731,4.3729,27.0202,27.0202,183675.1340,47250.0000,47250.0000,4077587.9748,1048950.0000,,,0.0000,0.0000
2007-07-26,23.1500,24.3700,22.8800,23.6500,1.4500,6.5300,1141710.4500,2687338.2300,3.4300,23.6500,24.1632,24.1632,0.8100,73.0520,73.0520,4.6585,28.7851,28.7851,183675.1340,47250.0000,47250.0000,4343916.9191,1117462.5000,,,0.0000,0.0000
2007-07-27,23.2700,24.6700,23.0000,24.4900,0.8400,3.5500,725397.5400,1719158.7540,3.5500,24.4900,15.3523,15.3523,0.6900,75.6466,75.6466,4.8240,29.8075,29.8075,183675.1340,47250.0000,47250.0000,4498204.0317,1157152.5000,,,0.0000,0.0000
2007-07-30,24.1800,24.4700,23.7100,23.9600,-0.5300,-2.1600,529838.3000,1275886.5840,3.4700,23.9600,11.2135,11.2135,0.5900,74.0095,74.0095,4.7196,29.1624,29.1624,183675.1340,47250.0000,47250.0000,4400856.2106,1132110.0000,,,0.0000,0.0000
2007-07-31,23.5000,23.7700,22.6500,23.4500,-0.5100,-2.1300,539854.8700,1254967.0670,3.4000,23.4500,11.4255,11.4255,0.7400,72.4342,72.4342,4.6191,28.5417,28.5417,183675.1340,47250.0000,47250.0000,4307181.8923,1108012.5000,,,0.0000,0.0000
2007-08-01,23.9000,24.4500,22.8900,23.1600,-0.2900,-1.2400,587244.2500,1394600.0080,3.3500,23.1600,12.4284,12.4284,0.8300,71.5384,71.5384,4.5620,28.1887,28.1887,183675.1340,47250.0000,47250.0000,4253916.1034,1094310.0000,,,0.0000,0.0000
2007-08-02,23.3200,25.1200,22.9000,24.4700,1.3100,5.6600,664086.4900,1589049.9950,3.5400,24.4700,14.0547,14.0547,0.9400,75.5848,75.5848,4.8200,29.7831,29.7831,183675.1340,47250.0000,47250.0000,4494530.5290,1156207.5000,,,0.0000,0.0000
2007-08-03,24.4000,25.1000,24.1200,24.6600,0.1900,0.7800,593815.6100,1457286.8110,3.5700,24.6600,12.5675,12.5675,0.9700,76.1717,76.1717,4.8574,30.0144,30.0144,183675.1340,47250.0000,47250.0000,4529428.8044,1165185.0000,,,0.0000,0.0000
2007-08-06,24.7000,24.7000,23.7200,24.0600,-0.6000,-2.4300,407552.6700,979301.4940,3.4800,24.0600,8.6255,8.6255,0.7000,74.3184,74.3184,4.7393,29.2841,29.2841,183675.1340,47250.0000,47250.0000,4419223.7240,1136835.0000,,,0.0000,0.0000
2007-08-07,24.0000,24.0000,23.0100,23.4600,-0.6000,-2.4900,316076.3400,742569.3880,3.4000,23.4600,6.6894,6.6894,0.5700,72.4651,72.4651,4.6211,28.5538,28.5538,183675.1340,47250.0000,47250.0000,4309018.6436,1108485.0000,,,0.0000,0.0000
2007-08-08,23.0200,23.9000,22.9000,23.3000,-0.1600,-0.6800,306370.9400,715981.0200,3.3700,23.3000,6.4840,6.4840,0.6000,71.9709,71.9709,4.5896,28.3591,28.3591,183675.1340,47250.0000,47250.0000,4279630.6222,1100925.0000,,,0.0000,0.0000
2007-08-09,23.3200,23.6500,23.0000,23.1900,-0.1100,-0.4700,235531.1400,546839.4220,3.3600,23.1900,4.9848,4.9848,0.5100,71.6311,71.6311,4.5679,28.2252,28.2252,183675.1340,47250.0000,47250.0000,4259426.3575,1095727.5000,,,0.0000,0.0000
2007-08-10,23.2000,23.4000,22.0000,22.4000,-0.7900,-3.4100,345941.1300,780092.3400,3.2400,22.4000,7.3215,7.3215,0.9300,69.1909,69.1909,4.4123,27.2637,27.2637,183675.1340,47250.0000,47250.0000,4114323.0016,1058400.0000,,,0.0000,0.0000
2007-08-13,22.2500,22.9800,21.5100,22.2400,-0.1600,-0.7100,321660.0900,716903.1140,3.2200,22.2400,6.8076,6.8076,1.0000,68.6966,68.6966,4.3808,27.0689,27.0689,183675.1340,47250.0000,47250.0000,4084934.9802,1050840.0000,,,0.0000,0.0000
2007-08-14,22.3200,22.8500,22.2000,22.8100,0.5700,2.5600,177860.4900,401124.0030,3.3000,22.8100,3.7642,3.7642,0.5800,70.4573,70.4573,4.4930,27.7627,27.7627,183675.1340,47250.0000,47250.0000,4189629.8065,1077772.5000,,,0.0000,0.0000
2007-08-15,22.7800,23.1000,22.5100,22.8100,0.0000,0.0000,184122.3800,420528.3230,3.3000,22.8100,3.8968,3.8968,0.6600,70.4573,70.4573,4.4930,27.7627,27.7627,183675.1340,47250.0000,47250.0000,4189629.8065,1077772.5000,,,0.0000,0.0000
2007-08-16,22.6000,22.6000,21.9000,22.1500,-0.6600,-2.8900,196523.6500,435022.1020,3.2100,22.1500,4.1592,4.1592,0.7800,68.4186,68.4186,4.3630,26.9594,26.9594,183675.1340,47250.0000,47250.0000,4068404.2181,1046587.5000,,,0.0000,0.0000
2007-08-17,22.0000,22.3000,21.4000,21.4500,-0.7000,-3.1600,187132.9600,406521.7210,3.1100,21.4500,3.9605,3.9605,0.7600,66.2564,66.2564,4.2252,26.1074,26.1074,183675.1340,47250.0000,47250.0000,3939831.6243,1013512.5000,,,0.0000,0.0000
2007-08-20,22.0000,22.5500,21.7000,22.2300,0.7800,3.6400,223997.4200,496546.1100,3.2200,22.2300,4.7407,4.7407,1.0500,68.6658,64.9991,4.3788,27.0568,25.6438,183675.1340,47250.0000,47250.0000,4083098.2288,1050367.5000,,,0.0000,0.0000
2007-08-21,22.2600,22.3800,21.7000,21.9300,-0.3000,-1.3500,267611.5000,586690.2820,3.1800,21.9300,5.6637,5.6637,1.3800,67.7391,64.1219,4.3197,26.6916,25.2978,183675.1340,47250.0000,47250.0000,4027995.6886,1036192.5000,,,0.0000,0.0000
2007-08-22,21.5000,22.5600,21.4500,22.3900,0.4600,2.1000,314338.3900,688548.4410,3.2400,22.3900,6.6527,6.6527,1.4800,69.1600,65.4669,4.4103,27.2515,25.8284,183675.1340,47250.0000,47250.0000,4112486.2503,1057927.5000,,,0.0000,0.0000
2007-08-23,22.4000,22.4200,21.9100,21.9900,-0.4000,-1.7900,152691.2700,337220.8500,3.1800,21.9900,3.2316,3.2316,0.6400,67.9244,64.2973,4.3315,26.7646,25.3670,183675.1340,47250.0000,47250.0000,4039016.1967,1039027.5000,,,0.0000,0.0000
2007-08-24,22.0500,22.5800,21.9000,22.1800,0.1900,0.8600,259425.3600,577785.0040,3.2100,22.1800,5.4905,5.4905,1.1300,68.5113,64.8529,4.3689,26.9959,25.5862,183675.1340,47250.0000,47250.0000,4073914.4721,1048005.0000,,,0.0000,0.0000
2007-08-27,22.4500,23.2000,22.2000,22.6900,0.5100,2.3000,335174.4500,764524.8030,3.2900,22.6900,7.0936,7.0936,1.3800,70.0866,66.3441,4.4694,27.6166,26.1745,183675.1340,47250.0000,47250.0000,4167588.7905,1072102.5000,,,0.0000,0.0000
2007-08-28,22.6900,22.6900,21.9000,22.0700,-0.6200,-2.7300,203110.1500,449189.0780,3.2000,22.0700,4.2986,4.2986,0.7600,68.1715,64.5312,4.3473,26.8620,25.4593,183675.1340,47250.0000,47250.0000,4053710.2074,1042807.5000,,,0.0000,0.0000
2007-08-29,21.8800,21.9000,21.1800,21.2100,-0.8600,-3.9000,286329.6900,613674.9460,3.0700,21.2100,6.0599,6.0599,1.1300,65.5151,62.0167,4.1779,25.8153,24.4672,183675.1340,47250.0000,47250.0000,3895749.5921,1002172.5000,,,0.0000,0.0000
2007-08-30,21.4200,21.6400,21.1600,21.5300,0.3200,1.5100,135017.6800,288801.7810,3.1200,21.5300,2.8575,2.8575,0.5500,66.5035,62.9523,4.2409,26.2048,24.8363,183675.1340,47250.0000,47250.0000,3954525.6350,1017292.5000,,,0.0000,0.0000
2007-08-31,21.5500,21.5600,21.2000,21.4200,-0.1100,-0.5100,128777.3200,274697.9960,3.1000,21.4200,2.7254,2.7254,0.5300,66.1638,62.6307,4.2192,26.0709,24.7094,183675.1340,47250.0000,47250.0000,3934321.3703,1012095.0000,,,0.0000,0.0000
2007-09-03,21.4000,21.7300,21.3300,21.4900,0.0700,0.3300,171606.8600,368568.4200,3.1100,21.4900,3.6319,3.6319,0.7900,66.3800,62.8354,4.2330,26.1561,24.7902,183675.1340,47250.0000,47250.0000,3947178.6297,1015402.5000,,,0.0000,0.0000
2007-09-05,21.2200,21.6700,21.1300,21.4200,-0.0700,-0.3300,142989.5400,305085.8330,3.1000,21.4200,3.0262,3.0262,0.7700,66.1638,62.6307,4.2192,26.0709,24.7094,183675.1340,47250.0000,47250.0000,3934321.3703,1012095.0000,,,0.0000,0.0000
2007-09-06,21.5300,22.0500,21.2500,21.7700,0.3500,1.6300,199999.9100,433755.9140,3.1500,21.7700,4.2328,4.2328,1.1600,67.2449,63.6541,4.2882,26.4969,25.1132,183675.1340,47250.0000,47250.0000,3998607.6672,1028632.5000,,,0.0000,0.0000
2007-09-07,21.7700,22.8500,21.6100,22.0800,0.3100,1.4200,340428.9100,759336.5180,3.2000,22.0800,7.2048,7.2048,2.1900,68.2024,64.5605,4.3492,26.8742,25.4708,183675.1340,47250.0000,47250.0000,4055546.9587,1043280.0000,,,0.0000,0.0000
2007-09-10,21.9100,22.5000,21.3000,22.1900,0.1100,0.5000,188896.2600,412391.4340,3.2100,22.1900,3.9978,3.9978,0.9600,68.5422,64.8821,4.3709,27.0081,25.5977,183675.1340,47250.0000,47250.0000,4075751.2235,1048477.5000,,,0.0000,0.0000
2007-09-11,22.1800,22.1900,20.5000,20.6800,-1.5100,-6.8000,167658.6200,359558.6960,3.0000,20.6800,3.5483,3.5483,0.8000,63.8780,60.4670,4.0735,25.1702,23.8558,183675.1340,47250.0000,47250.0000,3798401.7711,977130.0000,,,0.0000,0.0000
2007-09-12,20.5000,21.1000,20.0200,20.3900,-0.2900,-1.4000,156298.4300,318902.8140,2.9500,20.3900,3.3079,3.3079,0.7500,62.9822,59.6190,4.0164,24.8172,23.5213,183675.1340,47250.0000,47250.0000,3745135.9823,963427.5000,,,0.0000,0.0000
2007-09-13,20.4500,20.8500,20.3300,20.6400,0.2500,1.2300,126441.8700,260076.7670,2.9900,20.6400,2.6760,2.6760,0.6000,63.7544,60.3500,4.0656,25.1215,23.8097,183675.1340,47250.0000,47250.0000,3791054.7658,975240.0000,,,0.0000,0.0000
2007-09-14,20.6400,20.8900,20.3100,20.5900,-0.0500,-0.2400,98502.9500,203318.3340,2.9800,20.5900,2.0847,2.0847,0.5000,63.6000,60.2038,4.0558,25.0607,23.7520,183675.1340,47250.0000,47250.0000,3781871.0091,972877.5000,,,0.0000,0.0000
2007-09-17,20.6000,21.3500,20.6000,21.2400,0.6500,3.1600,140627.4400,295464.8120,3.0800,21.2400,2.9762,2.9762,0.9500,65.6078,62.1044,4.1838,25.8518,24.5018,183675.1340,47250.0000,47250.0000,3901259.8462,1003590.0000,,,0.0000,0.0000
2007-09-18,21.3100,21.6000,20.8300,21.5900,0.3500,1.6500,175995.8700,374680.0440,3.1300,21.5900,3.7248,3.7248,1.2800,66.6889,63.1278,4.2527,26.2778,24.9056,183675.1340,47250.0000,47250.0000,3965546.1431,1020127.5000,,,0.0000,0.0000
2007-09-19,21.7800,21.9000,20.6300,20.7500,-0.8400,-3.8900,207313.6400,440678.3960,3.0100,20.7500,4.3876,4.3876,1.4900,64.0942,60.6716,4.0873,25.2554,23.9366,183675.1340,47250.0000,47250.0000,3811259.0305,980437.5000,,,0.0000,0.0000
2007-09-20,21.0100,21.2100,20.5000,20.8200,0.0700,0.3400,149287.6100,310213.0760,3.0200,20.8200,3.1595,3.1595,1.0000,64.3104,60.8763,4.1011,25.3406,24.0173,183675.1340,47250.0000,47250.0000,3824116.2899,983745.0000,,,0.0000,0.0000
2007-09-21,20.6000,20.6100,19.8100,20.0900,-0.7300,-3.5100,184853.8700,371926.6830,2.9100,20.0900,3.9123,3.9123,1.2000,62.0556,58.7419,3.9573,24.4521,23.1752,183675.1340,47250.0000,47250.0000,3690033.4421,949252.5000,,,0.0000,0.0000
2007-09-24,20.1000,20.2000,19.3500,19.7200,-0.3700,-1.8400,129909.6200,255237.8460,2.8600,19.7200,2.7494,2.7494,0.7600,60.9127,57.6600,3.8844,24.0018,22.7484,183675.1340,47250.0000,47250.0000,3622073.6425,931770.0000,,,0.0000,0.0000
2007-09-25,19.8000,19.9800,19.5800,19.6300,-0.0900,-0.4600,94922.1800,187279.9950,2.8400,19.6300,2.0089,2.0089,0.5600,60.6347,57.3968,3.8667,23.8922,22.6446,183675.1340,47250.0000,47250.0000,3605542.8804,927517.5000,,,0.0000,0.0000
2007-09-26,19.6600,20.1000,19.6600,19.9000,0.2700,1.3800,89846.8300,178628.7940,2.8800,19.9000,1.9015,1.9015,0.5900,61.4687,58.1863,3.9198,24.2208,22.9560,183675.1340,47250.0000,47250.0000,3655135.1666,940275.0000,,,0.0000,0.0000
2007-09-27,19.9600,20.2000,19.8800,20.0300,0.1300,0.6500,128332.8000,257087.8080,2.9000,20.0300,2.7160,2.7160,0.9900,61.8702,58.5664,3.9454,24.3791,23.1060,183675.1340,47250.0000,47250.0000,3679012.9340,946417.5000,,,0.0000,0.0000
2007-09-28,20.1800,20.2500,19.9000,20.0100,-0.0200,-0.1000,151617.2400,303430.6780,2.9000,20.0100,3.2088,3.2088,1.2100,61.8084,58.5079,3.9415,24.3547,23.0829,183675.1340,47250.0000,47250.0000,3675339.4313,945472.5000,,,0.0000,0.0000
2007-10-08,20.3000,20.7500,20.0000,20.3600,0.3500,1.7500,202031.2500,413042.9170,2.9500,20.3600,4.2758,4.2758,1.7000,62.8896,59.5313,4.0104,24.7807,23.4867,183675.1340,47250.0000,47250.0000,3739625.7282,962010.0000,,,0.0000,0.0000
