交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%)
2019-10-29,8.8300,10.6000,8.8300,9.3500,,,4184938.4500,4059400.3210,6.7400,9.3500,38.0356,38.0356,,11.7229,10.2592,1.2243,4.0659,4.0283,1135700.0000,110026.9468,110026.9468,10618795.0000,1028751.9526,,,0.0000,0.0000
2019-10-30,8.8000,8.8000,8.4200,8.4200,-0.9300,-9.9500,2733522.0600,2320616.2940,6.0700,8.4200,24.8441,24.8441,,10.5568,9.2387,1.1026,3.6615,3.6276,1135700.0000,110026.9468,110026.9468,9562594.0000,926426.8921,,,0.0000,0.0000
2019-10-31,7.8500,8.4700,7.6600,8.1000,-0.3200,-3.8000,2868731.9400,2286077.3920,5.8400,8.1000,26.0730,26.0730,,10.1556,8.8876,1.0607,3.5224,3.4897,1135700.0000,110026.9468,110026.9468,9199170.0000,891218.2691,,,0.0000,0.0000
2019-11-01,7.8700,8.0700,7.8000,7.8800,-0.2200,-2.7200,1691788.5600,1336825.8820,5.6800,7.8800,15.3761,15.3761,,9.8798,8.6462,1.0319,3.4267,3.3949,1135700.0000,110026.9468,110026.9468,8949316.0000,867012.3408,,,0.0000,0.0000
2019-11-04,7.8100,7.9200,7.6600,7.6900,-0.1900,-2.4100,1632860.1800,1266693.7670,5.5400,7.6900,14.8405,14.8405,,9.6416,8.4378,1.0070,3.3441,3.3131,1135700.0000,110026.9468,110026.9468,8733533.0000,846107.2209,,,0.0000,0.0000
2019-11-05,7.6900,7.7800,7.5100,7.6800,-0.0100,-0.1300,1552421.2000,1184345.7730,5.5400,7.6800,14.1095,14.1095,0.5900,9.6290,8.4268,1.0057,3.3397,3.3088,1135700.0000,110026.9468,110026.9468,8722176.0000,845006.9514,,,0.0000,0.0000
2019-11-06,7.6300,7.6300,7.4500,7.4700,-0.2100,-2.7300,1239894.0900,934589.6190,5.3800,7.4700,11.2690,11.2690,0.5900,9.3658,8.1964,0.9782,3.2484,3.2183,1135700.0000,110026.9468,110026.9468,8483679.0000,821901.2926,,,0.0000,0.0000
2019-11-07,7.4600,7.6000,7.4600,7.5000,0.0300,0.4000,843152.5000,634838.5410,5.4100,7.5000,7.6631,7.6631,0.4700,9.4034,8.2293,0.9821,3.2615,3.2312,1135700.0000,110026.9468,110026.9468,8517750.0000,825202.1010,,,0.0000,0.0000
2019-11-08,7.5600,7.5600,7.4300,7.4400,-0.0600,-0.8000,766848.0200,573972.8460,5.3600,7.4400,6.9696,6.9696,0.5500,9.3281,8.1634,0.9742,3.2354,3.2054,1135700.0000,110026.9468,110026.9468,8449608.0000,818600.4842,,,0.0000,0.0000
2019-11-11,7.4000,7.4000,7.1800,7.1900,-0.2500,-3.3600,961305.2200,700986.8930,5.1800,7.1900,8.7370,8.7370,0.8000,9.0147,7.8891,0.9415,3.1267,3.0977,1135700.0000,110026.9468,110026.9468,8165683.0000,791093.7475,,,0.0000,0.0000
2019-11-12,7.1800,7.2200,7.0200,7.1000,-0.0900,-1.2500,786031.4900,557485.8940,5.1200,7.1000,7.1440,7.1440,0.7300,8.9019,7.7904,0.9297,3.0875,3.0589,1135700.0000,110026.9468,110026.9468,8063470.0000,781191.3223,,,0.0000,0.0000
2019-11-13,7.0700,7.0800,6.9300,6.9300,-0.1700,-2.3900,794948.9000,556249.9040,4.9900,6.9300,7.2250,7.2250,0.8600,8.6887,7.6039,0.9075,3.0136,2.9857,1135700.0000,110026.9468,110026.9468,7870401.0000,762486.7413,,,0.0000,0.0000
2019-11-14,6.9000,7.2700,6.8300,7.1400,0.2100,3.0300,1326499.8000,933603.5420,5.1500,7.1400,12.0561,12.0561,1.6000,8.9520,7.8343,0.9350,3.1049,3.0761,1135700.0000,110026.9468,110026.9468,8108898.0000,785592.4002,,,0.0000,0.0000
2019-11-15,7.0500,7.1400,6.9300,6.9500,-0.1900,-2.6600,753732.8600,529075.4010,5.0100,6.9500,6.8504,6.8504,0.8100,8.7138,7.6258,0.9101,3.0223,2.9943,1135700.0000,110026.9468,110026.9468,7893115.0000,764687.2803,,,0.0000,0.0000
2019-11-18,6.9200,7.0200,6.8800,6.9400,-0.0100,-0.1400,521987.7300,363056.9950,5.0000,6.9400,4.7442,4.7442,0.5600,8.7012,7.6148,0.9088,3.0179,2.9900,1135700.0000,110026.9468,110026.9468,7881758.0000,763587.0108,,,0.0000,0.0000
2019-11-19,6.9400,7.0600,6.9200,7.0300,0.0900,1.3000,607986.7300,425813.6190,5.0700,7.0300,5.5258,5.5258,0.7300,8.8141,7.7136,0.9206,3.0571,3.0287,1135700.0000,110026.9468,110026.9468,7983971.0000,773489.4360,,,0.0000,0.0000
2019-11-20,7.0200,7.0400,6.9300,6.9500,-0.0800,-1.1400,533534.1300,371981.2970,5.0100,6.9500,4.8491,4.8491,0.6700,8.7138,7.6258,0.9101,3.0223,2.9943,1135700.0000,110026.9468,110026.9468,7893115.0000,764687.2803,,,0.0000,0.0000
2019-11-21,6.9200,6.9600,6.9000,6.9200,-0.0300,-0.4300,383093.2500,265244.7330,4.9900,6.9200,3.4818,3.4818,0.5100,8.6762,7.5929,0.9061,3.0092,2.9813,1135700.0000,110026.9468,110026.9468,7859044.0000,761386.4719,,,0.0000,0.0000
2019-11-22,6.9300,6.9700,6.8700,6.8900,-0.0300,-0.4300,441431.8800,305350.5780,4.9700,6.8900,4.0120,4.0120,0.7900,8.6386,7.5600,0.9022,2.9962,2.9684,1135700.0000,110026.9468,110026.9468,7824973.0000,758085.6635,,,0.0000,0.0000
2019-11-25,6.9000,7.0200,6.8800,6.9800,0.0900,1.3100,584947.1800,406964.2330,5.0300,6.9800,5.3164,5.3164,1.1800,8.7514,7.6587,0.9140,3.0353,3.0072,1135700.0000,110026.9468,110026.9468,7927186.0000,767988.0887,,,0.0000,0.0000
2019-11-26,6.9400,7.0200,6.9300,6.9400,-0.0400,-0.5700,584934.7800,407453.6770,5.0000,6.9400,5.3163,5.3163,1.1500,8.7012,7.6148,0.9088,3.0179,2.9900,1135700.0000,110026.9468,110026.9468,7881758.0000,763587.0108,,,0.0000,0.0000
2019-11-27,6.9100,6.9100,6.7600,6.7700,-0.1700,-2.4500,785325.3300,535419.2530,4.8800,6.7700,7.1376,7.1376,1.5500,8.4881,7.4283,0.8865,2.9440,2.9167,1135700.0000,110026.9468,110026.9468,7688689.0000,744882.4298,,,0.0000,0.0000
2019-11-28,6.7600,6.7900,6.6700,6.6800,-0.0900,-1.3300,543375.0900,364736.3120,4.8100,6.6800,4.9386,4.9386,0.9800,8.3753,7.3295,0.8747,2.9049,2.8779,1135700.0000,110026.9468,110026.9468,7586476.0000,734980.0046,,,0.0000,0.0000
2019-11-29,6.6700,6.7200,6.6300,6.6500,-0.0300,-0.4500,384151.0400,255866.9840,4.7900,6.6500,3.4914,3.4914,0.6500,8.3377,7.2966,0.8708,2.8918,2.8650,1135700.0000,110026.9468,110026.9468,7552405.0000,731679.1962,,,0.0000,0.0000
2019-12-02,6.6500,6.6700,6.6000,6.6100,-0.0400,-0.6000,389752.5500,258548.2320,4.7600,6.6100,3.5423,3.5423,0.6800,8.2875,7.2527,0.8656,2.8744,2.8478,1135700.0000,110026.9468,110026.9468,7506977.0000,727278.1183,,,0.0000,0.0000
2019-12-03,6.5900,6.5900,6.5300,6.5800,-0.0300,-0.4500,351714.9400,230697.6800,4.7400,6.5800,3.1966,3.1966,0.6500,8.2499,7.2198,0.8616,2.8614,2.8349,1135700.0000,110026.9468,110026.9468,7472906.0000,723977.3099,,,0.0000,0.0000
2019-12-04,6.5500,6.6200,6.5300,6.5700,-0.0100,-0.1500,275957.1100,181464.5310,4.7400,6.5700,2.5081,2.5081,0.5600,8.2374,7.2088,0.8603,2.8570,2.8306,1135700.0000,110026.9468,110026.9468,7461549.0000,722877.0405,,,0.0000,0.0000
2019-12-05,6.5800,6.6700,6.5600,6.6400,0.0700,1.0700,449291.3500,296670.1730,4.7900,6.6400,4.0835,4.0835,1.1600,8.3251,7.2857,0.8695,2.8875,2.8607,1135700.0000,110026.9468,110026.9468,7541048.0000,730578.9268,,,0.0000,0.0000
2019-12-06,6.6200,6.6300,6.5800,6.6100,-0.0300,-0.4500,329921.9100,217770.9300,4.7600,6.6100,2.9986,2.9986,0.8900,8.2875,7.2527,0.8656,2.8744,2.8478,1135700.0000,110026.9468,110026.9468,7506977.0000,727278.1183,,,0.0000,0.0000
2019-12-09,6.6200,6.6500,6.6000,6.6400,0.0300,0.4500,363806.4200,241221.1900,4.7900,6.6400,3.3065,3.3065,1.0100,8.3251,7.2857,0.8695,2.8875,2.8607,1135700.0000,110026.9468,110026.9468,7541048.0000,730578.9268,,,0.0000,0.0000
2019-12-10,6.6100,6.6200,6.5600,6.5800,-0.0600,-0.9000,463947.9300,305170.0050,4.7400,6.5800,4.2167,4.2167,1.3100,8.2499,7.2198,0.8616,2.8614,2.8349,1135700.0000,110026.9468,110026.9468,7472906.0000,723977.3099,,,0.0000,0.0000
2019-12-11,6.5600,6.6100,6.5500,6.5800,0.0000,0.0000,360419.3300,237129.0900,4.7400,6.5800,3.2757,3.2757,0.9600,8.2499,7.2198,0.8616,2.8614,2.8349,1135700.0000,110026.9468,110026.9468,7472906.0000,723977.3099,,,0.0000,0.0000
2019-12-12,6.5700,6.5700,6.4800,6.4900,-0.0900,-1.3700,502800.0000,328011.4170,4.6800,6.4900,4.5698,4.5698,1.2800,8.1370,7.1211,0.8498,2.8222,2.7961,1135700.0000,110026.9468,110026.9468,7370693.0000,714074.8847,,,0.0000,0.0000
2019-12-13,6.5100,6.5800,6.4900,6.5700,0.0800,1.2300,633403.7200,414155.0250,4.7400,6.5700,5.7568,5.7568,1.5700,8.2374,7.2088,0.8603,2.8570,2.8306,1135700.0000,110026.9468,110026.9468,7461549.0000,722877.0405,,,0.0000,0.0000
2019-12-16,6.5600,6.5700,6.5200,6.5700,0.0000,0.0000,487471.6500,319083.7600,4.7400,6.5700,4.4305,4.4305,1.0500,8.2374,7.2088,0.8603,2.8570,2.8306,1135700.0000,110026.9468,110026.9468,7461549.0000,722877.0405,,,0.0000,0.0000
2019-12-17,6.5800,7.0700,6.5600,6.9200,0.3500,5.3300,2103169.7300,1437600.2230,4.9900,6.9200,19.1150,19.1150,4.3000,8.6762,7.5929,0.9061,3.0092,2.9813,1135700.0000,110026.9468,110026.9468,7859044.0000,761386.4719,,,0.0000,0.0000
2019-12-18,6.8500,6.9300,6.7800,6.8300,-0.0900,-1.3000,1155660.7800,791161.7600,4.9200,6.8300,10.5034,10.5034,1.4100,8.5633,7.4941,0.8944,2.9701,2.9426,1135700.0000,110026.9468,110026.9468,7756831.0000,751484.0466,,,0.0000,0.0000
2019-12-19,6.8200,6.9800,6.8100,6.8600,0.0300,0.4400,841847.8000,579540.3420,4.9400,6.8600,7.6513,7.6513,0.8600,8.6009,7.5270,0.8983,2.9831,2.9555,1135700.0000,110026.9468,110026.9468,7790902.0000,754784.8550,,,0.0000,0.0000
2019-12-20,6.8500,7.0300,6.8300,6.9200,0.0600,0.8700,1072113.9000,743212.7960,4.9900,6.9200,9.7441,9.7441,1.0300,8.6762,7.5929,0.9061,3.0092,2.9813,1135700.0000,110026.9468,110026.9468,7859044.0000,761386.4719,,,0.0000,0.0000
2019-12-23,6.8900,6.9200,6.7100,6.7300,-0.1900,-2.7500,725553.5800,495364.3950,4.8500,6.7300,6.5943,6.5943,0.6400,8.4380,7.3844,0.8813,2.9266,2.8995,1135700.0000,110026.9468,110026.9468,7643261.0000,740481.3520,,,0.0000,0.0000
2019-12-24,6.7600,6.7800,6.6800,6.7400,0.0100,0.1500,402182.6200,270327.1010,4.8600,6.7400,3.6553,3.6553,0.3400,8.4505,7.3954,0.8826,2.9310,2.9038,1135700.0000,110026.9468,110026.9468,7654618.0000,741581.6214,,,0.0000,0.0000
2019-12-25,6.7300,6.7400,6.6800,6.7000,-0.0400,-0.5900,384536.7900,257601.1110,4.8300,6.7000,3.4949,3.4949,0.4600,8.4003,7.3515,0.8773,2.9136,2.8866,1135700.0000,110026.9468,110026.9468,7609190.0000,737180.5436,,,0.0000,0.0000
2019-12-26,6.7000,6.7300,6.6700,6.7300,0.0300,0.4500,381655.7700,255462.8640,4.8500,6.7300,3.4687,3.4687,0.5600,8.4380,7.3844,0.8813,2.9266,2.8995,1135700.0000,110026.9468,110026.9468,7643261.0000,740481.3520,,,0.0000,0.0000
2019-12-27,6.7200,6.8400,6.7000,6.7200,-0.0100,-0.1500,614128.6700,415148.1120,4.8400,6.7200,5.5816,5.5816,1.0400,8.4254,7.3734,0.8800,2.9223,2.8952,1135700.0000,110026.9468,110026.9468,7631904.0000,739381.0825,,,0.0000,0.0000
2019-12-30,6.6600,6.7100,6.5600,6.7100,-0.0100,-0.1500,586551.0100,389765.0200,4.8400,6.7100,5.3310,5.3310,1.1700,8.4129,7.3625,0.8786,2.9179,2.8909,1135700.0000,110026.9468,110026.9468,7620547.0000,738280.8130,,,0.0000,0.0000
2019-12-31,6.6900,6.7500,6.6600,6.7000,-0.0100,-0.1500,340652.5700,228308.9720,4.8300,6.7000,3.0961,3.0961,0.7200,8.4003,7.3515,0.8773,2.9136,2.8866,1135700.0000,110026.9468,110026.9468,7609190.0000,737180.5436,,,0.0000,0.0000
2020-01-02,6.8100,6.8600,6.7600,6.7700,0.0700,1.0400,764512.1700,519608.7910,4.8800,6.7700,6.9484,6.9484,1.6600,8.4881,7.4283,0.8865,2.9440,2.9167,1135700.0000,110026.9468,110026.9468,7688689.0000,744882.4298,,,0.3377,0.3377
2020-01-03,6.7900,6.7900,6.7400,6.7700,0.0000,0.0000,439837.3000,297443.4190,4.8800,6.7700,3.9975,3.9975,0.8200,8.4881,7.4283,0.8865,2.9440,2.9167,1135700.0000,110026.9468,110026.9468,7688689.0000,744882.4298,,,0.3387,0.3387
