交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-02-05,24.8000,25.0000,22.0100,22.1800,,,1696943.0700,4023211.7100,3.9200,22.1800,37.6471,37.6471,,29.1976,44.9904,6.8458,8.1248,11.3900,500000.0000,45075.0000,45075.0000,11090000.0000,999763.5000,,,0.1048,0.1048,1.0484,2.3387
2007-02-06,22.5000,24.2000,21.3100,23.8100,1.6300,7.3500,672767.7000,1579250.5540,4.2100,23.8100,14.9255,14.9255,,31.3433,32.0027,7.3489,8.7219,8.7076,500000.0000,45075.0000,45075.0000,11905000.0000,1073235.7500,,,0.1156,0.1156,1.1556,2.5778
2007-02-07,23.9800,26.0000,23.8200,24.9600,1.1500,4.8300,800217.6100,1990145.0350,4.4100,24.9600,17.7530,17.7530,,32.8572,33.5484,7.7039,9.1431,9.1281,500000.0000,45075.0000,45075.0000,12480000.0000,1125072.0000,,,0.1084,0.1084,1.0842,2.4187
2007-02-08,24.7000,24.8400,23.8800,24.4100,-0.5500,-2.2000,341531.4100,831191.1960,4.3100,24.4100,7.5770,7.5770,,32.1332,32.8091,7.5341,8.9417,8.9270,500000.0000,45075.0000,45075.0000,12205000.0000,1100280.7500,,,0.1053,0.1053,1.0526,2.3482
2007-02-09,24.2800,24.5800,23.6000,24.0100,-0.4000,-1.6400,215509.9500,516759.0620,4.2400,24.0100,4.7811,4.7811,,31.6066,32.2715,7.4106,8.7951,8.7807,500000.0000,45075.0000,45075.0000,12005000.0000,1082250.7500,,,0.1071,0.1071,1.0708,2.3888
2007-02-12,24.0200,25.0500,24.0000,25.0000,0.9900,4.1200,386172.4800,952049.5030,4.4200,25.0000,8.5673,8.5673,0.5200,32.9098,33.6022,7.7162,9.1578,9.1428,500000.0000,45075.0000,45075.0000,12500000.0000,1126875.0000,,,0.1082,0.1082,1.0824,2.4147
2007-02-13,25.0300,25.6000,24.6000,24.8800,-0.1200,-0.4800,226092.3300,565946.6070,4.4000,24.8800,5.0159,5.0159,0.4700,32.7519,33.4409,7.6792,9.1138,9.0989,500000.0000,45075.0000,45075.0000,12440000.0000,1121466.0000,,,0.1039,0.1039,1.0388,2.3172
2007-02-14,24.8100,25.6000,24.5000,25.3800,0.5000,2.0100,267732.1400,674591.2890,4.4900,25.3800,5.9397,5.9397,0.6800,33.4101,34.1129,7.8335,9.2970,9.2817,500000.0000,45075.0000,45075.0000,12690000.0000,1144003.5000,,,0.1048,0.1048,1.0480,2.3378
2007-02-15,25.7500,25.9500,25.2200,25.6100,0.2300,0.9100,274035.6700,701054.3440,4.5300,25.6100,6.0795,6.0795,0.9500,33.7128,34.4220,7.9045,9.3812,9.3659,500000.0000,45075.0000,45075.0000,12805000.0000,1154370.7500,,,0.1010,0.1010,1.0097,2.2524
2007-02-16,25.8100,28.0800,25.5600,27.4100,1.8000,7.0300,512597.6400,1359607.0460,4.8400,27.4100,11.3721,11.3721,1.8700,36.0824,36.8414,8.4601,10.0406,10.0241,500000.0000,45075.0000,45075.0000,13705000.0000,1235505.7500,,,0.1007,0.1007,1.0074,2.2472
2007-02-26,26.9000,27.1800,26.4100,26.7900,-0.6200,-2.2600,270633.1400,724075.2470,4.7300,26.7900,6.0041,6.0041,0.8100,35.2662,36.0081,8.2687,9.8135,9.7974,500000.0000,45075.0000,45075.0000,13395000.0000,1207559.2500,,,0.0967,0.0967,0.9665,2.1561
2007-02-27,26.8100,27.1900,24.1100,24.1100,-2.6800,-10.0000,304594.2000,779133.2720,4.2600,24.1100,6.7575,6.7575,0.9800,31.7383,32.4059,7.4415,8.8318,8.8173,500000.0000,45075.0000,45075.0000,12055000.0000,1086758.2500,,,0.0970,0.0970,0.9698,2.1634
2007-02-28,24.0800,24.9500,23.9500,24.7800,0.6700,2.7800,198618.1500,484128.6500,4.3800,24.7800,4.4064,4.4064,0.6100,32.6202,33.3065,7.6483,9.0772,9.0623,500000.0000,45075.0000,45075.0000,12390000.0000,1116958.5000,,,0.1080,0.1080,1.0797,2.4086
2007-03-01,24.8100,24.8800,23.4100,23.6200,-1.1600,-4.6800,199381.9000,477159.5660,4.1700,23.6200,4.4233,4.4233,0.6400,31.0932,31.7473,7.2903,8.6523,8.6381,500000.0000,45075.0000,45075.0000,11810000.0000,1064671.5000,,,0.1048,0.1048,1.0480,2.3378
2007-03-02,23.5000,24.2000,23.4600,23.8600,0.2400,1.0200,86735.3600,207307.1260,4.2200,23.8600,1.9242,1.9242,0.2900,31.4092,32.0699,7.3643,8.7402,8.7259,500000.0000,45075.0000,45075.0000,11930000.0000,1075489.5000,,,0.1106,0.1106,1.1064,2.4681
2007-03-05,23.7800,24.1800,22.9000,23.3600,-0.5000,-2.1000,145467.9100,342125.8720,4.1300,23.3600,3.2272,3.2272,0.6900,30.7510,31.3978,7.2100,8.5570,8.5430,500000.0000,45075.0000,45075.0000,11680000.0000,1052952.0000,,,0.1093,0.1093,1.0934,2.4390
2007-03-06,23.4000,24.9500,23.2500,24.3900,1.0300,4.4100,229200.1100,553256.8190,4.3100,24.3900,5.0849,5.0849,1.2300,32.1068,32.7823,7.5279,8.9343,8.9197,500000.0000,45075.0000,45075.0000,12195000.0000,1099379.2500,,,0.1111,0.1111,1.1111,2.4786
2007-03-07,24.3000,24.8500,24.1000,24.3900,0.0000,0.0000,197150.3300,482800.9680,4.3100,24.3900,4.3738,4.3738,1.1500,32.1068,32.7823,7.5279,8.9343,8.9197,500000.0000,45075.0000,45075.0000,12195000.0000,1099379.2500,,,0.1070,0.1070,1.0700,2.3868
2007-03-08,24.4000,24.7400,24.1100,24.5900,0.2000,0.8200,114817.8400,281703.0680,4.3500,24.5900,2.5473,2.5473,0.6700,32.3701,33.0511,7.5897,9.0076,8.9928,500000.0000,45075.0000,45075.0000,12295000.0000,1108394.2500,,,0.1066,0.1066,1.0656,2.3770
2007-03-09,24.6300,25.1500,24.3800,24.8300,0.2400,0.9800,131571.7100,326636.0270,4.3900,24.8300,2.9190,2.9190,0.8500,32.6861,33.3737,7.6637,9.0955,9.0806,500000.0000,45075.0000,45075.0000,12415000.0000,1119212.2500,,,0.1056,0.1056,1.0556,2.3549
2007-03-12,25.0000,25.1000,24.3800,24.5400,-0.2900,-1.1700,91461.8400,225584.4680,4.3400,24.5400,2.0291,2.0291,0.5600,32.3043,32.9839,7.5742,8.9893,8.9745,500000.0000,45075.0000,45075.0000,12270000.0000,1106140.5000,,,0.1040,0.1040,1.0400,2.3200
2007-03-13,24.5600,24.8000,24.2800,24.4800,-0.0600,-0.2400,86283.3000,211720.9140,4.3300,24.4800,1.9142,1.9142,0.5600,32.2253,32.9032,7.5557,8.9673,8.9526,500000.0000,45075.0000,45075.0000,12240000.0000,1103436.0000,,,0.1059,0.1059,1.0586,2.3616
