交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-09-19,23.0000,25.0000,22.4800,22.6800,,,4610991.4700,10932077.8060,4.7300,22.6800,51.2332,51.2332,,65.9879,65.9879,5.6483,24.2364,24.2364,622756.1881,90000.0000,90000.0000,14124110.3461,2041200.0000,,,0.0000,0.0000,0.0000,0.5217
2007-09-20,23.9000,24.6000,23.1600,24.5700,1.8900,8.3300,1977404.6500,4715341.9720,5.1300,24.5700,21.9712,21.9712,,71.4869,71.4869,6.1190,26.2561,26.2561,622756.1881,90000.0000,90000.0000,15301119.5416,2211300.0000,,,0.0000,0.0000,0.0000,0.5021
2007-09-21,23.4800,24.0000,22.4500,23.4800,-1.0900,-4.4400,1309662.0500,3033619.9450,4.9000,23.4800,14.5518,14.5518,,68.3156,68.3156,5.8475,25.0913,25.0913,622756.1881,90000.0000,90000.0000,14622315.2966,2113200.0000,,,0.0000,0.0000,0.0000,0.5111
2007-09-24,23.6200,23.6600,22.5200,22.6100,-0.8700,-3.7100,744268.6100,1696596.3880,4.7200,22.6100,8.2697,8.2697,,65.7843,65.7843,5.6308,24.1616,24.1616,622756.1881,90000.0000,90000.0000,14080517.4129,2034900.0000,,,0.0000,0.0000,0.0000,0.5080
2007-09-25,22.6600,22.6900,20.9900,21.0500,-1.5600,-6.9000,828099.9800,1781488.6430,4.3900,21.0500,9.2011,9.2011,,61.2454,61.2454,5.2423,22.4946,22.4946,622756.1881,90000.0000,90000.0000,13109017.7595,1894500.0000,,,0.0000,0.0000,0.0000,0.5296
2007-09-26,21.0000,22.0600,20.8000,21.3300,0.2800,1.3300,436347.8000,938324.5000,4.4500,21.3300,4.8483,4.8483,0.2300,62.0601,62.0601,5.3121,22.7938,22.7938,622756.1881,90000.0000,90000.0000,13283389.4922,1919700.0000,,,0.0000,0.0000,0.0000,0.5714
2007-09-27,21.5000,22.3000,21.1200,22.0000,0.6700,3.1400,419034.4700,912701.4650,4.5900,22.0000,4.6559,4.6559,0.4000,64.0095,64.0095,5.4789,23.5098,23.5098,622756.1881,90000.0000,90000.0000,13700636.1382,1980000.0000,,,0.0000,0.0000,0.0000,0.5581
2007-09-28,22.2200,22.4100,21.8300,22.0300,0.0300,0.1400,499060.6100,1101913.4050,4.6000,22.0300,5.5451,5.5451,0.6700,64.0967,64.0967,5.4864,23.5418,23.5418,622756.1881,90000.0000,90000.0000,13719318.8238,1982700.0000,,,0.0000,0.0000,0.0000,0.5401
2007-10-08,22.3100,23.1800,22.2300,22.4100,0.3800,1.7200,655255.0900,1495633.3610,4.6800,22.4100,7.2806,7.2806,1.1200,65.2024,65.2024,5.3396,23.9479,23.9479,622756.1881,90000.0000,90000.0000,13955966.1753,2016900.0000,,,0.0000,0.0000,0.0000,0.5379
2007-10-09,22.4100,23.2000,22.0500,23.0200,0.6100,2.7200,482622.8700,1100631.6750,4.8000,23.0200,5.3625,5.3625,0.8500,66.9772,66.9772,5.4850,24.5998,24.5998,622756.1881,90000.0000,90000.0000,14335847.4501,2071800.0000,,,0.0000,0.0000,0.0000,0.5355
2007-10-10,23.0200,24.1400,23.0200,23.7400,0.7200,3.1300,706460.7700,1670448.9850,4.9600,23.7400,7.8496,7.8496,1.4200,69.0720,69.0720,5.6565,25.3692,25.3692,622756.1881,90000.0000,90000.0000,14784231.9055,2136600.0000,,,0.0000,0.0000,0.0000,0.5213
2007-10-11,23.9800,23.9900,23.0000,23.4200,-0.3200,-1.3500,442930.2800,1036020.1820,4.8900,23.4200,4.9214,4.9214,0.8000,68.1410,68.1410,5.5803,25.0272,25.0272,622756.1881,90000.0000,90000.0000,14584949.9253,2107800.0000,,,0.0000,0.0000,0.0000,0.5004
2007-10-12,23.5500,24.3000,22.3800,24.1300,0.7100,3.0300,769707.1600,1806349.0890,5.0400,24.1300,8.5523,8.5523,1.3800,70.2067,70.2067,5.7494,25.7859,25.7859,622756.1881,90000.0000,90000.0000,15027106.8189,2171700.0000,,,0.0000,0.0000,0.0000,0.5096
2007-10-15,24.5700,25.1500,23.7300,23.9000,-0.2300,-0.9500,880006.9400,2146899.7370,4.9900,23.9000,9.7779,9.7779,1.4400,69.5376,69.5376,5.6946,25.5401,25.5401,622756.1881,90000.0000,90000.0000,14883872.8956,2151000.0000,,,0.0000,0.0000,0.0000,0.4884
2007-10-16,23.8800,24.7000,23.4900,24.0400,0.1400,0.5900,657269.1200,1579374.0360,5.0200,24.0400,7.3030,7.3030,1.0000,69.9449,69.9449,5.7280,25.6898,25.6898,622756.1881,90000.0000,90000.0000,14971058.7619,2163600.0000,,,0.0000,0.0000,0.0000,0.5025
2007-10-17,23.6500,23.6600,22.8000,22.8700,-1.1700,-4.8700,471732.1400,1089531.8950,4.7700,22.8700,5.2415,5.2415,0.6800,66.5407,66.5407,5.4492,24.4395,24.4395,622756.1881,90000.0000,90000.0000,14242434.0218,2058300.0000,,,0.0000,0.0000,0.0000,0.5074
2007-10-18,22.9300,23.0900,22.0000,22.1200,-0.7500,-3.2800,314219.9500,699864.4730,4.6200,22.1200,3.4913,3.4913,0.4900,64.3586,64.3586,5.2705,23.6380,23.6380,622756.1881,90000.0000,90000.0000,13775366.8808,1990800.0000,,,0.0000,0.0000,0.0000,0.5233
2007-10-19,22.2500,22.4800,21.8400,21.9800,-0.1400,-0.6300,178844.1800,395689.0310,4.5900,21.9800,1.9872,1.9872,0.2900,63.9513,63.9513,5.2372,23.4884,23.4884,622756.1881,90000.0000,90000.0000,13688181.0144,1978200.0000,,,0.0000,0.0000,0.0000,0.5393
2007-10-22,21.7000,22.3000,21.1800,21.7800,-0.2000,-0.9100,209584.4200,453121.4670,4.5500,21.7800,2.3287,2.3287,0.4200,63.3694,63.3694,5.1895,23.2747,23.2747,622756.1881,90000.0000,90000.0000,13563629.7768,1960200.0000,,,0.0000,0.0000,0.0000,0.5530
