交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2020-10-27,8.0500,9.6600,8.0500,9.4100,,,1346614.6100,1225382.2980,7.7100,9.4100,51.0250,51.0250,,14.5157,13.7948,1.4107,5.5073,4.8496,263912.7888,26391.2789,26391.2789,2483419.3426,248341.9344,,,0.0000
2020-10-28,8.9500,8.9500,8.4700,8.4700,-0.9400,-9.9900,497415.2600,427544.7250,6.9400,8.4700,18.8477,18.8477,,13.0656,12.4168,1.2698,4.9572,4.3652,263912.7888,26391.2789,26391.2789,2235341.3211,223534.1323,,,0.0000
2020-10-29,7.7000,8.0300,7.6200,7.7900,-0.6800,-8.0300,974439.2000,759110.1530,6.3800,7.7900,36.9228,36.9228,,12.0167,11.4199,1.1678,4.5592,4.0147,263912.7888,26391.2789,26391.2789,2055880.6248,205588.0626,,,0.0000
2020-10-30,7.6800,7.9400,7.5800,7.6100,-0.1800,-2.3100,669103.6300,517226.0830,6.2300,7.6100,25.3532,25.3532,,11.7390,11.1561,1.1409,4.4538,3.9219,263912.7888,26391.2789,26391.2789,2008376.3228,200837.6324,,,0.0000
2020-11-02,7.5800,7.7300,7.4300,7.4600,-0.1500,-1.9700,491041.8800,369355.7610,6.1100,7.4600,18.6062,18.6062,,11.5076,10.9362,1.1184,4.3660,3.8446,263912.7888,26391.2789,26391.2789,1968789.4044,196878.9406,,,0.0000
2020-11-03,7.4900,8.2100,7.3500,8.0900,0.6300,8.4500,1051777.8400,835719.3670,6.6300,8.0900,39.8532,39.8532,1.3200,12.4795,11.8597,1.2128,4.7348,4.1693,263912.7888,26391.2789,26391.2789,2135054.4614,213505.4463,,,0.0000
2020-11-04,8.0500,8.2900,7.8200,8.1200,0.0300,0.3700,828925.0100,667026.4140,6.6500,8.1200,31.4091,31.4091,1.1300,12.5257,11.9037,1.2173,4.7523,4.1848,263912.7888,26391.2789,26391.2789,2142971.8451,214297.1847,,,0.0000
2020-11-05,8.1200,8.1200,7.8300,7.9500,-0.1700,-2.0900,567332.0800,450999.2700,6.5100,7.9500,21.4970,21.4970,0.7100,12.2635,11.6545,1.1918,4.6528,4.0972,263912.7888,26391.2789,26391.2789,2098106.6710,209810.6673,,,0.0000
2020-11-06,7.9000,8.2800,7.7600,8.2800,0.3300,4.1500,645194.2100,516576.9570,6.7800,8.2800,24.4473,24.4473,0.8900,12.7726,12.1383,1.2413,4.8460,4.2672,263912.7888,26391.2789,26391.2789,2185197.8913,218519.7893,,,0.0000
2020-11-09,8.4000,9.1100,8.1200,9.1100,0.8300,10.0200,1108362.2800,952475.5740,7.4600,9.1100,41.9973,41.9973,1.5500,14.0529,13.3550,1.3657,5.3317,4.6950,263912.7888,26391.2789,26391.2789,2404245.5060,240424.5508,,,0.0000
2020-11-10,9.6000,10.0200,8.8700,8.9200,-0.1900,-2.0900,1548660.8400,1486316.7220,7.3100,8.9200,58.6808,58.6808,1.8400,13.7598,13.0765,1.3372,5.2205,4.5971,263912.7888,26391.2789,26391.2789,2354102.0761,235410.2078,,,0.0000
2020-11-11,8.4700,9.8100,8.3500,9.8100,0.8900,9.9800,1308541.5200,1171379.8480,8.0400,9.8100,49.5823,49.5823,1.3900,15.1327,14.3812,1.4707,5.7414,5.0557,263912.7888,26391.2789,26391.2789,2588984.4581,258898.4460,,,0.0000
2020-11-12,9.5800,9.8000,9.1000,9.1800,-0.6300,-6.4200,1090310.1800,1023590.6750,7.5200,9.1800,41.3133,41.3133,1.0500,14.1609,13.4576,1.3762,5.3727,4.7311,263912.7888,26391.2789,26391.2789,2422719.4012,242271.9403,,,0.0000
2020-11-13,8.9100,9.4100,8.8300,8.9800,-0.2000,-2.1800,726817.7800,661408.7800,7.3600,8.9800,27.5401,27.5401,0.6400,13.8524,13.1645,1.3462,5.2556,4.6280,263912.7888,26391.2789,26391.2789,2369936.8434,236993.6845,,,0.0000
2020-11-16,9.1000,9.1900,8.7600,9.0200,0.0400,0.4500,663668.9300,598627.3940,7.3900,9.0200,25.1473,25.1473,0.5700,13.9141,13.2231,1.3522,5.2790,4.6486,263912.7888,26391.2789,26391.2789,2380493.3550,238049.3357,,,0.0000
2020-11-17,8.9100,9.5000,8.6500,9.2100,0.1900,2.1100,892469.0400,806296.8600,7.5400,9.2100,33.8168,33.8168,0.8400,14.2072,13.5016,1.3807,5.3902,4.7465,263912.7888,26391.2789,26391.2789,2430636.7848,243063.6787,,,0.0000
2020-11-18,9.1800,10.1300,9.0800,10.1300,0.9200,9.9900,1394606.5300,1385527.9730,8.3000,10.1300,52.8435,52.8435,1.4900,15.6263,14.8503,1.5186,5.9287,5.2207,263912.7888,26391.2789,26391.2789,2673436.5505,267343.6553,,,0.0000
2020-11-19,10.2400,11.1400,9.9600,10.7900,0.6600,6.5200,1787793.6100,1891674.7180,8.8400,10.7900,67.7418,67.7418,1.8700,16.6444,15.8179,1.6176,6.3150,5.5608,263912.7888,26391.2789,26391.2789,2847618.9912,284761.8993,,,0.0000
2020-11-20,10.4200,10.5200,9.8500,10.2000,-0.5900,-5.4700,1181661.9400,1199488.3140,8.3600,10.2000,44.7747,44.7747,1.0800,15.7343,14.9529,1.5291,5.9697,5.2567,263912.7888,26391.2789,26391.2789,2691910.4458,269191.0448,,,0.0000
2020-11-23,10.0000,11.0900,9.9500,10.5500,0.3500,3.4300,1180867.3700,1236308.1480,8.6400,10.5500,44.7446,44.7446,1.0000,16.2742,15.4660,1.5816,6.1745,5.4371,263912.7888,26391.2789,26391.2789,2784279.9218,278427.9924,,,0.0000
