交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2011-02-22,26.0100,28.0000,26.0000,27.6400,,,747018.6300,2017326.8250,1.5300,27.6400,77.8144,77.8144,,36.3921,36.3921,3.9914,6.3174,6.3174,64000.0000,9600.0000,9600.0000,1768960.0000,265344.0000,,,0.0000
2011-02-23,26.6000,26.8600,25.3300,26.1400,-1.5000,-5.4300,333363.7100,870072.1400,1.4500,26.1400,34.7254,34.7254,,34.4172,34.4172,3.7748,5.9746,5.9746,64000.0000,9600.0000,9600.0000,1672960.0000,250944.0000,,,0.0000
2011-02-24,25.9700,27.1900,25.6100,26.6200,0.4800,1.8400,259554.1700,686097.8590,1.4700,26.6200,27.0369,27.0369,,35.0491,35.0491,3.8441,6.0843,6.0843,64000.0000,9600.0000,9600.0000,1703680.0000,255552.0000,,,0.0000
2011-02-25,26.6200,27.5800,26.4500,27.1800,0.5600,2.1000,250607.8100,677805.1670,1.5000,27.1800,26.1050,26.1050,,35.7865,35.7865,3.9250,6.2123,6.2123,64000.0000,9600.0000,9600.0000,1739520.0000,260928.0000,,,0.0000
2011-02-28,27.2000,27.4500,26.5000,27.0200,-0.1600,-0.5900,197241.7600,533038.4520,1.4900,27.0200,20.5460,20.5460,,35.5758,35.5758,3.9019,6.1757,6.1757,64000.0000,9600.0000,9600.0000,1729280.0000,259392.0000,,,0.0000
2011-03-01,27.3500,28.8900,27.1000,27.8300,0.8100,3.0000,277137.4900,777932.7560,1.5400,27.8300,28.8685,28.8685,0.7800,36.6423,36.6423,4.0188,6.3609,6.3609,64000.0000,9600.0000,9600.0000,1781120.0000,267168.0000,,,0.0000
2011-03-02,27.3500,30.4000,27.1000,29.5800,1.7500,6.2900,343187.9700,985533.3700,1.6400,29.5800,35.7487,35.7487,1.3000,38.9464,38.9464,4.2715,6.7608,6.7608,64000.0000,9600.0000,9600.0000,1893120.0000,283968.0000,,,0.0000
2011-03-03,29.3300,30.4000,28.5800,29.2300,-0.3500,-1.1800,297298.8000,878884.8820,1.6200,29.2300,30.9686,30.9686,1.1200,38.4856,38.4856,4.2210,6.6809,6.6809,64000.0000,9600.0000,9600.0000,1870720.0000,280608.0000,,,0.0000
2011-03-04,29.9400,30.4500,29.4300,29.6900,0.4600,1.5700,182505.7200,543974.7150,1.6400,29.6900,19.0110,19.0110,0.6700,39.0912,39.0912,4.2874,6.7860,6.7860,64000.0000,9600.0000,9600.0000,1900160.0000,285024.0000,,,0.0000
2011-03-07,29.9000,30.7700,29.6200,30.5300,0.8400,2.8300,210895.9700,637641.6560,1.6900,30.5300,21.9683,21.9683,0.8100,40.1972,40.1972,4.4087,6.9780,6.9780,64000.0000,9600.0000,9600.0000,1953920.0000,293088.0000,,,0.0000
2011-03-08,30.8100,30.9800,29.3500,29.6300,-0.9000,-2.9500,202491.3300,607239.3890,1.6400,29.6300,21.0928,21.0928,0.7700,39.0122,39.0122,4.2788,6.7723,6.7723,64000.0000,9600.0000,9600.0000,1896320.0000,284448.0000,,,0.0000
2011-03-09,29.7600,30.1100,29.3200,29.7700,0.1400,0.4700,134364.1900,398433.6510,1.6500,29.7700,13.9963,13.9963,0.5400,39.1966,39.1966,4.2990,6.8043,6.8043,64000.0000,9600.0000,9600.0000,1905280.0000,285792.0000,,,0.0000
2011-03-10,29.4800,30.3700,29.1000,29.8200,0.0500,0.1700,144980.8900,431281.7310,1.6500,29.8200,15.1022,15.1022,0.7100,39.2624,39.2624,4.3062,6.8157,6.8157,64000.0000,9600.0000,9600.0000,1908480.0000,286272.0000,,,0.0000
2011-03-11,29.5900,30.1500,29.3100,29.4100,-0.4100,-1.3700,115506.9900,343346.1500,1.6300,29.4100,12.0320,12.0320,0.6600,38.7226,38.7226,4.2470,6.7220,6.7220,64000.0000,9600.0000,9600.0000,1882240.0000,282336.0000,,,0.0000
2011-03-14,29.1800,29.4900,28.4000,28.8400,-0.5700,-1.9400,124725.4700,358812.3050,1.6000,28.8400,12.9922,12.9922,0.7700,37.9721,37.9721,4.1647,6.5917,6.5917,64000.0000,9600.0000,9600.0000,1845760.0000,276864.0000,,,0.0000
2011-03-15,28.7000,28.7000,27.3400,27.6100,-1.2300,-4.2600,140188.4900,389939.7930,1.5300,27.6100,14.6030,14.6030,0.9700,36.3526,36.3526,3.9871,6.3106,6.3106,64000.0000,9600.0000,9600.0000,1767040.0000,265056.0000,,,0.0000
2011-03-16,27.6100,28.5700,27.6100,28.3500,0.7400,2.6800,115018.6400,323869.4920,1.5700,28.3500,11.9811,11.9811,0.8700,37.3269,37.3269,4.0939,6.4797,6.4797,64000.0000,9600.0000,9600.0000,1814400.0000,272160.0000,,,0.0000
2011-03-17,27.8000,28.3000,27.4800,27.4900,-0.8600,-3.0300,66370.6600,184635.1000,1.5200,27.4900,6.9136,6.9136,0.5200,36.1946,36.1946,3.9697,6.2832,6.2832,64000.0000,9600.0000,9600.0000,1759360.0000,263904.0000,,,0.0000
2011-03-18,27.9200,28.4400,27.8400,28.0000,0.5100,1.8600,70915.9300,199581.1150,1.5500,28.0000,7.3871,7.3871,0.6300,36.8661,36.8661,4.0434,6.3997,6.3997,64000.0000,9600.0000,9600.0000,1792000.0000,268800.0000,,,0.0000
2011-03-21,28.0500,28.6300,27.9700,28.1400,0.1400,0.5000,54751.9000,154624.4100,1.5600,28.1400,5.7033,5.7033,0.5300,37.0504,37.0504,4.0636,6.4317,6.4317,64000.0000,9600.0000,9600.0000,1800960.0000,270144.0000,,,0.0000
2011-03-22,28.2400,28.4900,27.8300,28.2400,0.1000,0.3600,62930.2100,177395.5980,1.5600,28.2400,6.5552,6.5552,0.7000,37.1821,37.1821,4.0780,6.4546,6.4546,64000.0000,9600.0000,9600.0000,1807360.0000,271104.0000,,,0.0000
2011-03-23,28.2600,28.5200,28.1400,28.5000,0.2600,0.9200,62657.5100,177495.1240,1.5800,28.5000,6.5268,6.5268,0.8500,37.5244,37.5244,4.1156,6.5140,6.5140,64000.0000,9600.0000,9600.0000,1824000.0000,273600.0000,,,0.0000
2011-03-24,28.5000,28.5500,27.6100,27.8000,-0.7000,-2.4600,88237.3000,246475.2960,1.5400,27.8000,9.1914,9.1914,1.3900,36.6028,36.6028,4.0145,6.3540,6.3540,64000.0000,9600.0000,9600.0000,1779200.0000,266880.0000,,,0.0000
2011-03-25,27.8100,28.9100,27.7800,28.6900,0.8900,3.2000,104067.8800,295095.9890,1.5900,28.6900,10.8404,10.8404,1.5300,37.7746,37.7746,4.1430,6.5574,6.5574,64000.0000,9600.0000,9600.0000,1836160.0000,275424.0000,,,0.0000
2011-03-28,28.7500,29.7500,28.5000,29.1900,0.5000,1.7400,120753.1800,352743.0210,1.6100,29.1900,12.5785,12.5785,1.6200,38.4329,38.4329,4.2152,6.6717,6.6717,64000.0000,9600.0000,9600.0000,1868160.0000,280224.0000,,,0.0000
2011-03-29,29.2000,29.2900,27.9000,27.9700,-1.2200,-4.1800,81888.4200,234639.8340,1.5500,27.9700,8.5300,8.5300,0.9300,36.8266,36.8266,4.0391,6.3929,6.3929,64000.0000,9600.0000,9600.0000,1790080.0000,268512.0000,,,0.0000
2011-03-30,27.6800,27.9600,27.0100,27.0500,-0.9200,-3.2900,70352.4900,192060.5580,1.5000,27.0500,7.3284,7.3284,0.7700,35.6153,35.6153,3.9062,6.1826,6.1826,64000.0000,9600.0000,9600.0000,1731200.0000,259680.0000,,,0.0000
2011-03-31,27.2000,27.2400,26.4400,26.7200,-0.3300,-1.2200,49439.6800,132374.2730,1.4800,26.7200,5.1500,5.1500,0.5300,35.1808,35.1808,3.8585,6.1072,6.1072,64000.0000,9600.0000,9600.0000,1710080.0000,256512.0000,,,0.0000
2011-04-01,26.7600,27.3000,26.7100,27.2900,0.5700,2.1300,35055.9200,94696.0370,1.5100,27.2900,3.6517,3.6517,0.4100,35.9313,35.9313,3.9409,6.2374,6.2374,64000.0000,9600.0000,9600.0000,1746560.0000,261984.0000,,,0.0000
2011-04-06,27.0200,27.1900,26.5400,26.7000,-0.5900,-2.1600,47783.1600,127818.2090,1.4800,26.7000,4.9774,4.9774,0.6700,35.1545,35.1545,3.8557,6.1026,6.1026,64000.0000,9600.0000,9600.0000,1708800.0000,256320.0000,,,0.0000
2011-04-07,26.6700,27.0900,26.2000,26.9100,0.2100,0.7900,46834.0500,125026.5310,1.4900,26.9100,4.8785,4.8785,0.8200,35.4310,35.4310,3.8860,6.1506,6.1506,64000.0000,9600.0000,9600.0000,1722240.0000,258336.0000,,,0.0000
2011-04-08,26.8000,27.8800,26.6000,27.6900,0.7800,2.9000,67599.0500,185299.7880,1.5300,27.6900,7.0416,7.0416,1.3500,36.4580,36.4580,3.9986,6.3289,6.3289,64000.0000,9600.0000,9600.0000,1772160.0000,265824.0000,,,0.0000
2011-04-11,27.8100,28.1400,27.3400,27.4700,-0.2200,-0.7900,60701.7200,168665.4500,1.5200,27.4700,6.3231,6.3231,1.2300,36.1683,36.1683,3.9668,6.2786,6.2786,64000.0000,9600.0000,9600.0000,1758080.0000,263712.0000,,,0.0000
2011-04-12,27.4400,27.6500,26.7400,26.8700,-0.6000,-2.1800,48447.9200,131581.9520,1.4900,26.8700,5.0467,5.0467,0.9400,35.3783,35.3783,3.8802,6.1414,6.1414,64000.0000,9600.0000,9600.0000,1719680.0000,257952.0000,,,0.0000
2011-04-13,26.7600,27.5600,26.6100,27.3600,0.4900,1.8200,31711.6600,86326.3310,1.5100,27.3600,3.3033,3.3033,0.5800,36.0235,36.0235,3.9510,6.2534,6.2534,64000.0000,9600.0000,9600.0000,1751040.0000,262656.0000,,,0.0000
2011-04-14,27.3700,27.4800,26.6000,26.8300,-0.5300,-1.9400,44090.1100,118567.9050,1.4800,26.8300,4.5927,4.5927,0.8600,35.3256,35.3256,3.8744,6.1323,6.1323,64000.0000,9600.0000,9600.0000,1717120.0000,257568.0000,,,0.0000
