交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2014-01-28,4.8000,5.7600,4.4100,4.5500,,,888487.1600,417203.9920,2.7700,4.5500,17.7697,17.7697,,7.0908,10.7217,1.3083,1.0280,1.2048,1000000.0000,50000.0000,50000.0000,4550000.0000,227500.0000,,,0.2500,0.2500,2.5000,3.1250
2014-01-29,4.5000,4.7600,4.1100,4.2100,-0.3400,-7.4700,2504822.4900,1107683.6820,2.5700,4.2100,50.0964,50.0964,,6.5609,9.9205,1.2105,0.9512,1.1147,1000000.0000,50000.0000,50000.0000,4210000.0000,210500.0000,,,0.2667,0.2667,2.6667,3.3333
2014-01-30,4.1100,4.1600,4.0300,4.0300,-0.1800,-4.2800,1002381.8100,409493.4840,2.4600,4.0300,20.0476,20.0476,,6.2804,9.4963,1.1587,0.9105,1.0671,1000000.0000,50000.0000,50000.0000,4030000.0000,201500.0000,,,0.2920,0.2920,2.9197,3.6496
2014-02-07,4.0200,4.1100,4.0200,4.1000,0.0700,1.7400,744338.3000,302122.4260,2.5000,4.1000,14.8868,14.8868,,6.3895,9.6613,1.1789,0.9263,1.0856,1000000.0000,50000.0000,50000.0000,4100000.0000,205000.0000,,,0.2985,0.2985,2.9851,3.7313
2014-02-10,4.1300,4.3400,4.0600,4.2500,0.1500,3.6600,1271981.4900,531764.3100,2.5900,4.2500,25.4396,25.9901,,6.6232,10.0147,1.2220,0.9602,1.1253,1000000.0000,50000.0000,48941.0000,4250000.0000,212500.0000,,,0.2906,0.2906,2.9056,3.6320
2014-02-11,4.2000,4.4000,4.1500,4.2900,0.0400,0.9400,1344516.1800,572744.1590,2.6200,4.2900,26.8903,27.4722,1.0500,6.6856,10.1090,1.2335,0.9693,1.1359,1000000.0000,50000.0000,48941.0000,4290000.0000,214500.0000,,,0.2857,0.2857,2.8571,3.5714
2014-02-12,4.2600,4.4800,4.2300,4.4100,0.1200,2.8000,1409414.3200,614542.4270,2.6900,4.4100,28.1883,28.7982,1.0300,6.8726,10.3918,1.2680,0.9964,1.1677,1000000.0000,50000.0000,48941.0000,4410000.0000,220500.0000,,,0.2817,0.2817,2.8169,3.5211
2014-02-13,4.3700,4.4200,4.2400,4.2600,-0.1500,-3.4000,861685.1300,374210.9840,2.6000,4.2600,17.2337,17.6066,0.7500,6.6388,10.0383,1.2249,0.9625,1.1280,1000000.0000,50000.0000,48941.0000,4260000.0000,213000.0000,,,0.2746,0.2746,2.7460,3.4325
2014-02-14,4.2500,4.3800,4.2300,4.3400,0.0800,1.8800,613003.1900,264326.8780,2.6500,4.3400,12.2601,12.5254,0.5400,6.7635,10.2268,1.2479,0.9806,1.1492,1000000.0000,50000.0000,48941.0000,4340000.0000,217000.0000,,,0.2824,0.2824,2.8235,3.5294
2014-02-17,4.3800,4.7700,4.3800,4.6800,0.3400,7.8300,1563291.8500,715404.5910,2.8500,4.6800,31.2658,31.9424,1.4200,7.2934,11.0280,1.3456,1.0574,1.2392,1000000.0000,50000.0000,48941.0000,4680000.0000,234000.0000,,,0.2740,0.2740,2.7397,3.4247
