交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2016-11-16,21.3200,25.5900,21.3200,25.5900,,,5087.5900,12969.1840,7.0300,25.5900,0.0847,0.0847,,11.8174,10.9719,1.3502,4.6338,4.3703,600445.0000,60045.0000,60045.0000,15365387.5500,1536551.5500,,,0.0000,0.0000,0.0000,2.2769
2016-11-17,28.1500,28.1500,28.1500,28.1500,2.5600,10.0000,10997.3700,30957.5970,7.7300,28.1500,0.1832,0.1832,,12.9996,12.0695,1.4852,5.0974,4.8075,600445.0000,60045.0000,60045.0000,16902526.7500,1690266.7500,,,0.0000,0.0000,0.0000,1.7245
2016-11-18,30.9700,30.9700,29.5100,30.2400,2.0900,7.4200,2468109.9500,7470089.4900,8.3000,30.2400,41.1043,41.1043,,13.9647,12.9656,1.5955,5.4759,5.1644,600445.0000,60045.0000,60045.0000,18157456.8000,1815760.8000,,,0.0000,0.0000,0.0000,1.5674
2016-11-21,29.4800,29.4800,28.3100,28.4900,-1.7500,-5.7900,1597129.4200,4598344.2610,7.8200,28.4900,26.5989,26.5989,,13.1566,12.2153,1.5032,5.1590,4.8655,600445.0000,60045.0000,60045.0000,17106678.0500,1710682.0500,,,0.0000,0.0000,0.0000,1.6467
2016-11-22,28.2500,28.7700,28.1300,28.4300,-0.0600,-0.2100,915678.8600,2596461.4840,7.8000,28.4300,15.2499,15.2499,,13.1289,12.1895,1.5000,5.1481,4.8553,600445.0000,60045.0000,60045.0000,17070651.3500,1707079.3500,,,0.0000,0.0000,0.0000,1.7184
2016-11-23,28.4500,28.9900,28.1700,28.2800,-0.1500,-0.5300,1012828.3100,2897466.2740,7.7600,28.2800,16.8678,16.8678,1.0100,13.0596,12.1252,1.4921,5.1209,4.8297,600445.0000,60045.0000,60045.0000,16980584.6000,1698072.6000,,,0.0000,0.0000,0.0000,1.7063
2016-11-24,28.1000,28.1200,27.2300,27.2800,-1.0000,-3.5400,991050.1900,2727105.2150,7.4900,27.2800,16.5051,16.5051,0.8300,12.5978,11.6965,1.4393,4.9399,4.6589,600445.0000,60045.0000,60045.0000,16380139.6000,1638027.6000,,,0.0000,0.0000,0.0000,1.7275
2016-11-25,27.2100,27.6800,27.0100,27.3900,0.1100,0.4000,495814.6700,1353382.5100,7.5200,27.3900,8.2574,8.2574,0.3500,12.6486,11.7436,1.4451,4.9598,4.6777,600445.0000,60045.0000,60045.0000,16446188.5500,1644632.5500,,,0.0000,0.0000,0.0000,1.7840
2016-11-28,27.4500,27.6900,27.2500,27.3100,-0.0800,-0.2900,488966.0800,1342214.4310,7.5000,27.3100,8.1433,8.1433,0.4900,12.6117,11.7093,1.4409,4.9453,4.6640,600445.0000,60045.0000,60045.0000,16398152.9500,1639828.9500,,,0.0000,0.0000,0.0000,1.7684
2016-11-29,27.2200,27.2200,26.4500,26.5300,-0.7800,-2.8600,708720.3500,1895133.9570,7.2800,26.5300,11.8032,11.8032,0.9100,12.2515,11.3749,1.3998,4.8040,4.5308,600445.0000,60045.0000,60045.0000,15929805.8500,1592993.8500,,,0.0000,0.0000,0.0000,1.7834
2016-11-30,26.4900,26.4900,26.0400,26.2000,-0.3300,-1.2400,394784.6600,1032798.2010,7.1900,26.2000,6.5748,6.5748,0.5300,12.0991,11.2334,1.3824,4.7443,4.4744,600445.0000,60045.0000,60045.0000,15731659.0000,1573179.0000,,,0.0000,0.0000,0.0000,1.8325
2016-12-01,26.1700,26.4600,26.1300,26.3000,0.1000,0.3800,297381.0000,781716.3380,7.2200,26.3000,4.9526,4.9526,0.4800,12.1453,11.2763,1.3876,4.7624,4.4915,600445.0000,60045.0000,60045.0000,15791703.5000,1579183.5000,,,0.0000,0.0000,0.0000,1.8549
2016-12-02,26.2700,26.2700,25.7200,25.7400,-0.5600,-2.1300,391027.6500,1014259.0990,7.0700,25.7400,6.5122,6.5122,0.8200,11.8866,11.0362,1.3581,4.6610,4.3959,600445.0000,60045.0000,60045.0000,15455454.3000,1545558.3000,,,0.0000,0.0000,0.0000,1.8479
2016-12-05,25.5800,25.9000,25.4700,25.8000,0.0600,0.2300,232139.4600,596716.8480,7.0800,25.8000,3.8661,3.8661,0.5100,11.9144,11.0619,1.3613,4.6719,4.4061,600445.0000,60045.0000,60045.0000,15491481.0000,1549161.0000,,,0.0000,0.0000,0.0000,1.8977
2016-12-06,25.7600,26.0900,25.7000,25.8700,0.0700,0.2700,248513.1600,644333.4010,7.1000,25.8700,4.1388,4.1388,0.6100,11.9467,11.0919,1.3649,4.6845,4.4181,600445.0000,60045.0000,60045.0000,15533512.1500,1553364.1500,,,0.0000,0.0000,0.0000,1.8845
2016-12-07,25.7900,26.0100,25.6300,25.9900,0.1200,0.4600,215623.9300,556258.2740,7.1300,25.9900,3.5910,3.5910,0.6900,12.0021,11.1434,1.3713,4.7063,4.4386,600445.0000,60045.0000,60045.0000,15605565.5500,1560569.5500,,,0.0000,0.0000,0.0000,1.8823
2016-12-08,25.9800,26.4800,25.9300,26.2500,0.2600,1.0000,468987.7800,1232205.3110,7.2100,26.2500,7.8106,7.8106,1.6900,12.1222,11.2548,1.3850,4.7533,4.4830,600445.0000,60045.0000,60045.0000,15761681.2500,1576181.2500,,,0.0000,0.0000,0.0000,1.8685
2016-12-09,26.1500,26.4500,25.9900,26.2000,-0.0500,-0.1900,442880.4900,1164178.7440,7.1900,26.2000,7.3758,7.3758,1.4200,12.0991,11.2334,1.3824,4.7443,4.4744,600445.0000,60045.0000,60045.0000,15731659.0000,1573179.0000,,,0.0000,0.0000,0.0000,1.8564
2016-12-12,26.0800,26.3400,24.9500,24.9800,-1.2200,-4.6600,501748.7200,1281228.6880,6.8600,24.9800,8.3562,8.3562,1.5600,11.5357,10.7103,1.3180,4.5234,4.2661,600445.0000,60045.0000,60045.0000,14999116.1000,1499924.1000,,,0.0000,0.0000,0.0000,1.8613
