交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2010-07-15,2.7400,2.7400,2.6900,2.7000,,,40397251.8000,10949613.7820,1.2500,2.7000,39.1814,39.1814,,12.1405,12.1405,1.9105,3.5498,3.5498,29223529.4000,1031032.5000,1031032.5000,78903529.3800,2783787.7500,,,0.0000,0.0000,0.0000,1.9708
2010-07-16,2.7000,2.7000,2.6800,2.6900,-0.0100,-0.3700,13789551.1700,3707551.2940,1.2400,2.6900,13.3745,13.3745,,13.1473,13.1473,1.7686,3.8442,3.8442,31764705.9000,1031032.5000,1031032.5000,85447058.8710,2773477.4250,,,0.0000,0.0000,0.0000,2.0000
2010-07-19,2.6800,2.7100,2.6800,2.7100,0.0200,0.7400,11467383.2900,3088010.3790,1.2500,2.7100,11.1222,11.1222,,13.2451,13.2451,1.7817,3.8728,3.8728,31764705.9000,1031032.5000,1031032.5000,86082352.9890,2794098.0750,,,0.0000,0.0000,0.0000,2.0149
2010-07-20,2.7000,2.7100,2.6900,2.7100,0.0000,0.0000,8442260.5700,2278829.2370,1.2500,2.7100,8.1882,8.1882,,13.2451,13.2451,1.7817,3.8728,3.8728,31764705.9000,1031032.5000,1031032.5000,86082352.9890,2794098.0750,,,0.0000,0.0000,0.0000,2.0000
2010-07-21,2.7000,2.7100,2.6900,2.7100,0.0000,0.0000,6220943.1700,1678918.0490,1.2500,2.7100,6.0337,6.0337,,13.2451,13.2451,1.7817,3.8728,3.8728,31764705.9000,1031032.5000,1031032.5000,86082352.9890,2794098.0750,,,0.0000,0.0000,0.0000,2.0000
2010-07-22,2.7000,2.7500,2.6900,2.7300,0.0200,0.7400,10651225.7100,2895029.1180,1.2600,2.7300,10.3306,10.3306,0.6600,13.3428,13.3428,1.7949,3.9014,3.9014,31764705.9000,1031032.5000,1031032.5000,86717647.1070,2814718.7250,,,0.0000,0.0000,0.0000,2.0000
2010-07-23,2.7300,2.8400,2.7300,2.8100,0.0800,2.9300,17927829.4600,5001163.7170,1.3000,2.8100,17.3882,17.3882,1.7700,13.7338,13.7338,1.8475,4.0157,4.0157,31764705.9000,1031032.5000,1031032.5000,89258823.5790,2897201.3250,,,0.0000,0.0000,0.0000,1.9780
2010-07-26,2.8300,2.8400,2.7700,2.8000,-0.0100,-0.3600,7046938.7600,1974873.4340,1.2900,2.8000,6.8348,6.8348,0.6400,13.6849,13.6849,1.8409,4.0014,4.0014,31764705.9000,1031032.5000,1031032.5000,88941176.5200,2886891.0000,,,0.0000,0.0000,0.0000,1.9081
2010-07-27,2.7900,2.8000,2.7700,2.7800,-0.0200,-0.7100,3844839.8500,1070439.9900,1.2900,2.7800,3.7291,3.7291,0.3800,13.5872,13.5872,1.8277,3.9728,3.9728,31764705.9000,1031032.5000,1031032.5000,88305882.4020,2866270.3500,,,0.0000,0.0000,0.0000,1.9355
2010-07-28,2.7800,2.8500,2.7800,2.8400,0.0600,2.1600,7969171.3800,2248740.0810,1.3100,2.8400,7.7293,7.7293,0.8700,13.8804,13.8804,1.8672,4.0586,4.0586,31764705.9000,1031032.5000,1031032.5000,90211764.7560,2928132.3000,,,0.0000,0.0000,0.0000,1.9424
