交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-03-01,50.0000,50.9700,45.8000,46.7900,,,1977633.5100,9500302.9110,15.6200,46.7900,34.3936,34.3936,,46.8095,102.9584,4.7351,3.1846,4.5421,734505.3334,57500.0000,57500.0000,34367504.5498,2690425.0000,,,0.0440,0.0440,0.4400,1.8400
2007-03-02,47.0000,47.4400,45.8800,46.4100,-0.3800,-0.8100,425048.3200,1981445.1890,15.4900,46.4100,7.3921,7.3921,,46.4293,102.1222,4.6966,3.1587,4.5052,734505.3334,57500.0000,57500.0000,34088392.5231,2668575.0000,,,0.0468,0.0468,0.4681,1.9574
2007-03-05,45.9800,46.1700,43.5300,44.3800,-2.0300,-4.3700,419196.7400,1880502.8080,14.8200,44.3800,7.2904,7.2904,,44.3985,97.6553,4.4912,3.0205,4.3081,734505.3334,57500.0000,57500.0000,32597346.6963,2551850.0000,,,0.0478,0.0478,0.4785,2.0009
2007-03-06,44.0000,46.0000,43.7500,45.2500,0.8700,1.9600,297727.8800,1337719.3180,15.1100,45.2500,5.1779,5.1779,,45.2688,99.5697,4.5792,3.0798,4.3926,734505.3334,57500.0000,57500.0000,33236366.3364,2601875.0000,,,0.0500,0.0500,0.5000,2.0909
2007-03-07,45.2900,46.9000,44.9100,46.4800,1.2300,2.7200,287463.7800,1317764.0440,15.5200,46.4800,4.9994,4.9994,,46.4993,102.2762,4.7037,3.1635,4.5120,734505.3334,57500.0000,57500.0000,34139807.8964,2672600.0000,,,0.0486,0.0486,0.4858,2.0314
2007-03-08,46.1000,46.3300,45.6800,45.9200,-0.5600,-1.2000,130983.8300,601904.4520,15.3300,45.9200,2.2780,2.2780,0.1900,45.9391,101.0440,4.6470,3.1254,4.4576,734505.3334,57500.0000,57500.0000,33728484.9097,2640400.0000,,,0.0477,0.0477,0.4772,1.9957
2007-03-09,45.9000,46.1000,44.7000,45.5300,-0.3900,-0.8500,160887.7900,729237.3450,15.2000,45.5300,2.7980,2.7980,0.5200,45.5489,100.1858,4.6076,3.0988,4.4197,734505.3334,57500.0000,57500.0000,33442027.8297,2617975.0000,,,0.0479,0.0479,0.4793,2.0044
2007-03-12,45.3000,45.3000,44.5000,44.7100,-0.8200,-1.8000,145353.0600,651218.1610,14.9300,44.7100,2.5279,2.5279,0.5600,44.7286,98.3815,4.5246,3.0430,4.3401,734505.3334,57500.0000,57500.0000,32839733.4563,2570825.0000,,,0.0486,0.0486,0.4857,2.0309
2007-03-13,44.8100,45.2600,44.6200,44.8900,0.1800,0.4000,102319.6800,459295.4780,14.9900,44.8900,1.7795,1.7795,0.5000,44.9087,98.7775,4.5428,3.0552,4.3576,734505.3334,57500.0000,57500.0000,32971944.4163,2581175.0000,,,0.0491,0.0491,0.4910,2.0531
2007-03-14,44.3000,45.1000,43.7900,44.9400,0.0500,0.1100,173306.5600,767078.3980,15.0000,44.9400,3.0140,3.0140,1.0500,44.9587,98.8876,4.5478,3.0587,4.3625,734505.3334,57500.0000,57500.0000,33008669.6830,2584050.0000,,,0.0497,0.0497,0.4966,2.0767
