交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2007-05-15,14.2000,14.9900,13.4500,13.5400,,,9011179.0300,12827875.6690,5.0900,13.5400,56.4904,56.4904,,52.3628,52.3628,5.8535,15.3472,15.3472,4899438.3703,159517.1000,159517.1000,66338395.5339,2159861.5340,,,0.0000
2007-05-16,13.3800,13.6400,12.9500,13.4800,-0.0600,-0.4400,1715746.6500,2275215.4170,5.0600,13.4800,10.7559,10.7559,,52.1307,52.1307,5.8275,15.2792,15.2792,4899438.3703,159517.1000,159517.1000,66044429.2316,2150290.5080,,,0.0000
2007-05-17,13.4900,13.6700,13.3000,13.5900,0.1100,0.8200,1153713.4300,1554110.0840,5.1000,13.5900,7.2325,7.2325,,52.5561,52.5561,5.8751,15.4039,15.4039,4899438.3703,159517.1000,159517.1000,66583367.4524,2167837.3890,,,0.0000
2007-05-18,13.4900,13.8300,13.3500,13.6900,0.1000,0.7400,1215630.3200,1644130.7050,5.1400,13.6900,7.6207,7.6207,,52.9429,52.9429,5.9183,15.5172,15.5172,4899438.3703,159517.1000,159517.1000,67073311.2894,2183789.0990,,,0.0000
2007-05-21,13.2800,13.6400,13.2100,13.5500,-0.1400,-1.0200,1239497.1600,1669701.7940,5.0900,13.5500,7.7703,7.7703,,52.4014,52.4014,5.8578,15.3586,15.3586,4899438.3703,159517.1000,159517.1000,66387389.9176,2161456.7050,,,0.0000
2007-05-22,13.5500,13.6500,13.4000,13.5500,0.0000,0.0000,1047549.0900,1413005.4290,5.0900,13.5500,6.5670,6.5670,0.3700,52.4014,52.4014,5.8578,15.3586,15.3586,4899438.3703,159517.1000,159517.1000,66387389.9176,2161456.7050,,,0.0000
2007-05-23,13.6300,13.7100,13.5000,13.5900,0.0400,0.3000,1104079.1100,1503034.1990,5.1000,13.5900,6.9214,6.9214,0.8700,52.5561,52.5561,5.8751,15.4039,15.4039,4899438.3703,159517.1000,159517.1000,66583367.4524,2167837.3890,,,0.0000
2007-05-24,13.5800,13.7900,13.3500,13.4700,-0.1200,-0.8800,1068313.0100,1448361.4620,5.0600,13.4700,6.6972,6.6972,0.9300,52.0921,52.0921,5.8232,15.2679,15.2679,4899438.3703,159517.1000,159517.1000,65995434.8479,2148695.3370,,,0.0000
2007-05-25,13.3800,13.6000,13.3300,13.4000,-0.0700,-0.5200,766261.0500,1028588.6780,5.0300,13.4000,4.8036,4.8036,0.6800,51.8214,51.8214,5.7930,15.1885,15.1885,4899438.3703,159517.1000,159517.1000,65652474.1620,2137529.1400,,,0.0000
2007-05-28,13.4000,13.5800,13.3700,13.5200,0.1200,0.9000,947222.0000,1274377.7210,5.0800,13.5200,5.9381,5.9381,0.9100,52.2854,52.2854,5.8448,15.3246,15.3246,4899438.3703,159517.1000,159517.1000,66240406.7665,2156671.1920,,,0.0000
2007-05-29,13.6000,13.6700,13.4600,13.5500,0.0300,0.2200,1025616.1800,1388727.7260,5.0900,13.5500,6.4295,6.4295,1.0400,52.4014,52.4014,5.8578,15.3586,15.3586,4899438.3703,159517.1000,159517.1000,66387389.9176,2161456.7050,,,0.0000
2007-05-30,13.0000,13.4000,12.5800,12.7800,-0.7700,-5.6800,1368146.3600,1780021.4960,4.8000,12.7800,8.5768,8.5768,1.3900,49.4237,49.4237,5.5249,14.4858,14.4858,4899438.3703,159517.1000,159517.1000,62614822.3724,2038628.5380,,,0.0000
2007-05-31,12.8000,13.5800,12.5200,13.3700,0.5900,4.6200,1223318.7300,1606427.6530,5.0200,13.3700,7.6689,7.6689,1.1800,51.7053,48.2794,5.7800,15.1545,14.1255,4899438.3703,159517.1000,159517.1000,65505491.0109,2132743.6270,,,0.0000
2007-06-01,13.4000,13.5700,12.9400,13.0100,-0.3600,-2.6900,946525.8300,1253720.6860,4.8900,13.0100,5.9337,5.9337,0.8900,50.3131,46.9794,5.6244,14.7465,13.7451,4899438.3703,159517.1000,159517.1000,63741693.1976,2075317.4710,,,0.0000
2007-06-04,13.0300,13.1600,11.7500,11.8600,-1.1500,-8.8400,891032.9300,1102442.8040,4.4600,11.8600,5.5858,5.5858,0.8100,45.8658,42.8268,5.1272,13.4430,12.5302,4899438.3703,159517.1000,159517.1000,58107339.0718,1891872.8060,,,0.0000
2007-06-05,11.8600,12.2800,11.0200,12.2200,0.3600,3.0400,707223.8800,834115.2880,4.5900,12.2200,4.4335,4.4335,0.6500,47.2580,44.1267,5.2828,13.8510,12.9105,4899438.3703,159517.1000,159517.1000,59871136.8851,1949298.9620,,,0.0000
2007-06-06,12.3000,12.3700,12.0000,12.1300,-0.0900,-0.7400,444915.2800,541999.4040,4.5600,12.1300,2.7891,2.7891,0.4300,46.9099,43.8017,5.2439,13.7490,12.8154,4899438.3703,159517.1000,159517.1000,59430187.4317,1934942.4230,,,0.0000
2007-06-07,12.1600,12.2400,12.1000,12.1900,0.0600,0.4900,467239.7400,567739.8520,4.5800,12.1900,2.9291,2.9291,0.5500,47.1420,44.0184,5.2699,13.8170,12.8788,4899438.3703,159517.1000,159517.1000,59724153.7340,1944513.4490,,,0.0000
2007-06-08,12.2000,12.2500,11.9400,12.2100,0.0200,0.1600,614050.6100,743017.2280,4.5900,12.2100,3.8494,3.8494,0.8900,47.2193,44.0906,5.2785,13.8397,12.8999,4899438.3703,159517.1000,159517.1000,59822142.5014,1947703.7910,,,0.0000
2007-06-11,12.2200,12.2800,12.0400,12.1900,-0.0200,-0.1600,445713.9500,542809.4890,4.5800,12.1900,2.7941,2.7941,0.7100,47.1420,44.0184,5.2699,13.8170,12.8788,4899438.3703,159517.1000,159517.1000,59724153.7340,1944513.4490,,,0.0000
2007-06-12,12.1800,12.1800,11.8200,12.0200,-0.1700,-1.3900,607127.1900,727017.9390,4.5200,12.0200,3.8060,3.8060,1.1300,46.4845,43.4045,5.1964,13.6243,12.6992,4899438.3703,159517.1000,159517.1000,58891249.2110,1917395.5420,,,0.0000
2007-06-13,12.0400,12.4900,12.0100,12.4200,0.4000,3.3300,903618.8300,1107809.3080,4.6700,12.4200,5.6647,5.6647,1.7500,48.0314,44.8489,5.3693,14.0777,13.1218,4899438.3703,159517.1000,159517.1000,60851024.5591,1981202.3820,,,0.0000
2007-06-14,12.3400,12.3400,12.0500,12.0700,-0.3500,-2.8200,414490.6400,504172.9110,4.5300,12.0700,2.5984,2.5984,0.6800,46.6779,43.5851,5.2180,13.6810,12.7520,4899438.3703,159517.1000,159517.1000,59136221.1295,1925371.3970,,,0.0000
