交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2006-10-27,3.4000,3.4400,3.2600,3.2800,,,25825395.6200,8725310.4400,1.3600,3.2800,37.8074,37.8074,,28.7463,28.7225,2.8909,6.6219,3.9645,32782193.0026,683078.0000,683078.0000,107525593.0485,2240495.8400,,,0.0000
2006-10-30,3.2700,3.3200,3.2500,3.2900,0.0100,0.3000,3519210.0200,1153127.8790,1.3700,3.2900,5.1520,5.1520,,28.8340,28.8101,2.8997,6.6421,3.9766,32782193.0026,683078.0000,683078.0000,107853414.9786,2247326.6200,,,0.0000
2006-10-31,3.2800,3.3300,3.2800,3.3000,0.0100,0.3000,2301261.8700,761050.7670,1.3700,3.3000,3.3690,3.3690,,28.9216,28.8976,2.9085,6.6623,3.9887,32782193.0026,683078.0000,683078.0000,108181236.9086,2254157.4000,,,0.0000
2006-11-01,3.3000,3.3100,3.2800,3.3000,0.0000,0.0000,1328924.0100,437264.8380,1.3700,3.3000,1.9455,1.9455,,28.9216,28.8976,2.9085,6.6623,3.9887,32782193.0026,683078.0000,683078.0000,108181236.9086,2254157.4000,,,0.0000
2006-11-02,3.3000,3.3000,3.2500,3.2800,-0.0200,-0.6100,1751554.2700,573399.4170,1.3600,3.2800,2.5642,2.5642,,28.7463,28.7225,2.8909,6.6219,3.9645,32782193.0026,683078.0000,683078.0000,107525593.0485,2240495.8400,,,0.0000
2006-11-03,3.2700,3.3700,3.2700,3.3600,0.0800,2.4400,4000161.3000,1331710.3040,1.4000,3.3600,5.8561,5.8561,0.5800,29.4474,29.4231,2.9614,6.7834,4.0612,32782193.0026,683078.0000,683078.0000,110148168.4887,2295142.0800,,,0.0000
2006-11-06,3.3300,3.3800,3.3200,3.3800,0.0200,0.6000,2099938.0100,706248.0190,1.4100,3.3800,3.0742,3.0742,0.8100,29.6227,29.5982,2.9790,6.8238,4.0854,32782193.0026,683078.0000,683078.0000,110803812.3488,2308803.6400,,,0.0000
2006-11-07,3.3800,3.4300,3.3700,3.4000,0.0200,0.5900,2967924.5200,1010942.1700,1.4100,3.4000,4.3449,4.3449,1.2900,29.7980,29.7733,2.9967,6.8642,4.1096,32782193.0026,683078.0000,683078.0000,111459456.2088,2322465.2000,,,0.0000
2006-11-08,3.4000,3.4000,3.3500,3.3600,-0.0400,-1.1800,1518226.9900,512250.4940,1.4000,3.3600,2.2226,2.2226,0.6200,29.4474,29.4231,2.9614,6.7834,4.0612,32782193.0026,683078.0000,683078.0000,110148168.4887,2295142.0800,,,0.0000
2006-11-09,3.3600,3.4000,3.3500,3.4000,0.0400,1.1900,1779482.0400,601893.7350,1.4100,3.4000,2.6051,2.6051,0.7200,30.1840,30.1590,3.0355,6.9531,4.1628,33206885.0026,683078.0000,683078.0000,112903409.0088,2322465.2000,,,0.0000
2006-11-10,3.4000,3.5200,3.4000,3.4600,0.0600,1.7600,7596902.1800,2640424.9520,1.4400,3.4600,11.1216,11.1216,3.0700,30.7167,30.6913,3.0891,7.0758,4.2363,33206885.0026,683078.0000,683078.0000,114895822.1090,2363449.8800,,,0.0000
2006-11-13,3.4500,3.5900,3.4400,3.5200,0.0600,1.7300,4633751.5000,1636941.4790,1.4600,3.5200,6.7836,6.7836,1.4500,31.2494,31.2235,3.1426,7.1985,4.3098,33206885.0026,683078.0000,683078.0000,116888235.2092,2404434.5600,,,0.0000
2006-11-14,3.5800,3.6200,3.5300,3.6000,0.0800,2.2700,4319117.5000,1548647.1070,1.5000,3.6000,6.3230,6.3230,1.1700,31.9596,31.9331,3.2141,7.3621,4.4077,33206885.0026,683078.0000,683078.0000,119544786.0094,2459080.8000,,,0.0000
2006-11-15,3.6100,3.6500,3.6000,3.6500,0.0500,1.3900,3446056.6300,1249336.1190,1.5200,3.6500,5.0449,5.0449,0.8700,32.4035,32.3766,3.2587,7.4644,4.4689,33206885.0026,683078.0000,683078.0000,121205130.2595,2493234.7000,,,0.0000
