交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2018-09-26,9.5900,11.5100,9.5900,11.5100,,,8660.3400,9944.0510,8.6600,11.5100,0.2531,0.2531,,10.0191,12.9260,1.3806,3.2473,3.1603,342155.3754,34215.5376,34215.5376,3938208.3709,393820.8378,,,0.0000,0.0000,0.0000,2.9197
2018-09-27,12.6600,12.6600,11.2100,11.9800,0.4700,4.0800,1691986.1700,2008701.6340,9.0200,11.9800,49.4508,49.4508,,10.4282,13.4539,1.4369,3.3799,3.2894,342155.3754,34215.5376,34215.5376,4099021.3973,409902.1404,,,0.0000,0.0000,0.0000,2.2117
2018-09-28,11.6000,11.7200,11.3200,11.3400,-0.6400,-5.3400,916174.1200,1055070.1340,8.5400,11.3400,26.7766,26.7766,,9.8711,12.7351,1.3602,3.1994,3.1137,342155.3754,34215.5376,34215.5376,3880041.9570,388004.1964,,,0.0000,0.0000,0.0000,2.4138
2018-10-08,11.0000,11.0700,10.2200,10.3000,-1.0400,-9.1700,760313.7100,807128.8540,7.7500,10.3000,22.2213,22.2213,,8.9658,11.5672,1.2354,2.9059,2.8281,342155.3754,34215.5376,34215.5376,3524200.3666,352420.0373,,,0.0000,0.0000,0.0000,2.5455
2018-10-09,10.2800,10.3400,9.9300,10.2100,-0.0900,-0.8700,605474.2300,613462.7730,7.6800,10.2100,17.6959,17.6959,,8.8875,11.4661,1.2246,2.8806,2.8034,342155.3754,34215.5376,34215.5376,3493406.3828,349340.6389,,,0.0000,0.0000,0.0000,2.7237
2018-10-10,10.1600,10.2400,9.9700,10.0300,-0.1800,-1.7600,395255.9800,398399.0240,7.5500,10.0300,11.5519,11.5519,0.5000,8.7308,11.2640,1.2030,2.8298,2.7540,342155.3754,34215.5376,34215.5376,3431818.4153,343181.8421,,,0.0000,0.0000,0.0000,2.7559
2018-10-11,9.5900,9.7300,9.0300,9.0600,-0.9700,-9.6700,637749.2600,597049.4980,6.8200,9.0600,18.6392,18.6392,0.7300,7.8864,10.1746,1.0867,2.5561,2.4876,342155.3754,34215.5376,34215.5376,3099927.7011,309992.7707,,,0.0000,0.0000,0.0000,2.9197
2018-10-12,9.0100,9.7900,9.0000,9.5800,0.5200,5.7400,852637.4400,811218.9690,7.2100,9.5800,24.9196,24.9196,1.2900,8.3391,10.7586,1.1491,2.7028,2.6304,342155.3754,34215.5376,34215.5376,3277848.4963,327784.8502,,,0.0000,0.0000,0.0000,3.1077
2018-10-15,9.4100,9.4800,9.1600,9.2500,-0.3300,-3.4400,495496.5200,460655.3460,6.9600,9.2500,14.4816,14.4816,0.7600,8.0518,10.3880,1.1095,2.6097,2.5398,342155.3754,34215.5376,34215.5376,3164937.2225,316493.7228,,,0.0000,0.0000,0.0000,2.9756
2018-10-16,9.2300,9.4000,9.0600,9.1400,-0.1100,-1.1900,372522.6300,343148.3910,6.8800,9.1400,10.8875,10.8875,0.6200,7.9561,10.2645,1.0963,2.5787,2.5096,342155.3754,34215.5376,34215.5376,3127300.1312,312730.0137,,,0.0000,0.0000,0.0000,3.0336
2018-10-17,9.2900,9.3400,8.7800,9.0000,-0.1400,-1.5300,473936.0900,428196.6370,6.7700,9.0000,13.8515,13.8515,0.8600,7.8342,10.1072,1.0795,2.5392,2.4712,342155.3754,34215.5376,34215.5376,3079398.3786,307939.8384,,,0.0000,0.0000,0.0000,3.0140
2018-10-18,8.8100,8.8500,8.6000,8.6200,-0.3800,-4.2200,370932.8100,323164.1880,6.4900,8.6200,10.8411,10.8411,0.6500,7.5034,9.6805,1.0339,2.4320,2.3668,342155.3754,34215.5376,34215.5376,2949379.3359,294937.9341,,,0.0000,0.0000,0.0000,3.1782
