交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2019-12-10,5.6000,5.6500,5.5300,5.6100,,,16194729.1200,9048900.5730,4.2100,5.6100,54.4545,54.4545,,9.3279,8.1476,0.9858,1.8696,1.7744,8697856.2200,297399.2297,297399.2297,48794973.3942,1668409.6786,,,0.0000,0.0000,0.0000,3.7536
2019-12-11,5.5800,5.6400,5.5500,5.6300,0.0200,0.3600,4633862.6400,2586905.7840,4.2300,5.6300,15.5813,15.5813,,9.3611,8.1766,0.9893,1.8762,1.7807,8697856.2200,297399.2297,297399.2297,48968930.5186,1674357.6632,,,0.0000,0.0000,0.0000,3.7670
2019-12-12,5.6000,5.6100,5.5600,5.6000,-0.0300,-0.5300,2247118.4800,1255128.5040,4.2100,5.6000,7.5559,7.5559,,9.3112,8.1330,0.9841,1.8662,1.7712,8697856.2200,297399.2297,297399.2297,48707994.8320,1665435.6863,,,0.0000,0.0000,0.0000,3.7536
2019-12-13,5.6100,5.6100,5.5800,5.5900,-0.0100,-0.1800,1570367.2400,878386.0090,4.2000,5.5900,5.2803,5.2803,,9.2946,8.1185,0.9823,1.8629,1.7681,8697856.2200,297399.2297,297399.2297,48621016.2698,1662461.6940,,,0.0000,0.0000,0.0000,3.7469
2019-12-16,5.5900,5.5900,5.5600,5.5800,-0.0100,-0.1800,1438749.9000,801426.8540,4.1900,5.5800,4.8378,4.8378,,9.2780,8.1040,0.9806,1.8596,1.7649,8697856.2200,297399.2297,297399.2297,48534037.7076,1659487.7017,,,0.0000,0.0000,0.0000,3.7603
2019-12-17,5.5800,6.1400,5.5600,5.8500,0.2700,4.8400,4561198.5000,2651899.2510,4.3900,5.8500,15.3370,15.3370,0.8700,9.7269,8.4961,1.0280,1.9496,1.8503,8697856.2200,297399.2297,297399.2297,50882458.8870,1739785.4937,,,0.0000,0.0000,0.0000,3.7670
2019-12-18,5.7800,5.8400,5.7100,5.7200,-0.1300,-2.2200,2200642.0500,1268629.9090,4.3000,5.7200,7.3996,7.3996,0.7600,9.5108,8.3073,1.0052,1.9062,1.8092,8697856.2200,297399.2297,297399.2297,49751737.5784,1701123.5939,,,0.0000,0.0000,0.0000,3.6367
2019-12-19,5.7300,5.8300,5.7000,5.7400,0.0200,0.3500,1410280.7600,811746.3050,4.3100,5.7400,4.7420,4.7420,0.5900,9.5440,8.3364,1.0087,1.9129,1.8155,8697856.2200,297399.2297,297399.2297,49925694.7028,1707071.5785,,,0.0000,0.0000,0.0000,3.6684
2019-12-20,5.7500,5.8400,5.7200,5.7500,0.0100,0.1700,1762430.5200,1017976.1970,4.3200,5.7500,5.9261,5.9261,0.7900,9.5606,8.3509,1.0104,1.9162,1.8187,8697856.2200,297399.2297,297399.2297,50012673.2650,1710045.5708,,,0.0000,0.0000,0.0000,3.6557
2019-12-23,5.7600,5.8800,5.7400,5.8200,0.0700,1.2200,1709986.3800,994892.7910,4.3700,5.8200,5.7498,5.7498,0.7500,9.6770,8.4526,1.0227,1.9396,1.8408,8697856.2200,297399.2297,297399.2297,50621523.2004,1730863.5169,,,0.0000,0.0000,0.0000,3.6493
