交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2009-07-29,6.7000,7.9600,6.2100,6.5300,,,41731608.7600,29167687.9930,2.8800,6.5300,69.5527,69.5527,,71.3536,60.3720,2.9388,0.9693,0.9383,3000000.0000,600000.0000,600000.0000,19590000.0000,3918000.0000,,,0.0000,0.0000,0.0000,0.4328
2009-07-30,6.8000,7.0000,6.6200,6.9400,0.4100,6.2800,16480096.2600,11237231.7120,3.0600,6.9400,27.4668,27.4668,,75.8337,64.1626,3.1233,1.0302,0.9972,3000000.0000,600000.0000,600000.0000,20820000.0000,4164000.0000,,,0.0000,0.0000,0.0000,0.4265
2009-07-31,6.8000,6.9200,6.6800,6.8500,-0.0900,-1.3000,10535057.9700,7145232.3830,3.0200,6.8500,17.5584,17.5584,,74.8503,63.3305,3.0828,1.0168,0.9843,3000000.0000,600000.0000,600000.0000,20550000.0000,4110000.0000,,,0.0000,0.0000,0.0000,0.4265
2009-08-03,6.7900,6.8200,6.5600,6.6700,-0.1800,-2.6300,8371754.5000,5577208.5450,2.9400,6.6700,13.9529,13.9529,,72.8834,61.6663,3.0018,0.9901,0.9584,3000000.0000,600000.0000,600000.0000,20010000.0000,4002000.0000,,,0.0000,0.0000,0.0000,0.4271
2009-08-04,6.6300,6.6300,6.3800,6.4700,-0.2000,-3.0000,7428537.9500,4820713.4710,2.8500,6.4700,12.3809,12.3809,,70.6980,59.8173,2.9118,0.9604,0.9297,3000000.0000,600000.0000,600000.0000,19410000.0000,3882000.0000,,,0.0000,0.0000,0.0000,0.4374
2009-08-05,6.4700,6.6100,6.4200,6.5700,0.1000,1.5500,5089199.0200,3316283.2010,2.9000,6.5700,8.4820,8.4820,0.3000,71.7907,60.7418,2.9568,0.9753,0.9440,3000000.0000,600000.0000,600000.0000,19710000.0000,3942000.0000,,,0.0000,0.0000,0.0000,0.4482
2009-08-06,6.4900,6.5500,6.3000,6.4400,-0.1300,-1.9800,4763347.6500,3059723.3880,2.8400,6.4400,7.9389,7.9389,0.5000,70.3702,59.5399,2.8983,0.9560,0.9254,3000000.0000,600000.0000,600000.0000,19320000.0000,3864000.0000,,,0.0000,0.0000,0.0000,0.4468
2009-08-07,6.4500,6.5000,6.3400,6.3700,-0.0700,-1.0900,4355387.0900,2791217.9270,2.8100,6.3700,7.2590,7.2590,0.6000,69.6053,58.8927,2.8668,0.9456,0.9153,3000000.0000,600000.0000,600000.0000,19110000.0000,3822000.0000,,,0.0000,0.0000,0.0000,0.4496
2009-08-10,6.4000,6.4700,6.3300,6.4000,0.0300,0.4700,3188140.3900,2038182.0960,2.8200,6.4000,5.3136,5.3136,0.5300,69.9331,59.1701,2.8803,0.9500,0.9196,3000000.0000,600000.0000,600000.0000,19200000.0000,3840000.0000,,,0.0000,0.0000,0.0000,0.4531
2009-08-11,6.4200,6.6500,6.3500,6.5900,0.1900,2.9700,6130563.9200,4006083.0020,2.9000,6.5900,10.2176,10.2176,1.2300,72.0093,60.9267,2.9658,0.9782,0.9469,3000000.0000,600000.0000,600000.0000,19770000.0000,3954000.0000,,,0.0000,0.0000,0.0000,0.4517
