交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2021-08-19,10.6800,12.8200,10.6800,10.7000,,,4909185.5600,5510065.5860,8.4600,10.7000,50.9017,50.9017,,12.6455,11.5318,1.1718,4.6823,4.5253,964444.4445,96444.4445,96444.4445,10319555.5562,1031955.5562,,,0.0000
2021-08-20,9.6300,9.8100,9.6300,9.6300,-1.0700,-10.0000,738416.9800,711946.4180,7.6100,9.6300,7.6564,7.6564,,11.3809,10.3786,1.0546,4.2141,4.0728,964444.4445,96444.4445,96444.4445,9287600.0005,928760.0005,,,0.0000
2021-08-23,8.7000,9.2800,8.6900,8.9100,-0.7200,-7.4800,3099954.6200,2757485.2410,7.0400,8.9100,32.1424,32.1424,,10.5300,9.6026,0.9758,3.8990,3.7683,964444.4445,96444.4445,96444.4445,8593200.0005,859320.0005,,,0.0000
2021-08-24,8.7500,8.8400,8.5100,8.5400,-0.3700,-4.1500,2246121.7600,1934760.8150,6.7500,8.5400,23.2893,23.2893,,10.0927,9.2039,0.9353,3.7371,3.6118,964444.4445,96444.4445,96444.4445,8236355.5560,823635.5560,,,0.0000
2021-08-25,8.5000,8.6200,8.3600,8.3700,-0.1700,-1.9900,1547365.2000,1305559.8810,6.6200,8.3700,16.0441,16.0441,,9.8918,9.0207,0.9167,3.6627,3.5399,964444.4445,96444.4445,96444.4445,8072400.0005,807240.0005,,,0.0000
2021-08-26,8.3900,8.4100,8.1200,8.1300,-0.2400,-2.8700,1454471.2000,1192868.4310,6.4300,8.1300,15.0809,15.0809,0.5800,9.6082,8.7620,0.8904,3.5577,3.4384,964444.4445,96444.4445,96444.4445,7840933.3338,784093.3338,,,0.0000
2021-08-27,8.1200,8.1700,8.0100,8.0200,-0.1100,-1.3500,896581.5800,722524.7730,6.3400,8.0200,9.2964,9.2964,0.4900,9.4782,8.6435,0.8783,3.5095,3.3919,964444.4445,96444.4445,96444.4445,7734844.4449,773484.4449,,,0.0000
2021-08-30,8.0000,8.0200,7.7500,7.7600,-0.2600,-3.2400,1192835.6900,934370.3350,6.1300,7.7600,12.3681,12.3681,0.6500,9.1709,8.3632,0.8498,3.3958,3.2819,964444.4445,96444.4445,96444.4445,7484088.8893,748408.8893,,,0.0000
2021-08-31,7.7100,7.8600,7.6500,7.8200,0.0600,0.7700,1001122.7300,777670.1650,6.1800,7.8200,10.3803,10.3803,0.6800,9.2418,8.4279,0.8564,3.4220,3.3073,964444.4445,96444.4445,96444.4445,7541955.5560,754195.5560,,,0.0000
2021-09-01,7.7700,8.0900,7.6700,7.9200,0.1000,1.2800,1338982.4500,1055994.3030,6.2600,7.9200,13.8835,13.8835,1.1000,9.3600,8.5357,0.8674,3.4658,3.3496,964444.4445,96444.4445,96444.4445,7638400.0004,763840.0004,,,0.0000
2021-09-02,7.8400,7.8700,7.7600,7.8000,-0.1200,-1.5200,825102.1500,643756.2760,6.1700,7.8000,8.5552,8.5552,0.7000,9.2182,8.4063,0.8542,3.4133,3.2988,964444.4445,96444.4445,96444.4445,7522666.6671,752266.6671,,,0.0000
2021-09-03,7.8000,8.1800,7.7700,7.9900,0.1900,2.4400,1262833.0100,1008684.8010,6.3200,7.9900,13.0939,13.0939,1.2000,9.4427,8.6111,0.8750,3.4964,3.3792,964444.4445,96444.4445,96444.4445,7705911.1116,770591.1116,,,0.0000
2021-09-06,7.9100,8.0200,7.8500,7.9500,-0.0400,-0.5000,780399.3200,618306.6720,6.2800,7.9500,8.0917,8.0917,0.6900,9.3955,8.5680,0.8707,3.4789,3.3623,964444.4445,96444.4445,96444.4445,7667333.3338,766733.3338,,,0.0000
2021-09-07,7.9200,7.9900,7.8500,7.9500,0.0000,0.0000,739199.5800,584824.0790,6.2800,7.9500,7.6645,7.6645,0.7100,9.3955,8.5680,0.8707,3.4789,3.3623,964444.4445,96444.4445,96444.4445,7667333.3338,766733.3338,,,0.0000
2021-09-08,7.9100,8.0200,7.8800,7.9400,-0.0100,-0.1300,643661.0100,511698.3990,6.2800,7.9400,6.6739,6.6739,0.6500,9.3837,8.5572,0.8696,3.4745,3.3581,964444.4445,96444.4445,96444.4445,7657688.8893,765768.8893,,,0.0000
2021-09-09,7.9300,8.0300,7.9000,8.0000,0.0600,0.7600,689992.0600,549484.8230,6.3200,8.0000,7.1543,7.1543,0.8100,9.4546,8.6219,0.8761,3.5008,3.3834,964444.4445,96444.4445,96444.4445,7715555.5560,771555.5560,,,0.0000
2021-09-10,7.9700,8.2000,7.9700,8.0900,0.0900,1.1200,1143312.1000,924932.4720,6.4000,8.0900,11.8546,11.8546,1.3900,9.5609,8.7189,0.8860,3.5402,3.4215,964444.4445,96444.4445,96444.4445,7802355.5560,780235.5560,,,0.0000
2021-09-13,8.0500,8.0500,7.9200,7.9600,-0.1300,-1.6100,626273.6700,498596.1020,6.2900,7.9600,6.4936,6.4936,0.7800,9.4073,8.5788,0.8717,3.4833,3.3665,964444.4445,96444.4445,96444.4445,7676977.7782,767697.7782,,,0.0000
2021-09-14,7.9200,7.9600,7.7600,7.7700,-0.1900,-2.3900,695366.2900,545777.9550,6.1400,7.7700,7.2100,7.2100,0.9000,9.1827,8.3740,0.8509,3.4001,3.2862,964444.4445,96444.4445,96444.4445,7493733.3338,749373.3338,,,0.0000
2021-09-15,7.7600,7.7900,7.7300,7.7500,-0.0200,-0.2600,342038.6900,265216.6680,6.1300,7.7500,3.5465,3.5465,0.4500,9.1591,8.3525,0.8488,3.3914,3.2777,964444.4445,96444.4445,96444.4445,7474444.4449,747444.4449,,,0.0000
2021-09-16,7.7400,7.7800,7.6600,7.6600,-0.0900,-1.1600,419314.0800,323381.8090,6.0600,7.6600,4.3477,4.3477,0.6000,9.0527,8.2555,0.8389,3.3520,3.2396,964444.4445,96444.4445,96444.4445,7387644.4449,738764.4449,,,0.0000
2021-09-17,7.6600,7.6800,7.5300,7.5600,-0.1000,-1.3100,490107.9200,372330.5280,5.9800,7.5600,5.0818,5.0818,0.7600,8.9346,8.1477,0.8279,3.3082,3.1973,964444.4445,96444.4445,96444.4445,7291200.0004,729120.0004,,,0.0000
2021-09-22,7.4600,7.4700,7.4200,7.4600,-0.1000,-1.3200,323847.8800,241021.7800,5.9000,7.4600,3.3579,3.3579,0.6300,8.8164,8.0399,0.8170,3.2645,3.1551,964444.4445,96444.4445,96444.4445,7194755.5560,719475.5560,,,0.0000
2021-09-23,7.5400,7.6300,7.5200,7.5400,0.0800,1.0700,293068.5700,221521.1530,5.9600,7.5400,3.0387,3.0387,0.6500,8.9109,8.1261,0.8258,3.2995,3.1889,964444.4445,96444.4445,96444.4445,7271911.1115,727191.1115,,,0.0000
