交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2018-01-31,8.3900,10.0700,8.3900,10.0700,,,1990.8000,1999.5280,7.4400,10.0700,0.0551,0.0551,,14.1127,9.3055,1.3810,4.2246,3.7679,361225.1334,36122.5134,36122.5134,3637537.0933,363753.7099,,,3.3373
2018-02-01,11.0800,11.0800,11.0800,11.0800,1.0100,10.0300,1378.0300,1526.8570,8.1900,11.0800,0.0381,0.0381,,15.5282,10.2389,1.5195,4.6483,4.1458,361225.1334,36122.5134,36122.5134,4002374.4781,400237.4485,,,2.5271
2018-02-02,12.1900,12.1900,12.1900,12.1900,1.1100,10.0200,4291.9600,5231.8990,9.0100,12.1900,0.1188,0.1188,,17.0838,11.2646,1.6717,5.1140,4.5612,361225.1334,36122.5134,36122.5134,4403334.3761,440333.4383,,,2.2970
2018-02-05,13.4100,13.4100,13.4100,13.4100,1.2200,10.0100,17155.9800,23006.1690,9.9100,13.4100,0.4749,0.4749,,18.7936,12.3920,1.8390,5.6258,5.0176,361225.1334,36122.5134,36122.5134,4844029.0389,484402.9047,,,2.0880
2018-02-06,14.7500,14.7500,14.7500,14.7500,1.3400,9.9900,50593.9400,74626.0620,10.9000,14.7500,1.4006,1.4006,,20.6716,13.6303,2.0227,6.1880,5.5190,361225.1334,36122.5134,36122.5134,5328070.7177,532807.0727,,,1.8983
2018-02-07,16.2300,16.2300,16.2200,16.2300,1.4800,10.0300,500022.8900,811537.0770,11.9900,16.2300,13.8424,13.8424,33.1500,22.7458,14.9979,2.2257,6.8088,6.0728,361225.1334,36122.5134,36122.5134,5862683.9151,586268.3925,,,1.7252
2018-02-08,16.3300,16.6000,14.6100,14.7000,-1.5300,-9.4300,1827024.8100,2774883.1930,10.8600,14.7000,50.5786,50.5786,15.9300,20.6015,13.5841,2.0159,6.1670,5.5003,361225.1334,36122.5134,36122.5134,5310009.4610,531000.9470,,,1.7146
2018-02-09,13.8700,14.1300,13.2400,13.4400,-1.2600,-8.5700,1213844.1900,1659674.0610,9.9300,13.4400,33.6035,33.6035,2.5300,18.8357,12.4197,1.8431,5.6384,5.0289,361225.1334,36122.5134,36122.5134,4854865.7929,485486.5801,,,2.0187
2018-02-12,13.7500,14.5400,13.2100,14.0100,0.5700,4.2400,1046203.5800,1443553.4870,10.3500,14.0100,28.9626,28.9626,1.4500,19.6345,12.9464,1.9213,5.8775,5.2421,361225.1334,36122.5134,36122.5134,5060764.1189,506076.4127,,,2.0364
2018-02-13,13.8800,14.1700,12.8400,12.8800,-1.1300,-8.0700,1043028.7900,1412151.6410,9.5200,12.8800,28.8748,28.8748,1.1200,18.0509,11.9022,1.7663,5.4034,4.8193,361225.1334,36122.5134,36122.5134,4652579.7182,465257.9726,,,2.0173
2018-02-14,12.5100,12.8500,12.2100,12.2300,-0.6500,-5.0500,685372.7800,851441.9460,9.0400,12.2300,18.9736,18.9736,0.6100,17.1399,11.3016,1.6772,5.1308,4.5761,361225.1334,36122.5134,36122.5134,4417783.3815,441778.3389,,,2.2382
2018-02-22,12.4500,12.8800,12.2800,12.5400,0.3100,2.5300,658187.6500,828666.6680,9.2600,12.5400,18.2210,18.2210,0.5700,17.5744,11.5880,1.7197,5.2608,4.6921,361225.1334,36122.5134,36122.5134,4529763.1728,452976.3180,,,2.2490
