交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-11-05,48.6000,48.6200,41.7000,43.9600,,,15474994.8700,69991387.0800,25.8200,43.9600,51.5833,51.5833,,59.0594,59.0594,12.2702,11.6776,11.6776,18302097.7818,300000.0000,300000.0000,804560218.4879,13188000.0000,,,0.0000,0.0000,0.0000,0.3228
2007-11-06,41.4000,42.4000,39.8000,39.9900,-3.9700,-9.0300,3429778.2000,14000246.7240,23.4900,39.9900,11.4326,11.4326,,53.7258,53.7258,11.1621,10.6230,10.6230,18302097.7818,300000.0000,300000.0000,731900890.2942,11997000.0000,,,0.0000,0.0000,0.0000,0.3789
2007-11-07,39.7000,40.7300,38.2800,40.4300,0.4400,1.1000,2166188.7000,8575266.7580,23.7500,40.4300,7.2206,7.2206,,54.3169,54.3169,11.2849,10.7399,10.7399,18302097.7818,300000.0000,300000.0000,739953813.3182,12129000.0000,,,0.0000,0.0000,0.0000,0.3951
2007-11-08,39.2000,39.7500,38.0000,38.1900,-2.2400,-5.5400,1400509.6100,5447044.9380,22.4300,38.1900,4.6684,4.6684,,51.3075,51.3075,10.6597,10.1448,10.1448,18302097.7818,300000.0000,300000.0000,698957114.2869,11457000.0000,,,0.0000,0.0000,0.0000,0.4002
2007-11-09,37.8500,38.3900,36.6600,38.1800,-0.0100,-0.0300,1432266.0300,5379485.0050,22.4300,38.1800,4.7742,4.7742,,51.2941,51.2941,10.6569,10.1422,10.1422,18302097.7818,300000.0000,300000.0000,698774093.3091,11454000.0000,,,0.0000,0.0000,0.0000,0.4144
2007-11-12,36.9900,37.7500,36.0000,36.4500,-1.7300,-4.5300,1062707.6700,3907920.4270,21.4100,36.4500,3.5424,3.5424,0.2200,48.9699,48.9699,10.1740,9.6826,9.6826,18302097.7818,300000.0000,300000.0000,667111464.1466,10935000.0000,,,0.0000,0.0000,0.0000,0.4241
2007-11-13,37.0500,37.9400,36.5000,37.0300,0.5800,1.5900,1105404.5200,4127364.9670,21.7500,37.0300,3.6847,3.6847,0.5800,49.7491,49.7491,10.3359,9.8367,9.8367,18302097.7818,300000.0000,300000.0000,677726680.8601,11109000.0000,,,0.0000,0.0000,0.0000,0.4234
2007-11-14,37.7300,39.5500,37.0000,38.8800,1.8500,5.0000,1171350.4400,4484086.3830,22.8400,38.8800,3.9045,3.9045,0.8200,52.2345,52.2345,10.8523,10.3281,10.3281,18302097.7818,300000.0000,300000.0000,711585561.7564,11664000.0000,,,0.0000,0.0000,0.0000,0.4157
2007-11-15,38.3000,38.5000,37.8000,37.9100,-0.9700,-2.4900,782256.8100,2978170.9790,22.2700,37.9100,2.6075,2.6075,0.6300,50.9313,50.9313,10.5815,10.0705,10.0705,18302097.7818,300000.0000,300000.0000,693832526.9080,11373000.0000,,,0.0000,0.0000,0.0000,0.4096
2007-11-16,37.4500,39.0500,37.0300,38.8200,0.9100,2.4000,1004198.8100,3874135.4090,22.8000,38.8200,3.3473,3.3473,0.9000,52.1539,52.1539,10.8355,10.3122,10.3122,18302097.7818,300000.0000,300000.0000,710487435.8895,11646000.0000,,,0.0000,0.0000,0.0000,0.4189
