交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2006-07-05,3.9900,4.0500,3.7600,3.7900,,,17639020.1900,6846112.4250,1.5000,3.7900,51.0603,51.0603,,34.9938,34.9938,2.5512,8.2915,8.2915,25383916.2009,345454.7000,345454.7000,96205042.4014,1309273.3130,,,0.0000
2006-07-06,3.7500,3.7600,3.6900,3.7200,-0.0700,-1.8500,3725565.4800,1386100.8920,1.4700,3.7200,10.7845,10.7845,,34.3475,34.3475,2.5041,8.1384,8.1384,25383916.2009,345454.7000,345454.7000,94428168.2673,1285091.4840,,,0.0000
2006-07-07,3.7200,3.7300,3.6600,3.6800,-0.0400,-1.0800,2097985.5600,773673.4910,1.4500,3.6800,6.0731,6.0731,,33.9782,33.9782,2.4772,8.0509,8.0509,25383916.2009,345454.7000,345454.7000,93412811.6193,1271273.2960,,,0.0000
2006-07-10,3.6800,3.7200,3.6600,3.7000,0.0200,0.5400,1127236.1500,416198.6980,1.4600,3.7000,3.2631,3.2631,,34.1628,34.1628,2.4906,8.0946,8.0946,25383916.2009,345454.7000,345454.7000,93920489.9433,1278182.3900,,,0.0000
2006-07-11,3.7100,3.7800,3.6700,3.7500,0.0500,1.3500,1356450.5000,502750.8320,1.4800,3.7500,3.9266,3.9266,,34.6245,34.6245,2.5243,8.2040,8.2040,25383916.2009,345454.7000,345454.7000,95189685.7534,1295455.1250,,,0.0000
2006-07-12,3.7400,3.7400,3.7000,3.7000,-0.0500,-1.3300,1007250.2500,373950.8980,1.4600,3.7000,2.9157,2.9157,0.1900,34.1628,34.1628,2.4906,8.0946,8.0946,25383916.2009,345454.7000,345454.7000,93920489.9433,1278182.3900,,,0.0000
2006-07-13,3.7000,3.7000,3.5900,3.6000,-0.1000,-2.7000,2589898.3200,942429.3330,1.4200,3.6000,7.4971,7.4971,1.3900,33.2395,33.2395,2.4233,7.8759,7.8759,25383916.2009,345454.7000,345454.7000,91382098.3232,1243636.9200,,,0.0000
2006-07-14,3.5700,3.6300,3.5500,3.5900,-0.0100,-0.2800,1189663.3100,426321.5910,1.4200,3.5900,3.4438,3.4438,0.7300,33.1472,33.1472,2.4166,7.8540,7.8540,25383916.2009,345454.7000,345454.7000,91128259.1612,1240182.3730,,,0.0000
2006-07-17,3.5800,3.5900,3.5500,3.5800,-0.0100,-0.2800,674959.3300,241009.7430,1.4100,3.5800,1.9538,1.9538,0.4600,33.0549,33.0549,2.4099,7.8321,7.8321,25383916.2009,345454.7000,345454.7000,90874419.9992,1236727.8260,,,0.0000
2006-07-18,3.5900,3.5900,3.5400,3.5700,-0.0100,-0.2800,572431.4200,203499.3410,1.4100,3.5700,1.6570,1.6570,0.4200,32.9625,32.9625,2.4031,7.8102,7.8102,25383916.2009,345454.7000,345454.7000,90620580.8372,1233273.2790,,,0.0000
