交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-04-27,9.2100,12.1900,8.8800,11.3700,,,8340626.3700,8437484.5290,5.7800,11.3700,72.4237,72.4237,,116.8752,116.8752,6.0288,24.4238,24.4238,3830052.3054,115164.3000,115164.3000,43547694.7124,1309418.0910,,,0.0000,0.0000,0.0000,0.5809
2007-04-30,10.2300,10.8700,10.2300,10.3400,-1.0300,-9.0600,3562614.5000,3712135.3980,5.2500,10.3400,30.9351,30.9351,,106.2875,106.2875,5.4826,22.2113,22.2113,3830052.3054,115164.3000,115164.3000,39602740.8378,1190798.8620,,,0.0000,0.0000,0.0000,0.5230
2007-05-08,10.4000,10.5500,10.0000,10.4600,0.1200,1.1600,2022652.7000,2077980.6950,5.3200,10.4600,17.5632,17.5632,,107.5211,107.5211,5.5462,22.4691,22.4691,3830052.3054,115164.3000,115164.3000,40062347.1145,1204618.5780,,,0.0000,0.0000,0.0000,0.5144
2007-05-09,10.4700,11.5100,10.2600,11.4600,1.0000,9.5600,3013183.6900,3273551.9130,5.8200,11.4600,26.1642,26.1642,,120.0542,120.0542,6.1927,25.0882,25.0882,3903334.4054,115164.3000,115164.3000,44732212.2859,1319782.8780,,,0.0000,0.0000,0.0000,0.5110
2007-05-10,11.4600,11.5700,11.0800,11.4600,0.0000,0.0000,2150018.0800,2439488.4940,5.8200,11.4600,18.6691,18.6691,,120.0542,120.0542,6.1927,25.0882,25.0882,3903334.4054,115164.3000,115164.3000,44732212.2859,1319782.8780,,,0.0000,0.0000,0.0000,0.4668
2007-05-11,11.3000,11.9500,11.1000,11.7200,0.2600,2.2700,1789568.2500,2077424.8990,5.9600,11.7200,15.5393,15.5393,0.4700,122.7780,122.7780,6.3332,25.6574,25.6574,3903334.4054,115164.3000,115164.3000,45747079.2313,1349725.5960,,,0.0000,0.0000,0.0000,0.4735
2007-05-14,11.4900,11.8000,11.3500,11.5700,-0.1500,-1.2800,1425164.3200,1654802.8630,5.8800,11.5700,12.3751,12.3751,0.5700,121.2066,121.2066,6.2522,25.3290,25.3290,3903334.4054,115164.3000,115164.3000,45161579.0705,1332450.9510,,,0.0000,0.0000,0.0000,0.4656
2007-05-15,11.5700,11.6600,10.8100,10.9000,-0.6700,-5.7900,1406999.0500,1572252.4570,5.5400,10.9000,12.2173,12.2173,0.6800,114.1877,114.1877,5.8901,23.8622,23.8622,3903334.4054,115164.3000,115164.3000,42546345.0189,1255290.8700,,,0.0000,0.0000,0.0000,0.4624
2007-05-16,10.7800,11.0600,10.5200,10.9700,0.0700,0.6400,741531.4700,801701.4270,5.5800,10.9700,6.4389,6.4389,0.3800,114.9210,114.9210,5.9280,24.0155,24.0155,3903334.4054,115164.3000,115164.3000,42819578.4272,1263352.3710,,,0.0000,0.0000,0.0000,0.4963
2007-05-17,10.9700,11.1500,10.8000,11.0100,0.0400,0.3600,752290.5400,825743.7190,5.6000,11.0100,6.5323,6.5323,0.5000,115.3401,115.3401,5.9496,24.1030,24.1030,3903334.4054,115164.3000,115164.3000,42975711.8035,1267958.9430,,,0.0000,0.0000,0.0000,0.4877
2007-05-18,10.9900,10.9900,10.7100,10.8100,-0.2000,-1.8200,663679.8300,718260.6030,5.4900,10.8100,5.7629,5.7629,0.5400,113.2449,113.2449,5.8415,23.6652,23.6652,3903334.4054,115164.3000,115164.3000,42195044.9224,1244926.0830,,,0.0000,0.0000,0.0000,0.4868
2007-05-21,10.4300,10.8000,10.3200,10.6400,-0.1700,-1.5700,787818.3200,833555.4750,5.4100,10.6400,6.8408,6.8408,0.7900,111.4640,111.4640,5.7496,23.2930,23.2930,3903334.4054,115164.3000,115164.3000,41531478.0735,1225348.1520,,,0.0000,0.0000,0.0000,0.5129
2007-05-22,10.6400,10.8500,10.5400,10.6300,-0.0100,-0.0900,756368.3100,805809.2090,5.4000,10.6300,6.5677,6.5677,0.8700,111.3592,111.3592,5.7442,23.2711,23.2711,3903334.4054,115164.3000,115164.3000,41492444.7294,1224196.5090,,,0.0000,0.0000,0.0000,0.5028
2007-05-23,10.6600,10.7900,10.5800,10.7300,0.1000,0.9400,762242.3100,814570.8390,5.4500,10.7300,6.6187,6.6187,1.0300,112.4068,112.4068,5.7983,23.4901,23.4901,3903334.4054,115164.3000,115164.3000,41882778.1699,1235712.9390,,,0.0000,0.0000,0.0000,0.5019
2007-05-24,10.8000,11.1500,10.7100,10.8600,0.1300,1.2100,1054787.4600,1150070.5480,5.5200,10.8600,9.1590,9.1590,1.4200,113.7687,113.7687,5.8685,23.7747,23.7747,3903334.4054,115164.3000,115164.3000,42390211.6426,1250684.2980,,,0.0000,0.0000,0.0000,0.4954
2007-05-25,10.8000,10.8500,10.6500,10.6900,-0.1700,-1.5700,671411.2600,718713.0480,5.4300,10.6900,5.8300,5.8300,0.8300,111.9878,111.9878,5.7767,23.4025,23.4025,3903334.4054,115164.3000,115164.3000,41726644.7937,1231106.3670,,,0.0000,0.0000,0.0000,0.4954
2007-05-28,10.6900,10.8600,10.6100,10.8100,0.1200,1.1200,961109.3400,1032906.0170,5.4900,10.8100,8.3455,8.3455,1.1900,113.2449,113.2449,5.8415,23.6652,23.6652,3903334.4054,115164.3000,115164.3000,42195044.9224,1244926.0830,,,0.0000,0.0000,0.0000,0.5005
2007-05-29,10.9800,11.0500,10.7900,10.9200,0.1100,1.0200,1119755.2900,1221297.0430,5.5500,10.9200,9.7231,9.7231,1.3300,114.3972,114.3972,5.9009,23.9060,23.9060,3903334.4054,115164.3000,115164.3000,42624411.7070,1257594.1560,,,0.0000,0.0000,0.0000,0.4872
