交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%)
2020-12-28,22.3600,26.8300,22.3600,24.3200,,,203205.6600,509681.4220,8.3900,24.3200,39.8703,39.8703,,29.0304,21.3523,2.3253,2.9976,3.3182,20386.6700,5096.6700,5096.6700,495803.8144,123951.0144,,,0.0000
2020-12-29,21.8900,23.6900,21.8900,21.8900,-2.4300,-9.9900,74648.0100,164928.6000,7.5500,21.8900,14.6464,14.6464,,26.1298,19.2189,2.0930,2.6981,2.9866,20386.6700,5096.6700,5096.6700,446264.2063,111566.1063,,,0.0000
2020-12-30,19.9000,20.8000,19.8800,20.2700,-1.6200,-7.4000,149337.2700,302563.2240,7.0000,20.2700,29.3009,29.3009,,24.1960,17.7965,1.9381,2.4984,2.7656,20386.6700,5096.6700,5096.6700,413237.8009,103309.5009,,,0.0000
2020-12-31,20.0000,20.5500,19.9200,19.9700,-0.3000,-1.4800,108400.8200,218446.2120,6.8900,19.9700,21.2690,21.2690,,23.8379,17.5331,1.9094,2.4614,2.7247,20386.6700,5096.6700,5096.6700,407121.7999,101780.4999,,,0.0000
2021-01-04,19.9000,19.9000,19.2900,19.5900,-0.3800,-1.9000,86103.2400,168330.9950,6.7600,19.5900,16.8940,16.8940,,23.3843,17.1995,1.8731,2.4146,2.6728,20386.6700,5096.6700,5096.6700,399374.8653,99843.7653,,,2.8991
2021-01-05,19.6000,20.3200,19.5900,20.0400,0.4500,2.3000,90263.0700,180600.0020,6.9200,20.0400,17.7102,17.7102,0.7300,23.9215,17.5946,1.9161,2.4700,2.7342,20386.6700,5096.6700,5096.6700,408548.8668,102137.2668,,,2.9435
2021-01-06,20.0500,20.9700,19.6800,20.4900,0.4500,2.2500,99301.3900,203673.6610,7.0700,20.4900,19.4836,19.4836,0.9800,24.4586,17.9897,1.9591,2.5255,2.7956,20386.6700,5096.6700,5096.6700,417722.8683,104430.7683,,,2.8774
2021-01-07,20.1500,20.2500,18.9100,18.9900,-1.5000,-7.3200,95585.0800,185505.6730,6.5500,18.9900,18.7544,18.7544,0.9000,22.6681,16.6727,1.8157,2.3406,2.5910,20386.6700,5096.6700,5096.6700,387142.8633,96785.7633,,,2.8631
2021-01-08,18.9800,19.3500,18.0800,19.0600,0.0700,0.3700,49016.0000,92451.9550,6.5800,19.0600,9.6173,9.6173,0.5100,22.7517,16.7342,1.8224,2.3492,2.6005,20386.6700,5096.6700,5096.6700,388569.9302,97142.5302,,,3.0396
2021-01-11,19.0000,19.0800,18.1200,18.3100,-0.7500,-3.9300,52551.8100,97506.3970,6.3200,18.3100,10.3110,10.3110,0.6300,21.8564,16.0757,1.7507,2.2568,2.4982,20386.6700,5096.6700,5096.6700,373279.9277,93320.0277,,,3.0364
