index_code,con_code,trade_date,weight
h30269.CSI,601088.SH,20221230,3.058
h30269.CSI,600028.SH,20221230,2.994
h30269.CSI,000651.SZ,20221230,2.63
h30269.CSI,000830.SZ,20221230,2.591
h30269.CSI,601328.SH,20221230,2.531
h30269.CSI,600019.SH,20221230,2.513
h30269.CSI,600177.SH,20221230,2.505
h30269.CSI,000581.SZ,20221230,2.474
h30269.CSI,002818.SZ,20221230,2.444
h30269.CSI,600350.SH,20221230,2.364
h30269.CSI,601988.SH,20221230,2.364
h30269.CSI,601098.SH,20221230,2.353
h30269.CSI,600782.SH,20221230,2.312
h30269.CSI,601288.SH,20221230,2.302
h30269.CSI,600757.SH,20221230,2.278
h30269.CSI,600755.SH,20221230,2.196
h30269.CSI,601928.SH,20221230,2.104
h30269.CSI,600461.SH,20221230,2.094
h30269.CSI,601398.SH,20221230,2.088
h30269.CSI,600901.SH,20221230,2.064
h30269.CSI,000789.SZ,20221230,2.063
h30269.CSI,600810.SH,20221230,2.061
h30269.CSI,601077.SH,20221230,2.055
h30269.CSI,600373.SH,20221230,2.028
h30269.CSI,601998.SH,20221230,1.997
h30269.CSI,601939.SH,20221230,1.983
h30269.CSI,600273.SH,20221230,1.961
h30269.CSI,600015.SH,20221230,1.94
h30269.CSI,600919.SH,20221230,1.883
h30269.CSI,000401.SZ,20221230,1.851
h30269.CSI,600188.SH,20221230,1.834
h30269.CSI,002443.SZ,20221230,1.815
h30269.CSI,600585.SH,20221230,1.786
h30269.CSI,600064.SH,20221230,1.751
h30269.CSI,601857.SH,20221230,1.712
h30269.CSI,600663.SH,20221230,1.624
h30269.CSI,601658.SH,20221230,1.612
h30269.CSI,002003.SZ,20221230,1.61
h30269.CSI,601166.SH,20221230,1.603
h30269.CSI,600057.SH,20221230,1.594
h30269.CSI,601009.SH,20221230,1.574
h30269.CSI,600449.SH,20221230,1.56
h30269.CSI,600170.SH,20221230,1.551
h30269.CSI,600987.SH,20221230,1.51
h30269.CSI,600502.SH,20221230,1.484
h30269.CSI,000932.SZ,20221230,1.482
h30269.CSI,000717.SZ,20221230,1.479
h30269.CSI,601838.SH,20221230,1.474
h30269.CSI,601668.SH,20221230,1.434
h30269.CSI,601577.SH,20221230,1.429
