交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),ts_code,名称
2025-06-23,20.05,20.33,19.76,20.26,0.19,0.95,205268.65,412558.416,20.26,27.42,0.4851,0.9221,1.07,6.6782,6.5956,1.039,3.7365,3.7077,423843.5356,423105.8198,222607.6431,8587070.0313,8572123.9091,3.9831,3.9831,4.4439,601838.SH,成都银行
2025-06-23,9.79,9.92,9.69,9.87,0.09,0.92,129688.52,127346.033,9.87,135.94,0.1935,0.6018,1.05,11.9237,11.8949,1.73,0.8017,0.7951,871003.9485,670363.9445,215498.7376,8596808.9717,6616492.1322,5.6148,5.6148,4.2288,600039.SH,四川路桥
2025-06-23,9.98,10.07,9.88,10.05,0.02,0.2,356301.8,356332.821,10.05,12.71,0.3824,0.6467,0.96,7.8878,7.88,0.7762,3.6382,3.7113,964444.4445,931658.3609,550960.0587,9692666.6672,9363166.527,6.1493,6.1493,4.3287,601825.SH,沪农商行
2025-06-23,7.29,7.55,7.29,7.5,0.21,2.88,880276.03,654300.274,7.5,10.41,0.996,1.4928,1.18,7.3985,7.2596,0.6686,3.0139,3.0037,1135700.0,883770.0254,589681.4387,8517750.0,6628275.1905,3.8467,6.4387,4.1783,601077.SH,渝农商行
2025-06-23,23.16,23.77,23.03,23.75,0.59,2.55,781181.88,1833164.183,23.75,134.39,0.3691,0.4893,1.27,6.5102,6.556,0.6518,2.3683,2.3916,2116283.2162,2116283.2162,1596673.3034,50261726.3848,50261726.3848,4.2986,4.4632,4.5769,601166.SH,兴业银行
2025-06-23,10.93,11.08,10.76,11.01,0.03,0.27,659445.91,722146.677,11.01,40.11,0.4642,0.7171,1.16,6.6391,6.5994,0.6648,2.952,2.9243,1420671.3969,1420671.3969,919583.9742,15641592.0799,15641592.0799,6.7211,4.5413,4.5746,601229.SH,上海银行
2025-06-23,6.67,6.73,6.62,6.69,0.02,0.3,645325.08,430606.481,6.69,17.08,0.3203,0.6275,1.26,14.9109,15.7388,0.8154,1.8061,1.8175,2014717.7716,2014717.7716,1028360.1661,13478461.892,13478461.892,6.8914,6.8914,4.0366,601006.SH,大秦铁路
2025-06-23,11.86,11.96,11.74,11.93,0.05,0.42,1327409.36,1575047.183,11.93,19.01,0.7233,0.8924,1.33,6.8753,6.7196,0.9103,2.709,2.666,1835132.4463,1835132.4463,1487510.6102,21893130.0844,21893130.0844,3.9396,2.5666,4.3895,600919.SH,江苏银行
2025-06-23,20.01,20.84,19.96,20.83,0.88,4.41,748685.79,1532626.56,20.83,34.17,0.7722,2.2223,2.17,9.0317,8.9704,2.0932,1.0967,1.0984,969500.0,969500.0,336903.9335,20194685.0,20194685.0,6.8363,7.3315,6.7366,601225.SH,陕西煤业
2025-06-23,7.28,7.29,7.2,7.22,-0.07,-0.96,165526.5,119611.054,7.22,387.51,0.358,0.8427,1.32,12.062,12.6257,0.8237,2.3527,2.4416,462344.1902,462344.1902,196417.5821,3338125.0532,3338125.0532,9.6953,6.9252,6.8681,600177.SH,雅戈尔
2025-06-23,5.54,5.59,5.49,5.58,0.03,0.54,55176.58,30587.345,5.58,56.89,0.6347,0.9029,0.92,15.088,16.0749,1.3117,0.9396,0.9289,125161.0597,86933.4372,61108.484,698398.7131,485088.5796,8.5719,6.3667,6.4982,002540.SZ,亚太科技
2025-06-23,4.09,4.11,4.06,4.09,0.0,0.0,228050.25,93194.149,4.09,35.52,0.3699,0.9932,0.92,11.1534,11.0338,0.9666,0.4079,0.4253,616509.1011,616509.1011,229601.355,2521522.2235,2521522.2235,8.5575,4.5232,4.5232,600282.SH,南钢股份
2025-06-23,9.88,9.93,9.79,9.9,0.02,0.2,108272.09,106795.787,9.9,222.14,0.3734,0.7018,0.98,9.7445,9.8107,0.5222,0.0409,0.0402,289953.8551,289953.8551,154285.0566,2870543.1655,2870543.1655,7.3256,7.1867,7.085,600153.SH,建发股份
2025-06-23,6.98,7.04,6.91,6.95,-0.06,-0.86,745367.35,518420.609,6.95,109.47,0.5161,0.7658,0.96,19.4696,19.1169,5.5197,8.1857,8.1009,1444219.9726,1444219.9726,973320.6673,10037328.8096,10037328.8096,6.1871,1.4388,4.7278,002027.SZ,分众传媒
2025-06-23,6.83,6.98,6.76,6.94,0.1,1.46,946213.45,651885.634,6.94,33.25,0.4475,0.6461,0.89,5.6805,5.723,0.5363,2.0987,2.1157,2114298.4272,2114298.4272,1464497.3937,14673231.0848,14673231.0848,4.611,6.3401,4.6852,601169.SH,北京银行
2025-06-23,7.36,7.56,7.33,7.52,0.15,2.04,3897378.15,2904803.935,7.52,18.08,0.1446,1.1257,1.36,7.3256,7.3963,0.7221,3.2613,3.2896,35640625.7089,26961221.2539,3462274.4921,268017505.3309,202748383.8293,4.0745,5.9814,4.1848,601398.SH,工商银行
2025-06-23,52.79,52.8,51.52,51.75,-1.2,-2.27,20981.17,108692.703,51.75,550.14,0.2621,1.5691,1.37,18.4769,18.2548,8.8511,1.8491,1.8161,80135.9733,80039.7246,13371.5342,4147036.6183,4142055.7481,5.2459,5.3983,5.323,002032.SZ,苏泊尔
2025-06-23,5.76,5.93,5.74,5.89,0.12,2.08,4439806.99,2590508.263,5.89,12.74,0.1391,1.3997,1.32,7.3078,7.268,0.7816,2.9011,2.8984,34998303.3873,31924421.0777,3171924.7589,206140006.9512,188034840.1477,3.9202,1.9762,4.1997,601288.SH,农业银行
2025-06-23,9.3,9.47,9.24,9.45,0.14,1.5,1099121.85,1031402.014,9.45,23.07,1.1457,1.6552,1.04,7.0404,7.1139,0.7436,3.1495,3.1958,25001097.7486,959365.7606,664036.519,236260373.7243,9066006.4377,4.2323,4.2643,4.3333,601939.SH,建设银行
2025-06-23,13.19,13.22,12.98,13.14,0.0,0.0,72618.75,95344.255,13.14,40.91,0.6665,1.8078,0.71,14.2564,15.6363,2.4397,1.0367,1.2529,109592.6265,108954.9176,40169.7284,1440047.1122,1431667.6173,7.1609,7.1609,7.2024,002867.SZ,周大生
2025-06-23,11.09,11.13,10.84,10.98,-0.14,-1.26,137755.01,151426.388,10.98,32.7,0.2838,2.093,1.3,16.6735,16.481,1.7623,1.8702,1.8742,485342.0105,485342.0105,65817.9739,5329055.2753,5329055.2753,3.8149,3.8149,3.7872,600350.SH,山东高速
2025-06-23,8.67,8.71,8.53,8.67,-0.02,-0.23,425433.97,367183.39,8.67,12.16,0.9693,1.1296,1.26,7.6478,7.5014,0.8105,3.1709,3.1645,447066.2011,438895.8484,376621.536,3876063.9635,3805227.0056,5.632,4.2494,4.6136,002966.SZ,苏州银行
2025-06-23,7.94,8.14,7.83,8.06,0.12,1.51,2819825.87,2260684.585,8.06,21.46,0.7184,1.2278,2.12,7.6102,7.5791,0.6496,2.7411,2.7484,8836378.4223,3925086.4015,2296728.4001,71221210.0837,31636196.3961,3.4229,3.4595,4.7733,601328.SH,交通银行
2025-06-23,45.9,46.34,45.43,46.25,0.26,0.57,538931.48,2475802.504,46.25,280.19,0.2613,0.509,1.18,7.8604,7.9026,1.0944,3.4562,3.4837,2521984.5601,2062894.4429,1058737.0295,116641785.9046,95408867.9841,4.2638,4.2638,4.3573,600036.SH,招商银行
2025-06-23,6.78,6.97,6.7,6.94,0.17,2.51,420060.55,287943.888,6.94,8.47,3.2714,3.5577,1.55,7.059,7.3625,0.7117,3.1802,3.3393,263912.7888,128404.6023,118069.1613,1831554.7543,891127.94,6.6282,2.1614,4.5723,601187.SH,厦门银行
2025-06-23,8.69,8.72,8.5,8.69,-0.01,-0.11,715876.03,618841.797,8.69,17.1,0.1756,1.4569,1.34,7.0514,7.0188,0.6874,2.2634,2.2847,5564516.2264,4076299.9287,491376.2394,48355646.0074,35423046.3804,5.5624,5.5624,4.0817,601998.SH,中信银行
2025-06-23,11.15,11.24,10.98,11.19,0.02,0.18,89887.97,100132.985,11.19,14.06,0.4783,1.4685,0.95,7.5979,7.4778,0.737,2.8423,2.8053,347458.0853,187939.6878,61208.7631,3888055.9745,2103045.1065,3.6461,3.6997,3.713,601963.SH,重庆银行
2025-06-23,11.85,11.88,11.7,11.85,-0.2,-1.66,676582.66,799762.215,11.85,81.82,0.5753,1.0848,1.06,6.9074,6.7723,0.8452,2.7722,2.7251,1176110.6276,1176110.6276,623701.3263,13936910.9371,13936910.9371,6.6455,4.3442,4.604,601009.SH,南京银行
2025-06-23,5.58,5.69,5.55,5.66,0.07,1.25,4669572.63,2631135.247,5.66,14.35,0.2216,2.3158,1.14,7.6678,7.7206,0.7108,2.8944,2.8756,32221241.1814,21076551.4846,2016358.3813,182372225.0867,119293281.4028,3.6896,3.7832,4.3441,601988.SH,中国银行
2025-06-23,8.1,8.37,8.08,8.33,0.23,2.84,916208.86,755109.682,8.33,48.95,0.5954,1.7973,1.78,4.7901,4.9377,0.4346,1.3647,1.422,1591492.8468,1538722.3983,509783.4834,13257135.4138,12817557.5778,4.6098,1.2005,5.0,600015.SH,华夏银行
2025-06-23,9.34,9.55,9.27,9.46,0.12,1.28,291305.5,274536.143,9.46,128.46,1.362,2.7643,2.68,11.8093,13.9547,1.7344,0.6226,0.6807,213884.8228,213884.8228,105381.5155,2023350.4237,2023350.4237,8.7738,8.7738,6.531,600737.SH,中粮糖业
2025-06-23,4.78,4.82,4.72,4.8,0.01,0.21,1995153.04,954876.479,4.8,168.55,0.5626,0.8897,0.99,6.5072,6.649,0.3772,1.542,1.5138,4378241.8502,3546212.3213,2242598.1348,21015560.881,17021819.1422,7.2083,7.2083,4.0167,600016.SH,民生银行
2025-06-23,11.24,11.31,11.21,11.28,0.03,0.27,135893.54,153059.291,11.28,56.59,0.5046,1.3088,0.82,6.2569,7.6771,0.7404,0.4622,0.5151,269325.8709,269325.8709,103832.6564,3037995.8238,3037995.8238,8.8652,6.6489,6.6726,600985.SH,淮北矿业
2025-06-23,11.15,11.21,10.95,11.1,-0.13,-1.16,31029.07,34401.046,11.1,65.67,0.469,1.3415,0.73,12.5512,12.3023,1.7345,1.1242,1.0779,74360.0,66161.1003,23130.3926,825396.0,734388.2133,5.353,3.9404,3.9462,002543.SZ,万和电气
2025-06-23,5.16,5.27,5.15,5.25,0.06,1.16,537378.18,280728.645,5.25,94.9,0.6369,1.6954,0.5,15.7999,14.296,1.6398,1.7571,1.6896,843801.739,843801.739,316969.099,4429959.1298,4429959.1298,6.0952,2.8571,2.907,601216.SH,君正集团
2025-06-23,9.24,9.28,9.01,9.09,-0.07,-0.76,2268612.59,2063231.514,9.09,15.48,0.1401,2.0627,1.29,10.1026,10.034,1.0633,0.5663,0.5779,18302097.7818,16192207.7818,1099851.2248,166366068.8366,147187168.7366,4.9505,4.9505,5.0866,601857.SH,中国石油
2025-06-23,7.89,8.15,7.88,8.14,0.19,2.39,103390.0,83181.441,8.14,83.44,1.644,2.1286,0.82,20.1095,20.5831,2.0441,2.0678,2.0448,64886.263,62889.4911,48570.7248,528174.1808,511920.4576,4.914,4.914,5.0697,002469.SZ,三维化学
2025-06-23,10.12,10.2,9.95,10.15,-0.07,-0.68,383312.5,387644.54,10.15,13.49,0.9534,1.6404,1.55,5.2154,5.1627,0.6127,1.5738,1.5589,402155.3754,402068.3625,233673.4883,4081877.0603,4080993.8794,3.7438,4.1379,4.1502,601577.SH,长沙银行
2025-06-23,5.53,5.68,5.47,5.65,0.1,1.8,2114570.75,1182035.645,5.65,7.52,0.315,2.0464,1.07,7.8463,7.9084,0.7046,1.9455,1.9459,12009505.3492,6712239.52,1033304.1125,67853705.223,37924153.288,3.6547,3.6631,4.7306,601658.SH,邮储银行
2025-06-23,16.03,16.07,15.72,15.86,-0.14,-0.88,71392.97,113095.916,15.86,55.76,0.1878,1.5172,1.0,16.1519,16.2703,2.0161,3.4442,3.2603,503774.75,380218.3001,47054.5099,7989867.535,6030262.2396,2.9634,2.9634,3.0568,600377.SH,宁沪高速
2025-06-23,4.91,4.98,4.85,4.96,0.04,0.81,426103.73,209635.831,4.96,8.08,1.7336,1.8397,1.37,5.9939,5.9711,0.6643,3.0814,3.0326,246139.2789,245794.9789,231613.0295,1220850.8233,1219143.0953,3.8306,4.0323,4.0733,002807.SZ,江阴银行
2025-06-23,54.5,55.25,54.26,55.1,0.36,0.66,614705.13,3373267.494,55.1,165.05,0.5711,0.6273,1.13,7.9252,8.5822,1.0677,0.9752,0.9874,1821023.4607,1076265.7695,979993.8593,100338392.6846,59302243.8995,4.3941,4.3941,4.6789,601318.SH,中国平安
2025-06-23,113.5,114.69,112.0,112.5,-1.59,-1.39,96479.1,1090510.435,112.5,133.11,1.0687,1.1213,1.52,17.5663,17.4375,1.8128,2.3355,2.3354,2160623.8818,90276.7867,86040.0867,243070186.7025,10156138.5038,4.0567,4.1516,4.115,600941.SH,中国移动
2025-06-23,4.81,4.82,4.76,4.78,-0.04,-0.83,153667.96,73515.732,4.78,75.13,0.8952,1.3204,1.14,6.101,6.0967,0.7405,0.085,0.0841,171653.3938,171653.3938,116381.9855,820503.2224,820503.2224,5.4393,7.113,5.6133,600502.SH,安徽建工
2025-06-23,12.05,12.15,11.97,12.13,0.07,0.58,131234.06,158522.399,12.13,15.57,0.1924,0.9577,1.24,15.5444,15.4416,1.2324,6.5086,6.6226,682033.7394,682033.7394,137036.0134,8273069.2589,8273069.2589,4.3776,4.3776,3.4606,001965.SZ,招商公路
2025-06-23,21.72,21.78,21.37,21.55,-0.23,-1.06,28772.01,61905.096,21.55,45.41,0.2856,1.4761,1.06,17.1951,17.5434,2.1784,5.5487,5.5949,100728.2534,100728.2534,19492.2293,2170693.8608,2170693.8608,6.0325,6.0325,7.3665,600007.SH,中国国贸
2025-06-23,8.54,8.55,8.45,8.55,-0.02,-0.23,26063.9,22149.996,8.55,24.77,0.4682,0.7766,0.91,10.1513,11.8189,1.2396,1.263,1.2987,55667.0268,55667.0268,33562.5528,475953.0791,475953.0791,11.7522,8.4795,9.9876,605377.SH,华旺科技
2025-06-23,10.08,10.12,10.03,10.11,0.03,0.3,39592.24,39903.131,10.11,57.24,0.2939,0.669,0.58,18.9467,21.5065,0.8073,1.5159,1.5954,139502.2307,134735.8719,59181.7687,1410367.5524,1362179.6649,7.4826,3.9565,3.9683,600373.SH,中文传媒
2025-06-23,5.68,5.74,5.63,5.71,0.01,0.18,1449963.37,824932.421,5.71,12.96,0.3509,0.8295,1.06,5.1083,5.0982,0.5039,0.1079,0.1076,4132039.0444,4132039.0444,1747894.7919,23593942.9435,23593942.9435,4.7884,4.7884,4.7799,601668.SH,中国建筑
2025-06-23,6.1,6.1,6.05,6.06,-0.03,-0.49,130172.0,79014.67,6.06,139.26,0.414,0.6726,0.96,6.7065,6.9863,0.6176,0.2769,0.292,314409.6094,314409.6094,193539.8955,1905322.233,1905322.233,5.4455,5.4455,5.2459,600820.SH,隧道股份
