date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2003-01-02,1.8700,2.0648,3.0781,0.6708,14.4044
2003-01-03,1.8700,2.0668,3.1402,0.6582,15.0088
2003-01-06,1.8800,2.0586,3.2379,0.6358,16.0413
2003-01-07,1.8800,2.0627,3.1941,0.6458,15.5125
2003-01-08,1.9700,1.9667,3.1692,0.6206,17.1997
2003-01-09,2.0000,1.9373,3.3369,0.5806,19.8439
2003-01-10,1.9700,1.9667,3.1219,0.6300,16.5701
2003-01-13,1.9400,1.9913,3.0967,0.6430,15.6384
2003-01-14,2.1400,1.8103,3.1497,0.5748,20.4231
2003-01-15,2.0900,1.8491,3.1259,0.5915,19.0380
2003-01-16,2.1200,1.8214,3.2081,0.5678,21.1785
2003-01-17,2.1300,1.8182,3.2389,0.5614,21.7074
2003-01-20,2.1600,1.7930,3.1604,0.5673,21.2037
2003-01-21,2.0900,1.8474,3.2106,0.5754,20.3727
2003-01-22,2.0900,1.8507,3.0718,0.6025,18.4840
2003-01-23,2.0900,1.8540,3.0720,0.6035,18.3581
2003-01-24,2.1200,1.8214,3.0137,0.6044,18.2574
2003-01-27,2.1600,1.7899,3.0528,0.5863,19.4409
2003-01-28,2.1600,1.7869,3.0326,0.5892,19.2395
2003-01-29,2.1700,1.7807,3.1265,0.5696,21.0023
2003-02-10,2.1100,1.8311,3.1675,0.5781,20.0453
2003-02-11,2.1300,1.8198,3.0664,0.5935,18.9625
2003-02-12,2.1300,1.8135,3.1915,0.5682,21.0778
2003-02-13,2.1000,1.8425,3.1980,0.5761,20.2720
2003-02-14,2.1200,1.8279,3.2047,0.5704,20.8764
2003-02-17,2.0900,1.8474,3.1263,0.5909,19.1136
2003-02-18,2.0900,1.8524,3.2831,0.5642,21.5059
2003-02-19,2.1100,1.8311,3.2237,0.5680,21.1030
2003-02-20,2.1000,1.8376,3.1959,0.5750,20.3979
2003-02-21,2.0400,1.8965,3.1681,0.5986,18.6855
2003-02-24,2.0300,1.9087,2.9318,0.6510,15.2858
2003-02-25,2.0700,1.8708,3.4377,0.5442,23.8479
2003-02-28,2.1000,1.8376,3.1225,0.5885,19.3402
2003-03-03,2.1200,1.8262,2.9806,0.6127,17.7537
2003-03-04,2.1300,1.8150,3.1687,0.5728,20.5490
2003-03-05,2.1100,1.8311,2.9242,0.6262,16.7464
2003-03-06,2.0700,1.8691,3.0171,0.6195,17.3004
2003-03-07,2.0600,1.8742,3.2311,0.5801,19.8942
2003-03-10,2.0200,1.9193,2.9959,0.6406,15.7643
2003-03-11,2.0200,1.9140,2.9064,0.6585,14.9836
2003-03-12,2.0300,1.9087,3.2010,0.5963,18.7610
2003-03-13,2.0200,1.9176,3.4914,0.5492,23.2435
2003-03-14,2.0300,1.9035,3.0836,0.6173,17.5523
2003-03-17,2.0300,1.9052,3.1414,0.6065,18.0811
2003-03-18,2.0200,1.9176,3.0897,0.6206,17.1745
2003-03-19,2.0500,1.8827,3.1057,0.6062,18.1315
2003-03-20,2.0400,1.8930,3.1698,0.5972,18.7358
2003-03-21,2.0900,1.8474,2.8760,0.6424,15.6636
2003-03-24,2.1000,1.8458,3.1577,0.5845,19.5417
2003-03-25,2.0500,1.8861,3.1115,0.6062,18.1566
2003-03-26,2.0600,1.8742,2.8754,0.6518,15.2606
2003-03-27,2.1700,1.7838,3.2573,0.5476,23.4702
2003-03-28,2.1600,1.7869,3.0180,0.5921,19.0128
2003-03-31,2.2000,1.7565,2.9228,0.6010,18.5596
2003-04-01,2.2000,1.7551,2.8838,0.6086,17.9552
2003-04-02,2.2400,1.7258,2.9212,0.5908,19.1388
2003-04-03,2.2100,1.7491,2.9597,0.5910,19.0884
2003-04-04,2.2600,1.7087,2.9595,0.5774,20.0705
2003-04-07,2.2500,1.7201,2.9189,0.5893,19.2143
2003-04-08,2.2400,1.7244,2.7718,0.6221,17.1242
2003-04-09,2.3100,1.6715,2.9295,0.5706,20.8512
2003-04-10,2.2900,1.6878,3.3455,0.5045,27.8267
2003-04-11,2.3000,1.6783,3.0019,0.5591,21.8837
2003-04-14,2.3400,1.6515,3.3415,0.4942,29.1111
2003-04-15,2.3400,1.6541,2.8954,0.5713,20.6749
2003-04-16,2.5700,1.5040,2.9654,0.5072,27.5749
2003-04-17,2.5100,1.5386,3.3637,0.4574,34.9282
2003-04-18,2.4100,1.6066,2.9659,0.5417,24.0997
2003-04-21,2.3700,1.6345,2.8122,0.5812,19.7431
2003-04-22,2.4100,1.6054,3.3122,0.4847,30.0680
2003-04-23,2.3500,1.6462,2.8198,0.5838,19.6172
2003-04-24,2.2300,1.7316,3.4933,0.4957,28.9348
2003-04-25,2.2200,1.7418,2.8707,0.6068,18.0559
2003-04-28,2.3700,1.6294,2.9733,0.5480,23.3442
2003-04-29,2.3000,1.6783,2.8340,0.5922,18.9877
2003-05-12,2.3500,1.6449,2.7021,0.6087,17.8796
2003-05-13,2.2300,1.7316,2.9153,0.5940,18.9121
2003-05-14,2.2500,1.7158,2.8497,0.6021,18.5344
2003-05-15,2.2900,1.6906,2.8648,0.5901,19.1639
2003-05-16,2.3500,1.6436,2.6620,0.6174,17.5271
2003-05-19,2.3900,1.6179,2.8939,0.5591,21.9088
2003-05-20,2.3400,1.6528,2.8340,0.5832,19.6676
2003-05-21,2.3100,1.6715,2.8850,0.5794,19.9950
2003-05-22,2.3400,1.6528,2.9155,0.5669,21.2793
2003-05-23,2.3500,1.6449,2.7987,0.5877,19.3654
2003-05-26,2.3800,1.6268,2.8539,0.5700,20.9519
2003-05-27,2.3800,1.6281,2.8527,0.5707,20.8008
2003-05-28,2.3600,1.6423,2.8799,0.5703,20.9015
2003-05-29,2.3600,1.6384,2.8693,0.5710,20.7504
2003-05-30,2.3400,1.6502,2.8717,0.5746,20.4482
2003-06-02,2.3200,1.6661,2.8461,0.5854,19.4661
2003-06-03,2.2900,1.6865,2.7828,0.6060,18.2070
2003-06-04,2.3300,1.6594,2.8751,0.5772,20.0957
2003-06-05,2.3000,1.6837,2.8853,0.5835,19.6424
2003-06-06,2.2500,1.7201,2.9811,0.5770,20.1209
2003-06-09,2.2200,1.7447,2.8948,0.6027,18.4588
2003-06-10,2.2300,1.7374,2.8086,0.6186,17.3760
2003-06-11,2.2600,1.7087,2.7466,0.6221,17.1493
2003-06-12,2.2400,1.7287,2.8471,0.6072,18.0307
2003-06-13,2.2700,1.7059,2.9415,0.5799,19.9446
2003-06-16,2.2400,1.7272,2.9529,0.5849,19.5165
2003-06-17,2.2100,1.7476,2.9917,0.5841,19.5920
2003-06-18,2.2200,1.7462,2.8482,0.6131,17.7285
2003-06-20,2.1400,1.8071,2.9221,0.6184,17.4012
2003-06-23,2.1300,1.8150,3.0084,0.6033,18.3833
2003-06-24,2.1500,1.8008,2.9306,0.6145,17.6782
2003-06-25,2.1200,1.8262,2.8583,0.6389,15.8398
