date,收盘价(前复权)(元),股息率(%),十年,股债性价比,温度计
2017-01-03,6.7700,2.2157,3.1054,0.7135,73.6739
2017-01-04,6.7800,2.2124,3.1823,0.6952,74.4597
2017-01-05,6.7700,2.2157,3.2086,0.6906,74.8035
2017-01-06,6.6600,2.2523,3.1953,0.7049,74.0177
2017-01-09,6.6300,2.2624,3.1692,0.7139,73.6248
2017-01-10,6.5500,2.2901,3.1792,0.7203,73.4774
2017-01-11,6.4500,2.3256,3.2055,0.7255,73.3792
2017-01-12,6.3700,2.3548,3.1888,0.7385,73.0845
2017-01-13,6.2500,2.4000,3.2022,0.7495,72.8880
2017-01-16,5.9600,2.5168,3.2496,0.7745,71.6110
2017-01-17,6.0000,2.5000,3.2692,0.7647,72.2004
2017-01-18,5.8800,2.5510,3.2682,0.7806,71.2672
2017-01-19,5.8600,2.5597,3.2584,0.7856,70.6778
2017-01-20,5.9900,2.5042,3.2440,0.7719,71.7583
2017-01-23,6.0000,2.5000,3.2429,0.7709,71.8075
2017-01-24,6.0200,2.4917,3.2837,0.7588,72.4951
2017-01-25,6.0100,2.4958,3.3463,0.7458,72.9371
2017-01-26,6.0800,2.4671,3.3465,0.7372,73.1336
2017-02-03,6.0200,2.4917,3.4214,0.7283,73.2809
2017-02-06,6.1200,2.4510,3.4905,0.7022,74.1650
2017-02-07,6.0800,2.4671,3.4866,0.7076,73.9686
2017-02-08,6.2000,2.4194,3.4591,0.6994,74.3124
2017-02-09,6.1800,2.4272,3.4148,0.7108,73.8212
2017-02-10,6.8000,2.2059,3.4368,0.6418,77.2593
2017-02-13,7.4800,2.0053,3.4192,0.5865,79.4204
2017-02-14,8.2300,1.8226,3.4107,0.5344,82.2692
2017-02-15,9.0600,1.6556,3.4058,0.4861,84.7250
2017-02-16,9.9700,1.5045,3.3559,0.4483,85.4126
2017-02-17,10.3000,1.4563,3.3311,0.4372,85.5599
2017-02-20,10.0700,1.4896,3.2812,0.4540,85.2652
2017-02-21,10.0700,1.4896,3.3013,0.4512,85.3635
2017-02-22,9.8200,1.5275,3.2839,0.4651,84.9705
2017-02-23,9.9100,1.5136,3.2714,0.4627,85.0688
2017-02-24,10.8900,1.3774,3.2916,0.4185,86.0020
2017-02-27,11.9700,1.2531,3.2871,0.3812,91.7485
2017-02-28,13.1400,1.1416,3.2921,0.3468,96.6601
2017-03-01,12.2900,1.2205,3.3252,0.3670,94.4990
2017-03-02,12.3400,1.2156,3.3483,0.3630,94.8919
2017-03-03,11.5500,1.2987,3.3573,0.3868,90.6189
2017-03-06,11.6000,1.2931,3.3615,0.3847,90.9627
2017-03-07,12.7600,1.1755,3.3643,0.3494,96.4145
2017-03-08,12.7800,1.1737,3.4088,0.3443,97.1022
2017-03-09,13.0200,1.1521,3.4151,0.3374,97.2495
2017-03-10,12.7100,1.1802,3.4156,0.3455,96.8566
2017-03-13,12.8300,1.1691,3.3851,0.3454,96.9548
2017-03-14,12.7600,1.1755,3.3653,0.3493,96.4637
2017-03-15,12.7100,1.1802,3.3524,0.3520,96.1198
2017-03-16,12.8300,1.1691,3.3097,0.3532,96.0216
2017-03-17,11.6500,1.2876,3.3124,0.3887,90.4715
2017-03-20,12.3700,1.2126,3.3141,0.3659,94.7446
2017-03-21,12.2800,1.2215,3.3141,0.3686,94.1552
2017-03-22,12.3300,1.2165,3.3068,0.3679,94.3026
2017-03-23,12.5100,1.1990,3.3034,0.3630,94.9411
2017-03-24,12.4000,1.2097,3.2529,0.3719,93.5167
2017-03-27,12.5600,1.1943,3.2451,0.3680,94.2534
2017-03-28,13.3600,1.1228,3.2626,0.3441,97.1513
2017-03-29,13.0600,1.1485,3.2695,0.3513,96.2672
2017-03-30,12.7500,1.1765,3.2890,0.3577,95.5305
2017-03-31,11.4800,1.3066,3.2828,0.3980,88.8998
2017-04-05,11.5600,1.2976,3.3102,0.3920,89.9804
2017-04-06,12.0800,1.2417,3.3109,0.3750,92.9273
2017-04-07,12.6500,1.1858,3.2966,0.3597,95.1866
2017-04-10,13.0700,1.1477,3.3166,0.3460,96.7092
2017-04-11,14.1100,1.0631,3.3209,0.3201,98.5756
2017-04-24,13.6300,1.1005,3.4991,0.3145,98.9686
2017-04-25,12.5900,1.1914,3.4568,0.3447,97.0530
2017-04-26,13.5100,1.1103,3.4519,0.3216,98.4774
2017-04-27,14.4700,1.0366,3.4494,0.3005,99.7053
2017-04-28,14.5100,1.0338,3.4668,0.2982,99.8527
2017-05-02,13.2000,1.1364,3.4870,0.3259,98.1827
2017-05-03,11.8800,1.2626,3.5219,0.3585,95.3831
2017-05-04,12.2100,1.2285,3.5517,0.3459,96.7583
2017-05-05,10.9900,1.3649,3.5592,0.3835,91.3065
2017-05-08,9.8900,1.5167,3.6042,0.4208,85.9037
2017-05-09,9.7300,1.5416,3.6325,0.4244,85.7073
2017-05-10,10.3000,1.4563,3.6900,0.3947,89.7348
2017-05-11,9.8200,1.5275,3.6400,0.4196,85.9528
