date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2003-01-02,0.8800,8.6847,3.0781,2.8214,0.0187
2003-01-09,0.8800,5.7463,3.3369,1.7220,20.0900
2003-01-10,0.9100,5.5613,3.1219,1.7814,18.0847
2003-01-13,0.8800,5.7463,3.0967,1.8556,15.5547
2003-01-14,0.9700,5.2249,3.1497,1.6589,22.6574
2003-01-15,0.9500,5.3289,3.1259,1.7048,20.6897
2003-01-16,0.9500,5.3556,3.2081,1.6694,22.1327
2003-01-17,0.9700,5.2557,3.2389,1.6227,24.1567
2003-01-20,0.9400,5.3879,3.1604,1.7048,20.6709
2003-01-21,0.9200,5.5326,3.2106,1.7232,20.0337
2003-01-22,0.9200,5.5441,3.0718,1.8048,17.1289
2003-01-23,0.9100,5.5787,3.0720,1.8160,16.7541
2003-01-24,0.9400,5.4206,3.0137,1.7987,17.3913
2003-01-27,0.9500,5.3183,3.0528,1.7421,19.3966
2003-01-28,0.9600,5.2660,3.0326,1.7365,19.5465
2003-01-29,0.9800,5.1945,3.1265,1.6614,22.4700
2003-02-10,0.9600,5.3078,3.1675,1.6757,21.8141
2003-02-11,0.9700,5.2505,3.0664,1.7123,20.3711
2003-02-12,0.9800,5.1945,3.1915,1.6276,24.0442
2003-02-13,0.9600,5.2868,3.1980,1.6532,23.0697
2003-02-14,0.9600,5.2764,3.2047,1.6465,23.3133
2003-02-17,0.9500,5.3609,3.1263,1.7148,20.2586
2003-02-18,0.9400,5.3825,3.2831,1.6395,23.6132
2003-02-19,0.9500,5.3342,3.2237,1.6547,22.9948
2003-02-20,0.9400,5.3825,3.1959,1.6842,21.4768
2003-02-21,0.9100,5.5613,3.1681,1.7554,18.8906
2003-02-24,0.9100,5.5556,2.9318,1.8949,14.4490
2003-02-25,0.9300,5.4816,3.4377,1.5946,25.0937
2003-02-26,0.9300,5.4649,3.2151,1.6998,20.9145
2003-02-27,0.9500,5.3556,3.2240,1.6612,22.4888
2003-02-28,0.9300,5.4537,3.1225,1.7466,19.2466
2003-03-03,0.9400,5.4042,2.9806,1.8131,16.8666
2003-03-04,0.9600,5.3025,3.1687,1.6734,21.9828
2003-03-05,0.9500,5.3556,2.9242,1.8315,16.2481
2003-03-06,0.9300,5.4371,3.0171,1.8021,17.3163
2003-03-07,0.9300,5.4371,3.2311,1.6827,21.5705
2003-03-10,0.9200,5.5155,2.9959,1.8410,15.8921
2003-03-11,0.9200,5.5155,2.9064,1.8977,14.3553
2003-03-12,0.9300,5.4704,3.2010,1.7090,20.5210
2003-03-13,0.9200,5.5042,3.4914,1.5765,25.6747
2003-03-14,0.9300,5.4760,3.0836,1.7758,18.2534
2003-03-17,0.9300,5.4760,3.1414,1.7432,19.3403
2003-03-18,0.9400,5.3987,3.0897,1.7473,19.2091
2003-03-19,0.9700,5.2300,3.1057,1.6840,21.4955
2003-03-20,0.9700,5.2300,3.1698,1.6499,23.1822
2003-03-21,0.9900,5.1298,2.8760,1.7837,18.0285
2003-03-24,0.9900,5.1151,3.1577,1.6199,24.3628
2003-03-25,0.9800,5.1845,3.1115,1.6662,22.2826
2003-03-26,0.9900,5.1103,2.8754,1.7772,18.2159
2003-03-27,1.0400,4.9044,3.2573,1.5057,27.9048
2003-03-28,1.0400,4.8954,3.0180,1.6221,24.1942
2003-03-31,1.0600,4.8032,2.9228,1.6434,23.4820
2003-04-01,1.0600,4.7989,2.8838,1.6641,22.3951
2003-04-02,1.0600,4.7860,2.9212,1.6384,23.6694
2003-04-03,1.0400,4.8954,2.9597,1.6540,23.0322
2003-04-04,1.0700,4.7520,2.9595,1.6057,24.7189
2003-04-07,1.0800,4.7186,2.9189,1.6166,24.4565
2003-04-08,1.0800,4.7103,2.7718,1.6994,20.9333
2003-04-09,1.1100,4.5774,2.9295,1.5625,26.2744
2003-04-10,1.1200,4.5540,3.3455,1.3612,35.0262
2003-04-11,1.1300,4.5080,3.0019,1.5017,28.1484
2003-04-14,1.1700,4.3225,3.3415,1.2936,38.4558
2003-04-15,1.1800,4.2982,2.8954,1.4845,28.8231
2003-04-16,1.2300,4.1452,2.9654,1.3979,32.7774
2003-04-17,1.2100,4.2037,3.3637,1.2497,40.0300
2003-04-18,1.1600,4.3719,2.9659,1.4741,29.4228
2003-04-21,1.1500,4.4261,2.8122,1.5739,25.8433
2003-04-22,1.1500,4.4115,3.3122,1.3319,36.4880
2003-04-23,1.1300,4.4816,2.8198,1.5893,25.2624
2003-04-24,1.0800,4.7103,3.4933,1.3484,35.6447
2003-04-28,1.1900,4.2810,2.9733,1.4398,31.2031
2003-05-12,1.3000,3.9063,2.7021,1.4457,30.9408
2003-05-13,1.2300,4.1228,2.9153,1.4142,32.0652
2003-05-14,1.2700,4.0027,2.8497,1.4046,32.4213
2003-05-15,1.2800,3.9789,2.8648,1.3889,33.3583
2003-05-16,1.2800,3.9554,2.6620,1.4859,28.7106
2003-05-19,1.2600,4.0419,2.8939,1.3967,32.8336
2003-05-20,1.2200,4.1484,2.8340,1.4638,30.0600
2003-05-21,1.2300,4.1228,2.8850,1.4290,31.5030
2003-05-22,1.2900,3.9264,2.9155,1.3467,35.7571
2003-05-23,1.2900,3.9292,2.7987,1.4039,32.4400
2003-05-26,1.3100,3.8808,2.8539,1.3598,35.1012
2003-05-27,1.3200,3.8557,2.8527,1.3516,35.4760
2003-05-28,1.2800,3.9789,2.8799,1.3816,33.8081
2003-05-29,1.2700,3.9997,2.8693,1.3940,33.1147
2003-05-30,1.2700,3.9967,2.8717,1.3918,33.2271
2003-06-02,1.2800,3.9818,2.8461,1.3990,32.6837
2003-06-03,1.2500,4.0696,2.7828,1.4624,30.1349
2003-06-04,1.2700,4.0057,2.8751,1.3932,33.1897
2003-06-05,1.2500,4.0603,2.8853,1.4072,32.3463
2003-06-06,1.2300,4.1292,2.9811,1.3851,33.5832
2003-06-09,1.2000,4.2471,2.8948,1.4671,29.8913
2003-06-10,1.1900,4.2504,2.8086,1.5134,27.5675
2003-06-11,1.2300,4.1452,2.7466,1.5092,27.7549
2003-06-12,1.2100,4.1971,2.8471,1.4742,29.4040
2003-06-13,1.2100,4.1873,2.9415,1.4235,31.7279
2003-06-16,1.1900,4.2810,2.9529,1.4498,30.7534
2003-06-17,1.1600,4.3683,2.9917,1.4601,30.2474
2003-06-18,1.1600,4.3612,2.8482,1.5312,26.9865
2003-06-20,1.1400,4.4408,2.9221,1.5197,27.3613
2003-06-23,1.1300,4.5233,3.0084,1.5036,28.0547
2003-06-24,1.1300,4.5463,2.9306,1.5513,26.5367
2003-06-25,1.1100,4.6288,2.8583,1.6194,24.3816
2003-06-26,1.1200,4.5657,2.8538,1.5999,24.8126
2003-06-27,1.1100,4.6010,3.0098,1.5287,27.1177
2003-06-30,1.1200,4.5892,3.0821,1.4890,28.5982
2003-07-01,1.1300,4.5502,2.9856,1.5240,27.3051
2003-07-02,1.1600,4.4334,2.9407,1.5076,27.8298
2003-07-03,1.1500,4.4592,3.2163,1.3864,33.4333
2003-07-04,1.1200,4.5735,2.9671,1.5414,26.7241
2003-07-07,1.1200,4.5774,2.8642,1.5981,24.8876
2003-07-08,1.1300,4.5348,2.9663,1.5288,27.0990
2003-07-09,1.1100,4.6208,3.1218,1.4802,29.1604
2003-07-10,1.1500,4.4630,3.0194,1.4781,29.2541
2003-07-11,1.1500,4.4555,2.9361,1.5175,27.3988
2003-07-14,1.1400,4.4741,2.9337,1.5251,27.2301
