date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2002-01-04,0.5200,1.1028,3.2096,0.3436,71.9011
2002-01-08,0.5200,1.1116,3.5225,0.3156,75.7294
2002-01-09,0.5200,1.1108,3.5896,0.3094,76.3799
2002-01-10,0.5200,1.1148,3.5784,0.3115,76.1197
2002-01-11,0.5100,1.1287,3.4532,0.3269,74.0383
2002-01-14,0.5000,1.1541,3.5114,0.3287,73.8710
2002-01-15,0.4900,1.1798,3.5023,0.3369,72.9418
2002-01-16,0.4900,1.1762,3.4414,0.3418,72.2542
2002-01-17,0.4700,1.2278,3.4511,0.3558,70.7489
2002-01-18,0.4700,1.2327,3.2968,0.3739,67.6083
2002-01-21,0.4400,1.3049,3.2563,0.4007,63.5941
2002-01-22,0.4500,1.2715,3.3182,0.3832,65.9729
2002-01-23,0.4800,1.1862,3.1897,0.3719,67.9985
2002-01-24,0.4900,1.1753,3.2581,0.3607,70.0613
2002-01-25,0.4900,1.1843,3.0795,0.3846,65.7684
2002-01-28,0.4600,1.2590,3.1584,0.3986,63.8729
2002-01-29,0.4700,1.2278,3.8100,0.3223,74.7631
2002-01-30,0.4700,1.2308,3.2152,0.3828,66.0658
2002-01-31,0.5000,1.1524,3.2186,0.3580,70.3958
2002-02-01,0.5000,1.1620,3.2016,0.3629,69.8383
2002-02-04,0.5000,1.1541,3.2180,0.3586,70.3215
2002-02-05,0.5000,1.1481,3.1893,0.3600,70.1357
2002-02-06,0.4900,1.1726,3.1897,0.3676,69.0764
2002-02-07,0.5000,1.1515,3.2491,0.3544,70.8790
2002-02-08,0.5000,1.1507,3.2085,0.3586,70.3029
2002-02-25,0.4800,1.1926,3.1616,0.3772,67.0507
2002-02-26,0.4700,1.2123,3.1512,0.3847,65.6755
2002-02-27,0.4800,1.1880,3.1481,0.3774,67.0136
2002-02-28,0.4800,1.2047,3.1315,0.3847,65.6941
2002-03-01,0.4700,1.2191,3.1155,0.3913,64.9136
2002-03-04,0.4800,1.2085,3.0828,0.3920,64.7649
2002-03-05,0.4800,1.1880,3.0850,0.3851,65.6384
2002-03-06,0.4900,1.1834,3.0864,0.3834,65.9543
2002-03-07,0.5000,1.1524,3.0840,0.3737,67.6268
2002-03-08,0.5000,1.1576,3.0656,0.3776,66.9764
2002-03-11,0.5100,1.1362,3.0730,0.3697,68.5560
2002-03-12,0.4900,1.1664,3.0044,0.3882,65.2667
2002-03-13,0.5100,1.1354,2.9872,0.3801,66.4932
2002-03-14,0.5100,1.1346,2.9798,0.3808,66.3817
2002-03-15,0.5000,1.1567,3.0188,0.3832,65.9915
2002-03-18,0.5100,1.1329,3.0232,0.3747,67.4224
2002-03-19,0.5100,1.1181,2.9442,0.3798,66.5861
2002-03-20,0.5200,1.1164,3.0009,0.3720,67.9613
2002-03-21,0.5100,1.1230,2.9508,0.3806,66.4189
2002-03-22,0.5100,1.1388,2.9468,0.3865,65.4339
2002-03-25,0.5100,1.1263,2.9166,0.3862,65.5083
2002-03-26,0.5000,1.1602,2.9052,0.3994,63.7242
2002-03-27,0.5000,1.1550,3.0714,0.3761,67.2180
2002-03-28,0.5000,1.1559,3.0536,0.3785,66.8091
2002-03-29,0.4800,1.1880,2.8551,0.4161,62.5348
2002-04-01,0.4900,1.1655,2.7433,0.4249,62.0331
2002-04-02,0.4900,1.1682,2.7048,0.4319,61.4198
2002-04-03,0.5000,1.1396,2.9179,0.3906,65.0065
2002-04-04,0.5100,1.1321,2.7323,0.4143,62.7021
2002-04-05,0.5100,1.1329,3.2699,0.3465,71.6038
2002-04-08,0.5100,1.1312,2.7346,0.4137,62.7207
2002-04-09,0.5000,1.1455,2.7982,0.4094,62.9809
2002-04-11,0.5000,1.1594,2.6737,0.4336,61.3641
2002-04-12,0.5000,1.1464,2.6736,0.4288,61.7172
2002-04-15,0.5000,1.1559,2.6374,0.4383,61.1968
2002-04-16,0.4900,1.1637,2.5653,0.4536,60.2490
2002-04-17,0.5000,1.1567,2.6181,0.4418,60.9738
2002-04-18,0.5000,1.1541,2.5275,0.4566,60.0818
2002-04-19,0.5000,1.1498,2.5800,0.4457,60.7322
2002-04-22,0.5000,5.7184,2.5865,2.2109,12.6742
2002-04-23,0.4900,1.1646,2.5637,0.4543,60.2304
2002-04-24,0.4800,1.1880,2.6050,0.4560,60.1561
2002-04-25,0.4800,1.1880,2.5478,0.4663,59.4871
2002-04-26,0.4900,1.1726,1.9775,0.5930,55.8632
2002-04-29,0.5000,1.1576,2.5363,0.4564,60.1004
2002-04-30,0.5000,1.1413,2.5022,0.4561,60.1375
2002-05-08,0.5000,1.1438,2.5363,0.4510,60.4906
2002-05-09,0.5000,1.1404,2.5192,0.4527,60.3791
2002-05-10,0.5000,1.1550,2.4972,0.4625,59.7101
2002-05-13,0.4900,1.1655,2.5072,0.4649,59.5800
2002-05-14,0.4900,1.1762,2.5447,0.4622,59.7473
2002-05-15,0.4800,1.1880,2.5035,0.4745,58.9110
2002-05-16,0.4700,1.2162,2.4959,0.4873,58.6322
2002-05-17,0.4800,1.2038,2.5423,0.4735,58.9853
2002-05-20,0.4700,1.2337,2.4837,0.4967,58.0561
2002-05-21,0.4700,1.2171,2.4961,0.4876,58.5951
2002-05-22,0.4600,1.2417,2.5476,0.4874,58.6136
2002-05-23,0.4600,1.2518,2.5547,0.4900,58.4650
2002-05-24,0.4400,1.3206,2.4983,0.5286,56.5694
2002-05-28,0.4400,1.2928,2.4178,0.5347,56.5137
2002-05-29,0.4300,1.3425,2.4199,0.5548,56.2721
2002-05-30,0.4300,1.3332,2.3924,0.5573,56.2163
2002-05-31,0.4200,1.3860,2.3810,0.5821,56.0119
2002-06-03,0.4100,1.3986,2.3353,0.5989,55.7889
2002-06-04,0.4200,1.3579,2.7385,0.4959,58.0933
2002-06-05,0.4200,1.3736,2.8028,0.4901,58.4464
2002-06-06,0.4400,1.3138,2.4016,0.5471,56.3464
2002-06-07,0.4400,1.3071,2.6786,0.4880,58.5579
2002-06-10,0.4400,1.3127,2.4376,0.5385,56.4765
2002-06-11,0.4400,1.3071,2.4831,0.5264,56.6066
2002-06-12,0.4400,1.3149,2.4339,0.5402,56.4393
2002-06-13,0.4300,1.3251,2.4341,0.5444,56.3836
2002-06-14,0.4300,1.3366,2.4564,0.5441,56.4022
2002-06-17,0.4300,1.3274,2.4467,0.5425,56.4207
2002-06-18,0.4400,1.3016,2.3741,0.5482,56.3278
2002-06-19,0.4400,1.3103,2.4818,0.5280,56.5880
2002-06-20,0.4400,1.3116,2.4517,0.5350,56.4951
2002-06-21,0.4600,1.2705,2.4606,0.5163,56.9597
2002-06-24,0.5000,1.1553,2.4936,0.4633,59.6358
2002-06-25,0.5300,1.1011,2.7081,0.4066,63.2596
2002-06-26,0.5200,1.1214,2.6982,0.4156,62.5906
2002-06-27,0.5200,1.1195,2.5912,0.4320,61.4012
2002-06-28,0.5400,1.0728,2.5798,0.4158,62.5720
2002-07-01,0.5300,1.0939,2.5719,0.4253,61.9773
2002-07-02,0.5400,1.0694,2.5258,0.4234,62.1074
2002-07-03,0.5400,1.0651,2.6252,0.4057,63.3340
2002-07-04,0.5300,1.0832,2.5196,0.4299,61.6428
2002-07-05,0.5400,1.0737,2.6093,0.4115,62.8694
2002-07-08,0.5400,1.0702,2.5264,0.4236,62.0888
2002-07-09,0.5400,1.0780,2.5154,0.4286,61.7357
2002-07-10,0.5200,1.1111,2.5941,0.4283,61.7729
2002-07-11,0.5200,1.1056,2.5707,0.4301,61.6242
2002-07-12,0.5300,1.0984,2.5536,0.4301,61.5871
2002-07-15,0.5200,1.1084,2.8396,0.3903,65.0437
2002-07-16,0.5300,1.1011,2.7022,0.4075,63.0738
2002-07-17,0.5400,1.0806,2.7554,0.3922,64.7463
2002-07-18,0.5400,1.0797,2.7564,0.3917,64.8578
2002-07-19,0.5400,1.0737,2.9312,0.3663,69.2994
2002-07-22,0.5300,1.1002,2.9691,0.3705,68.2773
2002-07-23,0.5300,5.4387,2.8758,1.8912,24.7166
2002-07-24,0.5300,1.0850,2.9785,0.3643,69.6153
2002-07-25,0.5400,1.0789,2.7816,0.3879,65.3038
2002-07-26,0.5400,1.0797,2.8931,0.3732,67.7941
2002-07-29,0.5500,1.0550,2.7962,0.3773,67.0322
2002-07-30,0.5700,1.0189,2.8115,0.3624,69.8941
2002-07-31,0.5500,1.0476,2.8690,0.3651,69.5038
2002-08-01,0.5600,1.0395,2.9805,0.3488,71.3622
2002-08-02,0.5600,1.0403,3.0287,0.3435,71.9197
2002-08-05,0.5500,1.0601,3.0054,0.3527,71.0091
2002-08-06,0.5500,1.0452,2.9415,0.3553,70.7861
2002-08-07,0.5500,1.0452,2.9900,0.3496,71.2507
2002-08-08,0.5500,1.0542,2.8753,0.3666,69.2622
2002-08-09,0.5400,1.0634,3.1741,0.3350,73.1277
2002-08-12,0.5400,1.0634,3.0804,0.3452,71.7710
2002-08-13,0.5400,1.0694,2.9737,0.3596,70.1542
2002-08-14,0.5500,1.0617,3.0038,0.3535,70.9348
2002-08-15,0.5400,1.0694,2.9880,0.3579,70.4330
2002-08-16,0.5400,1.0806,3.3451,0.3230,74.6330
2002-08-19,0.5400,1.0719,3.3411,0.3208,74.8374
2002-08-20,0.5600,1.0354,3.3896,0.3055,76.7887
2002-08-21,0.5600,1.0379,3.3991,0.3053,76.8073
2002-08-22,0.5600,1.0379,2.8007,0.3706,68.2587
2002-08-26,0.5600,1.0362,3.3751,0.3070,76.6772
2002-08-27,0.5600,1.0403,3.3321,0.3122,76.0639
2002-08-28,0.5600,1.0299,3.3262,0.3096,76.3427
2002-08-29,0.5600,1.0346,3.0539,0.3388,72.6073
2002-08-30,0.5600,1.0338,3.0595,0.3379,72.7560
2002-09-02,0.5600,1.0379,3.1491,0.3296,73.7224
2002-09-03,0.5600,1.0243,2.8736,0.3565,70.6003
2002-09-04,0.5600,1.0354,2.9627,0.3495,71.2693
2002-09-05,0.5500,1.0567,3.5311,0.2993,77.2533
2002-09-06,0.5400,1.0694,3.4072,0.3139,75.9524
2002-09-09,0.5300,1.0824,3.4970,0.3095,76.3613
2002-09-10,0.5300,1.0868,3.3954,0.3201,75.0232
2002-09-11,0.5400,1.0806,2.9574,0.3654,69.4666
2002-09-12,0.5300,1.0824,3.0011,0.3607,70.0799
2002-09-13,0.5400,1.0815,3.5097,0.3081,76.4914
2002-09-16,0.5200,1.1102,3.1667,0.3506,71.1578
2002-09-17,0.5200,1.1065,3.2284,0.3427,72.0684
2002-09-18,0.5200,1.1130,2.9506,0.3772,67.0693
2002-09-19,0.5300,1.0912,3.2036,0.3406,72.3471
2002-09-20,0.5200,1.1074,3.2078,0.3452,71.7525
2002-09-23,0.5200,5.4929,3.0333,1.8109,25.1998
2002-09-24,0.5200,5.4929,3.0304,1.8126,25.1812
2002-09-25,0.5200,5.4747,3.2877,1.6652,25.8502
2002-09-26,0.5200,5.4793,2.9575,1.8527,25.0139
2002-09-27,0.5100,5.6333,3.1266,1.8017,25.2555
2002-10-08,0.5100,5.6429,3.1328,1.8012,25.2741
2002-10-09,0.5000,5.7210,3.1919,1.7923,25.3113
2002-10-10,0.5000,5.7760,3.0882,1.8703,24.9210
2002-10-11,0.4900,5.8578,3.1010,1.8890,24.7538
2002-10-14,0.4800,5.9102,3.0843,1.9162,24.4750
2002-10-15,0.4800,6.0068,3.0876,1.9455,23.9918
2002-10-16,0.4800,5.9049,3.0828,1.9154,24.4936
2002-10-17,0.4800,5.9850,3.0918,1.9358,24.1405
2002-10-18,0.4800,5.9420,2.9690,2.0013,22.7653
2002-10-21,0.4800,5.9260,3.1401,1.8872,24.7909
2002-10-22,0.4900,5.8013,3.1594,1.8362,25.0697
2002-10-23,0.4900,5.8475,3.0967,1.8883,24.7723
2002-10-24,0.4800,5.9420,2.9092,2.0425,20.5352
2002-10-25,0.4800,5.9367,3.0202,1.9657,23.5272
2002-10-28,0.4800,6.0068,2.8949,2.0750,19.0671
2002-10-29,0.4800,5.9049,3.1323,1.8852,24.8281
2002-10-30,0.4800,5.9635,3.1979,1.8648,24.9582
2002-10-31,0.4800,5.9474,2.9978,1.9839,23.2299
2002-11-01,0.4800,5.9581,3.2675,1.8234,25.1069
2002-11-04,0.4900,5.8526,3.2400,1.8064,25.2369
2002-11-05,0.5000,5.7659,3.3014,1.7465,25.6272
2002-11-06,0.5000,5.7508,3.3012,1.7420,25.6830
2002-11-07,0.5000,5.6915,3.3167,1.7160,25.7945
2002-11-08,0.4900,5.7810,3.3773,1.7117,25.8316
2002-11-11,0.4900,5.8320,3.2947,1.7701,25.4785
2002-11-12,0.4900,5.8526,3.2886,1.7797,25.3856
2002-11-13,0.4900,5.8475,3.3020,1.7709,25.4600
2002-11-14,0.4800,5.9154,3.3067,1.7889,25.3484
2002-11-15,0.4800,5.8996,3.2957,1.7901,25.3299
2002-11-18,0.4800,6.0068,3.2822,1.8301,25.0883
2002-11-19,0.4800,5.9260,3.2926,1.7998,25.2927
2002-11-20,0.4700,6.0954,3.2619,1.8687,24.9396
2002-11-21,0.4700,6.1406,3.2960,1.8630,24.9954
2002-11-22,0.4700,6.1293,3.2490,1.8865,24.8095
2002-11-25,0.4700,6.1066,3.2596,1.8734,24.8839
2002-11-26,0.4600,6.1750,3.2682,1.8894,24.7352
2002-11-27,0.4600,6.1808,3.2826,1.8829,24.8467
2002-11-28,0.4700,6.0674,3.3000,1.8386,25.0511
2002-11-29,0.4700,6.0452,3.5248,1.7150,25.8130
2002-12-03,0.4600,6.1693,3.3357,1.8495,25.0325
2002-12-04,0.4600,6.1924,3.3227,1.8637,24.9768
2002-12-05,0.4500,6.3714,3.2596,1.9547,23.7874
2002-12-06,0.4500,6.4146,3.3433,1.9186,24.4378
2002-12-09,0.4400,6.4333,3.3361,1.9284,24.3077
2002-12-10,0.4400,6.4838,3.1527,2.0566,19.8476
2002-12-11,0.4300,6.6135,3.1962,2.0692,19.3644
2002-12-12,0.4300,6.6267,3.3755,1.9632,23.5458
2002-12-13,0.4300,6.5871,3.2664,2.0166,21.7989
2002-12-16,0.4400,6.5610,3.3202,1.9761,23.3228
2002-12-17,0.4400,6.5610,3.3332,1.9684,23.4715
2002-12-18,0.4400,6.4902,2.9758,2.1810,13.5663
2002-12-19,0.4400,6.4585,3.1929,2.0228,21.5573
2002-12-20,0.4400,6.4585,3.1941,2.0220,21.6131
2002-12-23,0.4400,6.4522,3.2778,1.9685,23.4529
2002-12-24,0.4400,6.5286,2.8596,2.2830,10.5742
2002-12-25,0.4300,6.5806,3.1451,2.0923,18.0636
2002-12-26,0.4300,6.7278,3.2320,2.0816,18.7512
2002-12-27,0.4200,6.8392,3.5878,1.9062,24.6237
2002-12-30,0.4000,7.0732,3.4611,2.0436,20.4609
2002-12-31,0.4000,7.1964,3.1776,2.2647,11.2247
2003-01-02,0.3800,3.3810,3.0781,1.0984,38.4501
2003-01-03,0.3900,3.3622,3.1402,1.0707,39.6952
2003-01-06,0.3900,3.3622,3.2379,1.0384,40.8288
2003-01-07,0.3800,3.3848,3.1941,1.0597,40.1227
2003-01-08,0.4000,3.2496,3.1692,1.0254,41.3306
2003-01-09,0.4100,3.1809,3.3369,0.9533,44.1925
2003-01-10,0.4100,3.2114,3.1219,1.0287,41.1634
2003-01-13,0.4000,3.2531,3.0967,1.0505,40.4014
2003-01-14,0.4300,3.0061,3.1497,0.9544,44.1182
2003-01-15,0.4200,3.0674,3.1259,0.9813,43.0589
2003-01-16,0.4400,2.9882,3.2081,0.9315,44.8801
2003-01-17,0.4300,2.9942,3.2389,0.9244,45.1403
2003-01-20,0.4400,2.9472,3.1604,0.9325,44.7872
2003-01-21,0.4300,3.0182,3.2106,0.9401,44.6571
2003-01-22,0.4300,3.0121,3.0718,0.9806,43.0775
2003-01-23,0.4300,3.0121,3.0720,0.9805,43.1147
2003-01-24,0.4400,2.9415,3.0137,0.9760,43.2076
2003-01-27,0.4500,2.9158,3.0528,0.9551,44.0810
2003-01-28,0.4600,2.8469,3.0326,0.9388,44.6943
2003-01-29,0.4700,2.7607,3.1265,0.8830,46.8686
2003-02-10,0.4600,2.8202,3.1675,0.8904,46.5899
2003-02-11,0.4700,2.7914,3.0664,0.9103,45.6978
2003-02-12,0.4700,2.7607,3.1915,0.8650,47.5562
2003-02-13,0.4600,2.8070,3.1980,0.8777,47.1102
2003-02-14,0.4600,2.8018,3.2047,0.8743,47.2589
2003-02-17,0.4600,2.8496,3.1263,0.9115,45.6421
2003-02-18,0.4600,2.8604,3.2831,0.8712,47.3704
2003-02-19,0.4600,2.8388,3.2237,0.8806,46.9429
