date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2004-01-02,1.8100,4.1962,3.1524,1.3311,16.6310
2004-01-05,1.9000,4.0118,3.8984,1.0291,31.7837
2004-01-06,1.9700,3.8723,4.2513,0.9109,40.1867
2004-01-07,1.9900,3.8269,3.7457,1.0217,32.2311
2004-01-08,2.0100,3.7888,3.8526,0.9834,35.0126
2004-01-09,1.9400,3.9188,3.8937,1.0064,33.2037
2004-01-12,2.0100,3.7951,3.7339,1.0164,32.5423
2004-01-13,1.9800,3.8365,3.9283,0.9766,35.4600
2004-01-14,1.9400,3.9290,3.6318,1.0818,28.1852
2004-01-15,1.9300,3.9391,3.7471,1.0512,30.4415
2004-01-16,1.9400,3.9188,3.7248,1.0521,30.3637
2004-01-29,1.9800,3.8495,3.7954,1.0143,32.6785
2004-01-30,1.9100,3.9769,3.8706,1.0275,31.8226
2004-02-02,2.0000,3.8141,3.8742,0.9845,34.8765
2004-02-03,2.0200,3.7731,3.8597,0.9776,35.4211
2004-02-04,2.0600,3.6997,3.9247,0.9427,37.7748
2004-02-05,2.0500,3.7148,3.8131,0.9742,35.6740
2004-02-06,2.0400,3.7299,3.9176,0.9521,37.2496
2004-02-09,2.0700,3.6729,3.8086,0.9644,36.3548
2004-02-10,2.0300,3.7452,3.8094,0.9831,35.0321
2004-02-11,2.0000,3.8109,3.6915,1.0323,31.5892
2004-02-12,1.9600,3.8855,3.8403,1.0118,32.8341
2004-02-13,1.9600,3.8822,3.8469,1.0092,33.0675
2004-02-16,2.0500,3.7148,3.7942,0.9791,35.3044
2004-02-17,2.0500,3.7178,3.8259,0.9717,35.8102
2004-02-18,2.0300,3.7576,3.8753,0.9696,35.9658
2004-02-19,2.0000,3.8141,3.8225,0.9978,33.8261
2004-02-20,2.0200,3.7607,3.8289,0.9822,35.0904
2004-02-23,1.9400,3.9155,3.8481,1.0175,32.4645
2004-02-24,1.9200,3.9700,3.7621,1.0553,30.0525
2004-02-25,1.8600,4.0909,3.8337,1.0671,29.3523
2004-02-26,1.8800,4.0510,3.7724,1.0739,28.7687
2004-02-27,1.8600,4.0946,3.8105,1.0746,28.6909
2004-03-01,1.8400,4.1279,3.8553,1.0707,29.0605
2004-03-02,1.8600,4.0946,3.9244,1.0434,30.9473
2004-03-03,1.8400,4.1391,3.9102,1.0585,29.8775
2004-03-04,1.8500,4.1130,3.7857,1.0865,27.8934
2004-03-05,1.8300,4.1580,3.8959,1.0673,29.3134
2004-03-08,1.7800,4.2828,3.7271,1.1491,24.4310
2004-03-09,1.7800,4.2708,3.8364,1.1132,26.3178
2004-03-10,1.8400,4.1354,3.8651,1.0699,29.0799
2004-03-11,1.8400,4.1466,3.8973,1.0640,29.5079
2004-03-12,1.8100,4.1962,3.9098,1.0733,28.8271
2004-03-15,1.8800,4.0546,3.8422,1.0553,30.0331
2004-03-16,1.8700,4.0763,3.7146,1.0974,27.1737
2004-03-17,1.8800,4.0438,3.8129,1.0606,29.7802
2004-03-18,1.8600,4.0946,3.8639,1.0597,29.8386
2004-03-22,1.8900,4.0331,3.8717,1.0417,31.1029
2004-03-23,1.8600,4.0983,3.8858,1.0547,30.1303
2004-03-24,1.8500,4.1242,3.9508,1.0439,30.9278
2004-03-25,1.8500,4.1056,3.9207,1.0472,30.7333
2004-03-26,1.8600,4.0909,3.8891,1.0519,30.3832
2004-03-29,1.8500,4.1093,3.9486,1.0407,31.1613
2004-03-30,1.8300,4.1580,3.9180,1.0613,29.7218
2004-03-31,1.8300,4.1694,3.9169,1.0645,29.4884
2004-04-01,1.8600,4.0909,3.9984,1.0231,32.1338
2004-04-05,1.8600,4.0946,3.9144,1.0460,30.8111
2004-04-06,1.8600,4.1019,3.9210,1.0461,30.7917
2004-04-07,1.8300,4.1542,4.0357,1.0294,31.7642
2004-04-08,1.8100,4.2039,3.9325,1.0690,29.1578
2004-04-09,1.7800,4.2748,3.8125,1.1213,25.8705
2004-04-12,1.7700,4.3111,4.2585,1.0124,32.7563
2004-04-13,1.7500,4.3439,4.0871,1.0628,29.6051
2004-04-14,1.7300,4.4111,4.0197,1.0974,27.1932
2004-04-15,1.7200,4.4282,4.0298,1.0989,27.1153
2004-04-16,1.7400,4.3730,4.1717,1.0483,30.6361
