date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2009-01-05,2.0300,1.3510,2.7300,0.4949,75.7495
2009-01-06,2.0700,1.3243,2.6909,0.4921,75.8565
2009-01-07,2.0400,1.3442,2.6711,0.5032,75.4283
2009-01-08,1.9700,1.3932,2.6716,0.5215,74.7591
2009-01-09,1.9900,1.3753,2.6722,0.5147,74.9465
2009-01-12,1.9900,1.3789,2.7000,0.5107,75.0535
2009-01-13,1.9500,1.4042,2.8257,0.4969,75.6692
2009-01-14,2.0200,1.3613,2.8818,0.4724,76.8469
2009-01-15,2.0000,1.3683,2.9897,0.4577,78.0782
2009-01-16,2.0500,1.3375,2.9940,0.4467,78.6938
2009-01-19,2.0900,1.3113,3.0123,0.4353,80.0857
2009-01-20,2.0900,1.3145,3.0995,0.4241,82.8694
2009-01-21,2.0700,1.3243,3.1398,0.4218,83.4582
2009-01-22,2.0800,1.3177,3.0619,0.4304,80.9422
2009-01-23,2.0600,1.3308,3.0367,0.4382,79.5236
2009-02-02,2.0600,1.3308,3.1433,0.4234,83.0567
2009-02-03,2.1100,1.2985,3.1766,0.4088,85.9475
2009-02-04,2.1800,1.2588,3.2946,0.3821,89.5075
2009-02-05,2.1700,1.2648,3.4013,0.3719,90.3908
2009-02-06,2.2300,1.2299,3.2967,0.3731,90.2302
2009-02-09,2.2700,1.2104,3.2690,0.3703,90.7120
2009-02-10,2.2900,1.1996,3.3001,0.3635,91.4079
2009-02-11,2.3400,1.1707,3.2323,0.3622,91.5418
2009-02-12,2.2900,1.1996,3.1271,0.3836,89.3737
2009-02-13,2.3500,1.1681,3.1321,0.3729,90.2837
2009-02-16,2.4700,1.1100,3.1547,0.3519,93.0942
2009-02-17,2.3800,1.1505,3.1897,0.3607,91.7291
2009-02-18,2.2700,1.2104,3.1703,0.3818,89.5343
2009-02-19,2.2700,1.2077,3.1385,0.3848,89.3201
2009-02-20,2.2900,1.1969,3.1583,0.3790,89.7752
2009-02-23,2.3600,1.1605,3.1555,0.3678,91.0064
2009-02-24,2.2500,1.2187,3.1508,0.3868,89.1328
2009-02-25,2.3200,1.1810,3.1412,0.3760,90.0161
2009-02-26,2.2500,1.2187,3.1447,0.3875,89.0257
2009-02-27,2.2100,1.2413,3.1508,0.3940,88.3030
2009-03-02,2.2200,1.2384,3.1582,0.3921,88.5171
2009-03-03,2.1800,1.2588,3.1755,0.3964,87.9550
2009-03-04,2.3100,1.1863,3.2075,0.3699,90.7923
2009-03-05,2.3600,1.1630,3.2310,0.3600,91.7827
2009-03-06,2.3200,1.1836,3.2291,0.3665,91.0867
2009-03-09,2.4200,1.1335,3.2036,0.3538,92.6392
2009-03-10,2.4200,1.1335,3.1780,0.3567,92.1574
2009-03-11,2.3600,1.1630,3.1331,0.3712,90.5246
2009-03-12,2.3300,1.1784,3.1524,0.3738,90.0964
2009-03-13,2.3300,1.1784,3.1480,0.3743,90.0696
2009-03-16,2.3800,1.1505,3.1534,0.3648,91.2206
2009-03-17,2.4300,1.1311,3.1249,0.3620,91.5685
2009-03-18,2.4000,1.1407,3.1000,0.3680,90.9529
2009-03-19,2.4200,1.1335,3.0768,0.3684,90.8726
2009-03-20,2.4200,1.1359,3.0772,0.3691,90.8458
2009-03-23,2.4600,1.1169,3.0831,0.3623,91.5150
2009-03-24,2.4400,1.1239,3.1295,0.3591,91.9433
2009-03-25,2.4000,1.1432,3.1297,0.3653,91.1670
2009-03-26,2.4800,1.1054,3.1606,0.3497,93.4957
2009-03-27,2.4700,1.1100,3.1594,0.3513,93.1745
2009-03-30,2.4600,1.1146,3.1608,0.3526,92.9604
2009-03-31,2.4500,1.1192,3.1612,0.3540,92.5857
2009-04-01,2.4700,1.1100,3.1618,0.3511,93.2548
2009-04-02,2.5000,1.0963,3.1714,0.3457,94.0310
2009-04-03,2.5700,1.0657,3.1805,0.3351,95.3426
2009-04-07,2.5400,1.0786,3.1805,0.3391,94.9679
2009-04-08,2.4300,1.1287,3.1869,0.3542,92.5589
2009-04-09,2.4500,1.1216,3.1949,0.3511,93.2816
2009-04-10,2.4900,1.1031,3.1954,0.3452,94.1381
2009-04-13,2.5200,1.0874,3.1953,0.3403,94.9411
