ts_code,名称,交易日期,PE市盈率(TTM),股息率(%),pe_score,dividend_score,total_score
600502.SH,安徽建工,2025-06-23,6.0967,5.6133,45,41,86
600015.SH,华夏银行,2025-06-23,4.9377,5.0,50,36,86
601668.SH,中国建筑,2025-06-23,5.0982,4.7799,49,35,84
601169.SH,北京银行,2025-06-23,5.723,4.6852,47,31,78
600820.SH,隧道股份,2025-06-23,6.9863,5.2459,38,39,77
600985.SH,淮北矿业,2025-06-23,7.6771,6.6726,28,44,72
601166.SH,兴业银行,2025-06-23,6.556,4.5769,44,27,71
600153.SH,建发股份,2025-06-23,9.8107,7.085,21,47,68
605377.SH,华旺科技,2025-06-23,11.8189,9.9876,18,50,68
601229.SH,上海银行,2025-06-23,6.5994,4.5746,42,26,68
601225.SH,陕西煤业,2025-06-23,8.9704,6.7366,22,45,67
601009.SH,南京银行,2025-06-23,6.7723,4.604,39,28,67
601838.SH,成都银行,2025-06-23,6.5956,4.4439,43,23,66
601328.SH,交通银行,2025-06-23,7.5791,4.7733,29,34,63
600919.SH,江苏银行,2025-06-23,6.7196,4.3895,40,22,62
600177.SH,雅戈尔,2025-06-23,12.6257,6.8681,15,46,61
601577.SH,长沙银行,2025-06-23,5.1627,4.1502,48,13,61
002867.SZ,周大生,2025-06-23,15.6363,7.2024,11,48,59
002966.SZ,苏州银行,2025-06-23,7.5014,4.6136,30,29,59
601857.SH,中国石油,2025-06-23,10.034,5.0866,20,38,58
601187.SH,厦门银行,2025-06-23,7.3625,4.5723,33,25,58
601658.SH,邮储银行,2025-06-23,7.9084,4.7306,24,33,57
600737.SH,中粮糖业,2025-06-23,13.9547,6.531,14,43,57
002807.SZ,江阴银行,2025-06-23,5.9711,4.0733,46,10,56
601939.SH,建设银行,2025-06-23,7.1139,4.3333,36,19,55
600007.SH,中国国贸,2025-06-23,17.5434,7.3665,5,49,54
601318.SH,中国平安,2025-06-23,8.5822,4.6789,23,30,53
002540.SZ,亚太科技,2025-06-23,16.0749,6.4982,9,42,51
601288.SH,农业银行,2025-06-23,7.268,4.1997,34,16,50
601077.SH,渝农商行,2025-06-23,7.2596,4.1783,35,14,49
600016.SH,民生银行,2025-06-23,6.649,4.0167,41,8,49
601998.SH,中信银行,2025-06-23,7.0188,4.0817,37,11,48
601988.SH,中国银行,2025-06-23,7.7206,4.3441,27,20,47
601398.SH,工商银行,2025-06-23,7.3963,4.1848,32,15,47
600036.SH,招商银行,2025-06-23,7.9026,4.3573,25,21,46
601825.SH,沪农商行,2025-06-23,7.88,4.3287,26,18,44
002032.SZ,苏泊尔,2025-06-23,18.2548,5.323,4,40,44
600282.SH,南钢股份,2025-06-23,11.0338,4.5232,19,24,43
002469.SZ,三维化学,2025-06-23,20.5831,5.0697,2,37,39
002027.SZ,分众传媒,2025-06-23,19.1169,4.7278,3,32,35
601963.SH,重庆银行,2025-06-23,7.4778,3.713,31,4,35
600039.SH,四川路桥,2025-06-23,11.8949,4.2288,17,17,34
002543.SZ,万和电气,2025-06-23,12.3023,3.9462,16,6,22
601006.SH,大秦铁路,2025-06-23,15.7388,4.0366,10,9,19
600941.SH,中国移动,2025-06-23,17.4375,4.115,6,12,18
001965.SZ,招商公路,2025-06-23,15.4416,3.4606,12,3,15
601216.SH,君正集团,2025-06-23,14.296,2.907,13,1,14
600350.SH,山东高速,2025-06-23,16.481,3.7872,7,5,12
600377.SH,宁沪高速,2025-06-23,16.2703,3.0568,8,2,10
600373.SH,中文传媒,2025-06-23,21.5065,3.9683,1,7,8
